"Title","Project Name","Item ARK","Parent ARK","Object Type","viewingHint","File Name","Item Sequence","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Manuscript No. 56: 0031","Armenian Manuscripts","ark:/21198/zz0028xc9g","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0031.tif","31","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xc9g",""
"Manuscript No. 56: 0032","Armenian Manuscripts","ark:/21198/zz0028xcb0","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0032.tif","32","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xcb0",""
"Manuscript No. 56: 0033","Armenian Manuscripts","ark:/21198/zz0028xcch","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0033.tif","33","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xcch",""
"Manuscript No. 56: 0034","Armenian Manuscripts","ark:/21198/zz0028xcd1","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0034.tif","34","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xcd1",""
"Manuscript No. 56: 0035","Armenian Manuscripts","ark:/21198/zz0028xcfj","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0035.tif","35","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xcfj",""
"Manuscript No. 56: 0036","Armenian Manuscripts","ark:/21198/zz0028xcg2","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0036.tif","36","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xcg2",""
"Manuscript No. 56: 0037","Armenian Manuscripts","ark:/21198/zz0028xchk","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0037.tif","37","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xchk",""
"Manuscript No. 56: 0038","Armenian Manuscripts","ark:/21198/zz0028xcj3","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0038.tif","38","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xcj3",""
"Manuscript No. 56: 0039","Armenian Manuscripts","ark:/21198/zz0028xckm","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0039.tif","39","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xckm",""
"Manuscript No. 56: 0040","Armenian Manuscripts","ark:/21198/zz0028xcm4","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0040.tif","40","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xcm4",""
"Manuscript No. 56: 0041","Armenian Manuscripts","ark:/21198/zz0028xcnn","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0041.tif","41","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xcnn",""
"Manuscript No. 56: 0042","Armenian Manuscripts","ark:/21198/zz0028xcp5","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0042.tif","42","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xcp5",""
