"Title","Project Name","Item ARK","Parent ARK","Object Type","viewingHint","File Name","Item Sequence","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Language","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Manuscript No. 9: page 43","Armenian Manuscripts","ark:/21198/zz00275vv7","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_043.tif","43","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275vv7",""
"Manuscript No. 9: page 44","Armenian Manuscripts","ark:/21198/zz00275vwr","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_044.tif","44","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275vwr",""
"Manuscript No. 9: page 45","Armenian Manuscripts","ark:/21198/zz00275vx8","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_045.tif","45","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275vx8",""
"Manuscript No. 9: page 46","Armenian Manuscripts","ark:/21198/zz00275vzs","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_046.tif","46","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275vzs",""
"Manuscript No. 9: page 47","Armenian Manuscripts","ark:/21198/zz00275w0s","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_047.tif","47","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275w0s",""
"Manuscript No. 9: page 48","Armenian Manuscripts","ark:/21198/zz00275w19","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_048.tif","48","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275w19",""
"Manuscript No. 9: page 49","Armenian Manuscripts","ark:/21198/zz00275w2t","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_049.tif","49","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275w2t",""
"Manuscript No. 9: page 50","Armenian Manuscripts","ark:/21198/zz00275w3b","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_050.tif","50","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275w3b",""
"Manuscript No. 9: page 51","Armenian Manuscripts","ark:/21198/zz00275w4v","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_051.tif","51","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275w4v",""
"Manuscript No. 9: page 52","Armenian Manuscripts","ark:/21198/zz00275w5c","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_052.tif","52","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275w5c",""
"Manuscript No. 9: page 53","Armenian Manuscripts","ark:/21198/zz00275w6w","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_053.tif","53","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275w6w",""
