Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,iiif_access_url,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Rights.publicationStatus,Language,Type.genre,Subject,Author,Name.repository,Title,Alt ID.local,Alt ID.oclc,Date.normalized,Format.dimensions,Description.note,Publisher.placeOfOrigin,Date.creation,Format.extent,Publisher.publisherName,Alt ID.callNo,AltTitle.uniform,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Science and Engineering Library Books,ark:/21198/zz002jjbxp,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_040.tif,40,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_040,ucla_oc16856119_040,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjbxp,
Science and Engineering Library Books,ark:/21198/zz002jjbz6,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_041.tif,41,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_041,ucla_oc16856119_041,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjbz6,
Science and Engineering Library Books,ark:/21198/zz002jjc06,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_042.tif,42,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_042,ucla_oc16856119_042,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjc06,
Science and Engineering Library Books,ark:/21198/zz002jjc1q,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_043.tif,43,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_043,ucla_oc16856119_043,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjc1q,
Science and Engineering Library Books,ark:/21198/zz002jjc27,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_044.tif,44,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_044,ucla_oc16856119_044,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjc27,
Science and Engineering Library Books,ark:/21198/zz002jjc3r,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_045.tif,45,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_045,ucla_oc16856119_045,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjc3r,
Science and Engineering Library Books,ark:/21198/zz002jjc48,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_046.tif,46,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_046,ucla_oc16856119_046,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjc48,
Science and Engineering Library Books,ark:/21198/zz002jjc5s,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_047.tif,47,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_047,ucla_oc16856119_047,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjc5s,
Science and Engineering Library Books,ark:/21198/zz002jjc69,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_048.tif,48,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_048,ucla_oc16856119_048,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjc69,
Science and Engineering Library Books,ark:/21198/zz002jjc7t,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_049.tif,49,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_049,ucla_oc16856119_049,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjc7t,
