"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Rights.countryCreation","Rights.permission","Rights.rightsHolderContact","Language","Name.subject","Name.repository","Name.creator","Subject","Title","Date.creation","AltTitle.other","Description.note","Date.normalized","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Network Measurement Center Collection","ark:/21198/z12f982m","ark:/21198/zz002dj6x3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_022.tif","22","","","","","","","","","","","","","","Page 22","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12f982m",""
"Network Measurement Center Collection","ark:/21198/z1xp8rjg","ark:/21198/zz002dj6x3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_023.tif","23","","","","","","","","","","","","","","Page 23","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xp8rjg",""
"Network Measurement Center Collection","ark:/21198/z1t16q87","ark:/21198/zz002dj6x3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_024.tif","24","","","","","","","","","","","","","","Page 24","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t16q87",""
"Network Measurement Center Collection","ark:/21198/z1p85zh2","ark:/21198/zz002dj6x3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_025.tif","25","","","","","","","","","","","","","","Page 25","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p85zh2",""
"Network Measurement Center Collection","ark:/21198/z1jh56r8","ark:/21198/zz002dj6x3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_026.tif","26","","","","","","","","","","","","","","Page 26","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jh56r8",""
"Network Measurement Center Collection","ark:/21198/z1dr4g2d","ark:/21198/zz002dj6x3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_027.tif","27","","","","","","","","","","","","","","Page 27","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4g2d",""
"Network Measurement Center Collection","ark:/21198/z1903qcf","ark:/21198/zz002dj6x3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_028.tif","28","","","","","","","","","","","","","","Page 28","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903qcf",""
"Network Measurement Center Collection","ark:/21198/z1572zp5","ark:/21198/zz002dj6x3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_029.tif","29","","","","","","","","","","","","","","Page 29","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1572zp5",""
"Network Measurement Center Collection","ark:/21198/z11k0xc5","ark:/21198/zz002dj6x3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_030.tif","30","","","","","","","","","","","","","","Page 30","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11k0xc5",""
"Network Measurement Center Collection","ark:/21198/z1wt0dvd","ark:/21198/zz002dj6x3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_031.tif","31","","","","","","","","","","","","","","Page 31","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wt0dvd",""
"Network Measurement Center Collection","ark:/21198/z1s19p3d","ark:/21198/zz002dj6x3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_032.tif","32","","","","","","","","","","","","","","Page 32","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s19p3d",""
"Network Measurement Center Collection","ark:/21198/z1n88xb7","ark:/21198/zz002dj6x3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_033.tif","33","","","","","","","","","","","","","","Page 33","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n88xb7",""
"Network Measurement Center Collection","ark:/21198/z1hh85mw","ark:/21198/zz002dj6x3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_034.tif","34","","","","","","","","","","","","","","Page 34","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hh85mw",""
"Network Measurement Center Collection","ark:/21198/z1cr7dz2","ark:/21198/zz002dj6x3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_035.tif","35","","","","","","","","","","","","","","Page 35","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cr7dz2",""
