Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Language,Subject,Name.repository,Name.creator,Title,Relation.rectoVerso,Date.creation,Relation.isPartOf,Alt ID.local,AltTitle.uniform,Description.note,Format.dimensions,Description.abstract,Coverage.geographic,Date.normalized,Publisher.placeOfOrigin,Format.medium,Publisher.publisherName,Relation.textDirection,Format.extent,thumbnailImageName,masterImageName,Bucketeer State,IIIF Access URL
Medieval and Renaissance Manuscripts,ark:/21198/zz001dz1bw,ark:/21198/zz00157r96,2,Completed,Page,medren/masters/21198-zz001dz1bw_1268512_master.tif,69,,,,,,,,,pd,,,,,Martyrology. Central Italy.,v,s. XII med,,***170/403 2/XII/ITA/14 volume 2,,,,,,1200,,,,,,21198-zz001dz1bw_1268512_thumbnail.jpg,21198-zz001dz1bw_1268512_master.tif,failed,
Medieval and Renaissance Manuscripts,ark:/21198/zz001dz447,ark:/21198/zz00157r96,2,Completed,Page,medren/masters/21198-zz001dz447_1268641_master.tif,120,,,,,,,,,pd,,,,,"Justinian, Digest, with gloss. Italy (Bologna?). s. XIV 1",r,,,***170/403 2/XIV/ITA/12_vol4,,,,,,,,,,,,21198-zz001dz447_1268641_thumbnail.jpg,21198-zz001dz447_1268641_master.tif,failed,
Medieval and Renaissance Manuscripts,ark:/21198/zz001dz45r,ark:/21198/zz00157r96,2,Completed,Page,medren/masters/21198-zz001dz45r_1268644_master.tif,121,,,,,,,,,pd,,,,,"Justinian, Digest, with gloss. Italy (Bologna?). s. XIV 1",v,,,***170/403 2/XIV/ITA/12_vol4,,,,,,,,,,,,21198-zz001dz45r_1268644_thumbnail.jpg,21198-zz001dz45r_1268644_master.tif,failed,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hd3nk,ark:/21198/zz001hd10s,2,Completed,Page,,61,,,,,,,,,pd,,,,,MS 46 folio 30,v,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hd5xp,ark:/21198/zz001hd4mj,2,Completed,Page,,41,,,,,,,,,pd,,,,,MS 57 folio 14v,v,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hd6bc,ark:/21198/zz001hd4mj,2,Completed,Page,,53,,,,,,,,,pd,,,,,MS 57 folio 20v,v,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hftjm,ark:/21198/zz001hd4mj,2,Completed,Page,,61,,,,,,,,,pd,,,,,MS 57 folio 24v,v,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hftn5,ark:/21198/zz001hd4mj,2,Completed,Page,,64,,,,,,,,,pd,,,,,MS 57 folio 26,r,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hm4vv,ark:/21198/zz001hd4mj,2,Completed,Page,,134,,,,,,,,,pd,,,,,MS 57 folio 59,v,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hm4wc,ark:/21198/zz001hd4mj,2,Completed,Page,,136,,,,,,,,,pd,,,,,MS 57 folio 60,r,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hm63f,ark:/21198/zz001hd4mj,2,Completed,Page,,171,,,,,,,,,pd,,,,,MS 57 folio 77v,v,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hm770,ark:/21198/zz001hd4mj,2,Completed,Page,,205,,,,,,,,,pd,,,,,MS 57 folio 94v,r,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hm7rr,ark:/21198/zz001hd4mj,2,Completed,Page,,220,,,,,,,,,pd,,,,,MS 57 folio 102v,v,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hm7v9,ark:/21198/zz001hd4mj,2,Completed,Page,,225,,,,,,,,,pd,,,,,MS 57 folio 104v,r,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hm9gk,ark:/21198/zz001hm990,2,Completed,Page,,5,,,,,,,,,pd,,,,,ms_58_0005,r,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hmbm4,ark:/21198/zz001hm990,2,Completed,Page,,38,,,,,,,,,pd,,,,,MS 58 folio 19v,v,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hmbw8,ark:/21198/zz001hmbqp,1,In progress,Page,,5,,,,,,,,,pd,,,,,MS 59 folio 3,r,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hmc09,ark:/21198/zz001hmbqp,1,In progress,Page,,8,,,,,,,,,pd,,,,,MS 59 folio 4v,v,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hpfv3,ark:/21198/zz001hpdsk,2,Completed,Page,,31,,,,,,,,,pd,,,,,ms_62_0031,r,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hpvg6,ark:/21198/zz001hpdsk,2,Completed,Page,,162,,,,,,,,,pd,,,,,ms_62_0162,r,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hpvvw,ark:/21198/zz001hpdsk,2,Completed,Page,,174,,,,,,,,,pd,,,,,ms_62_0174,v,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hpvwd,ark:/21198/zz001hpdsk,2,Completed,Page,,175,,,,,,,,,pd,,,,,ms_62_0175,r,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hq3qn,ark:/21198/zz001hq39f,2,Completed,Page,,12,,,,,,,,,pd,,,,,ms_63_0012,v,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hq3t6,ark:/21198/zz001hq39f,2,Completed,Page,,15,,,,,,,,,pd,,,,,ms_63_0015,r,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hq5w6,ark:/21198/zz001hq5hh,4,Derived,Page,,11,,,,,,,,,pd,,,,,ms_65_0011,r,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hq6rm,ark:/21198/zz001hq5hh,4,Derived,Page,,36,,,,,,,,,pd,,,,,ms_65_0036,v,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hq8gf,ark:/21198/zz001hq5hh,4,Derived,Page,,63,,,,,,,,,pd,,,,,ms_65_0063,r,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hq8k0,ark:/21198/zz001hq5hh,4,Derived,Page,,66,,,,,,,,,pd,,,,,ms_65_0066,v,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hq8n1,ark:/21198/zz001hq5hh,4,Derived,Page,,68,,,,,,,,,pd,,,,,ms_65_0068,v,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hq8q2,ark:/21198/zz001hq5hh,4,Derived,Page,,70,,,,,,,,,pd,,,,,ms_65_0070,v,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hq96s,ark:/21198/zz001hq5hh,4,Derived,Page,,84,,,,,,,,,pd,,,,,ms_65_0084,v,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hq9m0,ark:/21198/zz001hq5hh,4,Derived,Page,,96,,,,,,,,,pd,,,,,ms_65_0096,v,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hqcp0,ark:/21198/zz001hq5hh,4,Derived,Page,,156,,,,,,,,,pd,,,,,ms_65_0156,v,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hqddb,ark:/21198/zz001hq5hh,4,Derived,Page,,177,,,,,,,,,pd,,,,,ms_65_0177,r,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hqnk9,ark:/21198/zz001hqnc6,4,Derived,Page,,6,,,,,,,,,pd,,,,,ms_75_0006,v,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hqnxg,ark:/21198/zz001hqnc6,4,Derived,Page,,16,,,,,,,,,pd,,,,,ms_75_0016,v,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hqq52,ark:/21198/zz001hqnc6,4,Derived,Page,,52,,,,,,,,,pd,,,,,ms_75_0052,v,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hqrb4,ark:/21198/zz001hqnc6,4,Derived,Page,,86,,,,,,,,,pd,,,,,ms_75_0086,v,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hqssb,ark:/21198/zz001hqnc6,4,Derived,Page,,128,,,,,,,,,pd,,,,,ms_75_0128,v,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hqt61,ark:/21198/zz001hqnc6,4,Derived,Page,,140,,,,,,,,,pd,,,,,ms_75_0140,v,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hqthp,ark:/21198/zz001hqnc6,4,Derived,Page,,149,,,,,,,,,pd,,,,,ms_75_0149,r,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001nfk6q,ark:/21198/zz001nfk56,1,In progress,Page,,1,,,,,,,,,pd,,,,,Rouse MS 108: 1r,recto,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001nfk77,ark:/21198/zz001nfk56,1,In progress,Page,,2,,,,,,,,,pd,,,,,Rouse MS 108: 1v,verso,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001nfpzj,ark:/21198/zz001hqnc6,4,Derived,Page,,193,,,,,,,,,pd,,,,,ms_75_0193,r,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001nfq12,ark:/21198/zz001hqnc6,4,Derived,Page,,195,,,,,,,,,pd,,,,,ms_75_0195,r,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001nfq4m,ark:/21198/zz001hqnc6,4,Derived,Page,,198,,,,,,,,,pd,,,,,ms_75_0198,r,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001nfzkq,ark:/21198/zz001hqnc6,4,Derived,Page,,204,,,,,,,,,pd,,,,,ms_75_0204,r,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001nfzqs,ark:/21198/zz001hqnc6,4,Derived,Page,,208,,,,,,,,,pd,,,,,ms_75_0208,r,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001ng01c,ark:/21198/zz001hqnc6,4,Derived,Page,,217,,,,,,,,,pd,,,,,ms_75_0217,r,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001ng0g3,ark:/21198/zz001hqnc6,4,Derived,Page,,230,,,,,,,,,pd,,,,,ms_75_0230,r,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001ng3gj,ark:/21198/zz001ng2z9,4,Derived,Page,,16,,,,,,,,,pd,,,,,6r,,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001nhhkb,ark:/21198/zz001nhhdr,1,In progress,Page,,1,,,,,,,,,pd,,,,,ms_95_1,,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001nhhmv,ark:/21198/zz001nhhdr,1,In progress,Page,,2,,,,,,,,,pd,,,,,ms_95_1v,,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001nhhnc,ark:/21198/zz001nhhdr,1,In progress,Page,,3,,,,,,,,,pd,,,,,ms_95_2,,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001nhhpw,ark:/21198/zz001nhhdr,1,In progress,Page,,4,,,,,,,,,pd,,,,,ms_95_2v,,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001nhhqd,ark:/21198/zz001nhhdr,1,In progress,Page,,5,,,,,,,,,pd,,,,,ms_95_3,,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001nhhrx,ark:/21198/zz001nhhdr,1,In progress,Page,,6,,,,,,,,,pd,,,,,ms_95_3v,,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001nhhsf,ark:/21198/zz001nhhdr,1,In progress,Page,,7,,,,,,,,,pd,,,,,ms_95_4,,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001nhhtz,ark:/21198/zz001nhhdr,1,In progress,Page,,8,,,,,,,,,pd,,,,,ms_95_4v,,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001njrn6,ark:/21198/zz001nj0xq,1,In progress,Page,,133,,,,,,,,,pd,,,,,ms_90_0133,,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001njrzv,ark:/21198/zz001nj0xq,1,In progress,Page,,142,,,,,,,,,pd,,,,,ms_90_0142,,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001nk776,ark:/21198/zz001nj0xq,1,In progress,Page,,226,,,,,,,,,pd,,,,,ms_90_0226,,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001nvtrr,ark:/21198/zz001nspmv,4,Derived,Page,,174,,,,,,,,,pd,,,,,172,,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001nvts8,ark:/21198/zz001nspmv,4,Derived,Page,,175,,,,,,,,,pd,,,,,173,,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001nw6pg,ark:/21198/zz001nw30p,2,Completed,Page,,108,,,,,,,,,pd,,,,,MS 25 folio 53v,,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001nwbwh,ark:/21198/zz001nspmv,6,Needs QA,Page,,65,,,,,,,,,pd,,,,,29r missing. should be tiff 65 but isn't,,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001nwbx1,ark:/21198/zz001nspmv,6,Needs QA,Page,,66,,,,,,,,,pd,,,,,29v missing should be tif 66 but isn't,,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz002b8jmv,ark:/21198/zz00157r96,2,Completed,Page,medren/masters/21198-zz002b8jmv_2270243_master.tif,267,,,,,,,,,pd,,,,,"GRADUAL. Germany, s. XI 1.",v,,"Bound Manuscripts Collection (Collection 170). UCLA Library Special Collections, Charles E. Young Research Library, University of California, Los Angeles.",***170/403 1/XI/GER/2_vol9,,,,,,,,,,,,21198-zz002b8jmv_2270243_thumbnail.jpg,21198-zz002b8jmv_2270243_master.tif,failed,
Medieval and Renaissance Manuscripts,ark:/21198/zz002b8jpw,ark:/21198/zz00157r96,2,Completed,Page,medren/masters/21198-zz002b8jpw_2270246_master.tif,268,,,,,,,,,pd,,,,,"GRADUAL. Germany, s. XI 1.",v,,"Bound Manuscripts Collection (Collection 170). UCLA Library Special Collections, Charles E. Young Research Library, University of California, Los Angeles.",***170/403 1/XI/GER/2_vol9_001,,,,,,,,,,,,21198-zz002b8jpw_2270246_thumbnail.jpg,21198-zz002b8jpw_2270246_master.tif,failed,
Medieval and Renaissance Manuscripts,ark:/21198/zz002b8mf7,ark:/21198/zz00157r96,2,Completed,Page,medren/masters/21198-zz002b8mf7_2270240_master.tif,303,,,,,,,,,pd,,,,,Pontifical. Northern Germany or Low Countries. s. XV,v,,"Bound Manuscripts Collection (Collection 170). UCLA Library Special Collections, Charles E. Young Research Library, University of California, Los Angeles.",***170/403 1/XV/GER/2_vol9,,,,,,,,,,,,21198-zz002b8mf7_2270240_thumbnail.jpg,21198-zz002b8mf7_2270240_master.tif,failed,
Medieval and Renaissance Manuscripts,ark:/21198/zz002hm83s,ark:/21198/zz00157r96,2,Completed,Page,medren/masters/21198-zz002hm83s_2401374_master.tif,136,,,,,,,,,pd,,,,,Humanistic Treatise. Central Italy. s. XV med or XV 2,r,,"Bound Manuscripts Collection (Collection 170). UCLA Library Special Collections, Charles E. Young Research Library, University of California, Los Angeles.",***170/403 2/XV/ITA/1_vol_5r,,,,,,,,,,,,21198-zz002hm83s_2401374_thumbnail.jpg,21198-zz002hm83s_2401374_master.tif|~|21198-zz002hm83s_2401275_master.tif,failed,
Medieval and Renaissance Manuscripts,ark:/21198/zz002hm849,ark:/21198/zz00157r96,2,Completed,Page,medren/masters/21198-zz002hm849_2401381_master.tif,137,,,,,,,,,pd,,,,,Humanistic Treatise. Central Italy. s. XV med or XV 2,v,,"Bound Manuscripts Collection (Collection 170). UCLA Library Special Collections, Charles E. Young Research Library, University of California, Los Angeles.",***170/403 2/XV/ITA/1_vol5v,,,,,,,,,,,,21198-zz002hm849_2401381_thumbnail.jpg,21198-zz002hm849_2401273_master.tif|~|21198-zz002hm849_2401381_master.tif,failed,
Medieval and Renaissance Manuscripts,ark:/21198/zz002hm85t,ark:/21198/zz00157r96,2,Completed,Page,medren/masters/21198-zz002hm85t_2270661_master.tif,138,,,,,,,,,pd,,,,,"CICERO, DE ORATORE. Italy. s. XVmed or XV2",r,,"Bound Manuscripts Collection (Collection 170). UCLA Library Special Collections, Charles E. Young Research Library, University of California, Los Angeles.",***170/403 1/XV/ITA/2_vol_5_001,,,,,,,,,,,,21198-zz002hm85t_2270661_thumbnail.jpg,21198-zz002hm85t_2270661_master.tif,failed,
Medieval and Renaissance Manuscripts,ark:/21198/zz002hm86b,ark:/21198/zz00157r96,2,Completed,Page,medren/masters/21198-zz002hm86b_2270726_master.tif,139,,,,,,,,,pd,,,,,"CICERO, DE ORATORE. Italy. s. XVmed or XV2",v,,"Bound Manuscripts Collection (Collection 170). UCLA Library Special Collections, Charles E. Young Research Library, University of California, Los Angeles.",***170/403 1/XV/ITA/2_vol_5_002,,,,,,,,,,,,21198-zz002hm86b_2270726_thumbnail.jpg,21198-zz002hm86b_2270726_master.tif,failed,
Medieval and Renaissance Manuscripts,ark:/21198/zz002hm87v,ark:/21198/zz00157r96,2,Completed,Page,medren/masters/21198-zz002hm87v_2270729_master.tif,140,,,,,,,,,pd,,,,,"CICERO, DE ORATORE. Italy. s. XVmed or XV2",r,,"Bound Manuscripts Collection (Collection 170). UCLA Library Special Collections, Charles E. Young Research Library, University of California, Los Angeles.",***170/403 1/XV/ITA/2_vol_5_003,,,,,,,,,,,,21198-zz002hm87v_2270729_thumbnail.jpg,21198-zz002hm87v_2270729_master.tif,failed,
Medieval and Renaissance Manuscripts,ark:/21198/zz002hm88c,ark:/21198/zz00157r96,2,Completed,Page,medren/masters/21198-zz002hm88c_2270732_master.tif,141,,,,,,,,,pd,,,,,"CICERO, DE ORATORE. Italy. s. XVmed or XV2",v,,"Bound Manuscripts Collection (Collection 170). UCLA Library Special Collections, Charles E. Young Research Library, University of California, Los Angeles.",***170/403 1/XV/ITA/2_vol_5_004,,,,,,,,,,,,21198-zz002hm88c_2270732_thumbnail.jpg,21198-zz002hm88c_2270732_master.tif,failed,
Medieval and Renaissance Manuscripts,ark:/21198/zz002hm89w,ark:/21198/zz00157r96,2,Completed,Page,medren/masters/21198-zz002hm89w_2270735_master.tif,142,,,,,,,,,pd,,,,,"CICERO, DE ORATORE. Italy. s. XVmed or XV2",r,,"Bound Manuscripts Collection (Collection 170). UCLA Library Special Collections, Charles E. Young Research Library, University of California, Los Angeles.",***170/403 1/XV/ITA/2_vol_5_005,,,,,,,,,,,,21198-zz002hm89w_2270735_thumbnail.jpg,21198-zz002hm89w_2270735_master.tif,failed,
Medieval and Renaissance Manuscripts,ark:/21198/zz002hm8bd,ark:/21198/zz00157r96,2,Completed,Page,medren/masters/21198-zz002hm8bd_2270738_master.tif,143,,,,,,,,,pd,ita,,,,TREATISE ON LAWSUITS. Italy. s. XV2,r,,"Bound Manuscripts Collection (Collection 170). UCLA Library Special Collections, Charles E. Young Research Library, University of California, Los Angeles.",***170/403 1/XV/ITA/3_vol_5_001,,,,,,,,,,,,21198-zz002hm8bd_2270738_thumbnail.jpg,21198-zz002hm8bd_2270738_master.tif,failed,
Medieval and Renaissance Manuscripts,ark:/21198/zz002hm8cx,ark:/21198/zz00157r96,2,Completed,Page,medren/masters/21198-zz002hm8cx_2270741_master.tif,144,,,,,,,,,pd,,,,,TREATISE ON LAWSUITS. Italy. s. XV2,v,,"Bound Manuscripts Collection (Collection 170). UCLA Library Special Collections, Charles E. Young Research Library, University of California, Los Angeles.",***170/403 1/XV/ITA/3_vol_5_002,,,,,,,,,,,,21198-zz002hm8cx_2270741_thumbnail.jpg,21198-zz002hm8cx_2270741_master.tif,failed,
