"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Rights.servicesContact","Language","Type.genre","Relation.series","Name.subject","Subject","Name.repository","Name.publisher","Relation.isPartOf","Name.illustrator","Name.author","Name.engraver","Alt ID.lccn","Title","Alt ID.local","AltTitle.firstLine","Description.caption","AltTitle.other","Description.note","AltTitle.descriptive","Date.publication","Date.normalized","Publisher.publisherName","Format.dimensions","Alt ID.oclc","Publisher.placeOfOrigin","Format.extent","Opac url","Publisher.edition","Alt ID.callNo","Description.tableOfContents","Description.adminnote","Description.inscription","Date.creation","Bucketeer State","IIIF Access URL"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0009bnt4","ark:/21198/zz0009bncd","2","Completed","Page","cbc/masters/21198-zz0009bnt4-1-master.tif","1","","","","","private","","still image","","","","Book illustrations","","","","","","","","","","","leaves 5-6 : Sparrow - Ship [flap in]","PE1118 _G54_1810_l56_flapin","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009bnt4"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0009bnvn","ark:/21198/zz0009bncd","2","Completed","Page","cbc/masters/21198-zz0009bnvn-1-master.tif","2","","","","","private","","still image","","","","Book illustrations","","","","","","","","","","","leaves 5-6 : Sparrow - Ship [flap out]","PE1118 _G54_1810_l56_flapout","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009bnvn"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0009d470","ark:/21198/zz0009d46g","2","Completed","Page","cbc/masters/21198-zz0009d470-1-master.tif","1","","","","","private","","still image","","","","Book illustrations|~|Chromolithographs","","","","","","","","","","","leaf 19","QA113_B64nE_1877_L19","What do we call these plants? How many carrots, how many turnips?","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009d470"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0009d48h","ark:/21198/zz0009d46g","2","Completed","Page","cbc/masters/21198-zz0009d48h-1-master.tif","2","","","","","private","","still image","","","","Book illustrations|~|Chromolithographs","","","","","","","","","","","leaf 20","QA113_B64nE_1877_L20","If 2 out of 6 milk jugs fall, how many remain standing?","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009d48h"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0009d491","ark:/21198/zz0009d46g","2","Completed","Page","cbc/masters/21198-zz0009d491-1-master.tif","3","","","","","private","","still image","","","","Book illustrations|~|Chromolithographs","","","","","","","","","","","leaf 30","QA113_B64nE_1877_L30","Ninepins! how many are fallen?","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009d491"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0009d4bj","ark:/21198/zz0009d46g","2","Completed","Page","cbc/masters/21198-zz0009d4bj-1-master.tif","4","","","","","private","","still image","","","","Book illustrations|~|Chromolithographs","","","","","","","","","","","leaf 33","QA113_B64nE_1877_L33","10 different leaves:","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009d4bj"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0017jh1j","ark:/21198/zz0017jh01","2","Completed","Page","cbc/masters/21198-zz0017jh1j_504612_master.tif","2","","","","","private","","still image|~|text","","","","","","","","","","","","","","","The Cock. [page 17]","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jh1j"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0017jh22","ark:/21198/zz0017jh01","2","Completed","Page","cbc/masters/21198-zz0017jh22_504622_master.tif","3","","","","","private","","still image|~|text","","","","","","","","","","","","","","","The Peacock. [page 21]","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jh22"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0017jh3k","ark:/21198/zz0017jh01","2","Completed","Page","cbc/masters/21198-zz0017jh3k_504627_master.tif","1","","","","","private","","still image|~|text","","","","","","","","","","","","","","","The Turkey. [page 13]","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jh3k"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0017jh5m","ark:/21198/zz0017jh43","1","In progress","Page","cbc/masters/21198-zz0017jh5m_504639_master.tif","1","","","","","private","","still image|~|text","","","","","","","","","","","","","","","The Cock. [page 5]","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jh5m"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0017jh64","ark:/21198/zz0017jh43","1","In progress","Page","cbc/masters/21198-zz0017jh64_504642_master.tif","2","","","","","private","","","","","","","","","","","","","","","","","page 7","","","The Turkey.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jh64"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0017jjsd","ark:/21198/zz0017jh43","1","In progress","Page","cbc/masters/21198-zz0017jjsd_504645_master.tif","4","","","","","private","","","","","","","","","","","","","","","","","page 19","","","The Pelican","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jjsd"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0017jjtx","ark:/21198/zz0017jh43","1","In progress","Page","cbc/masters/21198-zz0017jjtx_504649_master.tif","5","","","","","private","","","","","","","","","","","","","","","","","page 21","","","The Spoonbill.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jjtx"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0017jjvf","ark:/21198/zz0017jh43","1","In progress","Page","cbc/masters/21198-zz0017jjvf_504654_master.tif","6","","","","","private","","","","","","","","","","","","","","","","","page 25","","","The Cormorant.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jjvf"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0017jjwz","ark:/21198/zz0017jh43","1","In progress","Page","cbc/masters/21198-zz0017jjwz_504657_master.tif","3","","","","","private","","","","","","","","","","","","","","","","","page 15","","","The Heron.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jjwz"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0017jjz0","ark:/21198/zz0017jjxg","1","In progress","Page","cbc/masters/21198-zz0017jjz0_504735_master.tif","1","","","","","private","","","","","","","","","","","","","","","","","page 12","","","Pelican","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jjz0"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0017jk00","ark:/21198/zz0017jjxg","1","In progress","Page","cbc/masters/21198-zz0017jk00_504743_master.tif","2","","","","","private","","","","","","","","","","","","","","","","","page 13","","","Cock","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jk00"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0017jk1h","ark:/21198/zz0017jjxg","1","In progress","Page","cbc/masters/21198-zz0017jk1h_504750_master.tif","3","","","","","private","","","","","","","","","","","","","","","","","page 14","","","Swan","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jk1h"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0017jk3j","ark:/21198/zz0017jk21","1","In progress","Page","cbc/masters/21198-zz0017jk3j_507400_master.tif","1","","","","","private","","still image","","","","","","","","","","","","","","","page 3","","","","Ducks and swans.","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jk3j"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0017jk42","ark:/21198/zz0017jk21","1","In progress","Page","cbc/masters/21198-zz0017jk42_507412_master.tif","2","","","","","private","","still image","","","","","","","","","","","","","","","page 4","","","","Web-footed birds.","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jk42"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0017kpss","ark:/21198/zz0017kpr8","1","In progress","Page","cbc/masters/21198-zz0017kpss_507348_master.tif","1","","","","","private","","still image","","","","","","","","","","","","","","","back cover","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kpss"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0017kqbj","ark:/21198/zz0017jk21","1","In progress","Page","cbc/masters/21198-zz0017kqbj_507423_master.tif","3","","","","","private","","still image","","","","","","","","","","","","","","","page 11","","","","Running birds.","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kqbj"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0017kqdk","ark:/21198/zz0017jk21","1","In progress","Page","cbc/masters/21198-zz0017kqdk_507431_master.tif","4","","","","","private","","still image","","","","","","","","","","","","","","","page 12","","","","Long-legs and queer-bills","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kqdk"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0017kqn6","ark:/21198/zz0017kqjn","1","In progress","Page","cbc/masters/21198-zz0017kqn6_507460_master.tif","1","","","","","private","","still image","","","","","","","","","","","","","","","front cover","","","","","","","","","","","","","","","","","","","","","failed",
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0017kqwt","ark:/21198/zz0017kqjn","1","In progress","Page","cbc/masters/21198-zz0017kqwt_507488_master.tif","2","","","","","private","","still image","","","","","","","","","","","","","","","illustration 3","","","","","appears between pages 4 and 5","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kqwt"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0017kr6z","ark:/21198/zz0017kqjn","1","In progress","Page","cbc/masters/21198-zz0017kr6z_507506_master.tif","3","","","","","private","","still image","","","","","","","","","","","","","","","illustration 5","","","","","appears after page 6","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kr6z"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0017sp2m","ark:/21198/zz0017knxc","1","In progress","Page","cbc/masters/21198-zz0017sp2m_725953_master.tif","1","","","","","private","","","","","","","","","","","","","","","","","crane","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017sp2m"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0017sp34","ark:/21198/zz0017knxc","1","In progress","Page","cbc/masters/21198-zz0017sp34_725956_master.tif","2","","","","","private","","","","","","","","","","","","","","","","","crow","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017sp34"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0017sp97","ark:/21198/zz0017knxc","1","In progress","Page","cbc/masters/21198-zz0017sp97_725961_master.tif","3","","","","","private","","","","","","","","","","","","","","","","","kingfisher","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017sp97"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0017spbr","ark:/21198/zz0017knxc","1","In progress","Page","cbc/masters/21198-zz0017spbr_725964_master.tif","4","","","","","private","","","","","","","","","","","","","","","","","ostrich","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017spbr"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0017spc8","ark:/21198/zz0017knxc","1","In progress","Page","cbc/masters/21198-zz0017spc8_725967_master.tif","5","","","","","private","","","","","","","","","","","","","","","","","owl","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017spc8"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0017spds","ark:/21198/zz0017knxc","1","In progress","Page","cbc/masters/21198-zz0017spds_725970_master.tif","6","","","","","private","","","","","","","","","","","","","","","","","telescope","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017spds"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0017spf9","ark:/21198/zz0017knxc","1","In progress","Page","cbc/masters/21198-zz0017spf9_725975_master.tif","7","","","","","private","","","","","","","","","","","","","","","","","swan","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017spf9"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0017sphb","ark:/21198/zz0017spgt","1","In progress","Page","cbc/masters/21198-zz0017sphb_725978_master.tif","1","","","","","private","","","","","","","","","","","","","","","","","front cover","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017sphb"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0017spjv","ark:/21198/zz0017spgt","1","In progress","Page","cbc/masters/21198-zz0017spjv_725983_master.tif","2","","","","","private","","","","","","","","","","","","","","","","","page 3","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017spjv"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0017spkc","ark:/21198/zz0017spgt","1","In progress","Page","cbc/masters/21198-zz0017spkc_725986_master.tif","3","","","","","private","","","","","","","","","","","","","","","","","page 5","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017spkc"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0017spmw","ark:/21198/zz0017spgt","1","In progress","Page","cbc/masters/21198-zz0017spmw_725989_master.tif","4","","","","","private","","","","","","","","","","","","","","","","","page 7","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017spmw"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0017sppx","ark:/21198/zz0017spnd","1","In progress","Page","cbc/masters/21198-zz0017sppx_725995_master.tif","1","","","","","private","","","","","","","","","","","","","","","","","page 272","","","","","","Ostrich","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017sppx"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz001ng1dj","ark:/21198/zz001ng1bh","2","Completed","Page","cbc/masters/21198-zz001ng1dj_1311625_master.tif","1","","","","","private","","text","","","","","","","","","","","","","","","cover","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ng1dj"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz001ng1f2","ark:/21198/zz001ng1bh","2","Completed","Page","cbc/masters/21198-zz001ng1f2_1311634_master.tif","2","","","","","private","","still image","","","","","","","","","","","","","","","eagle (inside cover)","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ng1f2"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz001ng1gk","ark:/21198/zz001ng1bh","2","Completed","Page","cbc/masters/21198-zz001ng1gk_1311637_master.tif","3","","","","","private","","still image","","","","","","","","","","","","","","","stork, page 4","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ng1gk"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz001ng1h3","ark:/21198/zz001ng1bh","2","Completed","Page","cbc/masters/21198-zz001ng1h3_1311642_master.tif","4","","","","","private","","still image","","","","","","","","","","","","","","","kingfisher, page 6","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ng1h3"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz001ng1jm","ark:/21198/zz001ng1bh","2","Completed","Page","cbc/masters/21198-zz001ng1jm_1311646_master.tif","5","","","","","private","","still image","","","","","","","","","","","","","","","jay, page 7","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ng1jm"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz001ng1k4","ark:/21198/zz001ng1bh","2","Completed","Page","cbc/masters/21198-zz001ng1k4_1311651_master.tif","6","","","","","private","","still image","","","","","","","","","","","","","","","vulture, page 9","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ng1k4"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz001ng1mn","ark:/21198/zz001ng1bh","2","Completed","Page","cbc/masters/21198-zz001ng1mn_1311655_master.tif","7","","","","","private","","still image","","","","","","","","","","","","","","","crane, page 11","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ng1mn"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz001ng1x9","ark:/21198/zz001ng1ws","2","Completed","Page","cbc/masters/21198-zz001ng1x9_1311679_master.tif","1","","","","","private","","still image|~|text","","","","","","","","","","","","","","","page 113","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ng1x9"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz001ng1zt","ark:/21198/zz001ng1ws","2","Completed","Page","cbc/masters/21198-zz001ng1zt_1311688_master.tif","2","","","","","private","","still image","","","","","","","","","","","","","","","page 217","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ng1zt"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz001ng21b","ark:/21198/zz001ng20t","2","Completed","Page","cbc/masters/21198-zz001ng21b_1311702_master.tif","1","","","","","private","","still image","","","","","","","","","","","","","","","The Avocet","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ng21b"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz001ng22v","ark:/21198/zz001ng20t","2","Completed","Page","cbc/masters/21198-zz001ng22v_1311711_master.tif","2","","","","","private","","still image","","","","","","","","","","","","","","","Black Tern","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ng22v"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz001ng23c","ark:/21198/zz001ng20t","2","Completed","Page","cbc/masters/21198-zz001ng23c_1311714_master.tif","3","","","","","private","","still image","","","","","","","","","","","","","","","Rook","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ng23c"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz001ng24w","ark:/21198/zz001ng20t","2","Completed","Page","cbc/masters/21198-zz001ng24w_1311717_master.tif","4","","","","","private","","still image","","","","","","","","","","","","","","","Swan","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ng24w"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz001ng25d","ark:/21198/zz001ng20t","2","Completed","Page","cbc/masters/21198-zz001ng25d_1311720_master.tif","5","","","","","private","","still image","","","","","","","","","","","","","","","Three toed Sloth","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ng25d"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz001ng26x","ark:/21198/zz001ng20t","2","Completed","Page","cbc/masters/21198-zz001ng26x_1311723_master.tif","6","","","","","private","","still image","","","","","","","","","","","","","","","White or Barn Owl","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ng26x"
