Project Name,Item ARK,Parent ARK,Object Type,File Name,Item Sequence,Title,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Eric Gill Artwork Collection,ark:/21198/zz002d2frm/rz26b85d,ark:/21198/zz002d2frm,Page,eric_gill/image/CEG0961_b.tif,2,Item 2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2frm%2Frz26b85d,
Eric Gill Artwork Collection,ark:/21198/zz002d2h48/vt30jp15,ark:/21198/zz002d2h48,Page,eric_gill/image/CEG1002_a.tif,1,Item 1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2h48%2Fvt30jp15,
Eric Gill Artwork Collection,ark:/21198/zz002d2h48/7q13gp48,ark:/21198/zz002d2h48,Page,eric_gill/image/CEG1002_b.tif,2,Item 2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2h48%2F7q13gp48,
Eric Gill Artwork Collection,ark:/21198/zz002d2j4r/jc02g723,ark:/21198/zz002d2j4r,Page,eric_gill/image/CEG1031_a.tif,1,Item 1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2j4r%2Fjc02g723,
Eric Gill Artwork Collection,ark:/21198/zz002d2j4r/zb858927,ark:/21198/zz002d2j4r,Page,eric_gill/image/CEG1031_b.tif,2,Item 2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2j4r%2Fzb858927,
Eric Gill Artwork Collection,ark:/21198/zz002d2ktk/f806s10n,ark:/21198/zz002d2ktk,Page,eric_gill/image/CEG1080_a.tif,1,Item 1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2ktk%2Ff806s10n,
Eric Gill Artwork Collection,ark:/21198/zz002d2ktk/cn08243q,ark:/21198/zz002d2ktk,Page,eric_gill/image/CEG1080_b.tif,2,Item 2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2ktk%2Fcn08243q,
Eric Gill Artwork Collection,ark:/21198/zz002d2nrh/2n73f796,ark:/21198/zz002d2nrh,Page,eric_gill/image/CEG1204.tif,1,Item 1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2nrh%2F2n73f796,
Eric Gill Artwork Collection,ark:/21198/zz002d2nrh/dz842z48,ark:/21198/zz002d2nrh,Page,eric_gill/image/CEG1204_b.tif,2,Item 2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2nrh%2Fdz842z48,
Eric Gill Artwork Collection,ark:/21198/zz002d2tjt/5j29vp34,ark:/21198/zz002d2tjt,Page,eric_gill/image/CEG1347_a.tif,1,Item 1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2tjt%2F5j29vp34,
Eric Gill Artwork Collection,ark:/21198/zz002d2tjt/7k09gq9r,ark:/21198/zz002d2tjt,Page,eric_gill/image/CEG1347_b.tif,2,Item 2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2tjt%2F7k09gq9r,
Eric Gill Artwork Collection,ark:/21198/zz002d2w4k/c5897g49,ark:/21198/zz002d2w4k,Page,eric_gill/image/CEG1399.tif,1,Item 1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2w4k%2Fc5897g49,
Eric Gill Artwork Collection,ark:/21198/zz002d2w4k/tt79x96x,ark:/21198/zz002d2w4k,Page,eric_gill/image/CEG1399_b.tif,2,Item 2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2w4k%2Ftt79x96x,
Eric Gill Artwork Collection,ark:/21198/zz002d2w4k/ck47m544,ark:/21198/zz002d2w4k,Page,eric_gill/image/CEG1399_c.tif,3,Item 3,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2w4k%2Fck47m544,
Eric Gill Artwork Collection,ark:/21198/zz002d2w4k/0870ck0v,ark:/21198/zz002d2w4k,Page,eric_gill/image/CEG1399_d.tif,4,Item 4,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2w4k%2F0870ck0v,
Eric Gill Artwork Collection,ark:/21198/zz002d2w53/b3785t4c,ark:/21198/zz002d2w53,Page,eric_gill/image/CEG1400.tif,1,Item 1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2w53%2Fb3785t4c,
Eric Gill Artwork Collection,ark:/21198/zz002d2w53/wz569c6n,ark:/21198/zz002d2w53,Page,eric_gill/image/CEG1400_b.tif,2,Item 2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2w53%2Fwz569c6n,
Eric Gill Artwork Collection,ark:/21198/zz002d2w53/gx494w46,ark:/21198/zz002d2w53,Page,eric_gill/image/CEG1400_c.tif,3,Item 3,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2w53%2Fgx494w46,
Eric Gill Artwork Collection,ark:/21198/zz002d2w6m/xf15wh5g,ark:/21198/zz002d2w6m,Page,eric_gill/image/CEG1401_a.tif,1,Item 1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2w6m%2Fxf15wh5g,
Eric Gill Artwork Collection,ark:/21198/zz002d2w6m/9288t89k,ark:/21198/zz002d2w6m,Page,eric_gill/image/CEG1401_b.tif,2,Item 2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2w6m%2F9288t89k,
Eric Gill Artwork Collection,ark:/21198/zz002d2w6m/sn41nc3c,ark:/21198/zz002d2w6m,Page,eric_gill/image/CEG1401_c.tif,3,Item 3,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2w6m%2Fsn41nc3c,
Eric Gill Artwork Collection,ark:/21198/zz002d2w74/87626w3r,ark:/21198/zz002d2w74,Page,eric_gill/image/CEG1402.tif,1,Item 1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2w74%2F87626w3r,
Eric Gill Artwork Collection,ark:/21198/zz002d2w74/9k888j45,ark:/21198/zz002d2w74,Page,eric_gill/image/CEG1402_b.tif,2,Item 2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2w74%2F9k888j45,
Eric Gill Artwork Collection,ark:/21198/zz002d2w74/rs56n783,ark:/21198/zz002d2w74,Page,eric_gill/image/CEG1402_c.tif,3,Item 3,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2w74%2Frs56n783,
Eric Gill Artwork Collection,ark:/21198/zz002d2w74/jz517530,ark:/21198/zz002d2w74,Page,eric_gill/image/CEG1402_d.tif,4,Item 4,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2w74%2Fjz517530,
Eric Gill Artwork Collection,ark:/21198/zz002d2w8n/vb08nx8m,ark:/21198/zz002d2w8n,Page,eric_gill/image/CEG1403_a.tif,1,Item 1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2w8n%2Fvb08nx8m,
Eric Gill Artwork Collection,ark:/21198/zz002d2w8n/hx331v2m,ark:/21198/zz002d2w8n,Page,eric_gill/image/CEG1403_b.tif,2,Item 2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2w8n%2Fhx331v2m,
Eric Gill Artwork Collection,ark:/21198/zz002d2w8n/1z55vc74,ark:/21198/zz002d2w8n,Page,eric_gill/image/CEG1403_c.tif,3,Item 3,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2w8n%2F1z55vc74,
Eric Gill Artwork Collection,ark:/21198/zz002d2w8n/ft60pt5z,ark:/21198/zz002d2w8n,Page,eric_gill/image/CEG1403_d.tif,4,Item 4,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2w8n%2Fft60pt5z,
Eric Gill Artwork Collection,ark:/21198/zz002d2w95/0k64s59d,ark:/21198/zz002d2w95,Page,eric_gill/image/CEG1405_a.tif,1,Item 1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2w95%2F0k64s59d,
Eric Gill Artwork Collection,ark:/21198/zz002d2w95/rr24f75p,ark:/21198/zz002d2w95,Page,eric_gill/image/CEG1405_b.tif,2,Item 2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2w95%2Frr24f75p,
Eric Gill Artwork Collection,ark:/21198/zz002d2w95/2p865p41,ark:/21198/zz002d2w95,Page,eric_gill/image/CEG1405_c.tif,3,Item 3,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2w95%2F2p865p41,
Eric Gill Artwork Collection,ark:/21198/zz002d2wbp/qx02df7z,ark:/21198/zz002d2wbp,Page,eric_gill/image/CEG1407_a.tif,1,Item 1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2wbp%2Fqx02df7z,
Eric Gill Artwork Collection,ark:/21198/zz002d2wbp/h384ht1n,ark:/21198/zz002d2wbp,Page,eric_gill/image/CEG1407_b.tif,2,Item 2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2wbp%2Fh384ht1n,
Eric Gill Artwork Collection,ark:/21198/zz002d2wbp/j931qq7r,ark:/21198/zz002d2wbp,Page,eric_gill/image/CEG1407_c.tif,3,Item 3,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2wbp%2Fj931qq7r,
Eric Gill Artwork Collection,ark:/21198/zz002d2wc6/g947982w,ark:/21198/zz002d2wc6,Page,eric_gill/image/CEG1408.tif,1,Item 1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2wc6%2Fg947982w,
Eric Gill Artwork Collection,ark:/21198/zz002d2wc6/gv88fd6t,ark:/21198/zz002d2wc6,Page,eric_gill/image/CEG1408_b.tif,2,Item 2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2wc6%2Fgv88fd6t,
Eric Gill Artwork Collection,ark:/21198/zz002d2wc6/4c71dm1g,ark:/21198/zz002d2wc6,Page,eric_gill/image/CEG1408_c.tif,3,Item 3,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2wc6%2F4c71dm1g,
Eric Gill Artwork Collection,ark:/21198/zz002d2wc6/xg178r3z,ark:/21198/zz002d2wc6,Page,eric_gill/image/CEG1408_d.tif,4,Item 4,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2wc6%2Fxg178r3z,
Eric Gill Artwork Collection,ark:/21198/zz002d2wc6/jv247723,ark:/21198/zz002d2wc6,Page,eric_gill/image/CEG1408_e.tif,5,Item 5,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2wc6%2Fjv247723,
Eric Gill Artwork Collection,ark:/21198/zz002d2wc6/jf46wb3f,ark:/21198/zz002d2wc6,Page,eric_gill/image/CEG1408_f.tif,6,Item 6,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2wc6%2Fjf46wb3f,
Eric Gill Artwork Collection,ark:/21198/zz002d2wdq/d936w50j,ark:/21198/zz002d2wdq,Page,eric_gill/image/CEG1409_a.tif,1,Item 1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2wdq%2Fd936w50j,
Eric Gill Artwork Collection,ark:/21198/zz002d2wdq/rk55jb19,ark:/21198/zz002d2wdq,Page,eric_gill/image/CEG1409_b.tif,2,Item 2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2wdq%2Frk55jb19,
