Project Name,Item ARK,Parent ARK,viewingHint,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Type.genre,Rights.publicationStatus,Rights.status,Rights.statementLocal,Name.repository,Name.subject,Name.creator,Rights.servicesContact,Format.medium,Description.note,Date.creation,Format.dimensions,Title,Alt ID.local,Opac url,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Eric Gill Artwork Collection,ark:/21198/zz002d1sc9,ark:/21198/zz002czw6v,,2,Completed,Work,eric_gill/image/CEG0011.tif,10,drawings (visual works)|~|architectural drawings (visual works),unknown,,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940",,pencil on paper,Sketch of a portion of St. David’s Cathedral: Vaughn Chapel.,about 1899,9 x 14.75 inches,"Vaughn Chapel, St. David's Cathedral",CEG11,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1sc9,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d1sc9/manifest
Eric Gill Artwork Collection,ark:/21198/zz002d1sdt,ark:/21198/zz002czw6v,,2,Completed,Work,eric_gill/image/CEG0012.tif,11,drawings (visual works)|~|architectural drawings (visual works),unknown,,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940",,ink on paper,Small drawing of the towers designed by the architect Christopher Wren at Westminster Abbey.,1900,3 x 5.75 inches,"Sir Christopher Wren’s Towers, Westminster Abbey",CEG12,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1sdt,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d1sdt/manifest
Eric Gill Artwork Collection,ark:/21198/zz002d1sfb,ark:/21198/zz002czw6v,,2,Completed,Work,eric_gill/image/CEG0013.tif,12,drawings (visual works)|~|architectural drawings (visual works),unknown,,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940",,pencil on paper,"Watercolor of cathedral interior, lettered at bottom right corner “AERG M.C.M” [On verso, in pencil, is written “Jane Lister a dear child died Oct. 7th 1688…”]  Reference is made in Evan Gill’s Inscriptional work of Eric Gill (1964), item 1, to Eric Gill’s first letter-cutting on stone, this inscription, inspired by a wall tablet in Westminster Abbey Cloisters.",about 1900,10.75 x 15 inches,"Untitled (Lutyens, Godalming)",CEG13,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1sfb,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d1sfb/manifest
Eric Gill Artwork Collection,ark:/21198/zz002d1sgv,ark:/21198/zz002czw6v,,2,Completed,Work,eric_gill/image/CEG0014.tif,13,drawings (visual works)|~|architectural drawings (visual works),unknown,,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940",,pencil on paper,Sketch of the front of a building in Godalming.  An example of Lutyens architecture.  Signed and dated by Gill.  Loose sketches of other buildings on verso.,about 1904,7 x 4.5 inches,"Untitled (Lutyens, Godalming)",CEG14,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1sgv,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d1sgv/manifest
Eric Gill Artwork Collection,ark:/21198/zz002d1shc,ark:/21198/zz002czw6v,,2,Completed,Work,eric_gill/image/CEG0015.tif,14,drawings (visual works)|~|architectural drawings (visual works),unknown,,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940",,ink on tracing paper,"Sketch of the Dean’s Yard, Westminster, identified and signed AERG.",about 1902,9 x 16 inches,"Dean's Yard, Westminster",CEG15,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1shc,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d1shc/manifest
Eric Gill Artwork Collection,ark:/21198/zz002d1sjw,ark:/21198/zz002czw6v,,2,Completed,Work,eric_gill/image/CEG0016.tif,15,drawings (visual works)|~|architectural drawings (visual works),unknown,,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940",,"pencil on paper, mounted on board",Sketch of a row of buildings in Ghent.  Signed AERG and dated.,1907 July,6.75 x 5.5 inches,Ghent,CEG16,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1sjw,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d1sjw/manifest
Eric Gill Artwork Collection,ark:/21198/zz002d1skd,ark:/21198/zz002czw6v,,2,Completed,Work,eric_gill/image/CEG0017.tif,16,drawings (visual works),unknown,,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940",,ink on tracing paper,Ink sketch of the landscape near bath.  Captioned and dated in Gill's hand.,1907 May 16,10 x 4.5 inches,Near Bath,CEG17,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1skd,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d1skd/manifest
Eric Gill Artwork Collection,ark:/21198/zz002d1smx,ark:/21198/zz002czw6v,,2,Completed,Work,eric_gill/image/CEG0018.tif,17,drawings (visual works),unknown,,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,"Tegetmeier, Petra, 1906-1999","Gill, Eric, 1882-1940",,pencil on paper,"Sketch of a clothed partial torso and arm.  Dated and signed ""EG""",1922 February 17,7 x 9 inches,Petra's Jersey,CEG18,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1smx,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d1smx/manifest
Eric Gill Artwork Collection,ark:/21198/zz002d1snf,ark:/21198/zz002czw6v,,2,Completed,Work,eric_gill/image/CEG0019.tif,18,drawings (visual works)|~|architectural drawings (visual works),unknown,,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940",,pencil on paper,"Architectural sketch for the Parish Church, Caldey Island.  Caption: ""N.B. All these measurements refer to wall thicknesses except the 3’.9” & the 7’.10”.""",1924 May-July,3.25 x 4.75 inches,"Untitled [Parish Church, Caldey Island]",CEG19,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1snf,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d1snf/manifest
Eric Gill Artwork Collection,ark:/21198/zz002d1spz,ark:/21198/zz002czw6v,,2,Completed,Work,eric_gill/image/CEG0020.tif,19,letters (correspondence),unknown,,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,,,ink on paper,"Postcard correspondence regarding the Parish Church, Caldey Island project.  Postcard mailed to Gill at Ditchling by “D. Michael O.S.B.”",1924 July 29,3.5 x 5.5 inches,"Postcard from D. Michael, OSB, to Eric Gill",CEG20,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1spz,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d1spz/manifest
Eric Gill Artwork Collection,ark:/21198/zz002d1sqg,ark:/21198/zz002czw6v,,2,Completed,Work,eric_gill/image/CEG0021.tif,20,letters (correspondence),unknown,,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940",,ink on paper,"Note on lined paper that states, “Window measures 4.5’ x 1.5’.”",1924 May-July,5 x 8 inches,Untitled (note regarding Caldey Island church?),CEG21,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1sqg,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d1sqg/manifest
Eric Gill Artwork Collection,ark:/21198/zz002d1sr0,ark:/21198/zz002czw6v,,2,Completed,Work,eric_gill/image/CEG0022.tif,21,drawings (visual works)|~|architectural drawings (visual works),unknown,,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940",,pencil on paper,"Architectural sketch of the North side of the Parish Church, Caldey Island.  Measurements are included.  Dated and initialed in Gill’s hand.",1924 July 5,7 x 9 inches,"Parish Church, Caldey Island, N. Side",CEG22,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1sr0,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d1sr0/manifest
Eric Gill Artwork Collection,ark:/21198/zz002d1ssh,ark:/21198/zz002czw6v,,2,Completed,Work,eric_gill/image/CEG0023.tif,22,drawings (visual works)|~|architectural drawings (visual works),unknown,,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940",,pencil on paper,"Architectural sketch of the West side of the Parish Church, Caldey Island.  Measurements are included.  Dated and initialed in Gill’s hand.",1924 July 5,7 x 9 inches,"Parish Church, Caldey Island, W. End",CEG23,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1ssh,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d1ssh/manifest
Eric Gill Artwork Collection,ark:/21198/zz002d1st1,ark:/21198/zz002czw6v,,2,Completed,Work,eric_gill/image/CEG0024.tif,23,drawings (visual works)|~|architectural drawings (visual works),unknown,,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940",,pencil on paper,Drawing of chimney partially destroyed by a mine.  Signed and dated in Gill’s hand.,1926,13 x 10.5 inches,Chimney of mined cottage at Capel-y-ffin,CEG24,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1st1,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d1st1/manifest
Eric Gill Artwork Collection,ark:/21198/zz002d1svj,ark:/21198/zz002czw6v,,2,Completed,Work,eric_gill/image/CEG0025.tif,24,drawings (visual works)|~|architectural drawings (visual works),unknown,,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940",,pencil on paper,"Drawing of house at Salies, seen through foliage. Signed and dated in Gill's hand",1926 May 4,11.5 x 9 inches,Untitled (At Salies),CEG25,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1svj,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d1svj/manifest
Eric Gill Artwork Collection,ark:/21198/zz002d1sw2,ark:/21198/zz002czw6v,,2,Completed,Work,eric_gill/image/CEG0026.tif,25,drawings (visual works),unknown,,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940",,pencil on paper,Drawing of interior of a restaurant.  Signed and dated in Gill's hand.,1928 April 22,8 x 6.5,"At Loustau's, Salies-de-Bearn",CEG26,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1sw2,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d1sw2/manifest
Eric Gill Artwork Collection,ark:/21198/zz002d1sxk,ark:/21198/zz002czw6v,,2,Completed,Work,eric_gill/image/CEG0027.tif,26,drawings (visual works)|~|architectural drawings (visual works),unknown,,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940",,pencil on paper,Architectural drawing of a doorway at Salies-de-Bearn,1928 May 2,15 x 12 inches,"Salies-de-Bearn, B-P",CEG27,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1sxk,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d1sxk/manifest
Eric Gill Artwork Collection,ark:/21198/zz002d1sz3,ark:/21198/zz002czw6v,,2,Completed,Work,eric_gill/image/CEG0028.tif,27,drawings (visual works)|~|architectural drawings (visual works),unknown,,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940",,ink on paper,Sketch of a house built alongside a road in the Pyrenees foothills.  Signed and dated in Gill’s hand.,1928 May 2,6.25 x 8 inches,Licq-atherey,CEG28,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1sz3,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d1sz3/manifest
Eric Gill Artwork Collection,ark:/21198/zz002d1t03,ark:/21198/zz002czw6v,,2,Completed,Work,eric_gill/image/CEG0029.tif,28,drawings (visual works),unknown,,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940",,pencil on paper,Nude self-portraits of the torso and legs; three drawings on same sheet.  Signed and dated in Gill's hand.,1915 June 27,9 x 12.75 inches,Untitled (with mirror),CEG29,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1t03,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d1t03/manifest
