"Title","Project Name","Item ARK","Parent ARK","Object Type","viewingHint","File Name","Item Sequence","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Manuscript No.42: 039","Armenian Manuscripts","ark:/21198/zz00271pft","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_039.tif","39","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271pft",""
"Manuscript No.42: 040","Armenian Manuscripts","ark:/21198/zz00271pgb","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_040.tif","40","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271pgb",""
"Manuscript No.42: 041","Armenian Manuscripts","ark:/21198/zz00271phv","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_041.tif","41","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271phv",""
"Manuscript No.42: 042","Armenian Manuscripts","ark:/21198/zz00271pjc","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_042.tif","42","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271pjc",""
"Manuscript No.42: 043","Armenian Manuscripts","ark:/21198/zz00271pkw","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_043.tif","43","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271pkw",""
"Manuscript No.42: 044","Armenian Manuscripts","ark:/21198/zz00271pmd","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_044.tif","44","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271pmd",""
"Manuscript No.42: 045","Armenian Manuscripts","ark:/21198/zz00271pnx","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_045.tif","45","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271pnx",""
"Manuscript No.42: 046","Armenian Manuscripts","ark:/21198/zz00271ppf","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_046.tif","46","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271ppf",""
"Manuscript No.42: 047","Armenian Manuscripts","ark:/21198/zz00271pqz","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_047.tif","47","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271pqz",""
"Manuscript No.42: 048","Armenian Manuscripts","ark:/21198/zz00271prg","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_048.tif","48","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271prg",""
"Manuscript No.42: 049","Armenian Manuscripts","ark:/21198/zz00271ps0","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_049.tif","49","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271ps0",""
"Manuscript No.42: 050","Armenian Manuscripts","ark:/21198/zz00271pth","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_050.tif","50","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271pth",""
"Manuscript No.42: 051","Armenian Manuscripts","ark:/21198/zz00271pv1","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_051.tif","51","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271pv1",""
"Manuscript No.42: 052","Armenian Manuscripts","ark:/21198/zz00271pwj","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_052.tif","52","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271pwj",""
"Manuscript No.42: 053","Armenian Manuscripts","ark:/21198/zz00271px2","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_053.tif","53","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271px2",""
"Manuscript No.42: 054","Armenian Manuscripts","ark:/21198/zz00271pzk","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_054.tif","54","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271pzk",""
"Manuscript No.42: 055","Armenian Manuscripts","ark:/21198/zz00271q0k","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_055.tif","55","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271q0k",""
"Manuscript No.42: 056","Armenian Manuscripts","ark:/21198/zz00271q13","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_056.tif","56","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271q13",""
"Manuscript No.42: 057","Armenian Manuscripts","ark:/21198/zz00271q2m","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_057.tif","57","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271q2m",""
"Manuscript No.42: 058","Armenian Manuscripts","ark:/21198/zz00271q34","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_058.tif","58","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271q34",""
