"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Subject","Description.note","Summary","Title","Alt ID.local","Opac URL","Finding Aid URL","IIIF Manifest URL"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dr07j","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","10","","","","paged","","private","","text","unknown","","","","Box 1, Folder 10. Publicity Regarding Case. Publicity photographs.","uclamss_107_b01_f10","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dr07j/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dr2t9","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","11","","","","paged","","private","","text","unknown","","","","UCLA LSC, Collection 107, Box 1, Folder 11","uclamss_107_b01_f11","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dr2t9/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dr3dk","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","12","","","","paged","","private","","text","unknown","","","","Box 1, Folder 12. Publicity Regarding Case. Publicity fragments.","uclamss_107_b01_f12","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dr3dk/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dr43d","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","13","","","","paged","","private","","text","unknown","","","","Box 2, Folder 1. Sleepy Lagoon Defense Committee's Publications.  Appeal News. (April 7, 1943 to March 4, 1944)","uclamss_107_b02_f01","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dr43d/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dr4vs","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","14","","","","paged","","private","","text","unknown","","","","Box 2, Folder 2. Sleepy Lagoon Defense Committee's Publications. Appeal News.","uclamss_107_b02_f02","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dr4vs/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dr5q6","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","15","","","","paged","","private","","text","unknown","","","","Box 2, Folder 3. Sleepy Lagoon Defense Committee's Publications. Printed publications.","uclamss_107_b02_f03","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dr5q6/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dr8hj","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","16","","","","paged","","private","","text","unknown","","","","Box 2, Folder 4. Sleepy Lagoon Defense Committee Publications. Manuscripts.","uclamss_107_b02_f04","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dr8hj/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002drg79","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","17","","","","paged","","private","","text","unknown","","","","Box 2, Folder 5. Sleepy Lagoon Defense Committee's Publications.  This is the story of a crime 1944 January 29.","uclamss_107_b02_f05","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002drg79/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002drgnh","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","18","","","","paged","","private","","text","unknown","","","","Box 2, Folder 6. Sleepy Lagoon Defense Committee Publications. Excerpts of Appellate decision.","uclamss_107_b02_f06","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002drgnh/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002drgxn","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","19","","","","paged","","private","","text","unknown","","","","Box 2, Folder 7. Sleepy Lagoon Defense Committee's Correspondence. Form Letters.","uclamss_107_b02_f07","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002drgxn/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002drkhw","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","20","","","","paged","","private","","text","unknown","","","","Box 2, Folder 8. Sleepy Lagoon Defense Committee's Correspondence. Letters to Governor Warren.","uclamss_107_b02_f08","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002drkhw/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002drm35","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","21","","","","paged","","private","","text","unknown","","","","Box 2, Folder 9. Sleepy Lagoon Defense Committee's Correspondence. Correspondence with State Attorney Robert W. Kennedy.","uclamss_107_b02_f09","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002drm35/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002drn9r","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","22","","","","paged","","private","","text","unknown","","","","Box 2, Folder 10. Sleepy Lagoon Defense Committee's Correspondence. Correspondence With Mexican Consulate.","uclamss_107_b02_f10","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002drn9r/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002drnqz","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","23","","","","paged","","private","","text","unknown","","","","Box 2, Folder 11. Sleepy Lagoon Defense Committee's Correspondence. Correspondence concerning Sleepy Lagoon Defense Committee publications.","uclamss_107_b02_f11","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002drnqz/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002drqpd","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","24","","","","paged","","private","","text","unknown","","","","UCLA LSC, Collection 107, Box 2, Folder 12","uclamss_107_b02_f12","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002drqpd/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002drz30","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","25","","","","paged","","private","","text","unknown","","","","Box 3, Folder 1. Sleepy Lagoon Defense Committee's Office Materials, Records, etc. Financial statements, accounts, etc. (October 21, 1942 to October 16, 1943)","uclamss_107_b03_f01","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002drz30/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002drzsb","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","26","","","","paged","","private","","text","unknown","","","","Box 3, Folder 2.  Sleepy Lagoon Defense Committee's Office Materials, Records, etc. Miscellaneous.","uclamss_107_b03_f02","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002drzsb/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002ds0q7","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","27","","","","paged","","private","","text","unknown","","","","Box 3, Folder 3. Sleepy Lagoon Defense Committee's Office Materials, Records, etc.  Petition for programs to improve the socio-economic status of Mexican Americans 1942 November 24","uclamss_107_b03_f03","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002ds0q7/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002ds5fh","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","28","","","","paged","","private","","text","unknown","","","","UCLA LSC, Collection 107, Box 3, Folder 4","uclamss_107_b03_f04","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002ds5fh/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dsdcv","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","29","","","","paged","","private","","text","unknown","","","","Box 3, Folder 5. Materials Concerning Defendants. Guy Endore's “El Misterio de la Laguna ” clipped from Hoy. August 5 to September 30, 1944","uclamss_107_b03_f05","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dsdcv/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dsh77","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","30","","","","paged","","private","","text","unknown","","","","Box 3, Folder 6. Materials Concerning Defendants.  Correspondence from “the boys” to Alice Greenfield. 1943.","uclamss_107_b03_f06","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dsh77/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dskw1","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","31","","","","paged","","private","","text","unknown","","","","Box 4, Folder 1. Materials Concerning Defendants. Guy Endore's “El Misterio de la Laguna ” clipped from Hoy. August 5 to September 30, 1944","uclamss_107_b04_f01","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dskw1/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dsnqd","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","32","","","","paged","","private","","text","unknown","","","","Box 4, Folder 2. Materials Concerning Defendants. Correspondence from “the boys” to Alice Greenfield. 1943","uclamss_107_b04_f02","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dsnqd/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dstd5","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","33","","","","paged","","private","","text","unknown","","","","Box 4, Folder 3. Materials Concerning Defendants. Correspondence from “the boys” to various persons. 1944","uclamss_107_b04_f03","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dstd5/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dstwd","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","34","","","","paged","","private","","text","unknown","","","","Box 4, Folder 4. Materials Concerning Defendants. Information regarding defendants","uclamss_107_b04_f04","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dstwd/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dswtb","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","35","","","","paged","","private","","text","unknown","","","","Box 4, Folder 5. Materials Concerning Defendants. Miscellaneous releases, letters, etc. concerning the Sleepy Lagoon case and the Sleepy Lagoon Defense Committee.","uclamss_107_b04_f05","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dswtb/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dsx92","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","36","","","","paged","","private","","text","unknown","","","","Box 4, Folder 6. Materials Concerning Defendants. Newsclippings about the case. Various papers.","uclamss_107_b04_f06","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dsx92/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dsxmq","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","37","","","","paged","","private","","text","unknown","","","","Box 4, Folder 7.  Materials Gathered by the Sleepy Lagoon Defense Committee Regarding Minorities - Emphasis is on Los Angeles Mexican Minority Issues. Los Angeles County Grand Jury. October 1942.","uclamss_107_b04_f07","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dsxmq/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dt24v","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","38","","","","paged","","private","","text","unknown","","","","Box 4, Folder 8. Materials Gathered by the Sleepy Lagoon Defense Committee Regarding Minorities - Emphasis is on Los Angeles Mexican Minority Issues. Mexican “boy gangs” of Los Angeles.","uclamss_107_b04_f08","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dt24v/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dt5mj","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","39","","","","paged","","private","","text","unknown","","","","Box 4, Folder 9. Materials Gathered by the Sleepy Lagoon Defense Committee Regarding Minorities - Emphasis is on Los Angeles Mexican Minority Issues. Mexican juvenile delinquency in Los Angeles.","uclamss_107_b04_f09","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dt5mj/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dt6bw","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","40","","","","paged","","private","","text","unknown","","","","Box 4, Folder 10. Materials Gathered by the Sleepy Lagoon Defense Committee Regarding Minorities - Emphasis is on Los Angeles Mexican Minority Issues. Mexican minority in Los Angeles.","uclamss_107_b04_f10","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dt6bw/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dt8xn","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","41","","","","paged","","private","","text","unknown","","","","Box 4, Folder 11. Materials Gathered by the Sleepy Lagoon Defense Committee Regarding Minorities - Emphasis is on Los Angeles Mexican Minority Issues. Mexican minority - General.","uclamss_107_b04_f11","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dt8xn/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dt926","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","42","","","","paged","","private","","text","unknown","","","","Box 4, Folder 12. Materials Gathered by the Sleepy Lagoon Defense Committee Regarding Minorities - Emphasis is on Los Angeles Mexican Minority Issues. Sinarquismo.","uclamss_107_b04_f12","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dt926/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dt9jf","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","44","","","","paged","","private","","text","unknown","","","","Box 5, Folder 1.  Miscellaneous Material Collected by the Sleepy Lagoon Defense Committee Concerning Minorities, Labor, etc. The Americas - A Review of Latin American News. Bulletin. vol.2 no.6 to vol.2 no.21. (January 4, 1944 to September 5, 1944).","uclamss_107_b05_f01","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dt9jf/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtd4p","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","43","","","","paged","","private","","text","unknown","","","","Box 5, Folder 2.Miscellaneous Material Collected by the Sleepy Lagoon Defense Committee Concerning Minorities, Labor, etc. Correo de Norte - Publicado pro El Consejo pro Democracia Panamericana. February 4, 1944 to August 30, 1944","uclamss_107_b05_f02","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dtd4p/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtfrg","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","46","","","","paged","","private","","text","unknown","","","","Box 5, Folder 3. Miscellaneous Material Collected by the Sleepy Lagoon Defense Committee Concerning Minorities, Labor, etc. Council for Civic Unity.","uclamss_107_b05_f03","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dtfrg/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtj0j","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","47","","","","paged","","private","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 4","uclamss_107_b05_f04","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dtj0j/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtjxh","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","48","","","","paged","","private","","text","unknown","","","","Box 5, Folder 5. Miscellaneous Material Collected by the Sleepy Lagoon Defense Committee Concerning Minorities, Labor, etc.International Labor Defense.","uclamss_107_b05_f05","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dtjxh/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtnpb","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","49","","","","paged","","private","","text","unknown","","","","Box 5, Folder 6.  Miscellaneous Material Collected by the Sleepy Lagoon Defense Committee Concerning Minorities, Labor, etc. International Labor Defense.","uclamss_107_b05_f06","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dtnpb/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtqcn","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","51","","","","paged","","private","","text","unknown","","","","Box 5, Folder 7. Miscellaneous Material Collected by the Sleepy Lagoon Defense Committee Concerning Minorities, Labor, etc. Miscellaneous printed publications.","uclamss_107_b05_f07","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dtqcn/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtx0v","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","50","","","","paged","","private","","text","unknown","","","","Box 5, Folder 8.  Miscellaneous Material Collected by the Sleepy Lagoon Defense Committee Concerning Minorities, Labor, etc. Miscellaneous printed publications.","uclamss_107_b05_f08","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dtx0v/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv38v","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","53","","","","paged","","private","","text","unknown","","","","Box 5, Folder 9. Miscellaneous Material Collected by the Sleepy Lagoon Defense Committee Concerning Minorities, Labor, etc.Miscellaneous materials.","uclamss_107_b05_f09","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dv38v/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv3w5","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","54","","","","paged","","private","","text","unknown","","","","Box 5, Folder 10. Miscellaneous Material Collected by the Sleepy Lagoon Defense Committee Concerning Minorities, Labor, etc. Miscellaneous mimeographed material collected by the Sleepy Lagoon Defense Committee.","uclamss_107_b05_f10","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dv3w5/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv5fd","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","55","","","","paged","","private","","text","unknown","","","","Box 12, Folder 1. Miscellaneous Items. The San Quentin News.","uclamss_107_b12_f01","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dv5fd/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv6v3","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","56","","","","paged","","private","","text","unknown","","","","Box 12, Folder 2.   Miscellaneous Items. The San Quentin News.","uclamss_107_b12_f02","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dv6v3/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dvckc","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","57","","","","paged","","private","","text","unknown","","","","Box 12, Folder 3. Miscellaneaous Items. 2 Scrapbooks, newsclips.","uclamss_107_b12_f03","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvckc/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dvhk9","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","58","","","","paged","","private","","text","unknown","","","","Box 12, Folder 4. Miscellaneaous Items. 3 ""Zoot Suit"" posters - World Premiere Season 1978-1979. Mark Taper Forum Music Center.","uclamss_107_b12_f04","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvhk9/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dvhqc","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","59","","","","paged","","private","","text","unknown","","","","Box 12, Folder 5. Newspaper: Daly News H.F.O. 'This is the story of crime' 1942","uclamss_107_b12_f05","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvhqc/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dvhsd","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","60","","","","paged","","private","","text","unknown","","","","Box 13, Folder 1.   Miscellaneous Items. Receipts, envelopes, ledger leaf and distribution list for Mystery.","uclamss_107_b13_f01","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvhsd/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dvjhr","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","61","","","","paged","","private","","text","unknown","","","","UCLA LSC, Collection 107, Box 13, Folder 2. Miscellaneous Items. Ledger of expenses and donor contributions. October 1943-December 1944.","uclamss_107_b13_f02","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvjhr/manifest"
