Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,viewingHint,Duplicate,Delete in Title,Type.typeOfResource,Rights.copyrightStatus,Rights.servicesContact,Subject,Type.genre,Coverage.geographic,Name.photographer,Name.creator,Author,Name.repository,Format.medium,Format.dimensions,Format.extent,Title,Alt ID.local,Description,Date.normalized,Date.creation,Alt ID.oclc,Publisher.publisherName,Date.publication,Publisher.placeOfOrigin,Description.biographicalNote,Description.abstract,Opac url,Finding Aid URL,Thumbnail,IIIF Manifest URL
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzd3k,ark:/21198/zz0009rghf,2,Completed,Work,,,individuals,,,still image,copyrighted,,,,,,,,,,,,AO-3D-004_005_006,,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t74220,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzd3k/manifest
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzd85,ark:/21198/zz0009rghf,2,Completed,Work,,,individuals,,,still image,copyrighted,,,,,,,,,,,,AO-3D-076_077_078,,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jq2jn0,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzd85/manifest
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzdcq,ark:/21198/zz0009rghf,2,Completed,Work,,,individuals,,,still image,copyrighted,,,,,,,,,,,,AO-3D-155_156_157,,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1961273,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzdcq/manifest
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzdfr,ark:/21198/zz0009rghf,2,Completed,Work,,,individuals,,,still image,copyrighted,,,,,,,,,,,,AO-3D-070_071_072,,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11r886t,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzdfr/manifest
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzdhs,ark:/21198/zz0009rghf,2,Completed,Work,,,individuals,,,still image,copyrighted,,,,,,,,,,,,AO-3D-149_150_151,,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s770zn,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzdhs/manifest
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzdkt,ark:/21198/zz0009rghf,2,Completed,Work,,,individuals,,,still image,copyrighted,,,,,,,,,,,,AO-3D-064_065_066,,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hq5hnd,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzdkt/manifest
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzdpc,ark:/21198/zz0009rghf,2,Completed,Work,,,individuals,,,still image,copyrighted,,,,,,,,,,,,AO-3D-137_138_139,,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1892qm0,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzdpc/manifest
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzdrd,ark:/21198/zz0009rghf,2,Completed,Work,,,individuals,,,still image,copyrighted,,,,,,,,,,,,AO-3D-058_059_060,,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10s1720,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzdrd/manifest
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzdvz,ark:/21198/zz0009rghf,2,Completed,Work,,,individuals,,,still image,copyrighted,,,,,,,,,,,,AO-3D-140_141_142,,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r79zx7,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzdvz/manifest
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzdzh,ark:/21198/zz0009rghf,2,Completed,Work,,,individuals,,,still image,copyrighted,,,,,,,,,,,,AO-3D-061_062_063,,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gt75vf,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzdzh/manifest
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzf0h,ark:/21198/zz0009rghf,2,Completed,Work,,,individuals,,,still image,copyrighted,,,,,,,,,,,,AO-3D-146_147_148,,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1795pbt,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzf0h/manifest
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzf4k,ark:/21198/zz0009rghf,2,Completed,Work,,,individuals,,,still image,copyrighted,,,,,,,,,,,,AO-3D-067_068_069,,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zs4f5n,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzf4k/manifest
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzf95,ark:/21198/zz0009rghf,2,Completed,Work,,,individuals,,,still image,copyrighted,,,,,,,,,,,,AO-3D-073_074_075,,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q82xtv,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzf95/manifest
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzfbp,ark:/21198/zz0009rghf,2,Completed,Work,,,individuals,,,still image,copyrighted,,,,,,,,,,,,AO-3D-158_159_160,,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fv04r2,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzfbp/manifest
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzfh8,ark:/21198/zz0009rghf,2,Completed,Work,,,individuals,,,still image,copyrighted,,,,,,,,,,,,AO-3D-152_153_154,,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1698n6f,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzfh8/manifest
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzfnb,ark:/21198/zz0009rghf,2,Completed,Work,,,individuals,,,still image,copyrighted,,,,,,,,,,,,AO-3D-083_084_085,,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xs7d2q,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzfnb/manifest
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzfpv,ark:/21198/zz0009rghf,2,Completed,Work,,,individuals,,,still image,copyrighted,,,,,,,,,,,,AO-3D-143_144_145,,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pc4m36,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzfpv/manifest
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzfrw,ark:/21198/zz0009rghf,2,Completed,Work,,,individuals,,,still image,copyrighted,,,,,,,,,,,,AO-3D-016_017_018,,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dv33js,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzfrw/manifest
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzfvf,ark:/21198/zz0009rghf,2,Completed,Work,,,individuals,,,still image,copyrighted,,,,,,,,,,,,AO-3D-089_090_091,,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15b1m4h,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzfvf/manifest
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzfwz,ark:/21198/zz0009rghf,2,Completed,Work,,,individuals,,,still image,copyrighted,,,,,,,,,,,,AO-3D-131_132_133,,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wt0bzx,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzfwz/manifest
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzg1h,ark:/21198/zz0009rghf,2,Completed,Work,,,individuals,,,still image,copyrighted,,,,,,,,,,,,AO-3D-095_096_097,,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nc7jxz,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzg1h/manifest
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzg21,ark:/21198/zz0009rghf,2,Completed,Work,,,individuals,,,still image,copyrighted,,,,,,,,,,,,AO-3D-125_126_127,,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cv62cz,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzg21/manifest
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzg63,ark:/21198/zz0009rghf,2,Completed,Work,,,individuals,,,still image,copyrighted,,,,,,,,,,,,AO-3D-101_102_103,,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14b4k04,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzg63/manifest
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzg7m,ark:/21198/zz0009rghf,2,Completed,Work,,,individuals,,,still image,copyrighted,,,,,,,,,,,,AO-3D-119_120_121,,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vx2178,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzg7m/manifest
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzgcp,ark:/21198/zz0009rghf,2,Completed,Work,,,individuals,,,still image,copyrighted,,,,,,,,,,,,AO-3D-104_105_106,,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1md0hnb,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzgcp/manifest
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzgd6,ark:/21198/zz0009rghf,2,Completed,Work,,,individuals,,,still image,copyrighted,,,,,,,,,,,,AO-3D-113_114_115,,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bv9181,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzgd6/manifest
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzgj8,ark:/21198/zz0009rghf,2,Completed,Work,,,individuals,,,still image,copyrighted,,,,,,,,,,,,AO-3D-110_111_112,,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13b7htw,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzgj8/manifest
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzgks,ark:/21198/zz0009rghf,2,Completed,Work,,,individuals,,,still image,copyrighted,,,,,,,,,,,,AO-3D-107_108_109,,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tx503w,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzgks/manifest
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzgqv,ark:/21198/zz0009rghf,2,Completed,Work,,,individuals,,,still image,copyrighted,,,,,,,,,,,,AO-3D-116_117_118,,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kd3gjd,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzgqv/manifest
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzgrc,ark:/21198/zz0009rghf,2,Completed,Work,,,individuals,,,still image,copyrighted,,,,,,,,,,,,AO-3D-098_099_100,,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w2063,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzgrc/manifest
