File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK
Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00265a_dc01m_002.tif,Page,Negative,2,ark:/21198/z1pv8cjg,ark:/21198/z1r51nfh
Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00266a_dc01m_001.tif,Page,Positive,1,ark:/21198/z1k37mt2,ark:/21198/z1md0wnw
Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00266a_dc01m_002.tif,Page,Negative,2,ark:/21198/z1k37mt2,ark:/21198/z1gn04w3
Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00267a_dc01m_001.tif,Page,Positive,1,ark:/21198/z1ff5kgm,ark:/21198/z1bv9d74
Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00267a_dc01m_002.tif,Page,Negative,2,ark:/21198/z1ff5kgm,ark:/21198/z1738nj5
Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00268a_dc01m_001.tif,Page,Positive,1,ark:/21198/z19p4tsb,ark:/21198/z13b7wtf
Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00268a_dc01m_002.tif,Page,Negative,2,ark:/21198/z19p4tsb,ark:/21198/z1zp63s9
Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00269a_dc01m_001.tif,Page,Positive,1,ark:/21198/z15x4349,ark:/21198/z1tx5c3f
Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00269a_dc01m_002.tif,Page,Negative,2,ark:/21198/z15x4349,ark:/21198/z1q54m8p
Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00270a_dc01m_001.tif,Page,Positive,1,ark:/21198/z1253bfb,ark:/21198/z1kd3vhh
Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00270a_dc01m_002.tif,Page,Negative,2,ark:/21198/z1253bfb,ark:/21198/z1fn33tm
Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00272a_dc01m_001.tif,Page,Positive,1,ark:/21198/z1xd2twr,ark:/21198/z19w2c56
