File Name,Parent ARK,Item ARK,Object Type,Item Sequence,Title,Visibility,AltTitle.other,Type.typeOfResource,Date.creation,Date.normalized,Name.architect,Artist,Author,Name.creator,Name.photographer,Photocopier,Creator 1 Source|~|Creator 2 Source,Description.note,Description.abstract,Format.extent,Description.caption,Rights.copyrightStatus,Copyright Statement,Rights.rightsHolderName,Copyright Holder 1 Source,Rights.servicesContact,Series,Sub-series,Name.subject,Subject.name Role,Subject.name Source,Subject topic,Subject.topic Source,Subject place,Place Source,Description.latitude,Description.longitude,Type.genre,Genre Source,Source?,Physical Location,Thumbnail,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Masters/othermasters/dl_miriammatthews/box03/uclalsc_1889_b03_f03_007a.tif,ark:/21198/z1vh76cw,ark:/21198/z1v13ntr,Page,8,"Freedom Papers of Biddy Mason, p. 8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v13ntr,
Masters/othermasters/dl_miriammatthews/box03/uclalsc_1889_b03_f03_008.tif,ark:/21198/z1vh76cw,ark:/21198/z1qc1mhr,Page,1,"Freedom Papers of Biddy Mason, cover",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qc1mhr,
Masters/othermasters/dl_miriammatthews/box05/uclalsc_1889_b05_f07_003.tif,ark:/21198/z1qr6fmq,ark:/21198/z1ng67q6,Page,1,"Letter to Dr. Dorothy Height from Gaynelle & Al Green, p. 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ng67q6,
Masters/othermasters/dl_miriammatthews/box05/uclalsc_1889_b05_f07_004.tif,ark:/21198/z1qr6fmq,ark:/21198/z1hq5h1b,Page,2,"Letter to Dr. Dorothy Height from Gaynelle & Al Green, p. 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hq5h1b,
Masters/othermasters/dl_miriammatthews/box05/uclalsc_1889_b05_f07_006.tif,ark:/21198/r289140b,ark:/21198/z18640fs,Page,1,"Letter from Al Green, p. 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18640fs,
Masters/othermasters/dl_miriammatthews/box05/uclalsc_1889_b05_f07_007.tif,ark:/21198/r289140b,ark:/21198/z14f37q2,Page,2,"Letter from Al Green, p. 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14f37q2,
Masters/othermasters/dl_miriammatthews/box05/uclalsc_1889_b05_f07_008.tif,ark:/21198/z1m05pz6,ark:/21198/z10p2h2n,Page,1,"Letter to Eugene Lasartemay from Arthur M. Robinson, p. 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10p2h2n,
Masters/othermasters/dl_miriammatthews/box05/uclalsc_1889_b05_f07_009.tif,ark:/21198/z1m05pz6,ark:/21198/z1w10pxp,Page,2,"Letter to Eugene Lasartemay from Arthur M. Robinson, p. 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w10pxp,
Masters/othermasters/dl_miriammatthews/box05/uclalsc_1889_b05_f07_010.tif,ark:/21198/z1gb3njv,ark:/21198/z1r79z95,Page,1,"Letter to Arthur M. Robinson from: Eugene Lasartemay, p. 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r79z95,
Masters/othermasters/dl_miriammatthews/box05/uclalsc_1889_b05_f07_011.tif,ark:/21198/z1gb3njv,ark:/21198/z1mg96kt,Page,2,"Letter to Arthur M. Robinson from: Eugene Lasartemay, p. 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mg96kt,
Masters/othermasters/dl_miriammatthews/box05/uclalsc_1889_b05_f07_012.tif,ark:/21198/z1bk2ww1,ark:/21198/z1gq8fs6,Page,1,"Letter to Ida Berk from Al Green, p. 1",,,,,,,,,,,,local,,,,,,,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gq8fs6,
Masters/othermasters/dl_miriammatthews/box05/uclalsc_1889_b05_f07_013.tif,ark:/21198/z1bk2ww1,ark:/21198/z1bz7q1f,Page,2,"Letter to Ida Berk from Al Green, p. 2",,,,,,,,,,,,local,,,,,,,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bz7q1f,
Masters/othermasters/dl_miriammatthews/box05/uclalsc_1889_b05_f07_015.tif,ark:/21198/z16t2570,ark:/21198/z13f66p1,Page,1,p. 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13f66p1,
Masters/othermasters/dl_miriammatthews/box05/uclalsc_1889_b05_f07_016.tif,ark:/21198/z16t2570,ark:/21198/z1zs4dhq,Page,2,p. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zs4dhq,
Masters/othermasters/dl_miriammatthews/box08/uclalsc_1889_b08_f03_004a.tif,ark:/21198/z1x65509,ark:/21198/z15q6dpw,Page,1,"Envelope front, with address",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15q6dpw,
Masters/othermasters/dl_miriammatthews/box08/uclalsc_1889_b08_f03_004b.tif,ark:/21198/z1x65509,ark:/21198/z1224cbr,Page,2,"Envelope back, with postmark",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1224cbr,
Masters/othermasters/dl_miriammatthews/box12/uclalsc_1889_b12_f10_004.tif,ark:/21198/z18k8tqm,ark:/21198/z1sr0hj0,Page,1,"Incorporation papers, p. 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sr0hj0,
Masters/othermasters/dl_miriammatthews/box12/uclalsc_1889_b12_f10_005.tif,ark:/21198/z18k8tqm,ark:/21198/z1nz9rqc,Page,2,"Incorporation papers, p. 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nz9rqc,
Masters/othermasters/dl_miriammatthews/box12/uclalsc_1889_b12_f10_006.tif,ark:/21198/z18k8tqm,ark:/21198/z1j690zw,Page,3,"Incorporation papers, p. 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j690zw,
Masters/othermasters/dl_miriammatthews/box12/uclalsc_1889_b12_f10_007.tif,ark:/21198/z18k8tqm,ark:/21198/z1df8881,Page,4,"Incorporation papers, p. 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1df8881,
Masters/othermasters/dl_miriammatthews/box25/uclalsc_1889_b25_f10_006a.tif,ark:/21198/z14t830p,ark:/21198/z1z04scj,Page,1,"88th annual communication, panorama, 1st section from left",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z04scj,
Masters/othermasters/dl_miriammatthews/box25/uclalsc_1889_b25_f10_007a.tif,ark:/21198/z14t830p,ark:/21198/z1t741mr,Page,2,"88th annual communication, panorama, 2nd section from left",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t741mr,
Masters/othermasters/dl_miriammatthews/box25/uclalsc_1889_b25_f10_008a.tif,ark:/21198/z14t830p,ark:/21198/z1pg38w1,Page,3,"88th annual communication, panorama, 3rd section from left",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pg38w1,
Masters/othermasters/dl_miriammatthews/box25/uclalsc_1889_b25_f10_009a.tif,ark:/21198/z14t830p,ark:/21198/z1jq2j65,Page,4,"88th annual communication, panorama, 4tg section from left",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jq2j65,
