Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Visibility,Item Sequence,Duplicate,Delete in Title,Thumbnail,Type.typeOfResource,AltTitle.other,Title,Alt ID.local,Description.note,Subject,Genre,Language,Name.subject,Creator,Name.repository,Date.normalized,Date.creation,Relation.isPartOf,AltTitle.descriptive,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Hood (Mantle) papers,ark:/21198/zz002bc5ds,ark:/21198/zz002b21fb,2,Completed,Work,mantlehood/image/srgb/21198-zz002bc5ds_2001873_master.tif,,,,,,still image,,"Receipts from Indonesia, list of terompong",cleth_201103_omd_folder008_item08_pm.tif,Eighth of 11 documents.,Musical instruments--Indonesia,receipts (financial records),ind,,,"University of California, Los Angeles. Ethnomusicology Archive",1958,1958,"Mantle Hood Papers. Ethnomusicology Archive, Department of Ethnomusicology, UCLA",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bc5ds,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bc5ds/manifest
Hood (Mantle) papers,ark:/21198/zz002bc5f9,ark:/21198/zz002b21fb,2,Completed,Work,mantlehood/image/srgb/21198-zz002bc5f9_2001876_master.tif,,,,,,still image,,"Receipts from Indonesia, list of terompong",cleth_201103_omd_folder008_item09_side1_pm.tif,"Ninth of 11 documents, side 1.",,receipts (financial records),ind,,,"University of California, Los Angeles. Ethnomusicology Archive",1958,1958,"Mantle Hood Papers. Ethnomusicology Archive, Department of Ethnomusicology, UCLA",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bc5f9,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bc5f9/manifest
Hood (Mantle) papers,ark:/21198/zz002bc5gt,ark:/21198/zz002b21fb,2,Completed,Work,mantlehood/image/srgb/21198-zz002bc5gt_2001879_master.tif,,,,,,still image,,"Receipts from Indonesia, list of terompong",cleth_201103_omd_folder008_item09_side2_pm.tif,"Ninth of eleven documents, side 2.",,receipts (financial records),ind,,,"University of California, Los Angeles. Ethnomusicology Archive",1958,1958,"Mantle Hood Papers. Ethnomusicology Archive, Department of Ethnomusicology, UCLA",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bc5gt,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bc5gt/manifest
Hood (Mantle) papers,ark:/21198/zz002bc5hb,ark:/21198/zz002b21fb,2,Completed,Work,mantlehood/image/srgb/21198-zz002bc5hb_2001882_master.tif,,,,,,still image,,"Receipts from Indonesia, list of terompong",cleth_201103_omd_folder008_item10_pm.tif,Tenth of 11 documents.,,receipts (financial records),ind,,,"University of California, Los Angeles. Ethnomusicology Archive",1958,1958,"Mantle Hood Papers. Ethnomusicology Archive, Department of Ethnomusicology, UCLA",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bc5hb,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bc5hb/manifest
Hood (Mantle) papers,ark:/21198/zz002bc5jv,ark:/21198/zz002b21fb,2,Completed,Work,mantlehood/image/srgb/21198-zz002bc5jv_2001885_master.tif,,,,,,still image,,"Receipts from Indonesia, list of terompong",cleth_201103_omd_folder008_item11_pm.tif,Eleventh of 11 documents.,,receipts (financial records),ind,,,"University of California, Los Angeles. Ethnomusicology Archive",1958,1958,"Mantle Hood Papers. Ethnomusicology Archive, Department of Ethnomusicology, UCLA",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bc5jv,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bc5jv/manifest
Hood (Mantle) papers,ark:/21198/zz002bc5kc,ark:/21198/zz002b21fb,2,Completed,Work,mantlehood/image/srgb/21198-zz002bc5kc_2001913_master.tif,,,,,,still image,,Radio advertisement,cleth_201103_omd_folder009_item01_pm.tif,"First of 3 documents. Envelope addressed to Mantle Hood, from The Asia Foundation.  ",,envelopes,eng,Asia Foundation,,"University of California, Los Angeles. Ethnomusicology Archive",1958-04-30,"April 30, 1958","Mantle Hood Papers. Ethnomusicology Archive, Department of Ethnomusicology, UCLA",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bc5kc,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bc5kc/manifest
Hood (Mantle) papers,ark:/21198/zz002bc5mw,ark:/21198/zz002b21fb,2,Completed,Work,mantlehood/image/srgb/21198-zz002bc5mw_2001937_master.tif,,,,,,still image,,Radio advertisement,cleth_201103_omd_folder009_item02_pm.tif,Second of 3 documents. Letter to The Asia Foundation from The M. Simons & Son Company about a radio tuner recently released on the market. .,,letters (correspondence),eng,Asia Foundation,,"University of California, Los Angeles. Ethnomusicology Archive",1958-04-30,"April 30, 1958","Mantle Hood Papers. Ethnomusicology Archive, Department of Ethnomusicology, UCLA",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bc5mw,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bc5mw/manifest
Hood (Mantle) papers,ark:/21198/zz002bc6cr,ark:/21198/zz002b21fb,2,Completed,Work,mantlehood/image/srgb/21198-zz002bc6cr_2001954_master.tif,,,,,,still image,,Radio advertisement,cleth_201103_omd_folder009_item03_side1_pm.tif,"Third of 3 documents, side 1. Advertisement for an amplifier manufactured by the McIntosh Laboratory, Inc.",Audio amplifiers,advertisements,eng,,,"University of California, Los Angeles. Ethnomusicology Archive",1958-04-30,"April 30, 1958","Mantle Hood Papers. Ethnomusicology Archive, Department of Ethnomusicology, UCLA",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bc6cr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bc6cr/manifest
Hood (Mantle) papers,ark:/21198/zz002bc6d8,ark:/21198/zz002b21fb,2,Completed,Work,mantlehood/image/srgb/21198-zz002bc6d8_2001970_master.tif,,,,,,still image,,Radio advertisement,cleth_201103_omd_folder009_item03_side2_pm.tif,"Third of 3 documents, side 2. Advertisement for an amplifier manufactured by the McIntosh Laboratory, Inc.",Audio amplifiers,advertisements,eng,,,"University of California, Los Angeles. Ethnomusicology Archive",1958-04-30,"April 30, 1958","Mantle Hood Papers. Ethnomusicology Archive, Department of Ethnomusicology, UCLA",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bc6d8,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bc6d8/manifest
Hood (Mantle) papers,ark:/21198/zz002bc6fs,ark:/21198/zz002b21fb,2,Completed,Work,mantlehood/image/srgb/21198-zz002bc6fs_2001994_master.tif,,,,,,still image,,Radio advertisement,cleth_201103_omd_folder009_item03_side3_pm.tif,"Third of 3 documents, side 3. Advertisement for an amplifier manufactured by the McIntosh Laboratory, Inc.",Audio amplifiers,advertisements,eng,,,"University of California, Los Angeles. Ethnomusicology Archive",1958-04-30,"April 30, 1958","Mantle Hood Papers. Ethnomusicology Archive, Department of Ethnomusicology, UCLA",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bc6fs,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bc6fs/manifest
