Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Visibility,Type.typeOfResource,Type.genre,Rights.statementLocal,Rights.permission,Name.repository,Publisher.publisherName,Rights.rightsHolderContact,Name.photographer,Name.subject,Name.donor,Name.manufacturer,Name.contributor,Name.designer,Title,Format.medium,Description.note,Alt ID.local,Relation.isPartOf,Format.extent,Date.creation,Format.dimensions,Description.physicalDescription,Date.normalized,Format.technique,Opac url,Finding Aid URL,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Valverde (Richard) Collection,ark:/21198/zz00253brq,ark:/21198/zz002311v6,1,In progress,Work,valve/image/21198-zz00253brq_1793965_master.tif,20,,,,private,still image,black-and-white photograph,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Y,UCLA Chicano Studies Research Center Library & Archive,,"Valverde, Esperanza","Valverde, Ricardo, 1946-1998",,"Valverde, Esperanza",,,`,Man Attired,Silver Gelatin Photograph,,CSRC_RichardValverde_0020_300.tif,Ricardo Valverde Digital Image Collection,1 photograph,1970,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00253brq,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00253brq/manifest
Valverde (Richard) Collection,ark:/21198/zz00253bs7,ark:/21198/zz002311v6,1,In progress,Work,valve/image/21198-zz00253bs7_1793968_master.tif,22,,,,private,still image,black-and-white photograph,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Y,UCLA Chicano Studies Research Center Library & Archive,,"Valverde, Esperanza","Valverde, Ricardo, 1946-1998",,"Valverde, Esperanza",,,,Untitled,Silver Gelatin Photograph,Woman sits in front of wall and plants,CSRC_RichardValverde_0022_300.tif,Ricardo Valverde Digital Image Collection,1 photograph,1976,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00253bs7,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00253bs7/manifest
Valverde (Richard) Collection,ark:/21198/zz00253btr,ark:/21198/zz002311v6,1,In progress,Work,valve/image/21198-zz00253btr_1793971_master.tif,23,,,,private,still image,black-and-white photograph,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Y,UCLA Chicano Studies Research Center Library & Archive,,"Valverde, Esperanza","Valverde, Ricardo, 1946-1998",,"Valverde, Esperanza",,,,Espie,Silver Gelatin Photograph,,CSRC_RichardValverde_0023_300.tif,Ricardo Valverde Digital Image Collection,1 photograph,1975,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00253btr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00253btr/manifest
Valverde (Richard) Collection,ark:/21198/zz00253bv8,ark:/21198/zz002311v6,1,In progress,Work,valve/image/21198-zz00253bv8_1793974_master.tif,24,,,,private,still image,black-and-white photograph,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Y,UCLA Chicano Studies Research Center Library & Archive,,"Valverde, Esperanza","Valverde, Ricardo, 1946-1998",,"Valverde, Esperanza",,,,Generation,Silver Gelatin Photograph,,CSRC_RichardValverde_0024_300.tif,Ricardo Valverde Digital Image Collection,1 photograph,1976,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00253bv8,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00253bv8/manifest
Valverde (Richard) Collection,ark:/21198/zz00253bws,ark:/21198/zz002311v6,1,In progress,Work,valve/image/21198-zz00253bws_1793977_master.tif,25,,,,private,still image,black-and-white photograph,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Y,UCLA Chicano Studies Research Center Library & Archive,,"Valverde, Esperanza","Valverde, Ricardo, 1946-1998",,"Valverde, Esperanza",,,,"Untitled #6, (Mi Mama Enferma), from La Familia Series",Silver Gelatin Photograph,,CSRC_RichardValverde_0025_300.tif,Ricardo Valverde Digital Image Collection,1 photograph,1976,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00253bws,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00253bws/manifest
Valverde (Richard) Collection,ark:/21198/zz00253bx9,ark:/21198/zz002311v6,1,In progress,Work,valve/image/21198-zz00253bx9_1793980_master.tif,26,,,,private,still image,black-and-white photograph,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Y,UCLA Chicano Studies Research Center Library & Archive,,"Valverde, Esperanza","Valverde, Ricardo, 1946-1998",,"Valverde, Esperanza",,,,Greyhound,Silver Gelatin Photograph,,CSRC_RichardValverde_0026_300.tif,Ricardo Valverde Digital Image Collection,1 photograph,1972,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00253bx9,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00253bx9/manifest
Valverde (Richard) Collection,ark:/21198/zz00253bzt,ark:/21198/zz002311v6,1,In progress,Work,valve/image/21198-zz00253bzt_1793983_master.tif,27,,,,private,still image,black-and-white photograph,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Y,UCLA Chicano Studies Research Center Library & Archive,,"Valverde, Esperanza","Valverde, Ricardo, 1946-1998",,"Valverde, Esperanza",,,,Man With Cane,Silver Gelatin Photograph,,CSRC_RichardValverde_0027_300.tif,Ricardo Valverde Digital Image Collection,1 photograph,1970,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00253bzt,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00253bzt/manifest
Valverde (Richard) Collection,ark:/21198/zz00253c0t,ark:/21198/zz002311v6,1,In progress,Work,valve/image/21198-zz00253c0t_1793986_master.tif,28,,,,private,still image,black-and-white photograph,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Y,UCLA Chicano Studies Research Center Library & Archive,,"Valverde, Esperanza","Valverde, Ricardo, 1946-1998",,"Valverde, Esperanza",,,,The Visitor,Silver Gelatin Photograph,,CSRC_RichardValverde_0028_300.tif,Ricardo Valverde Digital Image Collection,1 photograph,1970,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00253c0t,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00253c0t/manifest
Valverde (Richard) Collection,ark:/21198/zz00253c1b,ark:/21198/zz002311v6,1,In progress,Work,valve/image/21198-zz00253c1b_1793989_master.tif,29,,,,private,still image,black-and-white photograph,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Y,UCLA Chicano Studies Research Center Library & Archive,,"Valverde, Esperanza","Valverde, Ricardo, 1946-1998",,"Valverde, Esperanza",,,,No Change,Silver Gelatin Photograph,,CSRC_RichardValverde_0029_300.tif,Ricardo Valverde Digital Image Collection,1 photograph,1970,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00253c1b,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00253c1b/manifest
Valverde (Richard) Collection,ark:/21198/zz00253dtq,ark:/21198/zz002311v6,1,In progress,Work,valve/image/21198-zz00253dtq_1793998_master.tif,30,,,,private,still image,black-and-white photograph,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Y,UCLA Chicano Studies Research Center Library & Archive,,"Valverde, Esperanza","Valverde, Ricardo, 1946-1998",,"Valverde, Esperanza",,,,Box on Walk,RC Print,,CSRC_RichardValverde_0030_300.tif,Ricardo Valverde Digital Image Collection,1 photograph,1970,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00253dtq,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00253dtq/manifest
Valverde (Richard) Collection,ark:/21198/zz00253dv7,ark:/21198/zz002311v6,1,In progress,Work,valve/image/21198-zz00253dv7_1794001_master.tif,31,,,,private,still image,black-and-white photograph,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Y,UCLA Chicano Studies Research Center Library & Archive,,"Valverde, Esperanza","Valverde, Ricardo, 1946-1998",,"Valverde, Esperanza",,,,Boss Boots,Silver Gelatin Photograph,,CSRC_RichardValverde_0031_300.tif,Ricardo Valverde Digital Image Collection,1 photograph,1970,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00253dv7,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00253dv7/manifest
Valverde (Richard) Collection,ark:/21198/zz00253dwr,ark:/21198/zz002311v6,1,In progress,Work,valve/image/21198-zz00253dwr_1794004_master.tif,32,,,,private,still image,black-and-white photograph,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Y,UCLA Chicano Studies Research Center Library & Archive,,"Valverde, Esperanza","Valverde, Ricardo, 1946-1998",,"Valverde, Esperanza",,,,Two by Four,Silver Gelatin Photograph,,CSRC_RichardValverde_0032_300.tif,Ricardo Valverde Digital Image Collection,1 photograph,1970,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00253dwr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00253dwr/manifest
Valverde (Richard) Collection,ark:/21198/zz00253dx8,ark:/21198/zz002311v6,1,In progress,Work,valve/image/21198-zz00253dx8_1794007_master.tif,33,,,,private,still image,black-and-white photograph,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Y,UCLA Chicano Studies Research Center Library & Archive,,"Valverde, Esperanza","Valverde, Ricardo, 1946-1998",,"Valverde, Esperanza",,,,Maria/Logo,Silver Gelatin Photograph,,CSRC_RichardValverde_0033_300.tif,Ricardo Valverde Digital Image Collection,1 photograph,1970,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00253dx8,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00253dx8/manifest
Valverde (Richard) Collection,ark:/21198/zz00253dzs,ark:/21198/zz002311v6,1,In progress,Work,valve/image/21198-zz00253dzs_1794010_master.tif,34,,,,private,still image,black-and-white photograph,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Y,UCLA Chicano Studies Research Center Library & Archive,,"Valverde, Esperanza","Valverde, Ricardo, 1946-1998",,"Valverde, Esperanza",,,,Push-Push,Silver Gelatin Photograph,,CSRC_RichardValverde_0034_300.tif,Ricardo Valverde Digital Image Collection,1 photograph,1970,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00253dzs,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00253dzs/manifest
Valverde (Richard) Collection,ark:/21198/zz00253f0s,ark:/21198/zz002311v6,1,In progress,Work,valve/image/21198-zz00253f0s_1794013_master.tif,36,,,,private,still image,black-and-white photograph,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Y,UCLA Chicano Studies Research Center Library & Archive,,"Valverde, Esperanza","Valverde, Ricardo, 1946-1998",,"Valverde, Esperanza",,,,Hot Cakes,Silver Gelatin Photograph,,CSRC_RichardValverde_0036_300.tif,Ricardo Valverde Digital Image Collection,1 photograph,1970,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00253f0s,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00253f0s/manifest
Valverde (Richard) Collection,ark:/21198/zz00253f19,ark:/21198/zz002311v6,1,In progress,Work,valve/image/21198-zz00253f19_1794016_master.tif,37,,,,private,still image,black-and-white photograph,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Y,UCLA Chicano Studies Research Center Library & Archive,,"Valverde, Esperanza","Valverde, Ricardo, 1946-1998",,"Valverde, Esperanza",,,,Two Figures,Silver Gelatin Photograph,,CSRC_RichardValverde_0037_300.tif,Ricardo Valverde Digital Image Collection,1 photograph,1970,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00253f19,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00253f19/manifest
Valverde (Richard) Collection,ark:/21198/zz00253f2t,ark:/21198/zz002311v6,1,In progress,Work,valve/image/21198-zz00253f2t_1794019_master.tif,38,,,,private,still image,black-and-white photograph,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Y,UCLA Chicano Studies Research Center Library & Archive,,"Valverde, Esperanza","Valverde, Ricardo, 1946-1998",,,,,"Valverde, Esperanza",Seated Espie,Silver Gelatin Photograph,,CSRC_RichardValverde_0038_300.tif,Ricardo Valverde Digital Image Collection,1 photograph,1970,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00253f2t,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00253f2t/manifest
