"File Name","Object Type","Title","Item Sequence","Parent ARK","Item ARK","volume/year","Publisher","Publisher.place","Date.issued (single)","Language | code","TypeOfResource","Genre","PhysicalDescription.extent","Institution/Repository","Abstract","Note.content","Rights.copyrightStatus","Rights.publicationStatus","Rights.servicesContact","Subject.topic","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Masters/othermasters/DEPzanzibar/images/Vol_11/uclalsc_3682798_vol11_028.tif","Page","Page 28","28","ark:/21198/z13z07gn","ark:/21198/z18936v9","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18936v9",""
"Masters/othermasters/DEPzanzibar/images/Vol_11/uclalsc_3682798_vol11_029.tif","Page","Page 29","29","ark:/21198/z13z07gn","ark:/21198/z14j2g3j","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14j2g3j",""
"Masters/othermasters/DEPzanzibar/images/Vol_11/uclalsc_3682798_vol11_030.tif","Page","Page 30","30","ark:/21198/z13z07gn","ark:/21198/z10s1qbc","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10s1qbc",""
"Masters/othermasters/DEPzanzibar/images/Vol_11/uclalsc_3682798_vol11_031.tif","Page","Page 31","31","ark:/21198/z13z07gn","ark:/21198/z1w116tx","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w116tx",""
"Masters/othermasters/DEPzanzibar/images/Vol_11/uclalsc_3682798_vol11_032.tif","Page","Page 32","32","ark:/21198/z13z07gn","ark:/21198/z1r80g5h","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r80g5h",""
"Masters/othermasters/DEPzanzibar/images/Vol_11/uclalsc_3682798_vol11_033.tif","Page","Page 33","33","ark:/21198/z13z07gn","ark:/21198/z1mg9qf7","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mg9qf7",""
"Masters/othermasters/DEPzanzibar/images/Vol_11/uclalsc_3682798_vol11_034.tif","Page","Page 34","34","ark:/21198/z13z07gn","ark:/21198/z1gq8zqh","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gq8zqh",""
"Masters/othermasters/DEPzanzibar/images/Vol_11/uclalsc_3682798_vol11_035.tif","Page","Page 35","35","ark:/21198/z13z07gn","ark:/21198/z1c26xf8","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c26xf8",""
"Masters/othermasters/DEPzanzibar/images/Vol_11/uclalsc_3682798_vol11_036.tif","Page","Page 36","36","ark:/21198/z13z07gn","ark:/21198/z17965n1","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17965n1",""
"Masters/othermasters/DEPzanzibar/images/Vol_11/uclalsc_3682798_vol11_037.tif","Page","Page 37","37","ark:/21198/z13z07gn","ark:/21198/z13j5dwv","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13j5dwv",""
