Project Name,Parent ARK,Item ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,viewingHint,Text direction,Visibility,IIIF Range,Type.genre,Rights.copyrightStatus,Name.subject,Coverage.geographic,Name.creator,Subject,Name.repository,Rights.rightsHolderName,Rights.permission,Name.photographer,Rights.rightsHolderContact,Language,Relation.isPartOf,Alt ID.local,Title,Format.dimensions,Format.extent,Date.creation,Description.note,Date.normalized,AltTitle.other,Description.abstract,Opac url,Bucketeer State,IIIF Access URL,IIIF Manifest URL
"Urquhart (Brian) Collection of Material about Ralph Bunche, ca. 1932-1972",ark:/21198/zz001b36zk,ark:/21198/zz001bkxz0,2,Completed,Work,urquhart/masters/21198-zz001bkxz0_744412_master.tif,,,,still image,,,,,Black-and-white photographs,copyrighted,"King, Coretta Scott, 1927-|~|Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|United Nations|~|King, Martin Luther, Jr., 1929-1968",New York (State),,,"University of California, Los Angeles. $b Library Special Collections",UN Photo,Y,United Nations,"United Nations Publications 2 UN Plaza, DC2 Room 856 New York, NY 10017, USA",,http://calcultures.cdlib.com,"uclamss_364_b37_f13_1|~|clusc_1_1_00018172a|~|Ralph J. Bunche Papers, Box 402, folder 1","Dr. Martin Luther King, Jr. and Coretta Scott King visit United Nations Headquarters",25.2 x 20 cm.,1 photograph: b&w,4 December 1964,"Digitization took place as part of the California Cultures Project.|~|Dr. King and his wife, Coretta King, are being greeted at U.N. Headquarters by Ralph J. Bunche, U.N. Under-Secretary for Special Political Affairs",1964-12-04,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bkxz0,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bkxz0/manifest
"Urquhart (Brian) Collection of Material about Ralph Bunche, ca. 1932-1972",ark:/21198/zz001b36zk,ark:/21198/zz001bkz00,2,Completed,Work,urquhart/masters/21198-zz001bkz00_744418_master.tif,,,,still image,,,,,Black-and-white photographs,copyrighted,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|United Nations",Cyprus,,,"University of California, Los Angeles. $b Library Special Collections",UN Photo,Y,United Nations,"United Nations Publications 2 UN Plaza, DC2 Room 856 New York, NY 10017, USA",,http://calcultures.cdlib.org,clusc_1_1_00018173a|~|uclamss_364_b37_f13_2,Ralph J. Bunche visits Cyprus,20.2 x 25.2 cm.,1 photograph : b&w,10 April 1964,"Digitization took place as part of the California Cultures Project.|~|Ralph Bunche, U.N. Under-Secretary for Special Political Affairs, visited Nicosia, Cyprus in the course of routine visits to Gaza and Kashmir to study the problems and needs of the United Nations truce supervision and peace force operations in these areas. In this photograph, Bunche meets Turkish Cypriots in the refugee camp at Hamitkoy, near Nicosia.",1964-04-10,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bkz00,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bkz00/manifest
"Urquhart (Brian) Collection of Material about Ralph Bunche, ca. 1932-1972",ark:/21198/zz001b36zk,ark:/21198/zz001bkz1h,2,Completed,Work,urquhart/masters/21198-zz001bkz1h_744433_master.tif,,,,still image,,,,,Black-and-white photographs,unknown,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",New York (State),,,"Roosevelt, Eleanor, 1884-1962|~|University of California, Los Angeles. $b Library Special Collections",,,,,,http://calcultures.cdlib.com,uclamss_364_b38_f8_2|~|clusc_1_1_00018179a,Ralph J. Bunche with Eleanor Roosevelt at award dinner at the Waldorf Astoria,25.3 x 22.2 cm.,1 photograph : b&w,9 May 1949,Digitization took place as part of the California Cultures Project.,1949-05-09,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bkz1h,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bkz1h/manifest
"Urquhart (Brian) Collection of Material about Ralph Bunche, ca. 1932-1972",ark:/21198/zz001b36zk,ark:/21198/zz001bkz21,2,Completed,Work,urquhart/masters/21198-zz001bkz21_744439_master.tif,,,,still image,,,,,Black-and-white photographs,unknown,"Bunche, Jane|~|Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|Bunche, Ralph, Jr.|~|Bunche, Ruth Harris|~|Bunche, Joan",,,,"University of California, Los Angeles. $b Library Special Collections",,,,,,http://calcultures.cdlib.org,"clusc_1_1_00018181a|~|uclamss_364_b38_f11_3|~|Ralph J. Bunche Papers, Box 397, folder 8",Ralph J. Bunche and family disembarking KLM flight,25.5 x 20.5 cm.,1 photograph : b&w,1963,Digitization took place as part of the California Cultures Project.,1963,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bkz21,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bkz21/manifest
"Urquhart (Brian) Collection of Material about Ralph Bunche, ca. 1932-1972",ark:/21198/zz001b36zk,ark:/21198/zz001bkz3j,2,Completed,Work,urquhart/masters/21198-zz001bkz3j_768267_master.tif,,,,still image,,,,,Black-and-white photographs,copyrighted,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|United Nations",New York (State),,,"University of California, Los Angeles. $b Library Special Collections",UN Photo,Y,,"United Nations Publications 2 UN Plaza, DC2 Room 856 New York, NY 10017, USA",,http://calcultures.cdlib.org,clusc_1_1_00018182a|~|uclamss_364_b38_f12_4,Ralph J. Bunche at the United Nations,25.2 x 20.2 cm.,1 photograph : b&w,circa 1960,Digitization took place as part of the California Cultures Project.,1955/1965,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bkz3j,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bkz3j/manifest
"Urquhart (Brian) Collection of Material about Ralph Bunche, ca. 1932-1972",ark:/21198/zz001b36zk,ark:/21198/zz001bkz42,2,Completed,Work,urquhart/masters/21198-zz001bkz42_744450_master.tif,,,,still image,,,,,Black-and-white photographs,copyrighted,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",Saint Louis (Mo.),,,"University of California, Los Angeles. $b Library Special Collections","Regents of the University of California, UCLA Library.",Y,,,,http://calcultures.cdlib.org,clusc_1_1_00018184a|~|uclamss_364_b38_f12_5,Ralph J. Bunche with Bernie in St. Louis,15.5 x 10 cm.,1 photograph : b&w,September 1939,Digitization took place as part of the California Cultures Project.,1939-09,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bkz42,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bkz42/manifest
"Urquhart (Brian) Collection of Material about Ralph Bunche, ca. 1932-1972",ark:/21198/zz001b36zk,ark:/21198/zz001bkz5k,2,Completed,Work,urquhart/masters/21198-zz001bkz5k_744461_master.tif,,,,still image,,,,,Black-and-white photographs,copyrighted,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|Howard University",Washington (D.C.),,,"University of California, Los Angeles. $b Library Special Collections","Regents of the University of California, UCLA Library.",Y,,,,http://calcultures.cdlib.com,"clusc_1_1_00018186a|~|uclamss_364_b38_f12_6|~|Ralph J. Bunche Papers, Box 398, folder 1",Ralph J. Bunche at Howard University commencement,11.5 x 7 cm.,1 photograph : b&w,10 June 1932,Digitization took place as part of the California Cultures Project.|~|Ralph J. Bunche standing on Commencement Way Howard University Campus Administration Building in the background,1932-06-10,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bkz5k,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bkz5k/manifest
"Urquhart (Brian) Collection of Material about Ralph Bunche, ca. 1932-1972",ark:/21198/zz001b36zk,ark:/21198/zz001bkz7m,2,Completed,Work,urquhart/masters/21198-zz001bkz7m_744465_master.tif,,,,still image,,,,,Black-and-white photographs,copyrighted,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|Bunche, Grace",Detroit (Mich.),,,"University of California, Los Angeles. $b Library Special Collections","Regents of the University of California, UCLA Library.",Y,,,,http://calcultures.cdlib.org,"uclamss_364_b38_f13_7|~|clusc_1_1_00018189a|~|Ralph J. Bunche Papers, Box 397, folder 4",Ralph J. Bunche and Grace Bunche on steps,17.5 x 12.5 cm.,1 photograph : b&w,1914,"Digitization took place as part of the California Cultures Project.|~|Photograph taken in Detroit, spring of 1914",1914,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bkz7m,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bkz7m/manifest
"Urquhart (Brian) Collection of Material about Ralph Bunche, ca. 1932-1972",ark:/21198/zz001b36zk,ark:/21198/zz001bkz84,2,Completed,Work,urquhart/masters/21198-zz001bkz84_744468_master.tif,,,,still image,,,,,Black-and-white photographs,copyrighted,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,"University of California, Los Angeles. $b Library Special Collections","Regents of the University of California, UCLA Library.",Y,,,,http://calcultures.cdlib.org,clusc_1_1_00018191a|~|uclamss_364_b38_f13_8,"Ralph J. Bunche, portrait at around age 6",17.5 x 12.6 cm.,1 photograph : b&w,circa 1910,Digitization took place as part of the California Cultures Project.,1905/1915,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bkz84,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bkz84/manifest
"Urquhart (Brian) Collection of Material about Ralph Bunche, ca. 1932-1972",ark:/21198/zz001b36zk,ark:/21198/zz001bkzb5,2,Completed,Work,urquhart/masters/21198-zz001bkzb5_744471_master.tif,,,,still image,,,,,Black-and-white photographs,copyrighted,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|Johnson, Ethel, 1913-|~|Johnson, Alma Dreyfus|~|Bunche, Grace",,,,,"Regents of the University of California, UCLA Library.",Y,,,,http://calcultures.cdlib.com,uclamss_364_b38_f13_9|~|clusc_1_1_00018192a,"Ethel Johnson, Ralph J. Bunche, Alma Dreyfus Johnson, and Grace Bunche (seated)",25.2 x 20.5 cm.,1 photograph : b&w,circa 1920,Digitization took place as part of the California Cultures Project.,1915/1925,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bkzb5,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bkzb5/manifest
