"File Name","Item Sequence","Visibility","Title","IIIF Range","viewingHint","Text direction","Parent ARK","Item ARK","","Object Type","Rights.statementLocal","Bucketeer State","IIIF Access URL"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_015.tif","15","","Page 13","","","","ark:/21198/n1x653","zq12hq98","ark:/21198/n1x653/zq12hq98","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/zq12hq98"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_016.tif","16","","Page 14","","","","ark:/21198/n1x654","5c072v0v","ark:/21198/n1x654/5c072v0v","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/5c072v0v"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_017.tif","17","","Page 15","","","","ark:/21198/n1x655","rf63pv27","ark:/21198/n1x655/rf63pv27","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/rf63pv27"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_018.tif","18","","Page 16","","","","ark:/21198/n1x656","z361dk5q","ark:/21198/n1x656/z361dk5q","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/z361dk5q"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_019.tif","19","","Page 17","","","","ark:/21198/n1x657","k366wj5c","ark:/21198/n1x657/k366wj5c","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/k366wj5c"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_020.tif","20","","Page 18","","","","ark:/21198/n1x658","m8574s4q","ark:/21198/n1x658/m8574s4q","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/m8574s4q"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_021.tif","21","","Page 19","","","","ark:/21198/n1x659","kw38b18z","ark:/21198/n1x659/kw38b18z","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/kw38b18z"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_022.tif","22","","Page 20","","","","ark:/21198/n1x660","b6006w3s","ark:/21198/n1x660/b6006w3s","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/b6006w3s"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_023.tif","23","","Page 21","","","","ark:/21198/n1x661","s771nv2w","ark:/21198/n1x661/s771nv2w","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/s771nv2w"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_024.tif","24","","Page 22","","","","ark:/21198/n1x662","wc64p29k","ark:/21198/n1x662/wc64p29k","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/wc64p29k"
