File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Text direction,Parent ARK,Item ARK,Object Type,Rights.statementLocal
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_021.tif,21,,,,,,,kw38b18z,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_022.tif,22,,,,,,,b6006w3s,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_023.tif,23,,,,,,,s771nv2w,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_024.tif,24,,,,,,,wc64p29k,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_025.tif,25,,,,,,,ck25d84d,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_026.tif,26,,,,,,,bd72978m,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_027.tif,27,,,,,,,pv76649b,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_028.tif,28,,,,,,,sm345887,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_029.tif,29,,,,,,,6322kf8x,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_030.tif,30,,,,,,,wk08jp29,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_031.tif,31,,,,,,,s443cg78,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_032.tif,32,,,,,,,9061d66n,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_033.tif,33,,,,,,,bj85m03b,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_034.tif,34,,,,,,,sm99jb61,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_035.tif,35,,,,,,,zf11hg76,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_036.tif,36,,,,,,,sc574f15,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_037.tif,37,,,,,,,h882m226,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_038.tif,38,,,,,,,jm63x35t,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_039.tif,39,,,,,,,pw77w43t,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_040.tif,40,,,,,,,p2610p18,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_041.tif,41,,,,,,,md08cv5d,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_042.tif,42,,,,,,,g614hp1z,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_043.tif,43,,,,,,,r9598n03,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_044.tif,44,,,,,,,k545md98,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_045.tif,45,,,,,,,x5593c59,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_046.tif,46,,,,,,,c9031r31,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_047.tif,47,,,,,,,zj87847s,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_048.tif,48,,,,,,,6300vb66,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_049.tif,49,,,,,,,0884z11z,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_050.tif,50,,,,,,,t8850w1h,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_051.tif,51,,,,,,,bf04cv88,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_052.tif,52,,,,,,,px593d13,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_053.tif,53,,,,,,,kg43jz48,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_054.tif,54,,,,,,,vs11sh9q,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_055.tif,55,,,,,,,8366cz20,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_056.tif,56,,,,,,,k180cx3t,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_057.tif,57,,,,,,,1p96s798,Page,
Masters/othermasters/dl_toganoo/masters/1240879_v1/ucla_1240879_v1_058.tif,58,,,,,,,4827xc6b,Page,
