Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Name.creator,Type.typeOfResource,viewingHint,Text direction,Visibility,IIIF Range,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Coverage.geographic,Name.subject,Name.contributor,Subject,Rights.countryCreation,Rights.rightsHolderContact,Language,AltTitle.uniform,Name.architect,Name.photographer,AltTitle.other,Name.repository,Relation.isPartOf,Format.dimensions,Alt ID.local,Rights.statementLocal,Description.note,Title,Date.creation,Format.extent,Date.normalized,Format.medium,Publisher.placeOfOrigin,Publisher.publisherName,Description.abstract,Opac url,Finding Aid URL,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz00294nqn,ark:/21198/zz0008b9tw,4,Derived,Work,neutra/masters/srgb/21198-zz00294nqn_1969288_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,private,,,,,,,,,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,c1179_b836_f6-Lovell_kitchen,,,c1179_b836_f6-Lovell_kitchen,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294nqn,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00294nqn/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz00294nr5,ark:/21198/zz0008b9tw,4,Derived,Work,neutra/masters/srgb/21198-zz00294nr5_1969294_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,private,,,,,,,,,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,c1179_b836_f6-Lovell_living room-2,,,c1179_b836_f6-Lovell_living room-2,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294nr5,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00294nr5/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz00294nsp,ark:/21198/zz0008b9tw,4,Derived,Work,neutra/masters/srgb/21198-zz00294nsp_1969251_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,private,,,,,,,,,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,c1179_b836_f6-Lovell_construction,,,c1179_b836_f6-Lovell_construction,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294nsp,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00294nsp/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz00294q9d,ark:/21198/zz0008b9tw,4,Derived,Work,neutra/masters/srgb/21198-zz00294q9d_1973069_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,private,,,,,,,,,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,uclamss_1179_b837_f_4_documents-016,,,uclamss_1179_b837_f_4_documents-016,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294q9d,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00294q9d/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz00294qbx,ark:/21198/zz0008b9tw,4,Derived,Work,neutra/masters/srgb/21198-zz00294qbx_1969479_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,private,,,,,,,,,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,uclamss_1179_b837_f_3-observatory_model,,,uclamss_1179_b837_f_3-observatory_model,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294qbx,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00294qbx/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz00294qcf,ark:/21198/zz0008b9tw,4,Derived,Work,neutra/masters/srgb/21198-zz00294qcf_1973114_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,private,,,,,,,,,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,uclamss_1179_b837_f_4_documents-030,,,uclamss_1179_b837_f_4_documents-030,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294qcf,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00294qcf/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz00294qdz,ark:/21198/zz0008b9tw,4,Derived,Work,neutra/masters/srgb/21198-zz00294qdz_1973084_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,private,,,,,,,,,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,uclamss_1179_b837_f_4_documents-020,,,uclamss_1179_b837_f_4_documents-020,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294qdz,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00294qdz/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz00294qfg,ark:/21198/zz0008b9tw,4,Derived,Work,neutra/masters/srgb/21198-zz00294qfg_1969433_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,private,,,,,,,,,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,uclamss_1179_b837_f_2-maps_la_map-3,,,uclamss_1179_b837_f_2-maps_la_map-3,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294qfg,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00294qfg/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz00294qg0,ark:/21198/zz0008b9tw,4,Derived,Work,neutra/masters/srgb/21198-zz00294qg0_1973117_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,private,,,,,,,,,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,uclamss_1179_b837_f_4-lovell_cracked_stairs,,,uclamss_1179_b837_f_4-lovell_cracked_stairs,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294qg0,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00294qg0/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz00294qhh,ark:/21198/zz0008b9tw,4,Derived,Work,neutra/masters/srgb/21198-zz00294qhh_1973102_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,private,,,,,,,,,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,uclamss_1179_b837_f_4_documents-026,,,uclamss_1179_b837_f_4_documents-026,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294qhh,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00294qhh/manifest
