File Name,Item Sequence,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Bucketeer State,IIIF Access URL
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_084.tif,84,Page 72,,,ark:/21198/z1903x57,ark:/21198/z1903x57/jd37s12p,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fjd37s12p
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_085.tif,85,Page 73,,,ark:/21198/z1903x57,ark:/21198/z1903x57/gb57s09n,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fgb57s09n
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_086.tif,86,Table des chapitres,,,ark:/21198/z1903x57,ark:/21198/z1903x57/p1254b24,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fp1254b24
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_087.tif,87,Supplement a la dissertation precedente,,,ark:/21198/z1903x57,ark:/21198/z1903x57/cg53nj39,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fcg53nj39
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_088.tif,88,[blank],,,ark:/21198/z1903x57,ark:/21198/z1903x57/wn22763z,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fwn22763z
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_089.tif,89,Page 77,,,ark:/21198/z1903x57,ark:/21198/z1903x57/wr713s2h,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fwr713s2h
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_090.tif,90,Page 78,,,ark:/21198/z1903x57,ark:/21198/z1903x57/hm51kp60,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fhm51kp60
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_091.tif,91,[blank],,,ark:/21198/z1903x57,ark:/21198/z1903x57/dh56gv9k,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fdh56gv9k
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_092.tif,92,[ENGRAVING],,,ark:/21198/z1903x57,ark:/21198/z1903x57/j979027j,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fj979027j
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_093.tif,93,Page 79,,,ark:/21198/z1903x57,ark:/21198/z1903x57/rm34139t,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Frm34139t
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_094.tif,94,Page 80,,,ark:/21198/z1903x57,ark:/21198/z1903x57/rh267p60,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Frh267p60
