Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Visibility,viewingHint,Duplicate,Delete in Title,Thumbnail,Type.genre,Type.typeOfResource,Rights.copyrightStatus,Subject,Name.subject,Name.creator,Rights.servicesContact,Language,Name.repository,Name.artist,Rights.permission,Name.photographer,Name.correspondent,Description.note,Alt ID.local,Title,Date.creation,Format.extent,Date.normalized,Coverage.geographic,Alt ID.collection,Description.caption,Alt ID.url,Summary,Relation.url,Opac url,Finding Aid URL,Alt ID.mp4,Format.medium,Relation.isPartOf,IIIF Manifest URL
Huxley (Aldous) Collection,ark:/21198/zz00255939,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,,76,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255939%2Frm10vk60,black-and-white photographs,still image,copyrighted,"Women authors, American--20th century|~|Violinists $z United States","Huxley, Laura Archera",,,eng,,,Y,,,"Note on verso: Laura Huxley, 6233 Mulholland Hwy, Hollywood, Ca 90068. 1 copy|~|Laura Archera Huxley (second wife of writer Aldous Huxley) leaning over the back of a couch, looking at an object in her hand. Wearing a beaded necklace, face shadowed. Circa 1970-1979.",YRLSC_2009_00076,"Laura Huxley, leaning over couch, looking at object in her hand [descriptive]",1970-1979,,1970/1979,"Hollywood (Los Angeles, Calif.)",,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00255939/manifest
Huxley (Aldous) Collection,ark:/21198/zz0025595b,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,,79,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025595b%2Fzh54cs9w,black-and-white photographs,still image,copyrighted,Hollywoodland (Calif.).|~|Houses $z California $z Los Angeles,"Huxley, Aldous, $d 1894-1963 $x Homes and haunts",,,eng,,,Y,,,"Note on verso: Built by Mr. & Mrs. F. L. Eanes in the 1930's + sold to Charles Field + wife in 1941 - later to be sold to Aldous Huxley.|~|Home of writer Aldous Huxley, situated below the Hollywoodland sign, circa 1940-1949.",YRLSC_2009_00078,"Huxley house, with Hollywoodland sign in background [descriptive]",1940-1949,1 photograph: b&w,1940/1949,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025595b/manifest
Huxley (Aldous) Collection,ark:/21198/zz002559cf,ark:/21198/zz00253vz2,1,In progress,Work,,86,private,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002559cf%2Fs850xj41,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,eng,,"Nicolas, Suzanne",Y,,,Note on verso: Aldous Huxley sculpted by Suzanne Nicolas|~|Estimated dated of the image is between 1960-1969.|~|An image of a bust (facing forward) of writer Aldous Huxley.,YRLSC_2009_00084,Bust of Aldous Huxley (2) [descriptive],[1960-1969?],,1960/1969,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002559cf/manifest
Huxley (Aldous) Collection,ark:/21198/zz002559dz,ark:/21198/zz00253vz2,1,In progress,Work,,87,private,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002559dz%2Fb914194h,portraits|~|reproductions,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,eng,,"Schreiber, Georges, $d 1904-",Y,,,"A reproduction of a drawn portrait of writer Aldous Huxley, by artist Georges Schreiber (1937). Reverse side is of text from the publication in which the portrait was printed.|~|Artist Georges Schreiber was from Belgium.",YRLSC_2009_00085,Drawn portrait of Aldous Huxley by Georges Schreiber [descriptive],1937,,1937,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002559dz/manifest
Huxley (Aldous) Collection,ark:/21198/zz002559fg,ark:/21198/zz00253vz2,1,In progress,Work,,88,private,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002559fg%2Fq224m989,portraits,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,eng,,"Bachardy, Don, 1934-",Y,,,"Drawn portrait of writer Aldous Huxley, head rested on hand, by American artist Don Bachardy (1962). Reverse side: handwritten notes pertaining to artwork.|~|Portrait is signed by artist.",YRLSC_2009_00086,"Drawn portrait of Aldous Huxley by Don Bachardy, drawing 1 [descriptive]",1962,,1962,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002559fg/manifest
Huxley (Aldous) Collection,ark:/21198/zz002559hh,ark:/21198/zz00253vz2,1,In progress,Work,,90,private,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002559hh%2F5n28nk5b,Leaflets,still image,copyrighted,"Authors, English--20th century|~|Women authors, American--20th century|~|Violinists $z United States","Huxley, Aldous, 1894-1963|~|Huxley, Laura Archera",,,eng,,,Y,,,"Leaflet of event titled The Human Potential, which featured writer Aldous Huxley as moderator, in Tecate, Mexico in 1960. Reserve side: a list of featured participants, including Huxley's second wife Laura Archera Huxley.",YRLSC_2009_00088,"Leaflet of event titled The Human Potential, at Rancho La Puerta in Tecate, Mexico [descriptive]",1960,,1960,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002559hh/manifest
Huxley (Aldous) Collection,ark:/21198/zz002559m2,ark:/21198/zz00253vz2,1,In progress,Work,,93,private,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002559m2%2Fdx25t17j,clippings,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,eng,,,Y,,,"Los Angeles City College's Nite News front page, which featured article titled Huxley Returns Wed. to Address Students. Caption under image reads ""ALDOUS HUXLEY Lectures on 'Visionary Experience' Wednesday at 8 p.m."" Dated Monday, April 15, 1963.|~|Reserve side: page two of the newspaper with additional articles.",YRLSC_2009_00091,"LACC Nite News front page, Huxley Returns Wed. to Address Students [descriptive]","April 15, 1963",,1963-04-15,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002559m2/manifest
Huxley (Aldous) Collection,ark:/21198/zz002559t5,ark:/21198/zz00253vz2,1,In progress,Work,,98,private,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002559t5%2Fn588np3j,postcards,still image,copyrighted,Yuma (Ariz.)|~|Chapels,,,,eng,,,Y,,,"Postcard (in color) of Yuma's Famous Drive-In Chapel, circa 1950s. Reverse side: chapel information, ""Pub. by Emil's Studio, Yuma, Arizona."", ""Post Card"", ""PLACE STAMP HERE"".",YRLSC_2009_00096,Postcard of Yuma's Famous Drive-in Chapel [descriptive],1950s,,1950/1959,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002559t5/manifest
Huxley (Aldous) Collection,ark:/21198/zz00255bcx,ark:/21198/zz00253vz2,1,In progress,Work,,105,private,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255bcx%2F8w35bm8q,color photographs,still image,copyrighted,Actors $z England|~|Theatrical producers and directors $z England,"Gielgud, John, $d 1904-2000",,,fre,,,Y,,,"British actor, producer and director John Gielgud (in white shirt) with unidentifed man and woman, circa 1960s. Reverse side: blue handwriting in French; Kodak stamps.",YRLSC_2009_00103,John Gielgud with two unidentified people [descriptive],1960s,,1960/1969,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00255bcx/manifest
Huxley (Aldous) Collection,ark:/21198/zz00255bh0,ark:/21198/zz00253vz2,1,In progress,Work,,109,private,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255bh0%2Fzt432k23,black-and-white photographs,still image,copyrighted,,,,,zxx,,,Y,,,"Note on verso: Sylvia, Sebastian, Natalie, Suzanne, Joep, Claire, Chritian, Diego, Bobby, Ruben, Stefany.|~|Photograph of a group that appears to be a family. Circa 1965-1975.|~|Relation to writer Aldous Huxley (or to his first wife Maria Nys or second wife Laura Archera) is unknown.",YRLSC_2009_00107,"Sylvia, Sebastian, Natalie, et. al [descriptive]",1965-1975,,1965/1975,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00255bh0/manifest
