Title,Project Name,Item ARK,Parent ARK,Object Type,viewingHint,File Name,Item Sequence,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Bucketeer State,IIIF Access URL
Manuscript No. 3: 0011,Armenian Manuscripts,ark:/21198/zz0028w85h,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0011.tif,11,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w85h
Manuscript No. 3: 0012,Armenian Manuscripts,ark:/21198/zz0028w861,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0012.tif,12,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w861
Manuscript No. 3: 0013,Armenian Manuscripts,ark:/21198/zz0028w87j,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0013.tif,13,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w87j
Manuscript No. 3: 0014,Armenian Manuscripts,ark:/21198/zz0028w882,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0014.tif,14,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w882
Manuscript No. 3: 0015,Armenian Manuscripts,ark:/21198/zz0028w89k,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0015.tif,15,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w89k
Manuscript No. 3: 0016,Armenian Manuscripts,ark:/21198/zz0028w8b3,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0016.tif,16,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w8b3
Manuscript No. 3: 0017,Armenian Manuscripts,ark:/21198/zz0028w8cm,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0017.tif,17,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w8cm
Manuscript No. 3: 0018,Armenian Manuscripts,ark:/21198/zz0028w8d4,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0018.tif,18,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w8d4
Manuscript No. 3: 0019,Armenian Manuscripts,ark:/21198/zz0028w8fn,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0019.tif,19,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w8fn
Manuscript No. 3: 0020,Armenian Manuscripts,ark:/21198/zz0028w8g5,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0020.tif,20,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w8g5
Manuscript No. 3: 0021,Armenian Manuscripts,ark:/21198/zz0028w8hp,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0021.tif,21,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w8hp
Manuscript No. 3: 0022,Armenian Manuscripts,ark:/21198/zz0028w8j6,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0022.tif,22,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w8j6
Manuscript No. 3: 0023,Armenian Manuscripts,ark:/21198/zz0028w8kq,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0023.tif,23,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w8kq
Manuscript No. 3: 0024,Armenian Manuscripts,ark:/21198/zz0028w8m7,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0024.tif,24,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w8m7
Manuscript No. 3: 0025,Armenian Manuscripts,ark:/21198/zz0028w8nr,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0025.tif,25,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w8nr
Manuscript No. 3: 0026,Armenian Manuscripts,ark:/21198/zz0028w8p8,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0026.tif,26,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w8p8
Manuscript No. 3: 0027,Armenian Manuscripts,ark:/21198/zz0028w8qs,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0027.tif,27,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w8qs
Manuscript No. 3: 0028,Armenian Manuscripts,ark:/21198/zz0028w8r9,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0028.tif,28,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w8r9
Manuscript No. 3: 0029,Armenian Manuscripts,ark:/21198/zz0028w8st,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0029.tif,29,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w8st
Manuscript No. 3: 0030,Armenian Manuscripts,ark:/21198/zz0028w8tb,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0030.tif,30,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w8tb
Manuscript No. 3: 0031,Armenian Manuscripts,ark:/21198/zz0028w8vv,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0031.tif,31,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w8vv
Manuscript No. 3: 0032,Armenian Manuscripts,ark:/21198/zz0028w8wc,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0032.tif,32,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w8wc
Manuscript No. 3: 0033,Armenian Manuscripts,ark:/21198/zz0028w8xw,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0033.tif,33,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w8xw
Manuscript No. 3: 0034,Armenian Manuscripts,ark:/21198/zz0028w8zd,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0034.tif,34,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w8zd
Manuscript No. 3: 0035,Armenian Manuscripts,ark:/21198/zz0028w90d,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0035.tif,35,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w90d
Manuscript No. 3: 0036,Armenian Manuscripts,ark:/21198/zz0028w91x,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0036.tif,36,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w91x
Manuscript No. 3: 0037,Armenian Manuscripts,ark:/21198/zz0028w92f,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0037.tif,37,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w92f
Manuscript No. 3: 0038,Armenian Manuscripts,ark:/21198/zz0028w93z,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0038.tif,38,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w93z
Manuscript No. 3: 0039,Armenian Manuscripts,ark:/21198/zz0028w94g,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0039.tif,39,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w94g
Manuscript No. 3: 0040,Armenian Manuscripts,ark:/21198/zz0028w950,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0040.tif,40,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w950
Manuscript No. 3: 0041,Armenian Manuscripts,ark:/21198/zz0028w96h,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0041.tif,41,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w96h
Manuscript No. 3: 0042,Armenian Manuscripts,ark:/21198/zz0028w971,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0042.tif,42,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w971
Manuscript No. 3: 0043,Armenian Manuscripts,ark:/21198/zz0028w98j,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0043.tif,43,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w98j
Manuscript No. 3: 0044,Armenian Manuscripts,ark:/21198/zz0028w992,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0044.tif,44,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w992
Manuscript No. 3: 0045,Armenian Manuscripts,ark:/21198/zz0028w9bk,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0045.tif,45,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w9bk
Manuscript No. 3: 0046,Armenian Manuscripts,ark:/21198/zz0028w9c3,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0046.tif,46,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w9c3
Manuscript No. 3: 0047,Armenian Manuscripts,ark:/21198/zz0028w9dm,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0047.tif,47,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w9dm
Manuscript No. 3: 0048,Armenian Manuscripts,ark:/21198/zz0028w9f4,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0048.tif,48,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w9f4
Manuscript No. 3: 0049,Armenian Manuscripts,ark:/21198/zz0028w9gn,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0049.tif,49,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w9gn
Manuscript No. 3: 0050,Armenian Manuscripts,ark:/21198/zz0028w9h5,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0050.tif,50,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w9h5
Manuscript No. 3: 0051,Armenian Manuscripts,ark:/21198/zz0028w9jp,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0051.tif,51,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w9jp
Manuscript No. 3: 0052,Armenian Manuscripts,ark:/21198/zz0028w9k6,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0052.tif,52,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w9k6
Manuscript No. 3: 0053,Armenian Manuscripts,ark:/21198/zz0028w9mq,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0053.tif,53,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w9mq
Manuscript No. 3: 0054,Armenian Manuscripts,ark:/21198/zz0028w9n7,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0054.tif,54,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w9n7
Manuscript No. 3: 0055,Armenian Manuscripts,ark:/21198/zz0028w9pr,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0055.tif,55,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w9pr
Manuscript No. 3: 0056,Armenian Manuscripts,ark:/21198/zz0028w9q8,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0056.tif,56,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w9q8
Manuscript No. 3: 0057,Armenian Manuscripts,ark:/21198/zz0028w9rs,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0057.tif,57,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w9rs
Manuscript No. 3: 0058,Armenian Manuscripts,ark:/21198/zz0028w9s9,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0058.tif,58,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w9s9
Manuscript No. 3: 0059,Armenian Manuscripts,ark:/21198/zz0028w9tt,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0059.tif,59,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w9tt
Manuscript No. 3: 0060,Armenian Manuscripts,ark:/21198/zz0028w9vb,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0060.tif,60,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w9vb
Manuscript No. 3: 0061,Armenian Manuscripts,ark:/21198/zz0028w9wv,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0061.tif,61,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w9wv
Manuscript No. 3: 0062,Armenian Manuscripts,ark:/21198/zz0028w9xc,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0062.tif,62,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w9xc
Manuscript No. 3: 0063,Armenian Manuscripts,ark:/21198/zz0028w9zw,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0063.tif,63,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w9zw
Manuscript No. 3: 0064,Armenian Manuscripts,ark:/21198/zz0028wb0w,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0064.tif,64,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wb0w
Manuscript No. 3: 0065,Armenian Manuscripts,ark:/21198/zz0028wb1d,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0065.tif,65,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wb1d
Manuscript No. 3: 0066,Armenian Manuscripts,ark:/21198/zz0028wb2x,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0066.tif,66,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wb2x
Manuscript No. 3: 0067,Armenian Manuscripts,ark:/21198/zz0028wb3f,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0067.tif,67,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wb3f
Manuscript No. 3: 0068,Armenian Manuscripts,ark:/21198/zz0028wb4z,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0068.tif,68,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wb4z
Manuscript No. 3: 0069,Armenian Manuscripts,ark:/21198/zz0028wb5g,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0069.tif,69,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wb5g
Manuscript No. 3: 0070,Armenian Manuscripts,ark:/21198/zz0028wb60,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0070.tif,70,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wb60
Manuscript No. 3: 0071,Armenian Manuscripts,ark:/21198/zz0028wb7h,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0071.tif,71,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wb7h
Manuscript No. 3: 0072,Armenian Manuscripts,ark:/21198/zz0028wb81,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0072.tif,72,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wb81
Manuscript No. 3: 0073,Armenian Manuscripts,ark:/21198/zz0028wb9j,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0073.tif,73,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wb9j
Manuscript No. 3: 0074,Armenian Manuscripts,ark:/21198/zz0028wbb2,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0074.tif,74,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wbb2
Manuscript No. 3: 0075,Armenian Manuscripts,ark:/21198/zz0028wbck,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0075.tif,75,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wbck
Manuscript No. 3: 0076,Armenian Manuscripts,ark:/21198/zz0028wbd3,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0076.tif,76,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wbd3
Manuscript No. 3: 0077,Armenian Manuscripts,ark:/21198/zz0028wbfm,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0077.tif,77,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wbfm
Manuscript No. 3: 0078,Armenian Manuscripts,ark:/21198/zz0028wbg4,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0078.tif,78,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wbg4
Manuscript No. 3: 0079,Armenian Manuscripts,ark:/21198/zz0028wbhn,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0079.tif,79,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wbhn
Manuscript No. 3: 0080,Armenian Manuscripts,ark:/21198/zz0028wbj5,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0080.tif,80,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wbj5
Manuscript No. 3: 0081,Armenian Manuscripts,ark:/21198/zz0028wbkp,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0081.tif,81,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wbkp
Manuscript No. 3: 0082,Armenian Manuscripts,ark:/21198/zz0028wbm6,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0082.tif,82,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wbm6
Manuscript No. 3: 0083,Armenian Manuscripts,ark:/21198/zz0028wbnq,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0083.tif,83,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wbnq
Manuscript No. 3: 0084,Armenian Manuscripts,ark:/21198/zz0028wbp7,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0084.tif,84,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wbp7
Manuscript No. 3: 0085,Armenian Manuscripts,ark:/21198/zz0028wbqr,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0085.tif,85,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wbqr
Manuscript No. 3: 0086,Armenian Manuscripts,ark:/21198/zz0028wbr8,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0086.tif,86,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wbr8
Manuscript No. 3: 0087,Armenian Manuscripts,ark:/21198/zz0028wbss,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0087.tif,87,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wbss
Manuscript No. 3: 0088,Armenian Manuscripts,ark:/21198/zz0028wbt9,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0088.tif,88,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wbt9
Manuscript No. 3: 0089,Armenian Manuscripts,ark:/21198/zz0028wbvt,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0089.tif,89,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wbvt
Manuscript No. 3: 0090,Armenian Manuscripts,ark:/21198/zz0028wbwb,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0090.tif,90,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wbwb
Manuscript No. 3: 0091,Armenian Manuscripts,ark:/21198/zz0028wbxv,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0091.tif,91,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wbxv
Manuscript No. 3: 0092,Armenian Manuscripts,ark:/21198/zz0028wbzc,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0092.tif,92,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wbzc
Manuscript No. 3: 0093,Armenian Manuscripts,ark:/21198/zz0028wc0c,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0093.tif,93,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wc0c
Manuscript No. 3: 0094,Armenian Manuscripts,ark:/21198/zz0028wc1w,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0094.tif,94,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wc1w
Manuscript No. 3: 0095,Armenian Manuscripts,ark:/21198/zz0028wc2d,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0095.tif,95,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wc2d
