Title,Project Name,Item ARK,Parent ARK,Object Type,viewingHint,File Name,Item Sequence,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Bucketeer State,IIIF Access URL
Manuscript No.91: 0032,Armenian Manuscripts,ark:/21198/zz002920j0,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0032.tif,32,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002920j0
Manuscript No.91: 0033,Armenian Manuscripts,ark:/21198/zz002920kh,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0033.tif,33,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002920kh
Manuscript No.91: 0034,Armenian Manuscripts,ark:/21198/zz002920m1,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0034.tif,34,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002920m1
Manuscript No.91: 0035,Armenian Manuscripts,ark:/21198/zz002920nj,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0035.tif,35,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002920nj
Manuscript No.91: 0036,Armenian Manuscripts,ark:/21198/zz002920p2,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0036.tif,36,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002920p2
Manuscript No.91: 0037,Armenian Manuscripts,ark:/21198/zz002920qk,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0037.tif,37,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002920qk
Manuscript No.91: 0038,Armenian Manuscripts,ark:/21198/zz002920r3,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0038.tif,38,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002920r3
Manuscript No.91: 0039,Armenian Manuscripts,ark:/21198/zz002920sm,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0039.tif,39,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002920sm
Manuscript No.91: 0040,Armenian Manuscripts,ark:/21198/zz002920t4,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0040.tif,40,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002920t4
Manuscript No.91: 0041,Armenian Manuscripts,ark:/21198/zz002920vn,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0041.tif,41,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002920vn
