Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Visibility,viewingHint,Thumbnail,Type.typeOfResource,Rights.copyrightStatus,Language,Type.genre,Rights.permission,Title,AltTitle.translated,Publisher.publisherName,Format.extent,Date.creation,Coverage.geographic,Opac url,IIIF Manifest URL
DIYALoG,ark:/21198/zz002hc70m,ark:/21198/zz002h7p45,2,Completed,Work,,10,,,,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qc1qbr,text,copyrighted,tur|~|lad,Periodicals,Y,Sayı: 010 - Temmuz-Ağustos 2010,İzmir Türk Musevileri e-Haber Bülteni|~|Revista Digital de los Judios Turkanos de İzmir,Diyalog,v. : ill.,2009,İzmir,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hc70m/manifest
DIYALoG,ark:/21198/zz002hc714,ark:/21198/zz002h7p45,2,Completed,Work,,11,,,,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1989v06,text,copyrighted,tur|~|lad,Periodicals,Y,Sayı: 011 - Eylül-Ekim 2010,Revista Digital de los Judios Turkanos de İzmir|~|İzmir Türk Musevileri e-Haber Bülteni,Diyalog,v. : ill.,2009,İzmir,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hc714/manifest
DIYALoG,ark:/21198/zz002hc72n,ark:/21198/zz002h7p45,2,Completed,Work,,12,,,,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rr3k48,text,copyrighted,tur|~|lad,Periodicals,Y,Sayı: 012 - Kasım-Aralık 2010,Revista Digital de los Judios Turkanos de İzmir|~|İzmir Türk Musevileri e-Haber Bülteni,Diyalog,v. : ill.,2009,İzmir,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hc72n/manifest
DIYALoG,ark:/21198/zz002hc735,ark:/21198/zz002h7p45,2,Completed,Work,,13,,,,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13506bh,text,copyrighted,tur|~|lad,Periodicals,Y,Sayı: 013 - Ocak-Şubat 2011,İzmir Türk Musevileri e-Haber Bülteni|~|Revista Digital de los Judios Turkanos de İzmir,Diyalog,v. : ill.,2009,İzmir,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hc735/manifest
DIYALoG,ark:/21198/zz002hc756,ark:/21198/zz002h7p45,2,Completed,Work,,14,,,,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w10swg,text,copyrighted,tur|~|lad,Periodicals,Y,Sayı: 014 - Mayıs-Haziran 2011,Revista Digital de los Judios Turkanos de İzmir|~|İzmir Türk Musevileri e-Haber Bülteni,Diyalog,v. : ill.,2009,İzmir,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hc756/manifest
DIYALoG,ark:/21198/zz002hc76q,ark:/21198/zz002h7p45,2,Completed,Work,,16,,,,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z628xt,text,copyrighted,tur|~|lad,Periodicals,Y,Sayı: 016 -Temmuz-Ağustos 2011,İzmir Türk Musevileri e-Haber Bülteni|~|Revista Digital de los Judios Turkanos de İzmir,Diyalog,v. : ill.,2009,İzmir,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hc76q/manifest
DIYALoG,ark:/21198/zz002hc777,ark:/21198/zz002h7p45,2,Completed,Work,,17,,,,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1224fqh,text,copyrighted,tur|~|lad,Periodicals,Y,Sayı: 017 - Eylül-Ekim 2011,Revista Digital de los Judios Turkanos de İzmir|~|İzmir Türk Musevileri e-Haber Bülteni,Diyalog,v. : ill.,2009,İzmir,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hc777/manifest
DIYALoG,ark:/21198/zz002hc78r,ark:/21198/zz002h7p45,2,Completed,Work,,18,,,,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1st99r9,text,copyrighted,tur|~|lad,Periodicals,Y,Sayı: 018 - Kasım-Aralık 2011,İzmir Türk Musevileri e-Haber Bülteni|~|Revista Digital de los Judios Turkanos de İzmir,Diyalog,v. : ill.,2009,İzmir,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hc78r/manifest
DIYALoG,ark:/21198/zz002hc798,ark:/21198/zz002h7p45,2,Completed,Work,,19,,,,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xp8rxd,text,copyrighted,tur|~|lad,Periodicals,Y,Sayı: 019 - Ocak-Şubat 2012,Revista Digital de los Judios Turkanos de İzmir|~|İzmir Türk Musevileri e-Haber Bülteni,Diyalog,v. : ill.,2009,İzmir,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hc798/manifest
DIYALoG,ark:/21198/zz002hc7bs,ark:/21198/zz002h7p45,2,Completed,Work,,20,,,,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16h646j,text,copyrighted,tur|~|lad,Periodicals,Y,Sayı: 020 - Mart–Nisan 2012,İzmir Türk Musevileri e-Haber Bülteni|~|Revista Digital de los Judios Turkanos de İzmir,Diyalog,v. : ill.,2009,İzmir,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hc7bs/manifest
DIYALoG,ark:/21198/zz002hc7dt,ark:/21198/zz002h7p45,2,Completed,Work,,22,,,,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n02t9h,text,copyrighted,tur|~|lad,Periodicals,Y,Sayı: 022 - Temmuz-Ağustos 2012,İzmir Türk Musevileri e-Haber Bülteni|~|Revista Digital de los Judios Turkanos de İzmir,Diyalog,v. : ill.,2009,İzmir,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hc7dt/manifest
DIYALoG,ark:/21198/zz002hc7gv,ark:/21198/zz002h7p45,2,Completed,Work,,24,,,,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1709n7g,text,copyrighted,tur|~|lad,Periodicals,Y,Sayı: 024 - Kasım-Aralık 2012,Revista Digital de los Judios Turkanos de İzmir|~|İzmir Türk Musevileri e-Haber Bülteni,Diyalog,v. : ill.,2009,İzmir,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hc7gv/manifest
DIYALoG,ark:/21198/zz002hc7jw,ark:/21198/zz002h7p45,2,Completed,Work,,26,,,,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v13rm9,text,copyrighted,tur|~|lad,Periodicals,Y,Sayı: 026 - Mart-Nisan 2013,İzmir Türk Musevileri e-Haber Bülteni|~|Revista Digital de los Judios Turkanos de İzmir,Diyalog,v. : ill.,2009,İzmir,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hc7jw/manifest
DIYALoG,ark:/21198/zz002hc7kd,ark:/21198/zz002h7p45,2,Completed,Work,,27,,,,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xs7g87,text,copyrighted,tur|~|lad,Periodicals,Y,Sayı: 027 - Mayıs-Haziran 2013,İzmir Türk Musevileri e-Haber Bülteni|~|Revista Digital de los Judios Turkanos de İzmir,Diyalog,v. : ill.,2009,İzmir,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hc7kd/manifest
DIYALoG,ark:/21198/zz002hfvpj,ark:/21198/zz002h7p45,2,Completed,Work,,21,,,,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b585rp,text,copyrighted,tur|~|lad,Periodicals,Y,Sayı: 021 - Mayıs-Haziran 2012,Revista Digital de los Judios Turkanos de İzmir|~|İzmir Türk Musevileri e-Haber Bülteni,Diyalog,v. : ill.,2009,İzmir,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfvpj/manifest
DIYALoG,ark:/21198/zz002hfvq2,ark:/21198/zz002h7p45,2,Completed,Work,,25,,,,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16q3j8b,text,copyrighted,tur|~|lad,Periodicals,Y,Sayı: 025 - Ocak-Şubat 2013,İzmir Türk Musevileri e-Haber Bülteni|~|Revista Digital de los Judios Turkanos de İzmir,Diyalog,v. : ill.,2009,İzmir,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfvq2/manifest
DIYALoG,ark:/21198/zz002hfvrk,ark:/21198/zz002h7p45,2,Completed,Work,,23,,,,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tm8z6v,text,copyrighted,tur|~|lad,Periodicals,Y,Sayı: 023 - Eylül-Ekim 2012,İzmir Türk Musevileri e-Haber Bülteni|~|Revista Digital de los Judios Turkanos de İzmir,Diyalog,v. : ill.,2009,İzmir,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hfvrk/manifest
DIYALoG,ark:/21198/zz002hkzbm,ark:/21198/zz002h7p45,2,Completed,Work,,28,,,,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dn5s4c,text,copyrighted,tur|~|lad,Periodicals,Y,Sayı: 028 - Temmuz-Ağustos 2013,İzmir Türk Musevileri e-Haber Bülteni|~|Revista Digital de los Judios Turkanos de İzmir,Diyalog,v. : ill.,2009,İzmir,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hkzbm/manifest
DIYALoG,ark:/21198/zz002hkzc4,ark:/21198/zz002h7p45,2,Completed,Work,,30,,,,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18643gg,text,copyrighted,tur|~|lad,Periodicals,Y,Sayı: 030 - Kasım-Aralık 2013,İzmir Türk Musevileri e-Haber Bülteni|~|Revista Digital de los Judios Turkanos de İzmir,Diyalog,v. : ill.,2009,İzmir,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hkzc4/manifest
DIYALoG,ark:/21198/zz002hkzdn,ark:/21198/zz002h7p45,2,Completed,Work,,31,,,,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kp9p6f,text,copyrighted,tur|~|lad,Periodicals,Y,Sayı: 031 - Ocak-Şubat 2013,Revista Digital de los Judios Turkanos de İzmir|~|İzmir Türk Musevileri e-Haber Bülteni,Diyalog,v. : ill.,2009,İzmir,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hkzdn/manifest
DIYALoG,ark:/21198/zz002hkzk7,ark:/21198/zz002h7p45,2,Completed,Work,,29,,,,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k37fqn,text,copyrighted,tur|~|lad,Periodicals,Y,Sayı: 029 - Eylül-Ekim 2013,Revista Digital de los Judios Turkanos de İzmir|~|İzmir Türk Musevileri e-Haber Bülteni,Diyalog,v. : ill.,2013,İzmir,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hkzk7/manifest
DIYALoG,ark:/21198/zz002hxr7n,ark:/21198/zz002h7p45,2,Completed,Work,,34,,,,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dn5s7q,text,copyrighted,,Periodicals,Y,Sayı: 034 - Temmuz-Ağustos 2014,Revista Digital de los Judios Turkanos de İzmi|~|İzmir Türk Musevileri e-Haber Bülteni,Diyalog,v. : ill.,2009,İzmir,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hxr7n/manifest
DIYALoG,ark:/21198/zz002hxr85,ark:/21198/zz002h7p45,2,Completed,Work,,32,,,,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19c8jhv,text,copyrighted,,Periodicals,Y,Sayı: 032 - Mart-Nisan 2014,İzmir Türk Musevileri e-Haber Bülteni|~|Revista Digital de los Judios Turkanos de İzmi,Diyalog,v. : ill.,2009,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hxr85/manifest
DIYALoG,ark:/21198/zz002hz4kk,ark:/21198/zz002h7p45,2,Completed,Work,,33,,,,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cr7fkj,text,copyrighted,,Periodicals,Y,Sayı: 033 - Mayıs-Haziran 2014,İzmir Türk Musevileri e-Haber Bülteni|~|Revista Digital de los Judios Turkanos de İzmi,Diyalog,v. : ill.,2009,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hz4kk/manifest
DIYALoG,ark:/21198/zz002j9b0k,ark:/21198/zz002h7p45,2,Completed,Work,,36,,,,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c83xdr,text,copyrighted,,Periodicals,Y,Sayı: 036 - Kasım-Aralık 2014,Revista Digital de los Judios Turkanos de İzmi|~|İzmir Türk Musevileri e-Haber Bülteni,Diyalog,v. : ill.,2009,İzmir,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j9b0k/manifest
DIYALoG,ark:/21198/zz002j9b13,ark:/21198/zz002h7p45,2,Completed,Work,,35,,,,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q549r7,text,copyrighted,tur|~|lad,Periodicals,Y,Sayı: 035 - Eylül-Ekim 2014,İzmir Türk Musevileri e-Haber Bülteni|~|Revista Digital de los Judios Turkanos de İzmir,Diyalog,v. : ill.,2009,İzmir,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j9b13/manifest
