Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Language,Subject,Name.repository,Name.creator,Title,Relation.rectoVerso,Date.creation,Relation.isPartOf,Alt ID.local,AltTitle.uniform,Description.note,Format.dimensions,Description.abstract,Coverage.geographic,Relation.leafNumber,Date.normalized,Publisher.placeOfOrigin,Format.medium,Publisher.publisherName,Relation.textDirection,Format.extent,Relation.pageNumber,thumbnailImageName,masterImageName,Bucketeer State,IIIF Access URL
Medieval and Renaissance Manuscripts,ark:/21198/zz0009s7r4,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009s7r4-1-master.tif,31,,,,,,,,,pd,,,,,31,r,,,,,,,,,,,,,,,,,21198-zz0009s7r4-1-thumbnail.jpg,21198-zz0009s7r4-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009s7r4
Medieval and Renaissance Manuscripts,ark:/21198/zz0009s7sn,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009s7sn-1-master.tif,32,,,,,,,,,pd,,,,,32,v,,,,,,,,,,,,,,,,,21198-zz0009s7sn-1-thumbnail.jpg,21198-zz0009s7sn-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009s7sn
Medieval and Renaissance Manuscripts,ark:/21198/zz0009s7t5,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009s7t5-1-master.tif,33,,,,,,,,,pd,,,,,33,r,,,,,,,,,,,,,,,,,21198-zz0009s7t5-1-thumbnail.jpg,21198-zz0009s7t5-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009s7t5
Medieval and Renaissance Manuscripts,ark:/21198/zz0009s7vp,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009s7vp-1-master.tif,34,,,,,,,,,pd,,,,,34,v,,,,,,,,,,,,,,,,,21198-zz0009s7vp-1-thumbnail.jpg,21198-zz0009s7vp-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009s7vp
Medieval and Renaissance Manuscripts,ark:/21198/zz0009s7w6,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009s7w6-1-master.tif,35,,,,,,,,,pd,,,,,35,r,,,,,,,,,,,,,,,,,21198-zz0009s7w6-1-thumbnail.jpg,21198-zz0009s7w6-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009s7w6
Medieval and Renaissance Manuscripts,ark:/21198/zz0009snmv,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009snmv-1-master.tif,36,,,,,,,,,pd,,,,,36,v,,,,,,,,,,,,,,,,,21198-zz0009snmv-1-thumbnail.jpg,21198-zz0009snmv-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009snmv
Medieval and Renaissance Manuscripts,ark:/21198/zz0009snnc,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009snnc-1-master.tif,37,,,,,,,,,pd,,,,,37,r,,,,,,,,,,,,,,,,,21198-zz0009snnc-1-thumbnail.jpg,21198-zz0009snnc-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009snnc
Medieval and Renaissance Manuscripts,ark:/21198/zz0009snpw,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009snpw-1-master.tif,38,,,,,,,,,pd,,,,,38,v,,,,,,,,,,,,,,,,,21198-zz0009snpw-1-thumbnail.jpg,21198-zz0009snpw-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009snpw
Medieval and Renaissance Manuscripts,ark:/21198/zz0009snqd,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009snqd-1-master.tif,39,,,,,,,,,pd,,,,,39,r,,,,,,,,,,,,,,,,,21198-zz0009snqd-1-thumbnail.jpg,21198-zz0009snqd-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009snqd
Medieval and Renaissance Manuscripts,ark:/21198/zz0009snrx,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009snrx-1-master.tif,40,,,,,,,,,pd,,,,,40,v,,,,,,,,,,,,,,,,,21198-zz0009snrx-1-thumbnail.jpg,21198-zz0009snrx-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009snrx
Medieval and Renaissance Manuscripts,ark:/21198/zz0009snsf,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009snsf-1-master.tif,41,,,,,,,,,pd,,,,,41,r,,,,,,,,,,,,,,,,,21198-zz0009snsf-1-thumbnail.jpg,21198-zz0009snsf-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009snsf
Medieval and Renaissance Manuscripts,ark:/21198/zz0009sntz,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009sntz-1-master.tif,42,,,,,,,,,pd,,,,,42,v,,,,,,,,,,,,,,,,,21198-zz0009sntz-1-thumbnail.jpg,21198-zz0009sntz-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009sntz
Medieval and Renaissance Manuscripts,ark:/21198/zz0009snvg,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009snvg-1-master.tif,43,,,,,,,,,pd,,,,,43,r,,,,,,,,,,,,,,,,,21198-zz0009snvg-1-thumbnail.jpg,21198-zz0009snvg-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009snvg
Medieval and Renaissance Manuscripts,ark:/21198/zz0009snw0,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009snw0-1-master.tif,44,,,,,,,,,pd,,,,,44,v,,,,,,,,,,,,,,,,,21198-zz0009snw0-1-thumbnail.jpg,21198-zz0009snw0-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009snw0
Medieval and Renaissance Manuscripts,ark:/21198/zz0009snxh,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009snxh-1-master.tif,45,,,,,,,,,pd,,,,,45,r,,,,,,,,,,,,,,,,,21198-zz0009snxh-1-thumbnail.jpg,21198-zz0009snxh-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009snxh
Medieval and Renaissance Manuscripts,ark:/21198/zz0009snz1,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009snz1-1-master.tif,46,,,,,,,,,pd,,,,,46,v,,,,,,,,,,,,,,,,,21198-zz0009snz1-1-thumbnail.jpg,21198-zz0009snz1-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009snz1
Medieval and Renaissance Manuscripts,ark:/21198/zz0009sp01,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009sp01-1-master.tif,47,,,,,,,,,pd,,,,,47,r,,,,,,,,,,,,,,,,,21198-zz0009sp01-1-thumbnail.jpg,21198-zz0009sp01-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009sp01
Medieval and Renaissance Manuscripts,ark:/21198/zz0009sp1j,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009sp1j-1-master.tif,48,,,,,,,,,pd,,,,,48,v,,,,,,,,,,,,,,,,,21198-zz0009sp1j-1-thumbnail.jpg,21198-zz0009sp1j-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009sp1j
Medieval and Renaissance Manuscripts,ark:/21198/zz0009sp22,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009sp22-1-master.tif,49,,,,,,,,,pd,,,,,49,r,,,,,,,,,,,,,,,,,21198-zz0009sp22-1-thumbnail.jpg,21198-zz0009sp22-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009sp22
Medieval and Renaissance Manuscripts,ark:/21198/zz0009sp3k,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009sp3k-1-master.tif,50,,,,,,,,,pd,,,,,50,v,,,,,,,,,,,,,,,,,21198-zz0009sp3k-1-thumbnail.jpg,21198-zz0009sp3k-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009sp3k
Medieval and Renaissance Manuscripts,ark:/21198/zz0009sp43,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009sp43-1-master.tif,51,,,,,,,,,pd,,,,,51,r,,,,,,,,,,,,,,,,,21198-zz0009sp43-1-thumbnail.jpg,21198-zz0009sp43-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009sp43
Medieval and Renaissance Manuscripts,ark:/21198/zz0009sp5m,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009sp5m-1-master.tif,52,,,,,,,,,pd,,,,,52,v,,,,,,,,,,,,,,,,,21198-zz0009sp5m-1-thumbnail.jpg,21198-zz0009sp5m-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009sp5m
Medieval and Renaissance Manuscripts,ark:/21198/zz0009sp64,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009sp64-1-master.tif,53,,,,,,,,,pd,,,,,53,r,,,,,,,,,,,,,,,,,21198-zz0009sp64-1-thumbnail.jpg,21198-zz0009sp64-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009sp64
Medieval and Renaissance Manuscripts,ark:/21198/zz0009sp7n,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009sp7n-1-master.tif,54,,,,,,,,,pd,,,,,54,v,,,,,,,,,,,,,,,,,21198-zz0009sp7n-1-thumbnail.jpg,21198-zz0009sp7n-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009sp7n
Medieval and Renaissance Manuscripts,ark:/21198/zz0009sp85,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009sp85-1-master.tif,55,,,,,,,,,pd,,,,,55,r,,,,,,,,,,,,,,,,,21198-zz0009sp85-1-thumbnail.jpg,21198-zz0009sp85-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009sp85
