Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Type.genre,Rights.permission,Name.subject,Name.photographer,Rights.statementLocal,Rights.copyrightStatus,Alt ID.local,Relation.isPartOf,Title,Date.creation,Date.normalized,Format.dimensions,Format.extent,Name.repository,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Ethnomusicology Archive: James Arkatov World Music Photographs,ark:/21198/zz002jxt50,ark:/21198/zz002jnqk5,1,Completed,Work,JamesArkatov/image/21198-zz002jxt50_2367192_master.tif,,,,still image,color photographs,,,"Arkatov, James, 1920-",Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.,copyrighted,cleth_201501_amp009,"James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles",Music of Mexico Ensemble,"May 15, 2008",2008-05-15,3 1/2 x 5 in.,1 photograph : color,"University of California, Los Angeles. Ethnomusicology Archive",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jxt50,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jxt50/manifest
Ethnomusicology Archive: James Arkatov World Music Photographs,ark:/21198/zz002jxt6h,ark:/21198/zz002jnqk5,1,Completed,Work,JamesArkatov/image/21198-zz002jxt6h_2367195_master.tif,,,,still image,color photographs,,,"Arkatov, James, 1920-",Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.,copyrighted,cleth_201501_amp010,"James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles",Music of Bali Ensemble,"May 17, 2008",2008-05-17,3 1/2 x 5 in.,1 photograph : color,"University of California, Los Angeles. Ethnomusicology Archive",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jxt6h,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jxt6h/manifest
Ethnomusicology Archive: James Arkatov World Music Photographs,ark:/21198/zz002jxt71,ark:/21198/zz002jnqk5,1,Completed,Work,JamesArkatov/image/21198-zz002jxt71_2367186_master.tif,,,,still image,black-and-white photographs,,,"Arkatov, James, 1920-",Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.,copyrighted,cleth_201501_amp007,"James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles",Music of India Ensemble,"May 15, 2008",2008-05-15,4 x 6 in.,1 photograph : b&w,"University of California, Los Angeles. Ethnomusicology Archive",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jxt71,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jxt71/manifest
Ethnomusicology Archive: James Arkatov World Music Photographs,ark:/21198/zz002jxt8j,ark:/21198/zz002jnqk5,1,Completed,Work,JamesArkatov/image/21198-zz002jxt8j_2367201_master.tif,,,,still image,color photographs,,,"Arkatov, James, 1920-",Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.,copyrighted,cleth_201501_amp012,"James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles",Music of Mexico Ensemble,"May 15, 2008",2008-05-15,3 1/2 x 5 in.,1 photograph : color,"University of California, Los Angeles. Ethnomusicology Archive",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jxt8j,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jxt8j/manifest
Ethnomusicology Archive: James Arkatov World Music Photographs,ark:/21198/zz002jxt92,ark:/21198/zz002jnqk5,1,Completed,Work,JamesArkatov/image/21198-zz002jxt92_2367207_master.tif,,,,still image,color photographs,,,"Arkatov, James, 1920-",Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.,copyrighted,cleth_201501_amp014,"James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles",Music of Bali Ensemble,"May 17, 2008",2008-05-17,4 x 6 in.,1 photograph : color,"University of California, Los Angeles. Ethnomusicology Archive",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jxt92,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jxt92/manifest
Ethnomusicology Archive: James Arkatov World Music Photographs,ark:/21198/zz002jxtbk,ark:/21198/zz002jnqk5,1,Completed,Work,JamesArkatov/image/21198-zz002jxtbk_2367198_master.tif,,,,still image,color photographs,,,"Arkatov, James, 1920-",Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.,copyrighted,cleth_201501_amp011,"James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles",Music of Korea Ensemble,"May 30, 2008",2008-05-30,4 x 6 in.,1 photograph : color,"University of California, Los Angeles. Ethnomusicology Archive",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jxtbk,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jxtbk/manifest
Ethnomusicology Archive: James Arkatov World Music Photographs,ark:/21198/zz002jxtc3,ark:/21198/zz002jnqk5,1,Completed,Work,JamesArkatov/image/21198-zz002jxtc3_2367189_master.tif,,,,still image,black-and-white photographs,,,"Arkatov, James, 1920-",Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.,copyrighted,cleth_201501_amp008,"James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles",Music of India Ensemble,"May 15, 2008",2008-05-15,4 x 6 in.,1 photograph : b&w,"University of California, Los Angeles. Ethnomusicology Archive",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jxtc3,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jxtc3/manifest
Ethnomusicology Archive: James Arkatov World Music Photographs,ark:/21198/zz002jxtdm,ark:/21198/zz002jnqk5,1,Completed,Work,JamesArkatov/image/srgb/21198-zz002jxtdm_2367468_master.tif,,,,still image,black-and-white photographs,,,"Arkatov, James, 1920-",Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.,copyrighted,cleth_201501_amp024,"James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles",Music of the Balkans Ensemble,"May 17, 2008",2008-05-17,4 x 6 in.,1 photograph : b&w,"University of California, Los Angeles. Ethnomusicology Archive",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jxtdm,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jxtdm/manifest
Ethnomusicology Archive: James Arkatov World Music Photographs,ark:/21198/zz002jxtf4,ark:/21198/zz002jnqk5,1,Completed,Work,JamesArkatov/image/srgb/21198-zz002jxtf4_2367429_master.tif,,,,still image,color photographs,,,"Arkatov, James, 1920-",Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.,copyrighted,cleth_201501_amp020,"James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles",Music of the Balkans Ensemble,"May 17, 2008",2008-05-17,4 x 6 in.,1 photograph : color,"University of California, Los Angeles. Ethnomusicology Archive",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jxtf4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jxtf4/manifest
Ethnomusicology Archive: James Arkatov World Music Photographs,ark:/21198/zz002jxtgn,ark:/21198/zz002jnqk5,1,Completed,Work,JamesArkatov/image/srgb/21198-zz002jxtgn_2367478_master.tif,,,,still image,color photographs,,,"Arkatov, James, 1920-",Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.,copyrighted,cleth_201501_amp025,"James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles",African American Ensemble,"May 18, 2008",2008-05-18,3 1/2 x 5 in.,1 photograph : color,"University of California, Los Angeles. Ethnomusicology Archive",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jxtgn,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jxtgn/manifest
Ethnomusicology Archive: James Arkatov World Music Photographs,ark:/21198/zz002jxth5,ark:/21198/zz002jnqk5,1,Completed,Work,JamesArkatov/image/srgb/21198-zz002jxth5_2367406_master.tif,,,,still image,color photographs,,,"Arkatov, James, 1920-",Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.,copyrighted,cleth_201501_amp019,"James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles",African American Ensemble,"May 18, 2008",2008-05-18,3 1/2 x 5 in.,1 photograph : color,"University of California, Los Angeles. Ethnomusicology Archive",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jxth5,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jxth5/manifest
Ethnomusicology Archive: James Arkatov World Music Photographs,ark:/21198/zz002jxtjp,ark:/21198/zz002jnqk5,1,Completed,Work,JamesArkatov/image/srgb/21198-zz002jxtjp_2367444_master.tif,,,,still image,color photographs,,,"Arkatov, James, 1920-",Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.,copyrighted,cleth_201501_amp021,"James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles",Music of the Balkans Ensemble,"May 17, 2008",2008-05-17,4 x 6 in.,1 photograph : color,"University of California, Los Angeles. Ethnomusicology Archive",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jxtjp,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jxtjp/manifest
Ethnomusicology Archive: James Arkatov World Music Photographs,ark:/21198/zz002jxtk6,ark:/21198/zz002jnqk5,1,Completed,Work,JamesArkatov/image/srgb/21198-zz002jxtk6_2367219_master.tif,,,,still image,color photographs,,,"Arkatov, James, 1920-",Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.,copyrighted,cleth_201501_amp018,"James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles",Music of the Balkans Ensemble,"May 17, 2008",2008-05-17,3 1/2 x 5 in.,1 photograph : color,"University of California, Los Angeles. Ethnomusicology Archive",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jxtk6,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jxtk6/manifest
Ethnomusicology Archive: James Arkatov World Music Photographs,ark:/21198/zz002jxtmq,ark:/21198/zz002jnqk5,1,Completed,Work,JamesArkatov/image/srgb/21198-zz002jxtmq_2367216_master.tif,,,,still image,color photographs,,,"Arkatov, James, 1920-",Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.,copyrighted,cleth_201501_amp017,"James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles",Music of Bali Ensemble,"May 17, 2008",2008-05-17,4 x 6 in.,1 photograph : color,"University of California, Los Angeles. Ethnomusicology Archive",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jxtmq,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jxtmq/manifest
Ethnomusicology Archive: James Arkatov World Music Photographs,ark:/21198/zz002jxtn7,ark:/21198/zz002jnqk5,1,Completed,Work,JamesArkatov/image/srgb/21198-zz002jxtn7_2367447_master.tif,,,,still image,color photographs,,,"Arkatov, James, 1920-",Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.,copyrighted,cleth_201501_amp022,"James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles",Music of the Balkans Ensemble,"May 17, 2008",2008-05-17,4 x 6 in.,1 photograph : color,"University of California, Los Angeles. Ethnomusicology Archive",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jxtn7,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jxtn7/manifest
Ethnomusicology Archive: James Arkatov World Music Photographs,ark:/21198/zz002jxtpr,ark:/21198/zz002jnqk5,1,Completed,Work,JamesArkatov/image/srgb/21198-zz002jxtpr_2367486_master.tif,,,,still image,color photographs,,,"Arkatov, James, 1920-",Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.,copyrighted,cleth_201501_amp026,"James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles",African American Ensemble,"May 18, 2008",2008-05-18,3 1/2 x 5 in.,1 photograph : color,"University of California, Los Angeles. Ethnomusicology Archive",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jxtpr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jxtpr/manifest
Ethnomusicology Archive: James Arkatov World Music Photographs,ark:/21198/zz002jxtq8,ark:/21198/zz002jnqk5,1,Completed,Work,JamesArkatov/image/srgb/21198-zz002jxtq8_2367462_master.tif,,,,still image,black-and-white photographs,,,"Arkatov, James, 1920-",Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.,copyrighted,cleth_201501_amp023,"James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles",Music of the Balkans Ensemble,"May 17, 2008",2008-05-17,4 x 6 in.,1 photograph : b&w,"University of California, Los Angeles. Ethnomusicology Archive",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jxtq8,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jxtq8/manifest
Ethnomusicology Archive: James Arkatov World Music Photographs,ark:/21198/zz002jxzws,ark:/21198/zz002jnqk5,1,Completed,Work,JamesArkatov/image/srgb/21198-zz002jxzws_2367525_master.tif,,,,still image,color photographs,,,"Arkatov, James, 1920-",Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.,copyrighted,cleth_201501_amp030,"James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles",Music of West Africa Ensemble,"May 29, 2008",2008-05-29,4 x 6 in.,1 photograph,"University of California, Los Angeles. Ethnomusicology Archive",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jxzws,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jxzws/manifest
Ethnomusicology Archive: James Arkatov World Music Photographs,ark:/21198/zz002jxzx9,ark:/21198/zz002jnqk5,1,Completed,Work,JamesArkatov/image/srgb/21198-zz002jxzx9_2368119_master.tif,,,,still image,color photographs,,,"Arkatov, James, 1920-",Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.,copyrighted,cleth_201501_amp036,"James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles",Afro-Cuban Music Ensemble,"May 18, 2008",2008-05-18,4 x 6 in.,1 photograph : color,"University of California, Los Angeles. Ethnomusicology Archive",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jxzx9,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jxzx9/manifest
Ethnomusicology Archive: James Arkatov World Music Photographs,ark:/21198/zz002jxzzt,ark:/21198/zz002jnqk5,1,Completed,Work,JamesArkatov/image/srgb/21198-zz002jxzzt_2367583_master.tif,,,,still image,color photographs,,,"Arkatov, James, 1920-",Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.,copyrighted,cleth_201501_amp034,"James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles",Music of West Africa Ensemble,,,4 x 6 in.,1 photograph : color,"University of California, Los Angeles. Ethnomusicology Archive",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jxzzt,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jxzzt/manifest
Ethnomusicology Archive: James Arkatov World Music Photographs,ark:/21198/zz002jz008,ark:/21198/zz002jnqk5,1,Completed,Work,JamesArkatov/image/srgb/21198-zz002jz008_2368116_master.tif,,,,still image,color photographs,,,"Arkatov, James, 1920-",Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.,copyrighted,cleth_201501_amp035,"James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles",Music of West Africa Ensemble,"May 29, 2008",2008-05-29,4 x 6 in.,1 photograph : color,"University of California, Los Angeles. Ethnomusicology Archive",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jz008,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jz008/manifest
Ethnomusicology Archive: James Arkatov World Music Photographs,ark:/21198/zz002jz01s,ark:/21198/zz002jnqk5,1,Completed,Work,JamesArkatov/image/srgb/21198-zz002jz01s_2367495_master.tif,,,,still image,color photographs,,,"Arkatov, James, 1920-",Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.,copyrighted,cleth_201501_amp028,"James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles",African American Ensemble,"May 18, 2008",2008-05-18,3 1/2 x 5 in.,1 photograph : color,"University of California, Los Angeles. Ethnomusicology Archive",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jz01s,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jz01s/manifest
