"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Visibility","viewingHint","Delete in Title","Subject topic","Thumbnail","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.permission","Rights.publicationStatus","Coverage.geographic","Name.photographer","Author","Name.subject","Subject","Subject.conceptTopic","Language","Rights.permissionNote","Name.creator","Rights.publicationNote","Text direction","IIIF Range","Name.repository","Title","Date.creation","Description.note","Summary","Description.caption","Date.normalized","Description.abstract","Date.created","AltTitle.other","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015sv05","ark:/21198/zz0015ssx5","2","Completed","Page","scwu/images/masters/21198-zz0015sv05-1-master.tif","6","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015sv05"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015sv1p","ark:/21198/zz0015ssx5","2","Completed","Page","scwu/images/masters/21198-zz0015sv1p-1-master.tif","7","","","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015sv1p"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015sv26","ark:/21198/zz0015ssx5","2","Completed","Page","scwu/images/masters/21198-zz0015sv26-1-master.tif","8","","","","","","","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015sv26"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015sv3q","ark:/21198/zz0015sszp","2","Completed","Page","scwu/images/masters/21198-zz0015sv3q-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015sv3q"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015sv47","ark:/21198/zz0015sszp","2","Completed","Page","scwu/images/masters/21198-zz0015sv47-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015sv47"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015sv7s","ark:/21198/zz0015st0p","2","Completed","Page","scwu/images/masters/21198-zz0015sv7s-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015sv7s"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015sv89","ark:/21198/zz0015st0p","2","Completed","Page","scwu/images/masters/21198-zz0015sv89-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015sv89"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015sv9t","ark:/21198/zz0015st0p","2","Completed","Page","scwu/images/masters/21198-zz0015sv9t-1-master.tif","3","","","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015sv9t"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015svbb","ark:/21198/zz0015st16","2","Completed","Page","scwu/images/masters/21198-zz0015svbb-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015svbb"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015svcv","ark:/21198/zz0015st16","2","Completed","Page","scwu/images/masters/21198-zz0015svcv-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015svcv"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015svfw","ark:/21198/zz0015st2q","2","Completed","Page","scwu/images/masters/21198-zz0015svfw-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015svfw"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015svgd","ark:/21198/zz0015st2q","2","Completed","Page","scwu/images/masters/21198-zz0015svgd-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015svgd"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015svkz","ark:/21198/zz0015st37","2","Completed","Page","scwu/images/masters/21198-zz0015svkz-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015svkz"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015svmg","ark:/21198/zz0015st37","2","Completed","Page","scwu/images/masters/21198-zz0015svmg-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015svmg"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015swbt","ark:/21198/zz0015sw0n","2","Completed","Page","scwu/images/masters/21198-zz0015swbt-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015swbt"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015swcb","ark:/21198/zz0015sw0n","2","Completed","Page","scwu/images/masters/21198-zz0015swcb-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015swcb"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015swfc","ark:/21198/zz0015sw15","2","Completed","Page","scwu/images/masters/21198-zz0015swfc-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015swfc"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015swgw","ark:/21198/zz0015sw15","2","Completed","Page","scwu/images/masters/21198-zz0015swgw-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015swgw"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015swkf","ark:/21198/zz0015sw2p","2","Completed","Page","scwu/images/masters/21198-zz0015swkf-1-master.tif","3","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015swkf"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015swng","ark:/21198/zz0015sw36","2","Completed","Page","scwu/images/masters/21198-zz0015swng-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015swng"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015swp0","ark:/21198/zz0015sw36","2","Completed","Page","scwu/images/masters/21198-zz0015swp0-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015swp0"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015swqh","ark:/21198/zz0015sw36","2","Completed","Page","scwu/images/masters/21198-zz0015swqh-1-master.tif","3","","","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015swqh"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015swr1","ark:/21198/zz0015sw36","2","Completed","Page","scwu/images/masters/21198-zz0015swr1-1-master.tif","4","","","","","","","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015swr1"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015sx1n","ark:/21198/zz0015sw4q","2","Completed","Page","scwu/images/masters/21198-zz0015sx1n-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015sx1n"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015sx25","ark:/21198/zz0015sw4q","2","Completed","Page","scwu/images/masters/21198-zz0015sx25-1-master.tif","3","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015sx25"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015sx3p","ark:/21198/zz0015sw4q","2","Completed","Page","scwu/images/masters/21198-zz0015sx3p-1-master.tif","4","","","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015sx3p"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015sx46","ark:/21198/zz0015sw57","2","Completed","Page","scwu/images/masters/21198-zz0015sx46-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015sx46"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015sx5q","ark:/21198/zz0015sw57","2","Completed","Page","scwu/images/masters/21198-zz0015sx5q-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015sx5q"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015sx67","ark:/21198/zz0015sw6r","2","Completed","Page","scwu/images/masters/21198-zz0015sx67-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015sx67"
