"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","viewingHint","Text direction","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Subject","Type.genre","Language","Name.editor","Name.engraver","Title","Relation.rectoVerso","Relation.pageNumber","Description.note","Source","Relation.isPartOf","Alt ID.local","Date.normalized","Publisher.publisherName","Format.extent","Publisher.placeOfOrigin","Date.publication","Format.dimensions","Description.tableOfContents","Alt ID.oclc","AltTitle.uniform","AltTitle.inscribed","Relation.hasPart","Name.printer","Name.illustrator","Rights.copyrightStatus","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Picart (Bernard) Collection","ark:/21198/zz001hg21p","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg21p-1-master.tif","","","42","","","text","","","","","","page 006","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg21p",""
"Picart (Bernard) Collection","ark:/21198/zz001hg226","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg226-1-master.tif","","","43","","","text","","","","","","page 007","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg226",""
"Picart (Bernard) Collection","ark:/21198/zz001hg23q","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg23q-1-master.tif","","","44","","","text","","","","","","page 008","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg23q",""
"Picart (Bernard) Collection","ark:/21198/zz001hg247","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg247-1-master.tif","","","45","","","text","","","","","","page 009","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg247",""
"Picart (Bernard) Collection","ark:/21198/zz001hg25r","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg25r-1-master.tif","","","46","","","text","","","","","","page 010","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg25r",""
"Picart (Bernard) Collection","ark:/21198/zz001hg268","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg268-1-master.tif","","","47","","","text","","","","","","page 011","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg268",""
"Picart (Bernard) Collection","ark:/21198/zz001hg27s","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg27s-1-master.tif","","","48","","","text","","","","","","page 012","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg27s",""
"Picart (Bernard) Collection","ark:/21198/zz001hg289","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg289-1-master.tif","","","49","","","text","","","","","","page 013","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg289",""
"Picart (Bernard) Collection","ark:/21198/zz001hg29t","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg29t-1-master.tif","","","50","","","text","","","","","","page 014","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg29t",""
"Picart (Bernard) Collection","ark:/21198/zz001hg2bb","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg2bb-1-master.tif","","","51","","","text","","","","","","page 015","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg2bb",""
