"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","viewingHint","Text direction","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Subject","Type.genre","Language","Name.editor","Name.engraver","Title","Relation.rectoVerso","Relation.pageNumber","Description.note","Source","Relation.isPartOf","Alt ID.local","Date.normalized","Publisher.publisherName","Format.extent","Publisher.placeOfOrigin","Date.creation","Format.dimensions","Description.tableOfContents","Alt ID.oclc","AltTitle.uniform","AltTitle.inscribed","Relation.hasPart","Name.printer","Name.illustrator","Rights.copyrightStatus","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Picart (Bernard) Collection","ark:/21198/zz001hhsw6","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhsw6-1-master.tif","","","12","","","text","","","","","","page 004","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhsw6",""
"Picart (Bernard) Collection","ark:/21198/zz001hhsxq","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhsxq-1-master.tif","","","13","","","text","","","","","","page 005","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhsxq",""
"Picart (Bernard) Collection","ark:/21198/zz001hhsz7","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhsz7-1-master.tif","","","14","","","text","","","","","","page 006","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhsz7",""
"Picart (Bernard) Collection","ark:/21198/zz001hht07","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hht07-1-master.tif","","","15","","","text","","","","","","blank page","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hht07",""
"Picart (Bernard) Collection","ark:/21198/zz001hht1r","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hht1r-1-master.tif","","","16","","","still image","","","","","","Diverses PAGODES et PENITENCES des FAQUIRS. (lefthand gatefold)","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hht1r",""
"Picart (Bernard) Collection","ark:/21198/zz001hht28","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hht28-1-master.tif","","","17","","","text","","","","","","Diverses PAGODES et PENITENCES des FAQUIRS. (righthand gatefold)","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hht28",""
"Picart (Bernard) Collection","ark:/21198/zz001hht3s","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hht3s-1-master.tif","","","18","","","still image","","","","","","Diverses PAGODES et PENITENCES des FAQUIRS. (full gatefold)","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hht3s",""
"Picart (Bernard) Collection","ark:/21198/zz001hht49","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hht49-1-master.tif","","","19","","","text","","","","","","blank page","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hht49",""
"Picart (Bernard) Collection","ark:/21198/zz001hht5t","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hht5t-1-master.tif","","","20","","","text","","","","","","(page 007)","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hht5t",""
"Picart (Bernard) Collection","ark:/21198/zz001hht6b","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hht6b-1-master.tif","","","21","","","text","","","","","","blank page","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hht6b",""
"Picart (Bernard) Collection","ark:/21198/zz001hht7v","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hht7v-1-master.tif","","","22","","","text","","","","","","page 007","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hht7v",""
"Picart (Bernard) Collection","ark:/21198/zz001hht8c","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hht8c-1-master.tif","","","23","","","text","","","","","","page 008","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hht8c",""
"Picart (Bernard) Collection","ark:/21198/zz001hht9w","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hht9w-1-master.tif","","","24","","","text","","","","","","page 009","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hht9w",""
"Picart (Bernard) Collection","ark:/21198/zz001hhtbd","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhtbd-1-master.tif","","","25","","","text","","","","","","page 010","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhtbd",""
"Picart (Bernard) Collection","ark:/21198/zz001hhtcx","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhtcx-1-master.tif","","","26","","","text","","","","","","page 011","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhtcx",""
"Picart (Bernard) Collection","ark:/21198/zz001hhtdf","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhtdf-1-master.tif","","","27","","","text","","","","","","page 012","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhtdf",""
"Picart (Bernard) Collection","ark:/21198/zz001hhtfz","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhtfz-1-master.tif","","","28","","","text","","","","","","page 013","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhtfz",""
"Picart (Bernard) Collection","ark:/21198/zz001hhtgg","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhtgg-1-master.tif","","","29","","","text","","","","","","page 014","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhtgg",""
"Picart (Bernard) Collection","ark:/21198/zz001hhth0","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhth0-1-master.tif","","","30","","","text","","","","","","page 015","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhth0",""
"Picart (Bernard) Collection","ark:/21198/zz001hhtjh","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhtjh-1-master.tif","","","31","","","text","","","","","","page 016","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhtjh",""
"Picart (Bernard) Collection","ark:/21198/zz001hhtk1","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhtk1-1-master.tif","","","32","","","text","","","","","","page 017","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhtk1",""
"Picart (Bernard) Collection","ark:/21198/zz001hhtmj","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhtmj-1-master.tif","","","33","","","text","","","","","","page 018","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhtmj",""
"Picart (Bernard) Collection","ark:/21198/zz001hhtn2","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhtn2-1-master.tif","","","34","","","text","","","","","","page 019","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhtn2",""
"Picart (Bernard) Collection","ark:/21198/zz001hhtpk","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhtpk-1-master.tif","","","35","","","text","","","","","","page 020","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhtpk",""
"Picart (Bernard) Collection","ark:/21198/zz001hhtq3","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhtq3-1-master.tif","","","36","","","still image","","","","","","CEREMONIE qui s'observe a la NAISSANCE des ENFANS chez les BANIANS. A. la MERE presente le seina L'ENFANT. B. L'ENFANT qui a refusé le sein est exposé. C. L'ENFANT continuant pendant jours de refuser le sein, est jette dans la GANGE. CEREMONIE de donner le NOM á un ENFANT chez les BANIANS.","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhtq3",""
"Picart (Bernard) Collection","ark:/21198/zz001hhtrm","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhtrm-1-master.tif","","","37","","","text","","","","","","blank page","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhtrm",""
"Picart (Bernard) Collection","ark:/21198/zz001hhts4","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhts4-1-master.tif","","","38","","","text","","","","","","page 021","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhts4",""
"Picart (Bernard) Collection","ark:/21198/zz001hhttn","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhttn-1-master.tif","","","39","","","text","","","","","","page 022","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhttn",""
"Picart (Bernard) Collection","ark:/21198/zz001hhtv5","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhtv5-1-master.tif","","","40","","","text|~|still image","","","","","","Maniere dont les FEMMES se BRULENT aux INDES apres la Mort de leurs EPOUX. Maniere dont elles S'ENTERRENT toutes vivantes avec le Corps de leurs EPOUX.","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhtv5",""
"Picart (Bernard) Collection","ark:/21198/zz001hhtwp","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhtwp-1-master.tif","","","41","","","text","","","","","","blank page","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhtwp",""
"Picart (Bernard) Collection","ark:/21198/zz001hhtx6","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhtx6-1-master.tif","","","42","","","text","","","","","","page 023","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhtx6",""
"Picart (Bernard) Collection","ark:/21198/zz001hhtzq","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhtzq-1-master.tif","","","43","","","text","","","","","","page 024","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhtzq",""
"Picart (Bernard) Collection","ark:/21198/zz001hhv0q","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhv0q-1-master.tif","","","44","","","still image","","","","","","MALADE que l'on presente à IXORA pour obtenir sa guerison. MALADE Agonisant qui reçoit sur son visage l'urine d'une Vache.","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhv0q",""
"Picart (Bernard) Collection","ark:/21198/zz001hhv17","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhv17-1-master.tif","","","45","","","text","","","","","","blank page","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhv17",""
"Picart (Bernard) Collection","ark:/21198/zz001hhv2r","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhv2r-1-master.tif","","","46","","","text","","","","","","page 025","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhv2r",""
"Picart (Bernard) Collection","ark:/21198/zz001hhv38","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhv38-1-master.tif","","","47","","","text","","","","","","page 026","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhv38",""
"Picart (Bernard) Collection","ark:/21198/zz001hhv4s","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhv4s-1-master.tif","","","48","","","text","","","","","","page 027","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhv4s",""
"Picart (Bernard) Collection","ark:/21198/zz001hhv59","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhv59-1-master.tif","","","49","","","text","","","","","","page 028","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhv59",""
"Picart (Bernard) Collection","ark:/21198/zz001hhv6t","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhv6t-1-master.tif","","","50","","","text","","","","","","page 029","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhv6t",""
"Picart (Bernard) Collection","ark:/21198/zz001hhv7b","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhv7b-1-master.tif","","","51","","","text","","","","","","page 030","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhv7b",""
"Picart (Bernard) Collection","ark:/21198/zz001hhv8v","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhv8v-1-master.tif","","","52","","","text","","","","","","page 031","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhv8v",""
"Picart (Bernard) Collection","ark:/21198/zz001hhv9c","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhv9c-1-master.tif","","","53","","","text","","","","","","page 032","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhv9c",""
"Picart (Bernard) Collection","ark:/21198/zz001hhvbw","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhvbw-1-master.tif","","","54","","","still image","","","","","","FÊTE SOLENNELLE du PEGU appellée SAPAN GIACCHE.","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhvbw",""
"Picart (Bernard) Collection","ark:/21198/zz001hhvcd","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhvcd-1-master.tif","","","55","","","text","","","","","","blank page","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhvcd",""
"Picart (Bernard) Collection","ark:/21198/zz001hhvdx","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhvdx-1-master.tif","","","56","","","still image","","","","","","La FÊTE des EAUX des PEGUANS. CEREMONIES FUNÊBRES que les PEGUANS pratiquent pour leur ROI DEFUNT.","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhvdx",""
"Picart (Bernard) Collection","ark:/21198/zz001hhvff","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhvff-1-master.tif","","","57","","","text","","","","","","blank page","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhvff",""
"Picart (Bernard) Collection","ark:/21198/zz001hhvgz","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhvgz-1-master.tif","","","58","","","text","","","","","","page 033","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhvgz",""
"Picart (Bernard) Collection","ark:/21198/zz001hhvhg","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhvhg-1-master.tif","","","59","","","text","","","","","","page 034","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhvhg",""
"Picart (Bernard) Collection","ark:/21198/zz001hhvj0","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhvj0-1-master.tif","","","60","","","text","","","","","","page 035","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhvj0",""
"Picart (Bernard) Collection","ark:/21198/zz001hhvkh","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhvkh-1-master.tif","","","61","","","text","","","","","","page 036","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhvkh",""
"Picart (Bernard) Collection","ark:/21198/zz001hhvm1","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhvm1-1-master.tif","","","62","","","text","","","","","","page 037","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhvm1",""
"Picart (Bernard) Collection","ark:/21198/zz001hhvnj","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhvnj-1-master.tif","","","63","","","text","","","","","","page 038","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhvnj",""
"Picart (Bernard) Collection","ark:/21198/zz001hhvp2","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhvp2-1-master.tif","","","64","","","text","","","","","","page 039","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhvp2",""
"Picart (Bernard) Collection","ark:/21198/zz001hhvqk","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhvqk-1-master.tif","","","65","","","text","","","","","","page 040","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhvqk",""
"Picart (Bernard) Collection","ark:/21198/zz001hhvr3","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhvr3-1-master.tif","","","66","","","text","","","","","","page 041","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhvr3",""
"Picart (Bernard) Collection","ark:/21198/zz001hhvsm","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhvsm-1-master.tif","","","67","","","text","","","","","","page 042","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhvsm",""
"Picart (Bernard) Collection","ark:/21198/zz001hhvt4","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhvt4-1-master.tif","","","68","","","text","","","","","","page 043","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhvt4",""
"Picart (Bernard) Collection","ark:/21198/zz001hhvvn","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhvvn-1-master.tif","","","69","","","text","","","","","","page 044","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhvvn",""
"Picart (Bernard) Collection","ark:/21198/zz001hhvw5","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhvw5-1-master.tif","","","70","","","text","","","","","","page 045","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhvw5",""
"Picart (Bernard) Collection","ark:/21198/zz001hhvxp","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhvxp-1-master.tif","","","71","","","text","","","","","","page 046","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhvxp",""
"Picart (Bernard) Collection","ark:/21198/zz001hhvz6","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhvz6-1-master.tif","","","72","","","text","","","","","","page 047","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhvz6",""
"Picart (Bernard) Collection","ark:/21198/zz001hhw06","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhw06-1-master.tif","","","73","","","text","","","","","","page 048","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhw06",""
"Picart (Bernard) Collection","ark:/21198/zz001hhw1q","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhw1q-1-master.tif","","","74","","","text","","","","","","blank page","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhw1q",""
"Picart (Bernard) Collection","ark:/21198/zz001hhw27","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhw27-1-master.tif","","","75","","","still image","","","","","","SOMMONACODOM. Autre representation de cette IDOLE. AUTRE. TALAPAT parafoldes TALAPOINS.","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhw27",""
"Picart (Bernard) Collection","ark:/21198/zz001hhw3r","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhw3r-1-master.tif","","","76","","","text","","","","","","page 049","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhw3r",""
