"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","viewingHint","Text direction","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Subject","Type.genre","Language","Name.editor","Name.engraver","Title","Relation.rectoVerso","Relation.pageNumber","Description.note","Source","Relation.isPartOf","Alt ID.local","Date.normalized","Publisher.publisherName","Format.extent","Publisher.placeOfOrigin","Date.publication","Format.dimensions","Description.tableOfContents","Alt ID.oclc","AltTitle.uniform","AltTitle.inscribed","Relation.hasPart","Name.printer","Name.illustrator","Rights.copyrightStatus","Bucketeer State","IIIF Access URL"
"Picart (Bernard) Collection","ark:/21198/zz001hh5g9","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh5g9-1-master.tif","","","35","","","text","","","","","","page 014","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh5g9"
"Picart (Bernard) Collection","ark:/21198/zz001hh5ht","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh5ht-1-master.tif","","","36","","","text","","","","","","page 015","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh5ht"
"Picart (Bernard) Collection","ark:/21198/zz001hh5jb","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh5jb-1-master.tif","","","37","","","text","","","","","","page 016","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh5jb"
"Picart (Bernard) Collection","ark:/21198/zz001hh5kv","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh5kv-1-master.tif","","","38","","","text","","","","","","page 017","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh5kv"
"Picart (Bernard) Collection","ark:/21198/zz001hh5mc","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh5mc-1-master.tif","","","39","","","text","","","","","","page 018","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh5mc"
"Picart (Bernard) Collection","ark:/21198/zz001hh5nw","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh5nw-1-master.tif","","","40","","","text","","","","","","page 019","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh5nw"
"Picart (Bernard) Collection","ark:/21198/zz001hh5pd","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh5pd-1-master.tif","","","41","","","text","","","","","","page 020","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh5pd"
"Picart (Bernard) Collection","ark:/21198/zz001hh5qx","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh5qx-1-master.tif","","","42","","","text","","","","","","page 021","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh5qx"
"Picart (Bernard) Collection","ark:/21198/zz001hh5rf","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh5rf-1-master.tif","","","43","","","text","","","","","","page 022","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh5rf"
"Picart (Bernard) Collection","ark:/21198/zz001hh5sz","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh5sz-1-master.tif","","","44","","","text","","","","","","page 023","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh5sz"
