"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Rights.copyrightStatus","Rights.countryCreation","Type.genre","Rights.permission","Language","Name.creator","Name.repository","Relation.isPartOf","Rights.rightsHolderContact","Rights.servicesContact","Date.normalized","Description.note","Title","Date.creation","Bucketeer State","IIIF Access URL"
"Eisler (George) Collection","ark:/21198/z18h07sr","ark:/21198/zz002dj6mf","","","Page","george_eisler/image/21198-zz002dj6mf-1-master_001.tif","1","","","","","","","","","","","","","","","","Page 1","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18h07sr"
"Eisler (George) Collection","ark:/21198/z14q9h3b","ark:/21198/zz002dj6mf","","","Page","george_eisler/image/21198-zz002dj6mf-1-master_002.tif","2","","","","","","","","","","","","","","","","Page 2","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14q9h3b"
"Eisler (George) Collection","ark:/21198/z10z8rfh","ark:/21198/zz002dj6mf","","","Page","george_eisler/image/21198-zz002dj6mf-1-master_003.tif","3","","","","","","","","","","","","","","","","Page 3","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10z8rfh"
"Eisler (George) Collection","ark:/21198/z1w687x2","ark:/21198/zz002dj6nz","","","Page","george_eisler/image/21198-zz002dj6nz-1-master_001.tif","1","","","","","","","","","","","","","","","","Page 1","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w687x2"
"Eisler (George) Collection","ark:/21198/z1rf7h59","ark:/21198/zz002dj6nz","","","Page","george_eisler/image/21198-zz002dj6nz-1-master_002.tif","2","","","","","","","","","","","","","","","","Page 2","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rf7h59"
"Eisler (George) Collection","ark:/21198/z1mp6rcp","ark:/21198/zz002dj6nz","","","Page","george_eisler/image/21198-zz002dj6nz-1-master_003.tif","3","","","","","","","","","","","","","","","","Page 3","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mp6rcp"
"Eisler (George) Collection","ark:/21198/z1gx60ps","ark:/21198/zz002dj6rh","","","Page","george_eisler/image/21198-zz002dj6rh-1-master_001.tif","1","","","","","","","","","","","","","","","","Page 1","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gx60ps"
"Eisler (George) Collection","ark:/21198/z1c83zd5","ark:/21198/zz002dj6rh","","","Page","george_eisler/image/21198-zz002dj6rh-1-master_002.tif","2","","","","","","","","","","","","","","","","Page 2","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c83zd5"
"Eisler (George) Collection","ark:/21198/z17h36q8","ark:/21198/zz002dj6rh","","","Page","george_eisler/image/21198-zz002dj6rh-1-master_003.tif","3","","","","","","","","","","","","","","","","Page 3","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17h36q8"
"Eisler (George) Collection","ark:/21198/z13r2g1d","ark:/21198/zz002dj6rh","","","Page","george_eisler/image/21198-zz002dj6rh-1-master_004.tif","4","","","","","","","","","","","","","","","","Page 4","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13r2g1d"
"Eisler (George) Collection","ark:/21198/z1001q90","ark:/21198/zz002dj6rh","","","Page","george_eisler/image/21198-zz002dj6rh-1-master_005.tif","5","","","","","","","","","","","","","","","","Page 5","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1001q90"
"Eisler (George) Collection","ark:/21198/z1v716qb","ark:/21198/zz002dj6rh","","","Page","george_eisler/image/21198-zz002dj6rh-1-master_006.tif","6","","","","","","","","","","","","","","","","Page 6","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v716qb"
"Eisler (George) Collection","ark:/21198/z1qg0g01","ark:/21198/zz002djff7","","","Page","george_eisler/image/21198-zz002djff7-1-master_001.tif","1","","","","","","","","","","","","","","","","Page 1","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qg0g01"
"Eisler (George) Collection","ark:/21198/z1ks8dp2","ark:/21198/zz002djff7","","","Page","george_eisler/image/21198-zz002djff7-1-master_002.tif","2","","","","","","","","","","","","","","","","Page 2","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks8dp2"
"Eisler (George) Collection","ark:/21198/z1g17nzn","ark:/21198/zz002djff7","","","Page","george_eisler/image/21198-zz002djff7-1-master_003.tif","3","","","","","","","","","","","","","","","","Page 3","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g17nzn"
"Eisler (George) Collection","ark:/21198/z1b86x97","ark:/21198/zz002djff7","","","Page","george_eisler/image/21198-zz002djff7-1-master_004.tif","4","","","","","","","","","","","","","","","","Page 4","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b86x97"
