"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Visibility","viewingHint","Duplicate","Delete in Title","Type.typeOfResource","Thumbnail","Title","Alt ID.local","IIIF Manifest URL"
"Iranian National Baha'i Archives","ark:/21198/zz002h5xt0","ark:/21198/zz002h5tmf","2","Completed","Work","","","","individuals","","","text","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15730v6","Issue 32","INBA-Jild-32","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h5xt0/manifest"
"Iranian National Baha'i Archives","ark:/21198/zz002h5xvh","ark:/21198/zz002h5tmf","2","Completed","Work","","","","paged","","","text","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bv94d2","Issue 33","INBA-Jild-33","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h5xvh/manifest"
"Iranian National Baha'i Archives","ark:/21198/zz002h5xw1","ark:/21198/zz002h5tmf","2","Completed","Work","","","","individuals","","","text","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ng6cgq","Issue 34","INBA-Jild-34","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h5xw1/manifest"
"Iranian National Baha'i Archives","ark:/21198/zz002h5xxj","ark:/21198/zz002h5tmf","2","Completed","Work","","","","individuals","","","text","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15h944g","Issue 35","INBA-Jild-35","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h5xxj/manifest"
"Iranian National Baha'i Archives","ark:/21198/zz002h5xz2","ark:/21198/zz002h5tmf","2","Completed","Work","","","","paged","","","text","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rj66dc","Issue 36","INBA-Jild-36","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h5xz2/manifest"
"Iranian National Baha'i Archives","ark:/21198/zz002h5z02","ark:/21198/zz002h5tmf","2","Completed","Work","","","","paged","","","text","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b586qn","Issue 37","INBA-Jild-37","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h5z02/manifest"
"Iranian National Baha'i Archives","ark:/21198/zz002h5z1k","ark:/21198/zz002h5tmf","2","Completed","Work","","","","paged","","","text","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11k0zrh","Issue 38","INBA-Jild-38","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h5z1k/manifest"
"Iranian National Baha'i Archives","ark:/21198/zz002h5z23","ark:/21198/zz002h5tmf","2","Completed","Work","","","","paged","","","text","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14b4pdr","Issue 39","INBA-Jild-39","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h5z23/manifest"
"Iranian National Baha'i Archives","ark:/21198/zz002h5z3m","ark:/21198/zz002h5tmf","2","Completed","Work","","","","paged","","","text","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pp0tpw","Issue 40","INBA-Jild-40","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h5z3m/manifest"
"Iranian National Baha'i Archives","ark:/21198/zz002h5z44","ark:/21198/zz002h5tmf","2","Completed","Work","","","","paged","","","text","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cv65r4","Issue 41","INBA-Jild-41","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h5z44/manifest"
"Iranian National Baha'i Archives","ark:/21198/zz002h5z5n","ark:/21198/zz002h5tmf","2","Completed","Work","","","","paged","","","text","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rf7h2z","Issue 42","INBA-Jild-42","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h5z5n/manifest"
"Iranian National Baha'i Archives","ark:/21198/zz002h5z65","ark:/21198/zz002h5tmf","2","Completed","Work","","","","paged","","","text","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pv87fg","Issue 43","INBA-Jild-43","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h5z65/manifest"
