Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Visibility,Duplicate,Delete in Title,Type.typeOfResource,Type.genre,Subject,Name.donor,Name.photographer,Name.artist,Alt ID.local,AltTitle.uniform,Format.extent,Relation.isPartOf,Rights.copyrightStatus,Title,AltTitle.other,Description.note,Date.creation,Format.medium,Date.normalized,Description.abstract,Rights.notice,Format.dimensions,Description.physicalDescription,Opac url,Finding Aid URL,Rights.servicesContact,Name.copyrightHolder,Name.repository,Name.manufacturer,Name.designer,Name.contributor,Publisher.publisherName,Name.subject,Name.architect,Name.printer,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Castillo (Oscar R.) Photograph Collection,ark:/21198/zz002561s7,ark:/21198/zz0002wfmd,1,In progress,Work,castillo/masters/21198-zz002561s7_1658728_master.tif,,private,,,still image,Black-and-white photographs,"photography -- Chicano|~|photography -- Mexican American|~|Photographers--California, Southern--Archival resources|~|Chicano artists--California--Los Angeles County|~|documentary photography|~|Castillo, Oscar R.|~|Chicano archives",Oscar Castillo,"Castillo, Oscar R., 1945 -","Castillo, Oscar R., 1945 -",csrc_ocpc_ephemeral_015.tif,Oscar Castillo Photograph Collection,1 Drawing,Oscar Castillo Papers,"Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",(new)Drawing by Beto de la Rocha,,,n.d.,Gelatin Silver photograph,n.d.,,,,,,,,Oscar Castillo,UCLA Chicano Studies Research Center Library & Archive,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002561s7,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002561s7/manifest
Castillo (Oscar R.) Photograph Collection,ark:/21198/zz0025620t,ark:/21198/zz0002wfmd,2,Completed,Work,castillo/masters/21198-zz0025620t_1658747_master.tif,,private,,,still image,posters,"Gonzalez, Juan (muralist, probably American, born 1943)|~|photography -- Chicano|~|Rocha, Beto de la|~|photography -- Mexican American|~|Los Four|~|Almaraz, Carlos (Mexican-American painter and muralist, 1941-1989)|~|Castillo, Oscar R.|~|Chicano artists--California--Los Angeles County|~|Chicano archives",Oscar Castillo,"Castillo, Oscar R., 1945 -","Castillo, Oscar R., 1945 -",csrc_ocpc_ephemeral_016.tif,Oscar Castillo Photograph Collection,1 Flyer,Ocsar Castillo Papers,"Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Invitation for Los Four Retrospective Exhibit,,,1994,,1990/1999,,,,,,,,Oscar Castillo,UCLA Chicano Studies Research Center Library & Archive,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025620t,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025620t/manifest
Castillo (Oscar R.) Photograph Collection,ark:/21198/zz002562d1,ark:/21198/zz0002wfmd,2,Completed,Work,castillo/masters/21198-zz002562d1_1658857_master.tif,,private,,,still image|~|text,,,,,,csrc_ocpc_ephemeral_018.tif,Oscar Castillo Photograph Collection,1 Document,Oscar Castillo Papers,,short story by Beto de la Rocha,,,,,,,,,,,,,,UCLA Chicano Studies Research Center Library & Archive,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002562d1,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002562d1/manifest
Castillo (Oscar R.) Photograph Collection,ark:/21198/zz00256hhv,ark:/21198/zz0002wfmd,2,Completed,Work,castillo/masters/21198-zz00256hhv_1795176_master.tif,,private,,,still image,black-and-white negatives,"photography -- Chicano|~|photography -- Mexican American|~|Mechicano Art Center|~|Photographers--California, Southern--Archival resources|~|Chicano artists--California--Los Angeles County|~|documentary photography|~|Castillo, Oscar R.|~|Chicano archives",Oscar Castillo,"Castillo, Oscar R., 1945 -","Castillo, Oscar R., 1945 -",csrc_ocpc_filmnegatives_01_01731,Oscar Castillo Photograph Collection,1 Photograph,Oscar Castillo Papers,"Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Proof Sheet: Goez Art Gallery and Mechicano Artists,,"Photograph taken in East Los Angeles, CA.",early 1970s,Gelatin-Silver Photograph,1970/1975,,,,,,,,Oscar Castillo,UCLA Chicano Studies Research Center Library & Archive,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256hhv,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00256hhv/manifest
Castillo (Oscar R.) Photograph Collection,ark:/21198/zz00256nwg,ark:/21198/zz0002wfmd,2,Completed,Work,castillo/masters/21198-zz00256nwg_1795173_master.tif,,private,,,still image,black-and-white negatives,"photography -- Chicano|~|photography -- Mexican American|~|Photographers--California, Southern--Archival resources|~|Chicano artists--California--Los Angeles County|~|documentary photography|~|Castillo, Oscar R.|~|Chicano archives",Oscar Castillo,"Castillo, Oscar R., 1945 -","Castillo, Oscar R., 1945 -",csrc_ocpc_filmnegatives_01_01730,Oscar Castillo Photograph Collection,1 Photograph,Oscar Castillo Papers,"Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Proof Sheet: people of Proyecto del Barrio,,"Photograph taken in San Fernando, CAProyecto del Barrio was a rehabilitation center for narcotic offenders.",early 1970s,Gelatin-Silver Photograph,1970/1975,,,,,,,,Oscar Castillo,UCLA Chicano Studies Research Center Library & Archive,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256nwg,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00256nwg/manifest
Castillo (Oscar R.) Photograph Collection,ark:/21198/zz0026w0gg,ark:/21198/zz0002wfmd,1,In progress,Work,castillo/masters/21198-zz0026w0gg_1882404_master.tif,,private,,,still image,black-and-white negatives,"photography -- Chicano|~|photography -- Mexican American|~|Photographers--California, Southern--Archival resources|~|Chicano artists--California--Los Angeles County|~|Castillo, Oscar R.|~|documentary photography|~|Chicano archives",Oscar Castillo,"Castillo, Oscar R., 1945 -","Castillo, Oscar R., 1945 -",csrc_ocpc_filmnegatives_05_02405,Oscar Castillo Photograph Collection,1 Photograph,Oscar Castillo Papers,"Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",(new)Proof Sheet: Production Stills on Little Tokyo Documentary,,"Photograph taken in Los Angeles, CA",c. 1970s,Gelatin-Silver Photograph,1970/1979,,,,,,,,Oscar Castillo,UCLA Chicano Studies Research Center Library & Archive,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026w0gg,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026w0gg/manifest
Castillo (Oscar R.) Photograph Collection,ark:/21198/zz0027fb99,ark:/21198/zz0002wfmd,1,In progress,Work,castillo/masters/21198-zz0027fb99_1836056_master.tif,,private,,,still image,black-and-white negatives,"photography -- Chicano|~|photography -- Mexican American|~|Photographers--California, Southern--Archival resources|~|documentary photography|~|Castillo, Oscar R.|~|Chicano artists--California--Los Angeles County|~|Chicano archives",Oscar Castillo,"Castillo, Oscar R., 1945 -","Castillo, Oscar R., 1945 -",csrc_ocpc_filmnegatives_02_02112,Oscar Castillo Photograph Collection,1 Photograph,Oscar Castillo Papers,"Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",(new)Proof Sheet: High School,,"Asked by Editor to photograph study groups for School AnnualPhotograph taken in Crystal City, TX",early 1970s,Gelatin-Silver Photograph,1970/1975,,,,,,,,Oscar Castillo,UCLA Chicano Studies Research Center Library & Archive,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0027fb99,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0027fb99/manifest
Castillo (Oscar R.) Photograph Collection,ark:/21198/zz0027s6mh,ark:/21198/zz0002wfmd,1,In progress,Work,castillo/masters/21198-zz0027s6mh_1870168_master.tif,,private,,,still image,black-and-white negatives,"photography -- Chicano|~|photography -- Mexican American|~|Photographers--California, Southern--Archival resources|~|Castellanos, Leonard|~|Chicano artists--California--Los Angeles County|~|Castillo, Oscar R.|~|documentary photography|~|Chicano archives",Oscar Castillo,"Castillo, Oscar R., 1945 -","Castillo, Oscar R., 1945 -",csrc_ocpc_filmnegatives_05_02365,Oscar Castillo Photograph Collection,1 Photograph,Oscar Castillo Papers,"Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",(new)Proof Sheet: Echo Park Mural,,"Leonard Castellanos, artist. Photograph taken in Echo Park, CA",c. 1970s,Gelatin Silver Photograph,1970/1979,,,,,,,,Oscar Castillo,UCLA Chicano Studies Research Center Library & Archive,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0027s6mh,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0027s6mh/manifest
Castillo (Oscar R.) Photograph Collection,ark:/21198/zz0028818m,ark:/21198/zz0002wfmd,1,In progress,Work,castillo/masters/21198-zz0028818m_1905318_master.tif,,private,,,still image,black-and-white negatives,"photography -- Chicano|~|photography -- Mexican American|~|Photographers--California, Southern--Archival resources|~|Chicano artists--California--Los Angeles County|~|Castillo, Oscar R.|~|documentary photography|~|Chicano archives",Oscar Castillo,"Castillo, Oscar R., 1945 -","Castillo, Oscar R., 1945 -",csrc_ocpc_filmnegatives_05_02444,Oscar Castillo Photograph Collection,1 Photograph,Oscar Castillo Papers,"Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",(new)Proof Sheet: Post Production Party at Jose Trevino Home w/ Teatro Campesino,,"Photograph taken in Hollywood, CA",mid 1970s,Gelatin-Silver Photograph,1975/1979,,,,,,,,Oscar Castillo,UCLA Chicano Studies Research Center Library & Archive,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028818m,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028818m/manifest
Castillo (Oscar R.) Photograph Collection,ark:/21198/zz002881jr,ark:/21198/zz0002wfmd,1,In progress,Work,castillo/masters/21198-zz002881jr_1905315_master.tif,,private,,,still image,black-and-white negatives,"photography -- Chicano|~|photography -- Mexican American|~|Photographers--California, Southern--Archival resources|~|documentary photography|~|Chicano artists--California--Los Angeles County|~|Castillo, Oscar R.|~|Chicano archives",Oscar Castillo,"Castillo, Oscar R., 1945 -","Castillo, Oscar R., 1945 -",csrc_ocpc_filmnegatives_05_02443,Oscar Castillo Photograph Collection,1 Photograph,Oscar Castillo Papers,"Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",(new)Proof Sheet: KCET Documentary,,"Photograph taken in Los Angeles, CA",c. 1970s,Gelatin-Silver Photograph,1970/1979,,,,,,,,Oscar Castillo,UCLA Chicano Studies Research Center Library & Archive,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002881jr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002881jr/manifest
Castillo (Oscar R.) Photograph Collection,ark:/21198/zz0028t0dc,ark:/21198/zz0002wfmd,1,In progress,Work,castillo/masters/21198-zz0028t0dc_1946220_master.tif,,private,,,still image,posters|~|color photographs,"photography -- Chicano|~|photography -- Mexican American|~|Photographers--California, Southern--Archival resources|~|Castillo, Oscar R.|~|Chicano artists--California--Los Angeles County|~|documentary photography|~|Chicano archives",Oscar Castillo,"Castillo, Oscar R., 1945 -","Castillo, Oscar R., 1945 -",csrc_ocpc_ephemeral_032,Oscar Castillo Photograph Collection,Chromogentic photograph|~|1 Photograph,Oscar Castillo Papers,"Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",(new)Invitation for Los Four Retrospective Exhibit,,"Photograph taken in Santa Monica, CA",1994,,1990/1999,,,,,,,,Oscar Castillo,UCLA Chicano Studies Research Center Library & Archive,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028t0dc,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028t0dc/manifest
Castillo (Oscar R.) Photograph Collection,ark:/21198/zz0028t513,ark:/21198/zz0002wfmd,1,In progress,Work,castillo/masters/21198-zz0028t513_1946128_master.tif,,private,,,still image,color photographs,"photography -- Chicano|~|photography -- Mexican American|~|Photographers--California, Southern--Archival resources|~|documentary photography|~|Castillo, Oscar R.|~|Chicano artists--California--Los Angeles County|~|Chicano archives",Oscar Castillo,"Castillo, Oscar R., 1945 -","Castillo, Oscar R., 1945 -",csrc_ocpc_ephemeral_026,Oscar Castillo Photograph Collection,1 Photograph,Oscar Castillo Papers,"Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","(ROTATE)""Yo Soy"" cartoon by Carlos Almaraz",,"Photograph taken in Los Angeles, CA",circa 1970s,Chromogentic photograph,1970/1979,,,,,,,,Oscar Castillo,UCLA Chicano Studies Research Center Library & Archive,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028t513,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028t513/manifest
Castillo (Oscar R.) Photograph Collection,ark:/21198/zz0028t555,ark:/21198/zz0002wfmd,1,In progress,Work,castillo/masters/21198-zz0028t555_1946110_master.tif,,private,,,still image,color photographs,"photography -- Chicano|~|photography -- Mexican American|~|Photographers--California, Southern--Archival resources|~|Castillo, Oscar R.|~|Chicano artists--California--Los Angeles County|~|documentary photography|~|Chicano archives",Oscar Castillo,"Castillo, Oscar R., 1945 -","Castillo, Oscar R., 1945 -",csrc_ocpc_ephemeral_022,Oscar Castillo Photograph Collection,1 Photograph,Oscar Castillo Papers,"Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",(new)short story by Beto de la Rocha,,"Photograph taken in Los Angeles, CA",circa 1970s,Chromogentic photograph,1970/1979,,,,,,,,Oscar Castillo,UCLA Chicano Studies Research Center Library & Archive,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028t555,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028t555/manifest
