"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Language","Name.creator","Subject","Type.genre","Name.repository","Relation.isPartOf","Coverage.geographic","Title","Date.creation","Date.normalized","Description.abstract","Alt ID.local","Format.extent","Format.dimensions","AltTitle.descriptive","Opac url","AltTitle.other","Finding Aid URL","Description.note","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmtf9","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hmtf9_1296698_master.tif","29","","","","","","","text","","","","","","","","page 29","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmtf9",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmtgt","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hmtgt_1296702_master.tif","30","","","","","","","text","","","","","","","","page 30","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmtgt",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmthb","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hmthb_1296708_master.tif","31","","","","","","","text","","","","","","","","page 31","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmthb",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmtjv","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hmtjv_1296714_master.tif","32","","","","","","","text","","","","","","","","page 32","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmtjv",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmtkc","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hmtkc_1296719_master.tif","33","","","","","","","text","","","","","","","","page 33","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmtkc",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmtmw","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hmtmw_1296723_master.tif","34","","","","","","","text","","","","","","","","page 34","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmtmw",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmtnd","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hmtnd_1296729_master.tif","35","","","","","","","text","","","","","","","","page 35","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmtnd",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmtpx","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hmtpx_1296735_master.tif","36","","","","","","","text","","","","","","","","page 36","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmtpx",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmtqf","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hmtqf_1296743_master.tif","37","","","","","","","text","","","","","","","","page 37","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmtqf",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmtrz","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hmtrz_1296749_master.tif","38","","","","","","","text","","","","","","","","page 38","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmtrz",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmtsg","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hmtsg_1296756_master.tif","39","","","","","","","text","","","","","","","","page 39","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmtsg",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmwmv","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hmwmv_1296762_master.tif","40","","","","","","","text","","","","","","","","page 40","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmwmv",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmwnc","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hmwnc_1296768_master.tif","41","","","","","","","text","","","","","","","","page 41","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmwnc",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmwpw","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hmwpw_1296777_master.tif","42","","","","","","","text","","","","","","","","page 42","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmwpw",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmwqd","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hmwqd_1296785_master.tif","43","","","","","","","text","","","","","","","","page 43","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmwqd",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmxtf","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hmxtf_1296800_master.tif","44","","","","","","","text","","","","","","","","page 44","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmxtf",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmztx","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hmztx_1296806_master.tif","45","","","","","","","text","","","","","","","","page 45","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmztx",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmzvf","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hmzvf_1296809_master.tif","46","","","","","","","text","","","","","","","","page 46","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmzvf",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmzwz","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hmzwz_1296815_master.tif","47","","","","","","","text","","","","","","","","page 47","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmzwz",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hn0gp","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hn0gp_1296818_master.tif","48","","","","","","","text","","","","","","","","page 48","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hn0gp",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hn0q9","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hn0q9_1296824_master.tif","49","","","","","","","text","","","","","","","","page 49","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hn0q9",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hn0rt","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hn0rt_1296827_master.tif","50","","","","","","","text","","","","","","","","page 50","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hn0rt",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hn1fn","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hn1fn_1296832_master.tif","51","","","","","","","text","","","","","","","","page 51","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hn1fn",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hn1nr","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hn1nr_1296836_master.tif","52","","","","","","","text","","","","","","","","page 52","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hn1nr",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hn1p8","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hn1p8_1296842_master.tif","53","","","","","","","text","","","","","","","","page 53","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hn1p8",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hn1qs","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hn1qs_1296846_master.tif","54","","","","","","","text","","","","","","","","page 54","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hn1qs",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hn1r9","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hn1r9_1296858_master.tif","55","","","","","","","text","","","","","","","","page 55","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hn1r9",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hn1st","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hn1st_1296899_master.tif","56","","","","","","","text","","","","","","","","page 56","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hn1st",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hn1tb","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hn1tb_1296905_master.tif","57","","","","","","","text","","","","","","","","page 57","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hn1tb",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hn1vv","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hn1vv_1296913_master.tif","58","","","","","","","text","","","","","","","","page 58","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hn1vv",""
