"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Language","Name.creator","Subject","Type.genre","Name.repository","Relation.isPartOf","Coverage.geographic","Title","Date.creation","Date.normalized","Description.abstract","Alt ID.local","Format.extent","Format.dimensions","AltTitle.descriptive","Opac url","AltTitle.other","Finding Aid URL","Description.note","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hm2fp","ark:/21198/zz001hfwjk","2","Completed","Page","tulancingo/masters/21198-zz001hm2fp_1294785_master.tif","26","","","","","","","text","","","","","","","","page 26","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hm2fp",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hm2g6","ark:/21198/zz001hfwjk","2","Completed","Page","tulancingo/masters/21198-zz001hm2g6_1294788_master.tif","27","","","","","","","text","","","","","","","","page 27","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hm2g6",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hm2hq","ark:/21198/zz001hfwjk","2","Completed","Page","tulancingo/masters/21198-zz001hm2hq_1294792_master.tif","28","","","","","","","text","","","","","","","","page 28","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hm2hq",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hm2j7","ark:/21198/zz001hfwjk","2","Completed","Page","tulancingo/masters/21198-zz001hm2j7_1294803_master.tif","29","","","","","","","text","","","","","","","","page 29","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hm2j7",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hm2kr","ark:/21198/zz001hfwjk","2","Completed","Page","tulancingo/masters/21198-zz001hm2kr_1294806_master.tif","30","","","","","","","text","","","","","","","","page 30","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hm2kr",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hm2m8","ark:/21198/zz001hfwjk","2","Completed","Page","tulancingo/masters/21198-zz001hm2m8_1294809_master.tif","31","","","","","","","text","","","","","","","","page 31","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hm2m8",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hm2ns","ark:/21198/zz001hfwjk","2","Completed","Page","tulancingo/masters/21198-zz001hm2ns_1294812_master.tif","32","","","","","","","text","","","","","","","","page 32","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hm2ns",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hm2p9","ark:/21198/zz001hfwjk","2","Completed","Page","tulancingo/masters/21198-zz001hm2p9_1294815_master.tif","33","","","","","","","text","","","","","","","","page 33","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hm2p9",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hm2qt","ark:/21198/zz001hfwjk","2","Completed","Page","tulancingo/masters/21198-zz001hm2qt_1294818_master.tif","34","","","","","","","text","","","","","","","","page 34","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hm2qt",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hm2rb","ark:/21198/zz001hfwjk","2","Completed","Page","tulancingo/masters/21198-zz001hm2rb_1294822_master.tif","35","","","","","","","text","","","","","","","","page 35","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hm2rb",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hm2sv","ark:/21198/zz001hfwjk","2","Completed","Page","tulancingo/masters/21198-zz001hm2sv_1294830_master.tif","36","","","","","","","text","","","","","","","","page 36","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hm2sv",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hm2tc","ark:/21198/zz001hfwjk","2","Completed","Page","tulancingo/masters/21198-zz001hm2tc_1294835_master.tif","37","","","","","","","text","","","","","","","","page 37","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hm2tc",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hm2wd","ark:/21198/zz001hfwjk","2","Completed","Page","tulancingo/masters/21198-zz001hm2wd_1294838_master.tif","38","","","","","","","text","","","","","","","","page 38","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hm2wd",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hm2xx","ark:/21198/zz001hfwjk","2","Completed","Page","tulancingo/masters/21198-zz001hm2xx_1294841_master.tif","39","","","","","","","text","","","","","","","","page 39","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hm2xx",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hm2zf","ark:/21198/zz001hfwjk","2","Completed","Page","tulancingo/masters/21198-zz001hm2zf_1294844_master.tif","40","","","","","","","text","","","","","","","","page 40","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hm2zf",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hm31z","ark:/21198/zz001hfwjk","2","Completed","Page","tulancingo/masters/21198-zz001hm31z_1294855_master.tif","41","","","","","","","text","","","","","","","","page 41","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hm31z",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hm32g","ark:/21198/zz001hfwjk","2","Completed","Page","tulancingo/masters/21198-zz001hm32g_1294861_master.tif","42","","","","","","","text","","","","","","","","page 42","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hm32g",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hm330","ark:/21198/zz001hfwjk","2","Completed","Page","tulancingo/masters/21198-zz001hm330_1294864_master.tif","43","","","","","","","text","","","","","","","","page 43","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hm330",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hm34h","ark:/21198/zz001hfwjk","2","Completed","Page","tulancingo/masters/21198-zz001hm34h_1294867_master.tif","44","","","","","","","text","","","","","","","","page 44","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hm34h",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hm36j","ark:/21198/zz001hfwjk","2","Completed","Page","tulancingo/masters/21198-zz001hm36j_1294876_master.tif","45","","","","","","","text","","","","","","","","page 45","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hm36j",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hm372","ark:/21198/zz001hfwjk","2","Completed","Page","tulancingo/masters/21198-zz001hm372_1294884_master.tif","46","","","","","","","text","","","","","","","","page 46","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hm372",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hm38k","ark:/21198/zz001hfwjk","2","Completed","Page","tulancingo/masters/21198-zz001hm38k_1294888_master.tif","47","","","","","","","text","","","","","","","","page 47","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hm38k",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hm3bm","ark:/21198/zz001hfwjk","2","Completed","Page","tulancingo/masters/21198-zz001hm3bm_1294895_master.tif","48","","","","","","","text","","","","","","","","page 48","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hm3bm",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hm3c4","ark:/21198/zz001hfwjk","2","Completed","Page","tulancingo/masters/21198-zz001hm3c4_1294901_master.tif","49","","","","","","","text","","","","","","","","page 49","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hm3c4",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hm3dn","ark:/21198/zz001hfwjk","2","Completed","Page","tulancingo/masters/21198-zz001hm3dn_1294907_master.tif","50","","","","","","","text","","","","","","","","page 50","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hm3dn",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hm3gp","ark:/21198/zz001hfwjk","2","Completed","Page","tulancingo/masters/21198-zz001hm3gp_1294915_master.tif","51","","","","","","","text","","","","","","","","page 51","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hm3gp",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hm3h6","ark:/21198/zz001hfwjk","2","Completed","Page","tulancingo/masters/21198-zz001hm3h6_1294922_master.tif","52","","","","","","","text","","","","","","","","page 52","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hm3h6",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hm3jq","ark:/21198/zz001hfwjk","2","Completed","Page","tulancingo/masters/21198-zz001hm3jq_1294933_master.tif","53","","","","","","","text","","","","","","","","page 53","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hm3jq",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hm3mr","ark:/21198/zz001hfwjk","2","Completed","Page","tulancingo/masters/21198-zz001hm3mr_1294942_master.tif","54","","","","","","","text","","","","","","","","page 54","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hm3mr",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hm3n8","ark:/21198/zz001hfwjk","2","Completed","Page","tulancingo/masters/21198-zz001hm3n8_1294957_master.tif","55","","","","","","","text","","","","","","","","page 55","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hm3n8",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hm3ps","ark:/21198/zz001hfwjk","2","Completed","Page","tulancingo/masters/21198-zz001hm3ps_1294963_master.tif","56","","","","","","","text","","","","","","","","page 56","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hm3ps",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hm3rt","ark:/21198/zz001hfwjk","2","Completed","Page","tulancingo/masters/21198-zz001hm3rt_1294976_master.tif","57","","","","","","","text","","","","","","","","page 57","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hm3rt",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hm3sb","ark:/21198/zz001hfwjk","2","Completed","Page","tulancingo/masters/21198-zz001hm3sb_1294982_master.tif","58","","","","","","","text","","","","","","","","page 58","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hm3sb",""
