"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Subject","Type.genre","Language","Name.editor","Name.engraver","Title","Relation.rectoVerso","Relation.pageNumber","Description.note","Source","Relation.isPartOf","Alt ID.local","Date.normalized","Publisher.publisherName","Format.extent","Publisher.placeOfOrigin","Date.publication","Format.dimensions","Description.tableOfContents","Alt ID.oclc","AltTitle.uniform","AltTitle.inscribed","Relation.hasPart","Name.printer","Name.illustrator","Rights.copyrightStatus","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Picart (Bernard) Collection","ark:/21198/zz00090fn5","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz00090fn5-1-master.tif","13","","","text","","","","","","preface iii","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090fn5",""
"Picart (Bernard) Collection","ark:/21198/zz00090fpp","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz00090fpp-1-master.tif","14","","","text","","","","","","preface iv","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090fpp",""
"Picart (Bernard) Collection","ark:/21198/zz00090fq6","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz00090fq6-1-master.tif","15","","","text","","","","","","preface v","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090fq6",""
"Picart (Bernard) Collection","ark:/21198/zz00090frq","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz00090frq-1-master.tif","16","","","text","","","","","","preface vi","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090frq",""
"Picart (Bernard) Collection","ark:/21198/zz00090fs7","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz00090fs7-1-master.tif","17","","","text","","","","","","preface vii","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090fs7",""
"Picart (Bernard) Collection","ark:/21198/zz00090ftr","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz00090ftr-1-master.tif","18","","","text","","","","","","preface viii","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090ftr",""
"Picart (Bernard) Collection","ark:/21198/zz00090fv8","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz00090fv8-1-master.tif","19","","","text|~|still image","","","","","","preface ix","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090fv8",""
"Picart (Bernard) Collection","ark:/21198/zz00090fws","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz00090fws-1-master.tif","20","","","text","","","","","","preface x","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090fws",""
"Picart (Bernard) Collection","ark:/21198/zz0009ffcv","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009ffcv-1-master.tif","21","","","text|~|still image","","","","","","page 001","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009ffcv",""
"Picart (Bernard) Collection","ark:/21198/zz0009ffdc","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009ffdc-1-master.tif","22","","","text","","","","","","page 002","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009ffdc",""
"Picart (Bernard) Collection","ark:/21198/zz0009fffw","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009fffw-1-master.tif","23","","","text","","","","","","page 003","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009fffw",""
"Picart (Bernard) Collection","ark:/21198/zz0009ffgd","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009ffgd-1-master.tif","24","","","text","","","","","","page 004","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009ffgd",""
"Picart (Bernard) Collection","ark:/21198/zz0009ffhx","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009ffhx-1-master.tif","25","","","text","","","","","","page 005","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009ffhx",""
"Picart (Bernard) Collection","ark:/21198/zz0009ffwm","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009ffwm-1-master.tif","26","","","text","","","","","","page 006","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009ffwm",""
"Picart (Bernard) Collection","ark:/21198/zz0009ffx4","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009ffx4-1-master.tif","27","","","text","","","","","","page 007","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009ffx4",""
"Picart (Bernard) Collection","ark:/21198/zz0009ffzn","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009ffzn-1-master.tif","28","","","text","","","","","","page 008","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009ffzn",""
"Picart (Bernard) Collection","ark:/21198/zz0009fg0n","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009fg0n-1-master.tif","29","","","text","","","","","","blank page","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009fg0n",""
"Picart (Bernard) Collection","ark:/21198/zz0009fg15","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009fg15-1-master.tif","30","","","still image","","","","","","Divers PAGODS and the PENITENCE of the FAQUIRS. (verso)","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009fg15",""
"Picart (Bernard) Collection","ark:/21198/zz0009fg2p","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009fg2p-1-master.tif","31","","","still image","","","","","","Divers PAGODS and the PENITENCE of the FAQUIRS. (verso & recto)","r","","Divers PAGODS and the PENITENCE of the FAQUIRS.1. The great tree of the Banians. 2. a Pagod of the Idol Mamaniva on one side of which the devotees are marked on the forehead with vermillion on the other side a Bramin take their free will offerings of rice &c. 3. a Pagod of Ram. 4. another Pagod dedicated to Ram. 5. a Pagod where the penitential faquirs retire themselves. 6. a Caison or close ditch impervious to the least gleam of day only what passes through a little hole for that purpose assorted to by a faquir several times in the year. 7. a Faquir sleeping upon a lord. 8. Faquirs that remain all their lives in the same attitude living by the charity of female devotees. 9. Several faquirs consulted and invoked as Saints, by the women. 10. various postures that some fawuir4s are in several hours a day. 11. a Braman with his nose & mouth muffles up lest he should swallow the smallest insect in drawing his breath he likewise sweeps the ground before him as he walks lest he should tread upon any worm or other insect. 12. Faquirs warming themselves. 13. Faquir feeding brute animals out of pure charity.","page 008c","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009fg2p",""
"Picart (Bernard) Collection","ark:/21198/zz0009fg36","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009fg36-1-master.tif","32","","","still image","","","","","","Divers PAGODS and the PENITENCE of the FAQUIRS. (recto)","r","","Divers PAGODS and the PENITENCE of the FAQUIRS.1. The great tree of the Banians. 2. a Pagod of the Idol Mamaniva on one side of which the devotees are marked on the forehead with vermillion on the other side a Bramin take their free will offerings of rice &c. 3. a Pagod of Ram. 4. another Pagod dedicated to Ram. 5. a Pagod where the penitential faquirs retire themselves. 6. a Caison or close ditch impervious to the least gleam of day only what passes through a little hole for that purpose assorted to by a faquir several times in the year. 7. a Faquir sleeping upon a lord. 8. Faquirs that remain all their lives in the same attitude living by the charity of female devotees. 9. Several faquirs consulted and invoked as Saints, by the women. 10. various postures that some fawuir4s are in several hours a day. 11. a Braman with his nose & mouth muffles up lest he should swallow the smallest insect in drawing his breath he likewise sweeps the ground before him as he walks lest he should tread upon any worm or other insect. 12. Faquirs warming themselves. 13. Faquir feeding brute animals out of pure charity.","page 008d","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009fg36",""
"Picart (Bernard) Collection","ark:/21198/zz0009fg4q","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009fg4q-1-master.tif","33","","","text","","","","","","blank page","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009fg4q",""
"Picart (Bernard) Collection","ark:/21198/zz0009fg57","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009fg57-1-master.tif","34","","","text","","","","","","page 009","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009fg57",""
"Picart (Bernard) Collection","ark:/21198/zz0009fg6r","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009fg6r-1-master.tif","35","","","text","","","","","","page 010","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009fg6r",""
"Picart (Bernard) Collection","ark:/21198/zz0009fgkf","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009fgkf-1-master.tif","36","","","text","","","","","","page 011","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009fgkf",""
"Picart (Bernard) Collection","ark:/21198/zz0009fgmz","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009fgmz-1-master.tif","37","","","text","","","","","","page 012","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009fgmz",""
"Picart (Bernard) Collection","ark:/21198/zz0009fgng","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009fgng-1-master.tif","38","","","text","","","","","","page 013","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009fgng",""
"Picart (Bernard) Collection","ark:/21198/zz0009fgp0","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009fgp0-1-master.tif","39","","","text","","","","","","page 014","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009fgp0",""
"Picart (Bernard) Collection","ark:/21198/zz0009fgqh","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009fgqh-1-master.tif","40","","","text","","","","","","page 015","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009fgqh",""
"Picart (Bernard) Collection","ark:/21198/zz0009fgr1","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009fgr1-1-master.tif","41","","","text","","","","","","page 016","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009fgr1",""
"Picart (Bernard) Collection","ark:/21198/zz0009fgsj","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009fgsj-1-master.tif","42","","","text","","","","","","page 017","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009fgsj",""
"Picart (Bernard) Collection","ark:/21198/zz0009fgt2","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009fgt2-1-master.tif","43","","","text","","","","","","page 018","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009fgt2",""
"Picart (Bernard) Collection","ark:/21198/zz0009fgvk","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009fgvk-1-master.tif","44","","","text","","","","","","page 019","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009fgvk",""
"Picart (Bernard) Collection","ark:/21198/zz0009fgw3","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009fgw3-1-master.tif","45","","","text","","","","","","page 020","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009fgw3",""
"Picart (Bernard) Collection","ark:/21198/zz0009fgxm","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009fgxm-1-master.tif","46","","","text","","","","","","page 021","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009fgxm",""
"Picart (Bernard) Collection","ark:/21198/zz0009fgz4","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009fgz4-1-master.tif","47","","","text","","","","","","page 022","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009fgz4",""
"Picart (Bernard) Collection","ark:/21198/zz0009fh04","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009fh04-1-master.tif","48","","","text","","","","","","page 023","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009fh04",""
"Picart (Bernard) Collection","ark:/21198/zz0009fh1n","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009fh1n-1-master.tif","49","","","text","","","","","","page 024","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009fh1n",""
"Picart (Bernard) Collection","ark:/21198/zz0009fh25","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009fh25-1-master.tif","50","","","still image","","","","","","The Ceremony of the Banians at the Birth of their Children.","r","","The Ceremony of the Banians at the Birth of their Children. A. the Mother offers the Child such. B. a Child abandon’d for refusing it. C. After three days refusal the Child is child is cast into the river Ganges. The Ceremony of giving a Child it’s Name among the Banians.","page 024a","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009fh25",""
"Picart (Bernard) Collection","ark:/21198/zz0009fh3p","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009fh3p-1-master.tif","51","","","text","","","","","","page 024b","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009fh3p",""
"Picart (Bernard) Collection","ark:/21198/zz0009fh46","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009fh46-1-master.tif","52","","","text","","","","","","page 025","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009fh46",""
"Picart (Bernard) Collection","ark:/21198/zz0009fh5q","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009fh5q-1-master.tif","53","","","text","","","","","","page 026","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009fh5q",""
"Picart (Bernard) Collection","ark:/21198/zz0009fh67","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009fh67-1-master.tif","54","","","still image","","","","","","The manner in which the Indian Women, cast themselves into the flames after the decease of their Husbands.","r","","The manner in which the Indian Women, cast themselves into the flames after the decease of their Husbands.  Their manner of burying themselves Alive with their husbands Corpse.","page 026a","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009fh67",""
"Picart (Bernard) Collection","ark:/21198/zz0009fh7r","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009fh7r-1-master.tif","55","","","text","","","","","","page 026b","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009fh7r",""
"Picart (Bernard) Collection","ark:/21198/zz0009fh88","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009fh88-1-master.tif","56","","","text","","","","","","page 027","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009fh88",""
"Picart (Bernard) Collection","ark:/21198/zz0009fh9s","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009fh9s-1-master.tif","57","","","text","","","","","","page 028","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009fh9s",""
"Picart (Bernard) Collection","ark:/21198/zz0009fhb9","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009fhb9-1-master.tif","58","","","still image","","","","","","A sick person presented to Ixora for the recovery of his health.","r","","A sick person presented to Ixora for the recovery of his health.  The attitude of a dying person while a con is stealing on his face.","page 028a","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009fhb9",""
"Picart (Bernard) Collection","ark:/21198/zz0009fhct","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009fhct-1-master.tif","59","","","text","","","","","","page 028b","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009fhct",""
"Picart (Bernard) Collection","ark:/21198/zz0009fhdb","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009fhdb-1-master.tif","60","","","text","","","","","","page 029","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009fhdb",""
"Picart (Bernard) Collection","ark:/21198/zz0009fhfv","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009fhfv-1-master.tif","61","","","text","","","","","","page 030","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009fhfv",""
"Picart (Bernard) Collection","ark:/21198/zz0009fhgc","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009fhgc-1-master.tif","62","","","text","","","","","","page 031","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009fhgc",""
"Picart (Bernard) Collection","ark:/21198/zz0009fhhw","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009fhhw-1-master.tif","63","","","text","","","","","","page 032","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009fhhw",""
"Picart (Bernard) Collection","ark:/21198/zz0009fhjd","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009fhjd-1-master.tif","64","","","text","","","","","","page 033","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009fhjd",""
"Picart (Bernard) Collection","ark:/21198/zz0009fhkx","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009fhkx-1-master.tif","65","","","text","","","","","","page 034","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009fhkx",""
"Picart (Bernard) Collection","ark:/21198/zz0009fkhv","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009fkhv-1-master.tif","66","","","text","","","","","","page 035","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009fkhv",""
"Picart (Bernard) Collection","ark:/21198/zz0009fkjc","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009fkjc-1-master.tif","67","","","text","","","","","","page 036","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009fkjc",""
"Picart (Bernard) Collection","ark:/21198/zz0009fkkw","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009fkkw-1-master.tif","68","","","text","","","","","","page 037","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009fkkw",""
"Picart (Bernard) Collection","ark:/21198/zz0009fkmd","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009fkmd-1-master.tif","69","","","text","","","","","","page 038","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009fkmd",""
"Picart (Bernard) Collection","ark:/21198/zz0009fknx","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009fknx-1-master.tif","70","","","still image","","","","","","A solemn festival kept at Pegu call’d Sapan Glacche.","r","","A solemn festival kept at Pegu call’d Sapan Glacche.","page 038a","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009fknx",""
"Picart (Bernard) Collection","ark:/21198/zz0009fkpf","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009fkpf-1-master.tif","71","","","text","","","","","","page 038b","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009fkpf",""
"Picart (Bernard) Collection","ark:/21198/zz0009fkqz","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009fkqz-1-master.tif","72","","","text","","","","","","page 039","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009fkqz",""
"Picart (Bernard) Collection","ark:/21198/zz0009fkrg","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz0009fkrg-1-master.tif","73","","","text","","","","","","page 040","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009fkrg",""
