"Project Name","Parent ARK","Item ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Rights.countryCreation","Rights.permission","Language","Name.creator","Name.repository","Name.subject","Rights.rightsHolderContact","Rights.servicesContact","Subject","Date.normalized","Title","Date.creation","Description.note","Bucketeer State","IIIF Access URL"
"ARPANET Project Notes","ark:/21198/zz002h2dnt","ark:/21198/z1sf4gxx","","","Page","arpanet/image/pdf_images/21198-zz002h2dnt-1-master_011.tif","11","","","","","","","","","","","","","","","","Page 11","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sf4gxx"
"ARPANET Project Notes","ark:/21198/zz002h2dnt","ark:/21198/z1np3r38","","","Page","arpanet/image/pdf_images/21198-zz002h2dnt-1-master_012.tif","12","","","","","","","","","","","","","","","","Page 12","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1np3r38"
"ARPANET Project Notes","ark:/21198/zz002h2dnt","ark:/21198/z1hx3091","","","Page","arpanet/image/pdf_images/21198-zz002h2dnt-1-master_013.tif","13","","","","","","","","","","","","","","","","Page 13","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hx3091"
"ARPANET Project Notes","ark:/21198/zz002h2dpb","ark:/21198/z1d527m2","","","Page","arpanet/image/pdf_images/21198-zz002h2dpb-1-master_001.tif","1","","","","","","","","","","","","","","","","Page 1","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d527m2"
"ARPANET Project Notes","ark:/21198/zz002h2dpb","ark:/21198/z18h06bh","","","Page","arpanet/image/pdf_images/21198-zz002h2dpb-1-master_002.tif","2","","","","","","","","","","","","","","","","Page 2","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18h06bh"
"ARPANET Project Notes","ark:/21198/zz002h2dqv","ark:/21198/z14q9fnp","","","Page","arpanet/image/pdf_images/21198-zz002h2dqv-1-master_001.tif","1","","","","","","","","","","","","","","","","Page 1","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14q9fnp"
"ARPANET Project Notes","ark:/21198/zz002h2dqv","ark:/21198/z10z8q1q","","","Page","arpanet/image/pdf_images/21198-zz002h2dqv-1-master_002.tif","2","","","","","","","","","","","","","","","","Page 2","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10z8q1q"
"ARPANET Project Notes","ark:/21198/zz002h2dqv","ark:/21198/z1w686h8","","","Page","arpanet/image/pdf_images/21198-zz002h2dqv-1-master_003.tif","3","","","","","","","","","","","","","","","","Page 3","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w686h8"
"ARPANET Project Notes","ark:/21198/zz002h2drc","ark:/21198/z1rf7fr3","","","Page","arpanet/image/pdf_images/21198-zz002h2drc-1-master_001.tif","1","","","","","","","","","","","","","","","","Page 1","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rf7fr3"
"ARPANET Project Notes","ark:/21198/zz002h2drc","ark:/21198/z1mp6px1","","","Page","arpanet/image/pdf_images/21198-zz002h2drc-1-master_002.tif","2","","","","","","","","","","","","","","","","Page 2","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mp6px1"
"ARPANET Project Notes","ark:/21198/zz002h2drc","ark:/21198/z1gx5z75","","","Page","arpanet/image/pdf_images/21198-zz002h2drc-1-master_003.tif","3","","","","","","","","","","","","","","","","Page 3","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gx5z75"
"ARPANET Project Notes","ark:/21198/zz002h2drc","ark:/21198/z1c83wx2","","","Page","arpanet/image/pdf_images/21198-zz002h2drc-1-master_004.tif","4","","","","","","","","","","","","","","","","Page 4","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c83wx2"
