"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Rights.countryCreation","Rights.permission","Language","Name.creator","Name.repository","Rights.rightsHolderContact","Title","Subject","AltTitle.other","Description.note","Summary","Alt ID.local","Date.creation","Date.normalized","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Wingfield (Michael) Collection","ark:/21198/z19s3bpv","ark:/21198/zz002gxc3v","","","Page","wingfield/image/pdf_images/21198-zz002gxc3v-1-master_011.tif","11","","","","","","","","","","","","Page 11","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19s3bpv",""
"Wingfield (Michael) Collection","ark:/21198/z1612kx0","ark:/21198/zz002gxc3v","","","Page","wingfield/image/pdf_images/21198-zz002gxc3v-1-master_012.tif","12","","","","","","","","","","","","Page 12","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1612kx0",""
"Wingfield (Michael) Collection","ark:/21198/z1281v6p","ark:/21198/zz002gxc3v","","","Page","wingfield/image/pdf_images/21198-zz002gxc3v-1-master_013.tif","13","","","","","","","","","","","","Page 13","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1281v6p",""
"Wingfield (Michael) Collection","ark:/21198/z1xh1btq","ark:/21198/zz002gxc3v","","","Page","wingfield/image/pdf_images/21198-zz002gxc3v-1-master_014.tif","14","","","","","","","","","","","","Page 14","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xh1btq",""
"Wingfield (Michael) Collection","ark:/21198/z1st99f8","ark:/21198/zz002gxc3v","","","Page","wingfield/image/pdf_images/21198-zz002gxc3v-1-master_015.tif","15","","","","","","","","","","","","Page 15","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1st99f8",""
"Wingfield (Michael) Collection","ark:/21198/z1p28jt6","ark:/21198/zz002gxc3v","","","Page","wingfield/image/pdf_images/21198-zz002gxc3v-1-master_016.tif","16","","","","","","","","","","","","Page 16","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p28jt6",""
"Wingfield (Michael) Collection","ark:/21198/z1j97t2f","ark:/21198/zz002gxc3v","","","Page","wingfield/image/pdf_images/21198-zz002gxc3v-1-master_017.tif","17","","","","","","","","","","","","Page 17","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j97t2f",""
"Wingfield (Michael) Collection","ark:/21198/z1dj7286","ark:/21198/zz002gxc3v","","","Page","wingfield/image/pdf_images/21198-zz002gxc3v-1-master_018.tif","18","","","","","","","","","","","","Page 18","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dj7286",""
"Wingfield (Michael) Collection","ark:/21198/z18s69h1","ark:/21198/zz002gxc3v","","","Page","wingfield/image/pdf_images/21198-zz002gxc3v-1-master_019.tif","19","","","","","","","","","","","","Page 19","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18s69h1",""
"Wingfield (Michael) Collection","ark:/21198/z1515jvh","ark:/21198/zz002gxc3v","","","Page","wingfield/image/pdf_images/21198-zz002gxc3v-1-master_020.tif","20","","","","","","","","","","","","Page 20","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1515jvh",""
