Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Visibility,viewingHint,Delete in Title,Subject topic,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.permission,Rights.publicationStatus,Coverage.geographic,Name.photographer,Author,Name.subject,Subject,Subject.conceptTopic,Language,Rights.permissionNote,Name.creator,Rights.publicationNote,Text direction,IIIF Range,Name.repository,Title,Date.creation,Description.note,Summary,Description.caption,Date.normalized,Description.abstract,Date.created,AltTitle.other,Opac url,Finding Aid URL
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00152mc2,ark:/21198/zz00152m8h,2,Completed,ChildWork,scwu/images/masters/21198-zz00152mc2-1-master.tif,3,,,,,,,,,,,,,,,,,,,,,,,,,Page 3,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00152mdk,ark:/21198/zz00152m8h,2,Completed,ChildWork,scwu/images/masters/21198-zz00152mdk-1-master.tif,4,,,,,,,,,,,,,,,,,,,,,,,,,Page 4,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00152mf3,ark:/21198/zz00152m8h,2,Completed,ChildWork,scwu/images/masters/21198-zz00152mf3-1-master.tif,5,,,,,,,,,,,,,,,,,,,,,,,,,Page 5,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00152mgm,ark:/21198/zz00152m8h,2,Completed,ChildWork,scwu/images/masters/21198-zz00152mgm-1-master.tif,6,,,,,,,,,,,,,,,,,,,,,,,,,Page 6,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00152mjn,ark:/21198/zz0014sn3d,2,Completed,ChildWork,,4,,,,,,,text,,copyrighted,Y,published,Los Angeles (Calif.),,,Southern California Women for Understanding,,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles—Periodicals,eng,,Southern California Women for Understanding,,,,,"Volume 2, Number 4","July-August, 1978",,,,1978-07/1978-08,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00152mk5,ark:/21198/zz00152mjn,2,Completed,ChildWork,scwu/images/masters/21198-zz00152mk5-1-master.tif,1,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00152mmp,ark:/21198/zz00152mjn,2,Completed,ChildWork,scwu/images/masters/21198-zz00152mmp-1-master.tif,2,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00152mn6,ark:/21198/zz00152mjn,2,Completed,ChildWork,scwu/images/masters/21198-zz00152mn6-1-master.tif,3,,,,,,,,,,,,,,,,,,,,,,,,,Page 3,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00152mpq,ark:/21198/zz00152mjn,2,Completed,ChildWork,scwu/images/masters/21198-zz00152mpq-1-master.tif,4,,,,,,,,,,,,,,,,,,,,,,,,,Page 4,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00152mq7,ark:/21198/zz00152mjn,2,Completed,ChildWork,scwu/images/masters/21198-zz00152mq7-1-master.tif,5,,,,,,,,,,,,,,,,,,,,,,,,,Page 5,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00152mrr,ark:/21198/zz00152mjn,2,Completed,ChildWork,scwu/images/masters/21198-zz00152mrr-1-master.tif,6,,,,,,,,,,,,,,,,,,,,,,,,,Page 6,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00152ms8,ark:/21198/zz0014sn3d,2,Completed,ChildWork,,5,,,,,,,text,,copyrighted,Y,published,Los Angeles (Calif.),,,Southern California Women for Understanding,,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles—Periodicals,eng,,Southern California Women for Understanding,,,,,"Volume 2, Number 5","July-August, 1978",,,,1978-07/1978-08,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00152mts,ark:/21198/zz00152ms8,2,Completed,ChildWork,scwu/images/masters/21198-zz00152mts-1-master.tif,1,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00152mv9,ark:/21198/zz00152ms8,2,Completed,ChildWork,scwu/images/masters/21198-zz00152mv9-1-master.tif,2,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00152mwt,ark:/21198/zz00152ms8,2,Completed,ChildWork,scwu/images/masters/21198-zz00152mwt-1-master.tif,3,,,,,,,,,,,,,,,,,,,,,,,,,Page 3,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00152mxb,ark:/21198/zz00152ms8,2,Completed,ChildWork,scwu/images/masters/21198-zz00152mxb-1-master.tif,4,,,,,,,,,,,,,,,,,,,,,,,,,Page 4,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00152mzv,ark:/21198/zz00152ms8,2,Completed,ChildWork,scwu/images/masters/21198-zz00152mzv-1-master.tif,5,,,,,,,,,,,,,,,,,,,,,,,,,Page 5,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00152n0v,ark:/21198/zz00152ms8,2,Completed,ChildWork,scwu/images/masters/21198-zz00152n0v-1-master.tif,6,,,,,,,,,,,,,,,,,,,,,,,,,Page 6,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00152n1c,ark:/21198/zz0014sn3d,2,Completed,ChildWork,,6,,,,,,,text,,copyrighted,Y,published,Los Angeles (Calif.),,,Southern California Women for Understanding,,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles—Periodicals,eng,,Southern California Women for Understanding,,,,,"Volume 2, Number 6","July-August, 1978",,,,1978-07/1978-08,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00152n2w,ark:/21198/zz00152n1c,2,Completed,ChildWork,scwu/images/masters/21198-zz00152n2w-1-master.tif,1,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00152n3d,ark:/21198/zz00152n1c,2,Completed,ChildWork,scwu/images/masters/21198-zz00152n3d-1-master.tif,2,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00152n4x,ark:/21198/zz00152n1c,2,Completed,ChildWork,scwu/images/masters/21198-zz00152n4x-1-master.tif,3,,,,,,,,,,,,,,,,,,,,,,,,,Page 3,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00152n5f,ark:/21198/zz00152n1c,2,Completed,ChildWork,scwu/images/masters/21198-zz00152n5f-1-master.tif,4,,,,,,,,,,,,,,,,,,,,,,,,,Page 4,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00152n6z,ark:/21198/zz00152n1c,2,Completed,ChildWork,scwu/images/masters/21198-zz00152n6z-1-master.tif,5,,,,,,,,,,,,,,,,,,,,,,,,,Page 5,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00152n7g,ark:/21198/zz00152n1c,2,Completed,ChildWork,scwu/images/masters/21198-zz00152n7g-1-master.tif,6,,,,,,,,,,,,,,,,,,,,,,,,,Page 6,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00154982,ark:/21198/zz0014sn3d,2,Completed,ChildWork,,7,,,,,,,text,,copyrighted,Y,published,Los Angeles (Calif.),,,Southern California Women for Understanding,,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles—Periodicals,eng,,Southern California Women for Understanding,,,,,"Volume 3, Number 1","February, 1979",,,,1979-02,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015499k,ark:/21198/zz0014sn3d,2,Completed,ChildWork,,8,,,,,,,text,,copyrighted,Y,published,Los Angeles (Calif.),,,Southern California Women for Understanding,,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles—Periodicals,eng,,Southern California Women for Understanding,,,,,"Volume 3, Number 2","March, 1979",,,,1979-03,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001549b3,ark:/21198/zz0014sn3d,2,Completed,ChildWork,,9,,,,,,,text,,copyrighted,Y,published,Los Angeles (Calif.),,,Southern California Women for Understanding,,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles—Periodicals,eng,,Southern California Women for Understanding,,,,,"Volume 3, Number 3","May-June, 1979",,,,1979-05/1979-06,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001549cm,ark:/21198/zz0014sn3d,2,Completed,ChildWork,,10,,,,,,,text,,copyrighted,Y,published,Los Angeles (Calif.),,,Southern California Women for Understanding,,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles—Periodicals,eng,,Southern California Women for Understanding,,,,,"Volume 3, Number 4","August-September, 1979",,,,1979-08/1979-09,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001549d4,ark:/21198/zz0014sn3d,2,Completed,ChildWork,,11,,,,,,,text,,copyrighted,Y,published,Los Angeles (Calif.),,,Southern California Women for Understanding,,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles—Periodicals,eng,,Southern California Women for Understanding,,,,,"Volume 3, Number 5","October-November, 1979",,,,1979-10/1979-11,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001549fn,ark:/21198/zz0014sn3d,2,Completed,ChildWork,,12,,,,,,,text,,copyrighted,Y,published,Los Angeles (Calif.),,,Southern California Women for Understanding,,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles—Periodicals,eng,,,,,,,"Volume 3, Number 6","December, 1979-January, 1980",,,,1979-12/1980-01,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001549g5,ark:/21198/zz0014sn3d,2,Completed,ChildWork,,13,,,,,,,text,,copyrighted,Y,published,Los Angeles (Calif.),,,Southern California Women for Understanding,,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles—Periodicals,eng,,Southern California Women for Understanding,,,,,"Volume 4, Number 1","February-March, 1980",,,,1980-02/1980-03,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001549hp,ark:/21198/zz0014sn3d,2,Completed,ChildWork,,14,,,,,,,text,,copyrighted,Y,published,Los Angeles (Calif.),,,Southern California Women for Understanding,,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles—Periodicals,eng,,Southern California Women for Understanding,,,,,"Volume 4, Number 2","April-May, 1980",,,,1980-04/1980-05,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001549j6,ark:/21198/zz0014sn3d,2,Completed,ChildWork,,15,,,,,,,text,,copyrighted,Y,published,Los Angeles (Calif.),,,Southern California Women for Understanding,,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles—Periodicals,eng,,Southern California Women for Understanding,,,,,"Volume 4, Number 3","June-July, 1980",,,,1980-06/1980-07,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001549kq,ark:/21198/zz0014sn3d,2,Completed,ChildWork,,16,,,,,,,text,,copyrighted,Y,published,Los Angeles (Calif.),,,Southern California Women for Understanding,,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles—Periodicals,eng,,Southern California Women for Understanding,,,,,"Volume 4, Number 4","August-September, 1980",,,,1980-08/1980-09,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001549m7,ark:/21198/zz0014sn3d,2,Completed,ChildWork,,17,,,,,,,text,,copyrighted,Y,published,Los Angeles (Calif.),,,Southern California Women for Understanding,,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles—Periodicals,eng,,Southern California Women for Understanding,,,,,"Volume 4, Number 5","October-November, 1980",,,,1980-10/1980-11,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001549nr,ark:/21198/zz0014sn3d,2,Completed,ChildWork,,18,,,,,,,text,,copyrighted,Y,published,Los Angeles (Calif.),,,Southern California Women for Understanding,,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles—Periodicals,eng,,Southern California Women for Understanding,,,,,"Volume 4, Number 6","December, 1980-January, 1981",,,,1980-12/1981-01,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001549p8,ark:/21198/zz0014sn3d,2,Completed,ChildWork,,19,,,,,,,text,,copyrighted,Y,published,Los Angeles (Calif.),,,Southern California Women for Understanding,,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles—Periodicals,eng,,Southern California Women for Understanding,,,,,"Volume 5, Number 1","February-March, 1981",,,,1981-02/1981-03,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001549qs,ark:/21198/zz0014sn3d,2,Completed,ChildWork,,20,,,,,,,text,,copyrighted,Y,published,Los Angeles (Calif.),,,Southern California Women for Understanding,,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles—Periodicals,eng,,Southern California Women for Understanding,,,,,"Volume 5, Number 2","April-May, 1981",,,,1981-04/1981-05,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001549r9,ark:/21198/zz0014sn3d,2,Completed,ChildWork,,21,,,,,,,text,,copyrighted,Y,published,Los Angeles (Calif.),,,Southern California Women for Understanding,,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles—Periodicals,eng,,Southern California Women for Understanding,,,,,"Volume 5, Number 3","June-July, 1981",,,,1981-06/1981-07,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001549st,ark:/21198/zz0014sn3d,2,Completed,ChildWork,,22,,,,,,,text,,copyrighted,Y,published,Los Angeles (Calif.),,,Southern California Women for Understanding,,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles—Periodicals,eng,,Southern California Women for Understanding,,,,,"Volume 5, Number 4","August-September, 1981",,,,1981-08/1981-09,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001549tb,ark:/21198/zz0014sn3d,2,Completed,ChildWork,,23,,,,,,,text,,copyrighted,Y,published,Los Angeles (Calif.),,,Southern California Women for Understanding,,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles—Periodicals,eng,,Southern California Women for Understanding,,,,,"Volume 5, Number 5","October-November, 1981",,,,1981-10/1981-11,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001549vv,ark:/21198/zz0014sn3d,2,Completed,ChildWork,,24,,,,,,,text,,copyrighted,Y,published,Los Angeles (Calif.),,,Southern California Women for Understanding,,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles—Periodicals,eng,,Southern California Women for Understanding,,,,,"Volume 5, Number 6","December, 1981-January, 1982",,,,1981-12/1982-01,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001549wc,ark:/21198/zz0014sn3d,2,Completed,ChildWork,,25,,,,,,,text,,copyrighted,Y,published,Los Angeles (Calif.),,,Southern California Women for Understanding,,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles—Periodicals,eng,,Southern California Women for Understanding,,,,,"Volume 6, Number 1","February-March, 1982",,,,1982-02/1982-03,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001549xw,ark:/21198/zz0014sn3d,2,Completed,ChildWork,,26,,,,,,,text,,copyrighted,Y,published,Los Angeles (Calif.),,,Southern California Women for Understanding,,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles—Periodicals,eng,,Southern California Women for Understanding,,,,,"Volume 6, Number 2","April-May, 1982",,,,1982-04/1982-05,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001549zd,ark:/21198/zz00154982,2,Completed,ChildWork,scwu/images/masters/21198-zz001549zd-1-master.tif,1,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00154b0d,ark:/21198/zz00154982,2,Completed,ChildWork,scwu/images/masters/21198-zz00154b0d-1-master.tif,2,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00154b1x,ark:/21198/zz00154982,2,Completed,ChildWork,scwu/images/masters/21198-zz00154b1x-1-master.tif,3,,,,,,,,,,,,,,,,,,,,,,,,,Page 3,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00154b2f,ark:/21198/zz00154982,2,Completed,ChildWork,scwu/images/masters/21198-zz00154b2f-1-master.tif,4,,,,,,,,,,,,,,,,,,,,,,,,,Page 4,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00154b3z,ark:/21198/zz00154982,2,Completed,ChildWork,scwu/images/masters/21198-zz00154b3z-1-master.tif,5,,,,,,,,,,,,,,,,,,,,,,,,,Page 5,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00154b4g,ark:/21198/zz00154982,2,Completed,ChildWork,scwu/images/masters/21198-zz00154b4g-1-master.tif,6,,,,,,,,,,,,,,,,,,,,,,,,,Page 6,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00154b50,ark:/21198/zz0015499k,2,Completed,ChildWork,scwu/images/masters/21198-zz00154b50-1-master.tif,1,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00154b6h,ark:/21198/zz0015499k,2,Completed,ChildWork,scwu/images/masters/21198-zz00154b6h-1-master.tif,2,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00154b71,ark:/21198/zz0015499k,2,Completed,ChildWork,scwu/images/masters/21198-zz00154b71-1-master.tif,3,,,,,,,,,,,,,,,,,,,,,,,,,Page 3,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00154b8j,ark:/21198/zz0015499k,2,Completed,ChildWork,scwu/images/masters/21198-zz00154b8j-1-master.tif,4,,,,,,,,,,,,,,,,,,,,,,,,,Page 4,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00154b92,ark:/21198/zz0015499k,2,Completed,ChildWork,scwu/images/masters/21198-zz00154b92-1-master.tif,5,,,,,,,,,,,,,,,,,,,,,,,,,Page 5,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00154bbk,ark:/21198/zz0015499k,2,Completed,ChildWork,scwu/images/masters/21198-zz00154bbk-1-master.tif,6,,,,,,,,,,,,,,,,,,,,,,,,,Page 6,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00154bc3,ark:/21198/zz0015499k,2,Completed,ChildWork,scwu/images/masters/21198-zz00154bc3-1-master.tif,7,,,,,,,,,,,,,,,,,,,,,,,,,Page 7,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00154bdm,ark:/21198/zz0015499k,2,Completed,ChildWork,scwu/images/masters/21198-zz00154bdm-1-master.tif,8,,,,,,,,,,,,,,,,,,,,,,,,,Page 8,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00154bf4,ark:/21198/zz001549b3,2,Completed,ChildWork,scwu/images/masters/21198-zz00154bf4-1-master.tif,1,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00154bgn,ark:/21198/zz001549b3,2,Completed,ChildWork,scwu/images/masters/21198-zz00154bgn-1-master.tif,2,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00154bh5,ark:/21198/zz001549b3,2,Completed,ChildWork,scwu/images/masters/21198-zz00154bh5-1-master.tif,3,,,,,,,,,,,,,,,,,,,,,,,,,Page 3,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00154bjp,ark:/21198/zz001549b3,2,Completed,ChildWork,scwu/images/masters/21198-zz00154bjp-1-master.tif,4,,,,,,,,,,,,,,,,,,,,,,,,,Page 4,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00154bk6,ark:/21198/zz001549b3,2,Completed,ChildWork,scwu/images/masters/21198-zz00154bk6-1-master.tif,5,,,,,,,,,,,,,,,,,,,,,,,,,Page 5,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00154bmq,ark:/21198/zz001549b3,2,Completed,ChildWork,scwu/images/masters/21198-zz00154bmq-1-master.tif,6,,,,,,,,,,,,,,,,,,,,,,,,,Page 6,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00154bn7,ark:/21198/zz001549b3,2,Completed,ChildWork,scwu/images/masters/21198-zz00154bn7-1-master.tif,7,,,,,,,,,,,,,,,,,,,,,,,,,Page 7,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00154bpr,ark:/21198/zz001549b3,2,Completed,ChildWork,scwu/images/masters/21198-zz00154bpr-1-master.tif,8,,,,,,,,,,,,,,,,,,,,,,,,,Page 8,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00154bq8,ark:/21198/zz001549b3,2,Completed,ChildWork,scwu/images/masters/21198-zz00154bq8-1-master.tif,9,,,,,,,,,,,,,,,,,,,,,,,,,Page 9,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00154brs,ark:/21198/zz001549b3,2,Completed,ChildWork,scwu/images/masters/21198-zz00154brs-1-master.tif,10,,,,,,,,,,,,,,,,,,,,,,,,,Page 10,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00154bs9,ark:/21198/zz001549b3,2,Completed,ChildWork,scwu/images/masters/21198-zz00154bs9-1-master.tif,11,,,,,,,,,,,,,,,,,,,,,,,,,Page 11,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00154btt,ark:/21198/zz001549b3,2,Completed,ChildWork,scwu/images/masters/21198-zz00154btt-1-master.tif,12,,,,,,,,,,,,,,,,,,,,,,,,,Page 12,,,,,,,,,,
