"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Subject.descriptiveTopic","Type.typeOfResource","Rights.copyrightStatus","Subject.conceptTopic","Personal or Corporate Name.sponsor","Subject.corporateName","Subject.Jones, Marcia : local","Subject topic","Personal or Corporate Publisher.publisherName","Personal or Corporate Name.photographer","Personal or Corporate Name.designer","Name.creator","Personal or Corporate Name.printer","Personal or Corporate Name.conceptor","Personal or Corporate Name.artist","Personal or Corporate Author","Personal or Corporate Name.musician","Personal or Corporate Name.funder","Personal or Corporate Name.other","Personal or Corporate Rights.rightsHolderName","Personal or Corporate Name.writer","Personal or Corporate Name.repository","Personal or Corporate Editor","Language","Coverage.geographic","Personal or Corporate Name.actress","Personal or Corporate Name.artDirector","Type.genre","Personal or Corporate Name.publishingDirector","Rights.permission","Personal or Corporate Name.subject","Rights.servicesContact","Alternate Identifier.local","Title","Alternate Title.other","Description.note","Publisher.placeOfOrigin","Date.creation","Format.dimensions","Alternate Title.translated","Description.inscription","Alternate Title.inscribed","Alternate Title.descriptive","Date.normalized","Relation.hasVersion","Relation.derivedFrom","Description.abstract","Opac url","Bucketeer State","IIIF Access URL"
"AIDS Posters Collection","ark:/21198/z1zk71b0","ark:/21198/zz001zzfq0","2","Completed","Page","aidsposters/masters/21198-zz001zzfq0-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zk71b0"
"AIDS Posters Collection","ark:/21198/z1tt68kt","ark:/21198/zz001zzfq0","2","Completed","Page","aidsposters/masters/21198-zz001zzfq0-2-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tt68kt"
"AIDS Posters Collection","ark:/21198/z1q25hwv","ark:/21198/zz001zzfrh","2","Completed","Page","aidsposters/masters/21198-zz001zzfrh-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q25hwv"
"AIDS Posters Collection","ark:/21198/z1k94s7f","ark:/21198/zz001zzfrh","2","Completed","Page","aidsposters/masters/21198-zz001zzfrh-2-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k94s7f"
"AIDS Posters Collection","ark:/21198/z1fj41jj","ark:/21198/zz001zzfs1","2","Completed","Page","aidsposters/masters/21198-zz001zzfs1-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fj41jj"
"AIDS Posters Collection","ark:/21198/z19w207j","ark:/21198/zz001zzfs1","2","Completed","Page","aidsposters/masters/21198-zz001zzfs1-2-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w207j"
"AIDS Posters Collection","ark:/21198/z16417gp","ark:/21198/zz001zzgc9","2","Completed","Page","aidsposters/masters/21198-zz001zzgc9-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16417gp"
"AIDS Posters Collection","ark:/21198/z12c0gqh","ark:/21198/zz001zzgc9","2","Completed","Page","aidsposters/masters/21198-zz001zzgc9-2-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12c0gqh"
"AIDS Posters Collection","ark:/21198/z1xm007m","ark:/21198/zz001zzgr0","2","Completed","Page","aidsposters/masters/21198-zz001zzgr0_1687594_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xm007m"
"AIDS Posters Collection","ark:/21198/z1st97hb","ark:/21198/zz001zzgr0","2","Completed","Page","aidsposters/masters/21198-zz001zzgr0_1687597_master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1st97hb"
"AIDS Posters Collection","ark:/21198/z1p28gw8","ark:/21198/zz001zzn01","2","Completed","Page","aidsposters/masters/21198-zz001zzn01-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p28gw8"
"AIDS Posters Collection","ark:/21198/z1jd6fgx","ark:/21198/zz001zzn01","2","Completed","Page","aidsposters/masters/21198-zz001zzn01_1701479_master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jd6fgx"
