"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Rights.permission","Rights.publicationStatus","Coverage.geographic","Name.creator","Author","Rights.servicesContact","Language","Type.genre","Subject","Name.subject","Name.repository","Name.contributor","viewingHint","Text direction","Visibility","IIIF Range","Title","Date.normalized","Date.creation","Description.note","Description.inscription","Description.abstract","Bucketeer State","IIIF Access URL"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bnthq","ark:/21198/zz001bntg6","2","Completed","Page","cruikshank/images/masters/21198-zz001bnthq_748659_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bnthq"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bntkr","ark:/21198/zz001bntj7","2","Completed","Page","cruikshank/images/masters/21198-zz001bntkr_748667_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bntkr"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bntns","ark:/21198/zz001bntm8","2","Completed","Page","cruikshank/images/masters/21198-zz001bntns_748686_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bntns"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bntqt","ark:/21198/zz001bntp9","2","Completed","Page","cruikshank/images/masters/21198-zz001bntqt_748693_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bntqt"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bntsv","ark:/21198/zz001bntrb","2","Completed","Page","cruikshank/images/masters/21198-zz001bntsv_748701_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bntsv"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bntvw","ark:/21198/zz001bnttc","2","Completed","Page","cruikshank/images/masters/21198-zz001bntvw_748709_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bntvw"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bntxx","ark:/21198/zz001bntwd","2","Completed","Page","cruikshank/images/masters/21198-zz001bntxx_748715_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bntxx"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bnv0f","ark:/21198/zz001bntzf","2","Completed","Page","cruikshank/images/masters/21198-zz001bnv0f_748722_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bnv0f"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bnv2g","ark:/21198/zz001bnv1z","2","Completed","Page","cruikshank/images/masters/21198-zz001bnv2g_748730_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bnv2g"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bnv4h","ark:/21198/zz001bnv30","2","Completed","Page","cruikshank/images/masters/21198-zz001bnv4h_748738_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bnv4h"
