Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Type.typeOfResource,Rights.copyrightStatus,Rights.countryCreation,Rights.permission,Rights.rightsHolderContact,Language,Name.subject,Name.repository,Name.creator,Subject,Title,Date.creation,AltTitle.other,Description.note,Date.normalized
Network Measurement Center Collection,ark:/21198/z196144k,ark:/21198/zz002dj6wk,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6wk-1-master_005.tif,5,,,,,,,,,,,,,,Page 5,,,,
Network Measurement Center Collection,ark:/21198/z15f0ccd,ark:/21198/zz002dj6wk,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6wk-1-master_006.tif,6,,,,,,,,,,,,,,Page 6,,,,
Network Measurement Center Collection,ark:/21198/z11n9mn4,ark:/21198/zz002dj6wk,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6wk-1-master_007.tif,7,,,,,,,,,,,,,,Page 7,,,,
Network Measurement Center Collection,ark:/21198/z1ww9474,ark:/21198/zz002dj6wk,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6wk-1-master_008.tif,8,,,,,,,,,,,,,,Page 8,,,,
Network Measurement Center Collection,ark:/21198/z1s48cj5,ark:/21198/zz002dj6x3,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_001.tif,1,,,,,,,,,,,,,,Page 1,,,,
Network Measurement Center Collection,ark:/21198/z1nc7ms0,ark:/21198/zz002dj6x3,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_002.tif,2,,,,,,,,,,,,,,Page 2,,,,
Network Measurement Center Collection,ark:/21198/z1hq5kjw,ark:/21198/zz002dj6x3,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_003.tif,3,,,,,,,,,,,,,,Page 3,,,,
Network Measurement Center Collection,ark:/21198/z1cz4tsq,ark:/21198/zz002dj6x3,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_004.tif,4,,,,,,,,,,,,,,Page 4,,,,
Network Measurement Center Collection,ark:/21198/z1864306,ark:/21198/zz002dj6x3,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_005.tif,5,,,,,,,,,,,,,,Page 5,,,,
Network Measurement Center Collection,ark:/21198/z14f3b8g,ark:/21198/zz002dj6x3,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_006.tif,6,,,,,,,,,,,,,,Page 6,,,,
Network Measurement Center Collection,ark:/21198/z10p2kk6,ark:/21198/zz002dj6x3,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_007.tif,7,,,,,,,,,,,,,,Page 7,,,,
Network Measurement Center Collection,ark:/21198/z1vx234r,ark:/21198/zz002dj6x3,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_008.tif,8,,,,,,,,,,,,,,Page 8,,,,
Network Measurement Center Collection,ark:/21198/z1r51bcw,ark:/21198/zz002dj6x3,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_009.tif,9,,,,,,,,,,,,,,Page 9,,,,
Network Measurement Center Collection,ark:/21198/z1mg993s,ark:/21198/zz002dj6x3,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_010.tif,10,,,,,,,,,,,,,,Page 10,,,,
Network Measurement Center Collection,ark:/21198/z1gq8jbm,ark:/21198/zz002dj6x3,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_011.tif,11,,,,,,,,,,,,,,Page 11,,,,
Network Measurement Center Collection,ark:/21198/z1bz7skf,ark:/21198/zz002dj6x3,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_012.tif,12,,,,,,,,,,,,,,Page 12,,,,
Network Measurement Center Collection,ark:/21198/z17671vd,ark:/21198/zz002dj6x3,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_013.tif,13,,,,,,,,,,,,,,Page 13,,,,
Network Measurement Center Collection,ark:/21198/z13f6960,ark:/21198/zz002dj6x3,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_014.tif,14,,,,,,,,,,,,,,Page 14,,,,
Network Measurement Center Collection,ark:/21198/z1zp5sq9,ark:/21198/zz002dj6x3,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_015.tif,15,,,,,,,,,,,,,,Page 15,,,,
Network Measurement Center Collection,ark:/21198/z1tx520c,ark:/21198/zz002dj6x3,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_016.tif,16,,,,,,,,,,,,,,Page 16,,,,
Network Measurement Center Collection,ark:/21198/z1q830p8,ark:/21198/zz002dj6x3,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_017.tif,17,,,,,,,,,,,,,,Page 17,,,,
Network Measurement Center Collection,ark:/21198/z1kh27wn,ark:/21198/zz002dj6x3,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_018.tif,18,,,,,,,,,,,,,,Page 18,,,,
Network Measurement Center Collection,ark:/21198/z1fr1h4w,ark:/21198/zz002dj6x3,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_019.tif,19,,,,,,,,,,,,,,Page 19,,,,
Network Measurement Center Collection,ark:/21198/z1b00rdg,ark:/21198/zz002dj6x3,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_020.tif,20,,,,,,,,,,,,,,Page 20,,,,
Network Measurement Center Collection,ark:/21198/z16700r1,ark:/21198/zz002dj6x3,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_021.tif,21,,,,,,,,,,,,,,Page 21,,,,
Network Measurement Center Collection,ark:/21198/z12f982m,ark:/21198/zz002dj6x3,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_022.tif,22,,,,,,,,,,,,,,Page 22,,,,
Network Measurement Center Collection,ark:/21198/z1xp8rjg,ark:/21198/zz002dj6x3,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_023.tif,23,,,,,,,,,,,,,,Page 23,,,,
Network Measurement Center Collection,ark:/21198/z1t16q87,ark:/21198/zz002dj6x3,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_024.tif,24,,,,,,,,,,,,,,Page 24,,,,
Network Measurement Center Collection,ark:/21198/z1p85zh2,ark:/21198/zz002dj6x3,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_025.tif,25,,,,,,,,,,,,,,Page 25,,,,
Network Measurement Center Collection,ark:/21198/z1jh56r8,ark:/21198/zz002dj6x3,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_026.tif,26,,,,,,,,,,,,,,Page 26,,,,
Network Measurement Center Collection,ark:/21198/z1dr4g2d,ark:/21198/zz002dj6x3,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_027.tif,27,,,,,,,,,,,,,,Page 27,,,,
Network Measurement Center Collection,ark:/21198/z1903qcf,ark:/21198/zz002dj6x3,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_028.tif,28,,,,,,,,,,,,,,Page 28,,,,
Network Measurement Center Collection,ark:/21198/z1572zp5,ark:/21198/zz002dj6x3,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_029.tif,29,,,,,,,,,,,,,,Page 29,,,,
Network Measurement Center Collection,ark:/21198/z11k0xc5,ark:/21198/zz002dj6x3,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_030.tif,30,,,,,,,,,,,,,,Page 30,,,,
Network Measurement Center Collection,ark:/21198/z1wt0dvd,ark:/21198/zz002dj6x3,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_031.tif,31,,,,,,,,,,,,,,Page 31,,,,
Network Measurement Center Collection,ark:/21198/z1s19p3d,ark:/21198/zz002dj6x3,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_032.tif,32,,,,,,,,,,,,,,Page 32,,,,
Network Measurement Center Collection,ark:/21198/z1n88xb7,ark:/21198/zz002dj6x3,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_033.tif,33,,,,,,,,,,,,,,Page 33,,,,
Network Measurement Center Collection,ark:/21198/z1hh85mw,ark:/21198/zz002dj6x3,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_034.tif,34,,,,,,,,,,,,,,Page 34,,,,
Network Measurement Center Collection,ark:/21198/z1cr7dz2,ark:/21198/zz002dj6x3,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_035.tif,35,,,,,,,,,,,,,,Page 35,,,,
Network Measurement Center Collection,ark:/21198/z1806p8h,ark:/21198/zz002dj6zm,,,Page,network_measurement_center/image/pdf_images/21198-zz002dj6zm-1-master_001.tif,1,,,,,,,,,,,,,,Page 1,,,,
Network Measurement Center Collection,ark:/21198/z14b4mw6,ark:/21198/zz002djfjs,,,Page,network_measurement_center/image/pdf_images/21198-zz002djfjs-1-master_001.tif,1,,,,,,,,,,,,,,Page 1,,,,
Network Measurement Center Collection,ark:/21198/z10k3w6b,ark:/21198/zz002djfjs,,,Page,network_measurement_center/image/pdf_images/21198-zz002djfjs-1-master_002.tif,2,,,,,,,,,,,,,,Page 2,,,,
Network Measurement Center Collection,ark:/21198/z1vt3cpk,ark:/21198/zz002djfjs,,,Page,network_measurement_center/image/pdf_images/21198-zz002djfjs-1-master_003.tif,3,,,,,,,,,,,,,,Page 3,,,,
Network Measurement Center Collection,ark:/21198/z1r22mxq,ark:/21198/zz002djfmt,,,Page,network_measurement_center/image/pdf_images/21198-zz002djfmt-1-master_001.tif,1,,,,,,,,,,,,,,Page 1,,,,
Network Measurement Center Collection,ark:/21198/z1m91w6d,ark:/21198/zz002djfmt,,,Page,network_measurement_center/image/pdf_images/21198-zz002djfmt-1-master_002.tif,2,,,,,,,,,,,,,,Page 2,,,,
Network Measurement Center Collection,ark:/21198/z1gj14jz,ark:/21198/zz002djfmt,,,Page,network_measurement_center/image/pdf_images/21198-zz002djfmt-1-master_003.tif,3,,,,,,,,,,,,,,Page 3,,,,
Network Measurement Center Collection,ark:/21198/z1bs0css,ark:/21198/zz002djfmt,,,Page,network_measurement_center/image/pdf_images/21198-zz002djfmt-1-master_004.tif,4,,,,,,,,,,,,,,Page 4,,,,
Network Measurement Center Collection,ark:/21198/z1738bjf,ark:/21198/zz002djfmt,,,Page,network_measurement_center/image/pdf_images/21198-zz002djfmt-1-master_005.tif,5,,,,,,,,,,,,,,Page 5,,,,
Network Measurement Center Collection,ark:/21198/z13b7ks8,ark:/21198/zz002djfmt,,,Page,network_measurement_center/image/pdf_images/21198-zz002djfmt-1-master_006.tif,6,,,,,,,,,,,,,,Page 6,,,,
Network Measurement Center Collection,ark:/21198/z1zk738x,ark:/21198/zz002djfnb,,,Page,network_measurement_center/image/pdf_images/21198-zz002djfnb-1-master_001.tif,1,,,,,,,,,,,,,,Page 1,,,,
Network Measurement Center Collection,ark:/21198/z1tt6bhr,ark:/21198/zz002djfnb,,,Page,network_measurement_center/image/pdf_images/21198-zz002djfnb-1-master_002.tif,2,,,,,,,,,,,,,,Page 2,,,,
Network Measurement Center Collection,ark:/21198/z1q25kts,ark:/21198/zz002djfnb,,,Page,network_measurement_center/image/pdf_images/21198-zz002djfnb-1-master_003.tif,3,,,,,,,,,,,,,,Page 3,,,,
Network Measurement Center Collection,ark:/21198/z1k94v4x,ark:/21198/zz002djfnb,,,Page,network_measurement_center/image/pdf_images/21198-zz002djfnb-1-master_004.tif,4,,,,,,,,,,,,,,Page 4,,,,
Network Measurement Center Collection,ark:/21198/z1fj43f1,ark:/21198/zz002djfnb,,,Page,network_measurement_center/image/pdf_images/21198-zz002djfnb-1-master_005.tif,5,,,,,,,,,,,,,,Page 5,,,,
Network Measurement Center Collection,ark:/21198/z19w2241,ark:/21198/zz002djfnb,,,Page,network_measurement_center/image/pdf_images/21198-zz002djfnb-1-master_006.tif,6,,,,,,,,,,,,,,Page 6,,,,
Network Measurement Center Collection,ark:/21198/z16419c5,ark:/21198/zz002djfpv,,,Page,network_measurement_center/image/pdf_images/21198-zz002djfpv-1-master_001.tif,1,,,,,,,,,,,,,,Page 1,,,,
Network Measurement Center Collection,ark:/21198/z12c0jm0,ark:/21198/zz002djfpv,,,Page,network_measurement_center/image/pdf_images/21198-zz002djfpv-1-master_002.tif,2,,,,,,,,,,,,,,Page 2,,,,
Network Measurement Center Collection,ark:/21198/z1xm023n,ark:/21198/zz002djfpv,,,Page,network_measurement_center/image/pdf_images/21198-zz002djfpv-1-master_003.tif,3,,,,,,,,,,,,,,Page 3,,,,
Network Measurement Center Collection,ark:/21198/z1st99cc,ark:/21198/zz002djfpv,,,Page,network_measurement_center/image/pdf_images/21198-zz002djfpv-1-master_004.tif,4,,,,,,,,,,,,,,Page 4,,,,
Network Measurement Center Collection,ark:/21198/z1p28jqv,ark:/21198/zz002djfpv,,,Page,network_measurement_center/image/pdf_images/21198-zz002djfpv-1-master_005.tif,5,,,,,,,,,,,,,,Page 5,,,,
Network Measurement Center Collection,ark:/21198/z1j97t0j,ark:/21198/zz002djfpv,,,Page,network_measurement_center/image/pdf_images/21198-zz002djfpv-1-master_006.tif,6,,,,,,,,,,,,,,Page 6,,,,
Network Measurement Center Collection,ark:/21198/z1dn5rnp,ark:/21198/zz002djfpv,,,Page,network_measurement_center/image/pdf_images/21198-zz002djfpv-1-master_007.tif,7,,,,,,,,,,,,,,Page 7,,,,
Network Measurement Center Collection,ark:/21198/z18w50xb,ark:/21198/zz002djfpv,,,Page,network_measurement_center/image/pdf_images/21198-zz002djfpv-1-master_008.tif,8,,,,,,,,,,,,,,Page 8,,,,
Network Measurement Center Collection,ark:/21198/z154484f,ark:/21198/zz002djfpv,,,Page,network_measurement_center/image/pdf_images/21198-zz002djfpv-1-master_009.tif,9,,,,,,,,,,,,,,Page 9,,,,
Network Measurement Center Collection,ark:/21198/z11c3hdq,ark:/21198/zz002djfpv,,,Page,network_measurement_center/image/pdf_images/21198-zz002djfpv-1-master_010.tif,10,,,,,,,,,,,,,,Page 10,,,,
Network Measurement Center Collection,ark:/21198/z1wm30zv,ark:/21198/zz002djfpv,,,Page,network_measurement_center/image/pdf_images/21198-zz002djfpv-1-master_011.tif,11,,,,,,,,,,,,,,Page 11,,,,
Network Measurement Center Collection,ark:/21198/z1rv289f,ark:/21198/zz002djfpv,,,Page,network_measurement_center/image/pdf_images/21198-zz002djfpv-1-master_012.tif,12,,,,,,,,,,,,,,Page 12,,,,
Network Measurement Center Collection,ark:/21198/z1n31hjk,ark:/21198/zz002djfpv,,,Page,network_measurement_center/image/pdf_images/21198-zz002djfpv-1-master_013.tif,13,,,,,,,,,,,,,,Page 13,,,,
Network Measurement Center Collection,ark:/21198/z1hd9g9x,ark:/21198/zz002djfqc,,,Page,network_measurement_center/image/pdf_images/21198-zz002djfqc-1-master_001.tif,1,,,,,,,,,,,,,,Page 1,,,,
Network Measurement Center Collection,ark:/21198/z1cn8qjr,ark:/21198/zz002djfqc,,,Page,network_measurement_center/image/pdf_images/21198-zz002djfqc-1-master_002.tif,2,,,,,,,,,,,,,,Page 2,,,,
Network Measurement Center Collection,ark:/21198/z17w7zr4,ark:/21198/zz002djfqc,,,Page,network_measurement_center/image/pdf_images/21198-zz002djfqc-1-master_003.tif,3,,,,,,,,,,,,,,Page 3,,,,
Network Measurement Center Collection,ark:/21198/z144771h,ark:/21198/zz002djfqc,,,Page,network_measurement_center/image/pdf_images/21198-zz002djfqc-1-master_004.tif,4,,,,,,,,,,,,,,Page 4,,,,
Network Measurement Center Collection,ark:/21198/z10c6gb7,ark:/21198/zz002djfrw,,,Page,network_measurement_center/image/pdf_images/21198-zz002djfrw-1-master_001.tif,1,,,,,,,,,,,,,,Page 1,,,,
Network Measurement Center Collection,ark:/21198/z1vm5zvj,ark:/21198/zz002djfrw,,,Page,network_measurement_center/image/pdf_images/21198-zz002djfrw-1-master_002.tif,2,,,,,,,,,,,,,,Page 2,,,,
Network Measurement Center Collection,ark:/21198/z1qv574m,ark:/21198/zz002djfrw,,,Page,network_measurement_center/image/pdf_images/21198-zz002djfrw-1-master_003.tif,3,,,,,,,,,,,,,,Page 3,,,,
Network Measurement Center Collection,ark:/21198/z1m635wd,ark:/21198/zz002djfrw,,,Page,network_measurement_center/image/pdf_images/21198-zz002djfrw-1-master_004.tif,4,,,,,,,,,,,,,,Page 4,,,,
Network Measurement Center Collection,ark:/21198/z1gf2f36,ark:/21198/zz002djfrw,,,Page,network_measurement_center/image/pdf_images/21198-zz002djfrw-1-master_005.tif,5,,,,,,,,,,,,,,Page 5,,,,
Network Measurement Center Collection,ark:/21198/z1bp1pb1,ark:/21198/zz002djfvf,,,Page,network_measurement_center/image/pdf_images/21198-zz002djfvf-1-master_001.tif,1,,,,,,,,,,,,,,Page 1,,,,
Network Measurement Center Collection,ark:/21198/z16x0xm9,ark:/21198/zz002djfvf,,,Page,network_measurement_center/image/pdf_images/21198-zz002djfvf-1-master_002.tif,2,,,,,,,,,,,,,,Page 2,,,,
Network Measurement Center Collection,ark:/21198/z13505xq,ark:/21198/zz002djfvf,,,Page,network_measurement_center/image/pdf_images/21198-zz002djfvf-1-master_003.tif,3,,,,,,,,,,,,,,Page 3,,,,
Network Measurement Center Collection,ark:/21198/z1zc9phs,ark:/21198/zz002djg63,,,Page,network_measurement_center/image/pdf_images/21198-zz002djg63-1-master_001.tif,1,,,,,,,,,,,,,,Page 1,,,,
Network Measurement Center Collection,ark:/21198/z1tm8xrm,ark:/21198/zz002djg63,,,Page,network_measurement_center/image/pdf_images/21198-zz002djg63-1-master_002.tif,2,,,,,,,,,,,,,,Page 2,,,,
Network Measurement Center Collection,ark:/21198/z1pz6wd5,ark:/21198/zz002djg63,,,Page,network_measurement_center/image/pdf_images/21198-zz002djg63-1-master_003.tif,3,,,,,,,,,,,,,,Page 3,,,,
Network Measurement Center Collection,ark:/21198/z1k664p4,ark:/21198/zz002djg63,,,Page,network_measurement_center/image/pdf_images/21198-zz002djg63-1-master_004.tif,4,,,,,,,,,,,,,,Page 4,,,,
Network Measurement Center Collection,ark:/21198/z1ff5cwh,ark:/21198/zz002djg63,,,Page,network_measurement_center/image/pdf_images/21198-zz002djg63-1-master_005.tif,5,,,,,,,,,,,,,,Page 5,,,,
Network Measurement Center Collection,ark:/21198/z19p4n56,ark:/21198/zz002djg63,,,Page,network_measurement_center/image/pdf_images/21198-zz002djg63-1-master_006.tif,6,,,,,,,,,,,,,,Page 6,,,,
Network Measurement Center Collection,ark:/21198/z15x3wgx,ark:/21198/zz002djg63,,,Page,network_measurement_center/image/pdf_images/21198-zz002djg63-1-master_007.tif,7,,,,,,,,,,,,,,Page 7,,,,
Network Measurement Center Collection,ark:/21198/z12534ts,ark:/21198/zz002djg63,,,Page,network_measurement_center/image/pdf_images/21198-zz002djg63-1-master_008.tif,8,,,,,,,,,,,,,,Page 8,,,,
Network Measurement Center Collection,ark:/21198/z1xd2n8m,ark:/21198/zz002djg7m,,,Page,network_measurement_center/image/pdf_images/21198-zz002djg7m-1-master_001.tif,1,,,,,,,,,,,,,,Page 1,,,,
Network Measurement Center Collection,ark:/21198/z1sr0m1h,ark:/21198/zz002djg7m,,,Page,network_measurement_center/image/pdf_images/21198-zz002djg7m-1-master_002.tif,2,,,,,,,,,,,,,,Page 2,,,,
Network Measurement Center Collection,ark:/21198/z1nz9v7b,ark:/21198/zz002djg7m,,,Page,network_measurement_center/image/pdf_images/21198-zz002djg7m-1-master_003.tif,3,,,,,,,,,,,,,,Page 3,,,,
Network Measurement Center Collection,ark:/21198/z1j693gv,ark:/21198/zz002djg7m,,,Page,network_measurement_center/image/pdf_images/21198-zz002djg7m-1-master_004.tif,4,,,,,,,,,,,,,,Page 4,,,,
Network Measurement Center Collection,ark:/21198/z1df8br4,ark:/21198/zz002djg7m,,,Page,network_measurement_center/image/pdf_images/21198-zz002djg7m-1-master_005.tif,5,,,,,,,,,,,,,,Page 5,,,,
Network Measurement Center Collection,ark:/21198/z18p7m3q,ark:/21198/zz002djg9n,,,Page,network_measurement_center/image/pdf_images/21198-zz002djg9n-1-master_001.tif,1,,,,,,,,,,,,,,Page 1,,,,
Network Measurement Center Collection,ark:/21198/z14x6vdf,ark:/21198/zz002djg9n,,,Page,network_measurement_center/image/pdf_images/21198-zz002djg9n-1-master_002.tif,2,,,,,,,,,,,,,,Page 2,,,,
Network Measurement Center Collection,ark:/21198/z1184t3r,ark:/21198/zz002djgb5,,,Page,network_measurement_center/image/pdf_images/21198-zz002djgb5-1-master_001.tif,1,,,,,,,,,,,,,,Page 1,,,,
Network Measurement Center Collection,ark:/21198/z1wh49nw,ark:/21198/zz002djgb5,,,Page,network_measurement_center/image/pdf_images/21198-zz002djgb5-1-master_002.tif,2,,,,,,,,,,,,,,Page 2,,,,
Network Measurement Center Collection,ark:/21198/z1rr3jv8,ark:/21198/zz002djgcp,,,Page,network_measurement_center/image/pdf_images/21198-zz002djgcp-1-master_001.tif,1,,,,,,,,,,,,,,Page 1,,,,
Network Measurement Center Collection,ark:/21198/z1n02t3t,ark:/21198/zz002djgcp,,,Page,network_measurement_center/image/pdf_images/21198-zz002djgcp-1-master_002.tif,2,,,,,,,,,,,,,,Page 2,,,,
Network Measurement Center Collection,ark:/21198/z1h722cg,ark:/21198/zz002djgcp,,,Page,network_measurement_center/image/pdf_images/21198-zz002djgcp-1-master_003.tif,3,,,,,,,,,,,,,,Page 3,,,,
Network Measurement Center Collection,ark:/21198/z1cg19p6,ark:/21198/zz002djgcp,,,Page,network_measurement_center/image/pdf_images/21198-zz002djgcp-1-master_004.tif,4,,,,,,,,,,,,,,Page 4,,,,
Network Measurement Center Collection,ark:/21198/z17q0k27,ark:/21198/zz002djgcp,,,Page,network_measurement_center/image/pdf_images/21198-zz002djgcp-1-master_005.tif,5,,,,,,,,,,,,,,Page 5,,,,
Network Measurement Center Collection,ark:/21198/z1418hn7,ark:/21198/zz002djgcp,,,Page,network_measurement_center/image/pdf_images/21198-zz002djgcp-1-master_006.tif,6,,,,,,,,,,,,,,Page 6,,,,
Network Measurement Center Collection,ark:/21198/z1087rxh,ark:/21198/zz002djgcp,,,Page,network_measurement_center/image/pdf_images/21198-zz002djgcp-1-master_007.tif,7,,,,,,,,,,,,,,Page 7,,,,
Network Measurement Center Collection,ark:/21198/z1vh78fm,ark:/21198/zz002djgcp,,,Page,network_measurement_center/image/pdf_images/21198-zz002djgcp-1-master_008.tif,8,,,,,,,,,,,,,,Page 8,,,,
Network Measurement Center Collection,ark:/21198/z1qr6hpf,ark:/21198/zz002djgcp,,,Page,network_measurement_center/image/pdf_images/21198-zz002djgcp-1-master_009.tif,9,,,,,,,,,,,,,,Page 9,,,,
Network Measurement Center Collection,ark:/21198/z1m05s0w,ark:/21198/zz002djgcp,,,Page,network_measurement_center/image/pdf_images/21198-zz002djgcp-1-master_010.tif,10,,,,,,,,,,,,,,Page 10,,,,
Network Measurement Center Collection,ark:/21198/z1g75190,ark:/21198/zz002djgd6,,,Page,network_measurement_center/image/pdf_images/21198-zz002djgd6-1-master_001.tif,1,,,,,,,,,,,,,,Page 1,,,,
Network Measurement Center Collection,ark:/21198/z1bg48n5,ark:/21198/zz002djgd6,,,Page,network_measurement_center/image/pdf_images/21198-zz002djgd6-1-master_002.tif,2,,,,,,,,,,,,,,Page 2,,,,
Network Measurement Center Collection,ark:/21198/z16t2788,ark:/21198/zz002djgd6,,,Page,network_measurement_center/image/pdf_images/21198-zz002djgd6-1-master_003.tif,3,,,,,,,,,,,,,,Page 3,,,,
Network Measurement Center Collection,ark:/21198/z1321gjv,ark:/21198/zz002djgd6,,,Page,network_measurement_center/image/pdf_images/21198-zz002djgd6-1-master_004.tif,4,,,,,,,,,,,,,,Page 4,,,,
Network Measurement Center Collection,ark:/21198/z1z91002,ark:/21198/zz002djgd6,,,Page,network_measurement_center/image/pdf_images/21198-zz002djgd6-1-master_005.tif,5,,,,,,,,,,,,,,Page 5,,,,
Network Measurement Center Collection,ark:/21198/z1tj077w,ark:/21198/zz002djgfq,,,Page,network_measurement_center/image/pdf_images/21198-zz002djgfq-1-master_001.tif,1,,,,,,,,,,,,,,Page 1,,,,
Network Measurement Center Collection,ark:/21198/z1pr9ghm,ark:/21198/zz002djgfq,,,Page,network_measurement_center/image/pdf_images/21198-zz002djgfq-1-master_002.tif,2,,,,,,,,,,,,,,Page 2,,,,
Network Measurement Center Collection,ark:/21198/z1k08qv3,ark:/21198/zz002djgfq,,,Page,network_measurement_center/image/pdf_images/21198-zz002djgfq-1-master_003.tif,3,,,,,,,,,,,,,,Page 3,,,,
Network Measurement Center Collection,ark:/21198/z1f7805m,ark:/21198/zz002djgfq,,,Page,network_measurement_center/image/pdf_images/21198-zz002djgfq-1-master_004.tif,4,,,,,,,,,,,,,,Page 4,,,,
Network Measurement Center Collection,ark:/21198/z19k5xvt,ark:/21198/zz002djgfq,,,Page,network_measurement_center/image/pdf_images/21198-zz002djgfq-1-master_005.tif,5,,,,,,,,,,,,,,Page 5,,,,
