Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Visibility,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Rights.permission,Name.actor,Name.director,Name.subject,Name.producer,Name.photographer,Name.costumeDesigner,Name.distributor,Subject.descriptiveTopic,AltTitle.uniform,Language,Name.repository,Name.cinematographer,Subject,Subject.geographicPlace,Name.artDirector,Name.setDesigner,Alt ID.local,Format.extent,Format.dimensions,Title,Date.normalized,Description.caption,Date.creation,Description.note,AltTitle.other,Description.abstract,Opac url,Finding Aid URL,Bucketeer State,IIIF Access URL,IIIF Manifest URL
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001np2mt,ark:/21198/zz0015w23z,2,Completed,Work,mpstills/masters/21198-zz001np2mt-1-master.tif,,,,,,private,still image,Black-and-white photographs|~|Drama films,copyrighted,unknown,,"Morgan, Frank, $d 1890-1949|~|O'Sullivan, Maureen, $d 1911-1998","Whale, James, $d -1957",,Metro-Goldwyn-Mayer Film Co.,,,Loew's Incorporated,,Port Of Seven Seas (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 740_ 14_ 1,1 photograph : b&w,8 x 10 in.,Maureen O'Sullivan and Frank Morgan in Port Of Seven Seas,1937-12/1938-01-28,"""PORT OF SEVEN SEAS,"" A Metro-Goldwyn-Mayer Picture",between December 1937 and January 28 1938,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001np2mt,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001np2mt/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001np2nb,ark:/21198/zz0015w23z,2,Completed,Work,mpstills/masters/21198-zz001np2nb-1-master.tif,,,,,,private,still image,Black-and-white photographs|~|Drama films,copyrighted,unknown,,"Morgan, Frank, $d 1890-1949|~|O'Sullivan, Maureen, $d 1911-1998|~|Beal, John, $d 1909-1997","Whale, James, $d -1957",,Metro-Goldwyn-Mayer Film Co.,,,Loew's Incorporated,,Port Of Seven Seas (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 740_ 14_ 2,1 photograph : b&w,8 x 10 in.,"John Beal, Maureen O'Sullivan, and Frank Morgan in Port Of Seven Seas",1937-12/1938-01-28,"""PORT OF SEVEN SEAS,"" A Metro-Goldwyn-Mayer Picture",between December 1937 and January 28 1938,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001np2nb,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001np2nb/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001np2pv,ark:/21198/zz0015w23z,2,Completed,Work,mpstills/masters/21198-zz001np2pv-1-master.tif,,,,,,private,still image,Black-and-white photographs|~|Drama films,copyrighted,unknown,,"O'Sullivan, Maureen, $d 1911-1998|~|Beal, John, $d 1909-1997","Whale, James, $d -1957",,Metro-Goldwyn-Mayer Film Co.,,,Loew's Incorporated,,Port Of Seven Seas (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 740_ 14_ 3,1 photograph : b&w,8 x 10 in.,John Beal and Maureen O'Sullivan in Port Of Seven Seas,1937-12/1938-01-28,"""PORT OF SEVEN SEAS,"" A Metro-Goldwyn-Mayer Picture",between December 1937 and January 28 1938,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001np2pv,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001np2pv/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001np2xg,ark:/21198/zz0015w23z,2,Completed,Work,mpstills/masters/21198-zz001np2xg_1695602_master.tif,,,,,,private,still image,Black-and-white photographs|~|Melodrama films,copyrighted,unknown,,"Gorshin, Frank","Schuster, Harold D., 1902-1986",,Lindsley Parsons Productions,,,Allied Artists Pictures Corp.,,Portland Expose (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 739_ 14_ 1,1 photograph : b&w,8 x 10 in.,Frank Gorshin in Portland Expose,1957-06,"ALLIED ARTISTS Presents ""PORTLAND EXPOSE"" Featuring EDWARD BINNS, CAROLYN CRAIG, JEANNE CARMEN, VIRGINIA CREGG [sp], RUSS CONWAY. A LINDSLEY PARSONS PRODUCTION. Directed by HAROLD SCHUSTER.",began June 1957,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001np2xg,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001np2xg/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001np2z0,ark:/21198/zz0015w23z,2,Completed,Work,mpstills/masters/21198-zz001np2z0-1-master.tif,,,,,,private,still image,Black-and-white photographs|~|Melodrama films,copyrighted,unknown,,"Binns, Edward, $d 1916-1990|~|Conway, Russ, $d 1913-2009|~|Craig, Carolyn, $d 1934-1970","Schuster, Harold D., 1902-1986",,Lindsley Parsons Productions,,,Allied Artists Pictures Corp.,,Portland Expose (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 739_ 14_ 10,1 photograph : b&w,8 x 10 in.,"Carolyn Craig, Edward Binns, and Russ Conway in Portland Expose",1957-06,"ALLIED ARTISTS Presents ""PORTLAND EXPOSE"" Featuring EDWARD BINNS, CAROLYN CRAIG, JEANNE CARMEN, VIRGINIA CREGG [sp], RUSS CONWAY. A LINDSLEY PARSONS PRODUCTION. Directed by HAROLD SCHUSTER.",began June 1957,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001np2z0,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001np2z0/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001np300,ark:/21198/zz0015w23z,2,Completed,Work,mpstills/masters/21198-zz001np300-1-master.tif,,,,,,private,still image,Black-and-white photographs|~|Melodrama films,copyrighted,unknown,,"Craig, Carolyn, $d 1934-1970","Schuster, Harold D., 1902-1986",,Lindsley Parsons Productions,,,Allied Artists Pictures Corp.,,Portland Expose (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 739_ 14_ 11,1 photograph : b&w,8 x 10 in.,Carolyn Craig in Portland Expose,1957-06,"ALLIED ARTISTS Presents ""PORTLAND EXPOSE"" Featuring EDWARD BINNS, CAROLYN CRAIG, JEANNE CARMEN, VIRGINIA CREGG [sp], RUSS CONWAY. A LINDSLEY PARSONS PRODUCTION. Directed by HAROLD SCHUSTER.",began June 1957,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001np300,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001np300/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001np31h,ark:/21198/zz0015w23z,2,Completed,Work,mpstills/masters/21198-zz001np31h_1695599_master.tif,,,,,,private,still image,Black-and-white photographs|~|Melodrama films,copyrighted,unknown,,"Binns, Edward, $d 1916-1990","Schuster, Harold D., 1902-1986",,Lindsley Parsons Productions,,,Allied Artists Pictures Corp.,,Portland Expose (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 739_ 14_ 12,1 photograph : b&w,8 x 10 in.,Edward Binns in Portland Expose,1957-06,"ALLIED ARTISTS Presents ""PORTLAND EXPOSE"" Featuring EDWARD BINNS, CAROLYN CRAIG, JEANNE CARMEN, VIRGINIA CREGG [sp], RUSS CONWAY. A LINDSLEY PARSONS PRODUCTION. Directed by HAROLD SCHUSTER.",began June 1957,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001np31h,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001np31h/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001np321,ark:/21198/zz0015w23z,2,Completed,Work,mpstills/masters/21198-zz001np321_1695620_master.tif,,,,,,private,still image,Black-and-white photographs|~|Melodrama films,copyrighted,unknown,,"Gorshin, Frank","Schuster, Harold D., 1902-1986",,Lindsley Parsons Productions,,,Allied Artists Pictures Corp.,,Portland Expose (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 739_ 14_ 13,1 photograph : b&w,8 x 10 in.,Frank Gorshin in Portland Expose,1957-06,"ALLIED ARTISTS Presents ""PORTLAND EXPOSE"" Featuring EDWARD BINNS, CAROLYN CRAIG, JEANNE CARMEN, VIRGINIA CREGG [sp], RUSS CONWAY. A LINDSLEY PARSONS PRODUCTION. Directed by HAROLD SCHUSTER.",began June 1957,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001np321,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001np321/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001np33j,ark:/21198/zz0015w23z,2,Completed,Work,mpstills/masters/21198-zz001np33j-1-master.tif,,,,,,private,still image,Black-and-white photographs|~|Melodrama films,copyrighted,unknown,,"Gorshin, Frank|~|Farrar, Stanley, $d 1910-1974|~|Lane, Rusty, $d 1899-1986","Schuster, Harold D., 1902-1986",,Lindsley Parsons Productions,,,Allied Artists Pictures Corp.,,Portland Expose (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 739_ 14_ 14,1 photograph : b&w,8 x 10 in.,"Frank Gorshin, Stanley Farrar, and Rusty Lane in Portland Expose",1957-06,"ALLIED ARTISTS Presents ""PORTLAND EXPOSE"" Featuring EDWARD BINNS, CAROLYN CRAIG, JEANNE CARMEN, VIRGINIA CREGG [sp], RUSS CONWAY. A LINDSLEY PARSONS PRODUCTION. Directed by HAROLD SCHUSTER.",began June 1957,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001np33j,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001np33j/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001np342,ark:/21198/zz0015w23z,2,Completed,Work,mpstills/masters/21198-zz001np342-1-master.tif,,,,,,private,still image,Black-and-white photographs|~|Melodrama films,copyrighted,unknown,,"Gorshin, Frank|~|Farrar, Stanley, $d 1910-1974","Schuster, Harold D., 1902-1986",,Lindsley Parsons Productions,,,Allied Artists Pictures Corp.,,Portland Expose (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 739_ 14_ 15,1 photograph : b&w,8 x 10 in.,Frank Gorshin and Stanley Farrar in Portland Expose,1957-06,"ALLIED ARTISTS Presents ""PORTLAND EXPOSE"" Featuring EDWARD BINNS, CAROLYN CRAIG, JEANNE CARMEN, VIRGINIA CREGG [sp], RUSS CONWAY. A LINDSLEY PARSONS PRODUCTION. Directed by HAROLD SCHUSTER.",began June 1957,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001np342,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001np342/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001np35k,ark:/21198/zz0015w23z,2,Completed,Work,mpstills/masters/21198-zz001np35k-1-master.tif,,,,,,private,still image,Black-and-white photographs|~|Melodrama films,copyrighted,unknown,,"Craig, Carolyn, $d 1934-1970|~|Gregg, Virginia","Schuster, Harold D., 1902-1986",,Lindsley Parsons Productions,,,Allied Artists Pictures Corp.,,Portland Expose (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 739_ 14_ 16,1 photograph : b&w,8 x 10 in.,Carolyn Craig and Virginia Gregg in Portland Expose,1957-06,"ALLIED ARTISTS Presents ""PORTLAND EXPOSE"" Featuring EDWARD BINNS, CAROLYN CRAIG, JEANNE CARMEN, VIRGINIA CREGG [sp], RUSS CONWAY. A LINDSLEY PARSONS PRODUCTION. Directed by HAROLD SCHUSTER.",began June 1957,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001np35k,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001np35k/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001np363,ark:/21198/zz0015w23z,2,Completed,Work,mpstills/masters/21198-zz001np363-1-master.tif,,,,,,private,still image,Black-and-white photographs|~|Melodrama films,copyrighted,unknown,,"Binns, Edward, $d 1916-1990|~|Gregg, Virginia","Schuster, Harold D., 1902-1986",,Lindsley Parsons Productions,,,Allied Artists Pictures Corp.,,Portland Expose (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 739_ 14_ 17,1 photograph : b&w,8 x 10 in.,Virginia Gregg and Edward Binns in Portland Expose,1957-06,"ALLIED ARTISTS Presents ""PORTLAND EXPOSE"" Featuring EDWARD BINNS, CAROLYN CRAIG, JEANNE CARMEN, VIRGINIA CREGG [sp], RUSS CONWAY. A LINDSLEY PARSONS PRODUCTION. Directed by HAROLD SCHUSTER.",began June 1957,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001np363,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001np363/manifest
