"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Visibility","viewingHint","Type.genre","Language","Rights.rightsHolderContact","Subject","Name.subject","Name.creator","Alt ID.local","Title","Date.creation","AltTitle.other","Description.note","Summary","Type.typeOfResource","Relation.isPartOf","Publisher.placeOfOrigin","Publisher.publisherName","AltTitle.descriptive","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL"
"Naylor (William) Collection","ark:/21198/z1pz6z0m","ark:/21198/zz002hkzn8","","","Page","william_naylor/image/21198-zz002hkzn8-1-master_028.tif","28","","","","","","","","","","","","","Page 28","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pz6z0m"
"Naylor (William) Collection","ark:/21198/z1k66674","ark:/21198/zz002hkzn8","","","Page","william_naylor/image/21198-zz002hkzn8-1-master_029.tif","29","","","","","","","","","","","","","Page 29","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k66674"
"Naylor (William) Collection","ark:/21198/z1ff5ffh","ark:/21198/zz002hkzn8","","","Page","william_naylor/image/21198-zz002hkzn8-1-master_030.tif","30","","","","","","","","","","","","","Page 30","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ff5ffh"
"Naylor (William) Collection","ark:/21198/z19p4pr7","ark:/21198/zz002hkzn8","","","Page","william_naylor/image/21198-zz002hkzn8-1-master_031.tif","31","","","","","","","","","","","","","Page 31","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19p4pr7"
"Naylor (William) Collection","ark:/21198/z1612nd3","ark:/21198/zz002hkzn8","","","Page","william_naylor/image/21198-zz002hkzn8-1-master_032.tif","32","","","","","","","","","","","","","Page 32","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1612nd3"
"Naylor (William) Collection","ark:/21198/z1281wqt","ark:/21198/zz002hkzn8","","","Page","william_naylor/image/21198-zz002hkzn8-1-master_033.tif","33","","","","","","","","","","","","","Page 33","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1281wqt"
"Naylor (William) Collection","ark:/21198/z1xh1d9t","ark:/21198/zz002hkzn8","","","Page","william_naylor/image/21198-zz002hkzn8-1-master_034.tif","34","","","","","","","","","","","","","Page 34","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xh1d9t"
"Naylor (William) Collection","ark:/21198/z1sr0nk3","ark:/21198/zz002hkzn8","","","Page","william_naylor/image/21198-zz002hkzn8-1-master_035.tif","35","","","","","","","","","","","","","Page 35","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sr0nk3"
"Naylor (William) Collection","ark:/21198/z1nz9wrg","ark:/21198/zz002hkzn8","","","Page","william_naylor/image/21198-zz002hkzn8-1-master_036.tif","36","","","","","","","","","","","","","Page 36","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nz9wrg"
"Naylor (William) Collection","ark:/21198/z1j6951v","ark:/21198/zz002hkzn8","","","Page","william_naylor/image/21198-zz002hkzn8-1-master_037.tif","37","","","","","","","","","","","","","Page 37","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j6951v"
"Naylor (William) Collection","ark:/21198/z1df8dbk","ark:/21198/zz002hkzn8","","","Page","william_naylor/image/21198-zz002hkzn8-1-master_038.tif","38","","","","","","","","","","","","","Page 38","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1df8dbk"
"Naylor (William) Collection","ark:/21198/z18s6c04","ark:/21198/zz002hkzn8","","","Page","william_naylor/image/21198-zz002hkzn8-1-master_039.tif","39","","","","","","","","","","","","","Page 39","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18s6c04"
"Naylor (William) Collection","ark:/21198/z1515mbm","ark:/21198/zz002hkzn8","","","Page","william_naylor/image/21198-zz002hkzn8-1-master_040.tif","40","","","","","","","","","","","","","Page 40","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1515mbm"
"Naylor (William) Collection","ark:/21198/z1184vnb","ark:/21198/zz002hkzn8","","","Page","william_naylor/image/21198-zz002hkzn8-1-master_041.tif","41","","","","","","","","","","","","","Page 41","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1184vnb"
"Naylor (William) Collection","ark:/21198/z1wh4c5f","ark:/21198/zz002hkzn8","","","Page","william_naylor/image/21198-zz002hkzn8-1-master_042.tif","42","","","","","","","","","","","","","Page 42","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wh4c5f"
"Naylor (William) Collection","ark:/21198/z1rr3mbc","ark:/21198/zz002hkzn8","","","Page","william_naylor/image/21198-zz002hkzn8-1-master_043.tif","43","","","","","","","","","","","","","Page 43","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rr3mbc"
"Naylor (William) Collection","ark:/21198/z1n02vmz","ark:/21198/zz002hkzn8","","","Page","william_naylor/image/21198-zz002hkzn8-1-master_044.tif","44","","","","","","","","","","","","","Page 44","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n02vmz"
"Naylor (William) Collection","ark:/21198/z1h723x2","ark:/21198/zz002hkzn8","","","Page","william_naylor/image/21198-zz002hkzn8-1-master_045.tif","45","","","","","","","","","","","","","Page 45","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h723x2"
"Naylor (William) Collection","ark:/21198/z1ck02km","ark:/21198/zz002hkzn8","","","Page","william_naylor/image/21198-zz002hkzn8-1-master_046.tif","46","","","","","","","","","","","","","Page 46","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ck02km"
"Naylor (William) Collection","ark:/21198/z17s99ws","ark:/21198/zz002hkzn8","","","Page","william_naylor/image/21198-zz002hkzn8-1-master_047.tif","47","","","","","","","","","","","","","Page 47","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17s99ws"
"Naylor (William) Collection","ark:/21198/z1418k7p","ark:/21198/zz002hkzn8","","","Page","william_naylor/image/21198-zz002hkzn8-1-master_048.tif","48","","","","","","","","","","","","","Page 48","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1418k7p"
"Naylor (William) Collection","ark:/21198/z1087tgh","ark:/21198/zz002hkzn8","","","Page","william_naylor/image/21198-zz002hkzn8-1-master_049.tif","49","","","","","","","","","","","","","Page 49","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1087tgh"
"Naylor (William) Collection","ark:/21198/z1vh7b0m","ark:/21198/zz002hkzn8","","","Page","william_naylor/image/21198-zz002hkzn8-1-master_050.tif","50","","","","","","","","","","","","","Page 50","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vh7b0m"
