Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Type.genre,Rights.copyrightStatus,Rights.countryCreation,Language,Rights.permission,Name.repository,Relation.isPartOf,Name.creator,Rights.rightsHolderContact,Subject,Date.normalized,Date.creation,Title
Roberts (Larry) Collection,,,,,Page,21198-zz002d3hfc-1-master_007.tif,7,,,,,,,,,,,,,,,,Page 7
Roberts (Larry) Collection,,,,,Page,21198-zz002d3hfc-1-master_008.tif,8,,,,,,,,,,,,,,,,Page 8
Roberts (Larry) Collection,,,,,Page,21198-zz002d3hfc-1-master_009.tif,9,,,,,,,,,,,,,,,,Page 9
Roberts (Larry) Collection,,,,,Page,21198-zz002d3hfc-1-master_010.tif,10,,,,,,,,,,,,,,,,Page 10
Roberts (Larry) Collection,,,,,Page,21198-zz002d3hfc-1-master_011.tif,11,,,,,,,,,,,,,,,,Page 11
Roberts (Larry) Collection,,,,,Page,21198-zz002d3hfc-1-master_012.tif,12,,,,,,,,,,,,,,,,Page 12
Roberts (Larry) Collection,,,,,Page,21198-zz002d3hfc-1-master_013.tif,13,,,,,,,,,,,,,,,,Page 13
Roberts (Larry) Collection,,,,,Page,21198-zz002d3hfc-1-master_014.tif,14,,,,,,,,,,,,,,,,Page 14
Roberts (Larry) Collection,,,,,Page,21198-zz002d3hfc-1-master_015.tif,15,,,,,,,,,,,,,,,,Page 15
Roberts (Larry) Collection,,,,,Page,21198-zz002d3hfc-1-master_016.tif,16,,,,,,,,,,,,,,,,Page 16
Roberts (Larry) Collection,,,,,Page,21198-zz002d3hfc-1-master_017.tif,17,,,,,,,,,,,,,,,,Page 17
Roberts (Larry) Collection,,,,,Page,21198-zz002d3hfc-1-master_018.tif,18,,,,,,,,,,,,,,,,Page 18
Roberts (Larry) Collection,,,,,Page,21198-zz002d3hfc-1-master_019.tif,19,,,,,,,,,,,,,,,,Page 19
Roberts (Larry) Collection,,,,,Page,21198-zz002d3hfc-1-master_020.tif,20,,,,,,,,,,,,,,,,Page 20
Roberts (Larry) Collection,,,,,Page,21198-zz002d3kkd-1-master_001.tif,1,,,,,,,,,,,,,,,,Page 1
Roberts (Larry) Collection,,,,,Page,21198-zz002d3kkd-1-master_002.tif,2,,,,,,,,,,,,,,,,Page 2
Roberts (Larry) Collection,,,,,Page,21198-zz002d3kkd-1-master_003.tif,3,,,,,,,,,,,,,,,,Page 3
Roberts (Larry) Collection,,,,,Page,21198-zz002d3knf-1-master_001.tif,1,,,,,,,,,,,,,,,,Page 1
Roberts (Larry) Collection,,,,,Page,21198-zz002d3knf-1-master_002.tif,2,,,,,,,,,,,,,,,,Page 2
Roberts (Larry) Collection,,,,,Page,21198-zz002d3knf-1-master_003.tif,3,,,,,,,,,,,,,,,,Page 3
Roberts (Larry) Collection,,,,,Page,21198-zz002d3knf-1-master_004.tif,4,,,,,,,,,,,,,,,,Page 4
Roberts (Larry) Collection,,,,,Page,21198-zz002d3knf-1-master_005.tif,5,,,,,,,,,,,,,,,,Page 5
Roberts (Larry) Collection,,,,,Page,21198-zz002d3knf-1-master_006.tif,6,,,,,,,,,,,,,,,,Page 6
Roberts (Larry) Collection,,,,,Page,21198-zz002ddgq2-1-master_001.tif,1,,,,,,,,,,,,,,,,Page 1
Roberts (Larry) Collection,,,,,Page,21198-zz002ddgq2-1-master_002.tif,2,,,,,,,,,,,,,,,,Page 2
Roberts (Larry) Collection,,,,,Page,21198-zz002ddgq2-1-master_003.tif,3,,,,,,,,,,,,,,,,Page 3
Roberts (Larry) Collection,,,,,Page,21198-zz002ddgq2-1-master_004.tif,4,,,,,,,,,,,,,,,,Page 4
Roberts (Larry) Collection,,,,,Page,21198-zz002ddgq2-1-master_005.tif,5,,,,,,,,,,,,,,,,Page 5
Roberts (Larry) Collection,,,,,Page,21198-zz002ddgq2-1-master_006.tif,6,,,,,,,,,,,,,,,,Page 6
Roberts (Larry) Collection,,,,,Page,21198-zz002ddgq2-1-master_007.tif,7,,,,,,,,,,,,,,,,Page 7
Roberts (Larry) Collection,,,,,Page,21198-zz002ddgq2-1-master_008.tif,8,,,,,,,,,,,,,,,,Page 8
Roberts (Larry) Collection,,,,,Page,21198-zz002ddgq2-1-master_009.tif,9,,,,,,,,,,,,,,,,Page 9
Roberts (Larry) Collection,,,,,Page,21198-zz002ddgq2-1-master_010.tif,10,,,,,,,,,,,,,,,,Page 10
Roberts (Larry) Collection,,,,,Page,21198-zz002ddgq2-1-master_011.tif,11,,,,,,,,,,,,,,,,Page 11
Roberts (Larry) Collection,,,,,Page,21198-zz002ddgq2-1-master_012.tif,12,,,,,,,,,,,,,,,,Page 12
Roberts (Larry) Collection,,,,,Page,21198-zz002ddgq2-1-master_013.tif,13,,,,,,,,,,,,,,,,Page 13
Roberts (Larry) Collection,,,,,Page,21198-zz002ddgq2-1-master_014.tif,14,,,,,,,,,,,,,,,,Page 14
Roberts (Larry) Collection,,,,,Page,21198-zz002ddgq2-1-master_015.tif,15,,,,,,,,,,,,,,,,Page 15
Roberts (Larry) Collection,,,,,Page,21198-zz002ddgq2-1-master_016.tif,16,,,,,,,,,,,,,,,,Page 16
Roberts (Larry) Collection,,,,,Page,21198-zz002ddgq2-1-master_017.tif,17,,,,,,,,,,,,,,,,Page 17
Roberts (Larry) Collection,,,,,Page,21198-zz002ddgq2-1-master_018.tif,18,,,,,,,,,,,,,,,,Page 18
Roberts (Larry) Collection,,,,,Page,21198-zz002ddgq2-1-master_019.tif,19,,,,,,,,,,,,,,,,Page 19
Roberts (Larry) Collection,,,,,Page,21198-zz002ddgq2-1-master_020.tif,20,,,,,,,,,,,,,,,,Page 20
Roberts (Larry) Collection,,,,,Page,21198-zz002dj5qh-9-master_001.tif,1,,,,,,,,,,,,,,,,Page 1
Roberts (Larry) Collection,,,,,Page,21198-zz002dj5qh-9-master_002.tif,2,,,,,,,,,,,,,,,,Page 2
Roberts (Larry) Collection,,,,,Page,21198-zz002dj5qh-9-master_003.tif,3,,,,,,,,,,,,,,,,Page 3
Roberts (Larry) Collection,,,,,Page,21198-zz002dj5qh-9-master_004.tif,4,,,,,,,,,,,,,,,,Page 4
Roberts (Larry) Collection,,,,,Page,21198-zz002dj5qh-9-master_005.tif,5,,,,,,,,,,,,,,,,Page 5
Roberts (Larry) Collection,,,,,Page,21198-zz002dj5qh-9-master_006.tif,6,,,,,,,,,,,,,,,,Page 6
Roberts (Larry) Collection,,,,,Page,21198-zz002dj5qh-9-master_007.tif,7,,,,,,,,,,,,,,,,Page 7
Roberts (Larry) Collection,,,,,Page,21198-zz002dj5qh-9-master_008.tif,8,,,,,,,,,,,,,,,,Page 8
Roberts (Larry) Collection,,,,,Page,21198-zz002dj5r1-2-master_001.tif,1,,,,,,,,,,,,,,,,Page 1
Roberts (Larry) Collection,,,,,Page,21198-zz002dj5r1-2-master_002.tif,2,,,,,,,,,,,,,,,,Page 2
Roberts (Larry) Collection,,,,,Page,21198-zz002dj5r1-2-master_003.tif,3,,,,,,,,,,,,,,,,Page 3
Roberts (Larry) Collection,,,,,Page,21198-zz002dj5r1-2-master_004.tif,4,,,,,,,,,,,,,,,,Page 4
Roberts (Larry) Collection,,,,,Page,21198-zz002dj5r1-2-master_005.tif,5,,,,,,,,,,,,,,,,Page 5
Roberts (Larry) Collection,,,,,Page,21198-zz002dj5r1-2-master_006.tif,6,,,,,,,,,,,,,,,,Page 6
Roberts (Larry) Collection,,,,,Page,21198-zz002dj5r1-2-master_007.tif,7,,,,,,,,,,,,,,,,Page 7
Roberts (Larry) Collection,,,,,Page,21198-zz002dj5r1-2-master_008.tif,8,,,,,,,,,,,,,,,,Page 8
Roberts (Larry) Collection,,,,,Page,21198-zz002dj5r1-2-master_009.tif,9,,,,,,,,,,,,,,,,Page 9
Roberts (Larry) Collection,,,,,Page,21198-zz002dj5r1-2-master_010.tif,10,,,,,,,,,,,,,,,,Page 10
Roberts (Larry) Collection,,,,,Page,21198-zz002dj5r1-2-master_011.tif,11,,,,,,,,,,,,,,,,Page 11
Roberts (Larry) Collection,,,,,Page,21198-zz002dj5r1-2-master_012.tif,12,,,,,,,,,,,,,,,,Page 12
Roberts (Larry) Collection,,,,,Page,21198-zz002dj5r1-2-master_013.tif,13,,,,,,,,,,,,,,,,Page 13
Roberts (Larry) Collection,,,,,Page,21198-zz002dj5r1-2-master_014.tif,14,,,,,,,,,,,,,,,,Page 14
Roberts (Larry) Collection,,,,,Page,21198-zz002dj5r1-2-master_015.tif,15,,,,,,,,,,,,,,,,Page 15
Roberts (Larry) Collection,,,,,Page,21198-zz002dj5r1-2-master_016.tif,16,,,,,,,,,,,,,,,,Page 16
Roberts (Larry) Collection,,,,,Page,21198-zz002dj5r1-2-master_017.tif,17,,,,,,,,,,,,,,,,Page 17
Roberts (Larry) Collection,,,,,Page,21198-zz002dj5r1-2-master_018.tif,18,,,,,,,,,,,,,,,,Page 18
Roberts (Larry) Collection,,,,,Page,21198-zz002dj5r1-2-master_019.tif,19,,,,,,,,,,,,,,,,Page 19
Roberts (Larry) Collection,,,,,Page,21198-zz002dj5r1-2-master_020.tif,20,,,,,,,,,,,,,,,,Page 20
Roberts (Larry) Collection,,,,,Page,21198-zz002dj5r1-2-master_021.tif,21,,,,,,,,,,,,,,,,Page 21
Roberts (Larry) Collection,,,,,Page,21198-zz002dj5r1-2-master_022.tif,22,,,,,,,,,,,,,,,,Page 22
Roberts (Larry) Collection,,,,,Page,21198-zz002dj5r1-2-master_023.tif,23,,,,,,,,,,,,,,,,Page 23
Roberts (Larry) Collection,,,,,Page,21198-zz002dj5r1-2-master_024.tif,24,,,,,,,,,,,,,,,,Page 24
Roberts (Larry) Collection,,,,,Page,21198-zz002dj5r1-2-master_025.tif,25,,,,,,,,,,,,,,,,Page 25
Roberts (Larry) Collection,,,,,Page,21198-zz002dj5r1-2-master_026.tif,26,,,,,,,,,,,,,,,,Page 26
Roberts (Larry) Collection,,,,,Page,21198-zz002dj5r1-2-master_027.tif,27,,,,,,,,,,,,,,,,Page 27
Roberts (Larry) Collection,,,,,Page,21198-zz002dj5r1-2-master_028.tif,28,,,,,,,,,,,,,,,,Page 28
Roberts (Larry) Collection,,,,,Page,21198-zz002dj5r1-2-master_029.tif,29,,,,,,,,,,,,,,,,Page 29
Roberts (Larry) Collection,,,,,Page,21198-zz002dj5r1-2-master_030.tif,30,,,,,,,,,,,,,,,,Page 30
Roberts (Larry) Collection,,,,,Page,21198-zz002dj5r1-2-master_031.tif,31,,,,,,,,,,,,,,,,Page 31
Roberts (Larry) Collection,,,,,Page,21198-zz002dj5r1-2-master_032.tif,32,,,,,,,,,,,,,,,,Page 32
Roberts (Larry) Collection,,,,,Page,21198-zz002dj5r1-2-master_033.tif,33,,,,,,,,,,,,,,,,Page 33
Roberts (Larry) Collection,,,,,Page,21198-zz002dj5r1-2-master_034.tif,34,,,,,,,,,,,,,,,,Page 34
Roberts (Larry) Collection,,,,,Page,21198-zz002dj5r1-2-master_035.tif,35,,,,,,,,,,,,,,,,Page 35
Roberts (Larry) Collection,,,,,Page,21198-zz002dj5vk-2-master_001.tif,1,,,,,,,,,,,,,,,,Page 1
Roberts (Larry) Collection,,,,,Page,21198-zz002dmv9v-1-master_001.tif,1,,,,,,,,,,,,,,,,Page 1
