Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Type.typeOfResource,Rights.copyrightStatus,Rights.permission,Rights.publicationStatus,Coverage.geographic,Name.photographer,Author,Name.creator,Name.subject,Name.contributor,Rights.servicesContact,Language,Type.genre,Subject,Rights.notice,Name.repository,viewingHint,Text direction,Visibility,IIIF Range,Title,Date.creation,Date.normalized,Description.caption,Description.note,Description.abstract,Date.publication,IIIF Manifest URL
Faderman (Lillian) Collection,ark:/21198/zz0017q441,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017q5f5,text,copyrighted,N,unpublished,New York (City) ,,Unknown,,"Faderman, Lillian",,,eng,letters (correspondence),Correspondence - Other (Faderman)|~|Lesbians--History|~|Lesbians in literature--History,,June L. Mazer Lesbian Archives,individuals,,private,,Letter Regarding Lillian Hellman for Introduction of Book,"November 6, 1981",1981-11-06,,Rights.statementLocal: Original author unknown.|~|Rights.statementLocal: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017q441/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017q45j,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017q5jq,text,copyrighted,N,unpublished,San Francisco (Calif.),,"Cruikshank, Margaret",,"Faderman, Lillian",,,eng,letters (correspondence),Correspondence - Other (Faderman)|~|Lesbians--History|~|Lesbians in literature--History,,June L. Mazer Lesbian Archives,individuals,,private,,Letter Regarding Book Review,"December 12, 1981",1981-12-12,,Rights.statementLocal: Need to obtain permission to publish from original author.|~|Rights.statementLocal: Item includes personal information (author's address).,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017q45j/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017q462,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017q5mr,text,copyrighted,N,unpublished,United States,,Unknown,,"Faderman, Lillian",,,eng,letters (correspondence),"Correspondence - Other (Faderman)|~|Lesbians--History|~|Lesbians in literature--History|~|Lesbians--Legal status, laws, etc.",,June L. Mazer Lesbian Archives,individuals,,private,,Letter Regarding Draft of Scotch Verdict,"January 13, 1982",1982-01-13,,Rights.statementLocal: Need to obtain permission to publish from original author.|~|Rights.statementLocal: Original author unknown (Barbara Grier?),,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017q462/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017q47k,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017q5n8,text,copyrighted,N,unpublished,,,Unknown,,"Faderman, Lillian",,,eng,letters (correspondence),Correspondence - Other (Faderman),,June L. Mazer Lesbian Archives,individuals,,private,,Letter Regarding Student's Performance in Class,"March 15, 1982",1982-03-15,,Rights.statementLocal: Original author unknown.|~|Rights.statementLocal: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017q47k/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017q5ps,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017q5vc,text,copyrighted,N,unpublished,California,,"Davis, Madeline",,"Faderman, Lillian|~|National Women's Studies Association",,,eng,letters (correspondence),Correspondence - Other (Faderman)|~|Lesbians--History|~|Lesbians in literature--History,,June L. Mazer Lesbian Archives,individuals,,private,,Letter Regarding Book Prospectus,"March 1, 1982",1982-03-01,,Rights.statementLocal: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017q5ps/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017q5q9,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017q5ww,text,copyrighted,N,unpublished,California,,Unknown,,"Faderman, Lillian",,,eng,letters (correspondence),Correspondence - Other (Faderman)|~|Lesbians--History|~|Lesbians in literature--History,,June L. Mazer Lesbian Archives,individuals,,private,,Letter Regarding Surpassing the Love of Men,"April 16, 1982",1982-04-16,,Rights.statementLocal: Need to obtain permission to publish from original author.|~|Rights.statementLocal: Original author unknown.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017q5q9/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017q5rt,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017q5xd,text,copyrighted,N,unpublished,,,"Tucker, Hazel",,"Faderman, Lillian",,,eng,letters (correspondence),Correspondence - Other (Faderman),,June L. Mazer Lesbian Archives,individuals,,private,,Letter of Congratulations on Outstanding Professor Award,"April 25, 1982",1982-04-25,,Rights.statementLocal: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017q5rt/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017q5sb,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017qfv7,text,copyrighted,N,unpublished,Fresno (Calif.),,"Grant, Rena R.",,"Faderman, Lillian",,,eng,letters (correspondence),Correspondence - Other (Faderman)|~|Lesbians--History|~|Lesbians in literature--History,,June L. Mazer Lesbian Archives,individuals,,private,,Letter of Thanks for Presentation to Women's Studies Class,"May 10, 1982",1982-05-10,,Rights.statementLocal: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017q5sb/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017q5tv,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017qfwr,text,copyrighted,N,unpublished,Chicago (Ill.),,"DiCaprio, Lisa",,"Faderman, Lillian",,,eng,letters (correspondence),Correspondence - Other (Faderman)|~|Lesbians--History|~|Lesbians in literature--History,,June L. Mazer Lesbian Archives,individuals,,private,,Letter Regarding Article in Chicago Tribune,"May 17, 1982",1982-05-17,,Rights.statementLocal: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017q5tv/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017qhzr,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017qjg0,text,copyrighted,N,unpublished,Los Angeles (Calif.)|~|Fresno (Calif.),,"Rowe, Karen E.",,"University of California, Los Angeles|~|Faderman, Lillian",,,eng,letters (correspondence),Correspondence - Other (Faderman)|~|Lesbians in literature--History,,June L. Mazer Lesbian Archives,individuals,,private,,Letter Regarding Visiting Appointment at UCLA,"October 24, 1982",1982-10-24,,Rights.statementLocal: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017qhzr/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017qj2s,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017qjhh,text,copyrighted,N,unpublished,Fresno (Calif.)|~|Amsterdam (The Netherlands),,"Pickering, Jean",,"Faderman, Lillian",,,eng,,Correspondence - Other (Faderman)|~|Lesbians--History,,June L. Mazer Lesbian Archives,individuals,,private,,Letter Regarding Travel Funds for Faderman to Attend International Congress,"October 28, 1982",1982-10-28,,Rights.statementLocal: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017qj2s/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017qj4t,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017qjkj,text,copyrighted,N,unpublished,Fresno (Calif.),,Unknown,,"Faderman, Lillian",,,eng,letters (correspondence),Correspondence - Other (Faderman)|~|Lesbians--History|~|Lesbians in literature--History,,June L. Mazer Lesbian Archives,individuals,,private,,Letter Regarding Book Submission,"November 1, 1982",1982-11-01,,Rights.statementLocal: Original author unknown.|~|Rights.statementLocal: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017qj4t/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017qj6v,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017qjm2,text,copyrighted,N,unpublished,Fresno (Calif.),,"Frey, James",,"Faderman, Lillian",,,eng,letters (correspondence),Correspondence - Other (Faderman)|~|Lesbians in literature--History,,June L. Mazer Lesbian Archives,individuals,,private,,Letter in Support of Faderman's Travel Grant Application,"November 1, 1982",1982-11-01,,Rights.statementLocal: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017qj6v/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017qj8w,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017qjp3,text,copyrighted,N,unpublished,Fresno (Calif.)|~|Amsterdam (The Netherlands),,"Pickering, Jean",,"Faderman, Lillian",,,eng,letters (correspondence),Correspondence - Other (Faderman)|~|Lesbians--History|~|Lesbians in literature--History,,June L. Mazer Lesbian Archives,individuals,,private,,Letter in Support of Faderman's Travel Grant Application,"November 1, 1982",1982-11-01,,Rights.statementLocal: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017qj8w/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017qj9d,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017qjqm,text,copyrighted,N,unpublished,Fresno (Calif.),,"Becker, Robin",,"Faderman, Lillian",,,eng,letters (correspondence),Correspondence - Other (Faderman)|~|Lesbians--History|~|Lesbians in literature--History,,June L. Mazer Lesbian Archives,individuals,,private,,Letter Regarding Support of Promotion,"November 17, 1982",1982-11-17,,Rights.statementLocal: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017qj9d/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017qjbx,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017qkfz,text,copyrighted,N,unpublished,Fresno (Calif.),,Unknown,,"Faderman, Lillian",,,eng,letters (correspondence),Correspondence - Other (Faderman),,June L. Mazer Lesbian Archives,individuals,,private,,Letter Regarding Visit,"December 20, 1982",1982-12-20,,Rights.statementLocal: Need to obtain permission to publish from original author.|~|Rights.statementLocal: Original author unknown.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017qjbx/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017qjcf,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017qkh0,text,copyrighted,N,unpublished,Fresno (Calif.),,"Schlatter, Richard",,"Faderman, Lillian",,,eng,letters (correspondence),Correspondence - Other (Faderman)|~|Lesbians--History|~|Lesbians in literature--History,,June L. Mazer Lesbian Archives,individuals,,private,,Letter Regarding Status of Travel Grant Application,"January 4, 1983",1983-01-04,,Rights.statementLocal: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017qjcf/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017qjdz,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017qkk1,text,copyrighted,N,unpublished,,,Unknown,,"Faderman, Lillian",,,eng,letters (correspondence),Correspondence - Other (Faderman)|~|Lesbians--History,,June L. Mazer Lesbian Archives,individuals,,private,,Letter Regarding Research,"January 13, 1983",1983-01-13,,Rights.statementLocal: Need to obtain permission to publish from original author.|~|Rights.statementLocal: Original author unknown.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017qjdz/manifest
