"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Rights.countryCreation","Rights.permission","Language","Name.creator","Name.repository","Rights.rightsHolderContact","Title","Subject","AltTitle.other","Description.note","Summary","Alt ID.local","Date.creation","Date.normalized","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL"
"Wingfield (Michael) Collection","ark:/21198/z1g17md2","ark:/21198/zz002gw1mb","","","Page","wingfield/image/pdf_images/21198-zz002gw1mb-1-master_011.tif","11","","","","","","","","","","","","Page 11","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g17md2"
"Wingfield (Michael) Collection","ark:/21198/z1b86vqs","ark:/21198/zz002gw1mb","","","Page","wingfield/image/pdf_images/21198-zz002gw1mb-1-master_012.tif","12","","","","","","","","","","","","Page 12","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b86vqs"
"Wingfield (Michael) Collection","ark:/21198/z16h642r","ark:/21198/zz002gw1mb","","","Page","wingfield/image/pdf_images/21198-zz002gw1mb-1-master_013.tif","13","","","","","","","","","","","","Page 13","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16h642r"
"Wingfield (Michael) Collection","ark:/21198/z12v42qw","ark:/21198/zz002gw1mb","","","Page","wingfield/image/pdf_images/21198-zz002gw1mb-1-master_014.tif","14","","","","","","","","","","","","Page 14","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12v42qw"
"Wingfield (Michael) Collection","ark:/21198/z1z33kb8","ark:/21198/zz002gw1mb","","","Page","wingfield/image/pdf_images/21198-zz002gw1mb-1-master_015.tif","15","","","","","","","","","","","","Page 15","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z33kb8"
"Wingfield (Michael) Collection","ark:/21198/z1tb2tmj","ark:/21198/zz002gw1mb","","","Page","wingfield/image/pdf_images/21198-zz002gw1mb-1-master_016.tif","16","","","","","","","","","","","","Page 16","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tb2tmj"
"Wingfield (Michael) Collection","ark:/21198/z1pk22sv","ark:/21198/zz002gw1mb","","","Page","wingfield/image/pdf_images/21198-zz002gw1mb-1-master_017.tif","17","","","","","","","","","","","","Page 17","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pk22sv"
"Wingfield (Michael) Collection","ark:/21198/z1jt1b13","ark:/21198/zz002gw1mb","","","Page","wingfield/image/pdf_images/21198-zz002gw1mb-1-master_018.tif","18","","","","","","","","","","","","Page 18","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jt1b13"
"Wingfield (Michael) Collection","ark:/21198/z1f20k9p","ark:/21198/zz002gw1mb","","","Page","wingfield/image/pdf_images/21198-zz002gw1mb-1-master_019.tif","19","","","","","","","","","","","","Page 19","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f20k9p"
"Wingfield (Michael) Collection","ark:/21198/z1989tpr","ark:/21198/zz002gw1mb","","","Page","wingfield/image/pdf_images/21198-zz002gw1mb-1-master_020.tif","20","","","","","","","","","","","","Page 20","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1989tpr"
"Wingfield (Michael) Collection","ark:/21198/z15m7s9v","ark:/21198/zz002gx95x","","","Page","wingfield/image/pdf_images/21198-zz002gx95x-1-master_001.tif","1","","","","","","","","","","","","Page 1","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15m7s9v"
"Wingfield (Michael) Collection","ark:/21198/z11v71mz","ark:/21198/zz002gx95x","","","Page","wingfield/image/pdf_images/21198-zz002gx95x-1-master_002.tif","2","","","","","","","","","","","","Page 2","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11v71mz"
"Wingfield (Michael) Collection","ark:/21198/z1x36j40","ark:/21198/zz002gx95x","","","Page","wingfield/image/pdf_images/21198-zz002gx95x-1-master_003.tif","3","","","","","","","","","","","","Page 3","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x36j40"
"Wingfield (Michael) Collection","ark:/21198/z1sb5sbc","ark:/21198/zz002gx95x","","","Page","wingfield/image/pdf_images/21198-zz002gx95x-1-master_004.tif","4","","","","","","","","","","","","Page 4","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sb5sbc"
"Wingfield (Michael) Collection","ark:/21198/z1nk51m1","ark:/21198/zz002gx95x","","","Page","wingfield/image/pdf_images/21198-zz002gx95x-1-master_005.tif","5","","","","","","","","","","","","Page 5","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nk51m1"
"Wingfield (Michael) Collection","ark:/21198/z1ht48xr","ark:/21198/zz002gx95x","","","Page","wingfield/image/pdf_images/21198-zz002gx95x-1-master_006.tif","6","","","","","","","","","","","","Page 6","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ht48xr"
"Wingfield (Michael) Collection","ark:/21198/z1d23j8n","ark:/21198/zz002gx95x","","","Page","wingfield/image/pdf_images/21198-zz002gx95x-1-master_007.tif","7","","","","","","","","","","","","Page 7","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d23j8n"
"Wingfield (Michael) Collection","ark:/21198/z18d1gvw","ark:/21198/zz002gx95x","","","Page","wingfield/image/pdf_images/21198-zz002gx95x-1-master_008.tif","8","","","","","","","","","","","","Page 8","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18d1gvw"
"Wingfield (Michael) Collection","ark:/21198/z14n0r7x","ark:/21198/zz002gx95x","","","Page","wingfield/image/pdf_images/21198-zz002gx95x-1-master_009.tif","9","","","","","","","","","","","","Page 9","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14n0r7x"
"Wingfield (Michael) Collection","ark:/21198/z10w00fp","ark:/21198/zz002gxb2v","","","Page","wingfield/image/pdf_images/21198-zz002gxb2v-1-master_001.tif","1","","","","","","","","","","","","Page 1","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10w00fp"
"Wingfield (Michael) Collection","ark:/21198/z1w39gx9","ark:/21198/zz002gxb2v","","","Page","wingfield/image/pdf_images/21198-zz002gxb2v-1-master_002.tif","2","","","","","","","","","","","","Page 2","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w39gx9"
"Wingfield (Michael) Collection","ark:/21198/z1rb8r5j","ark:/21198/zz002gxb2v","","","Page","wingfield/image/pdf_images/21198-zz002gxb2v-1-master_003.tif","3","","","","","","","","","","","","Page 3","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rb8r5j"
"Wingfield (Michael) Collection","ark:/21198/z1mk80gn","ark:/21198/zz002gxb2v","","","Page","wingfield/image/pdf_images/21198-zz002gxb2v-1-master_004.tif","4","","","","","","","","","","","","Page 4","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mk80gn"
"Wingfield (Michael) Collection","ark:/21198/z1gt77tt","ark:/21198/zz002gxb2v","","","Page","wingfield/image/pdf_images/21198-zz002gxb2v-1-master_005.tif","5","","","","","","","","","","","","Page 5","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gt77tt"
"Wingfield (Michael) Collection","ark:/21198/z1c556gp","ark:/21198/zz002gxb2v","","","Page","wingfield/image/pdf_images/21198-zz002gxb2v-1-master_006.tif","6","","","","","","","","","","","","Page 6","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c556gp"
"Wingfield (Michael) Collection","ark:/21198/z17d4fv9","ark:/21198/zz002gxb3c","","","Page","wingfield/image/pdf_images/21198-zz002gxb3c-1-master_001.tif","1","","","","","","","","","","","","Page 1","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17d4fv9"
"Wingfield (Michael) Collection","ark:/21198/z13n3q23","ark:/21198/zz002gxbb0","","","Page","wingfield/image/pdf_images/21198-zz002gxbb0-1-master_001.tif","1","","","","","","","","","","","","Page 1","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13n3q23"
"Wingfield (Michael) Collection","ark:/21198/z1zw36hw","ark:/21198/zz002gxbb0","","","Page","wingfield/image/pdf_images/21198-zz002gxbb0-1-master_002.tif","2","","","","","","","","","","","","Page 2","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zw36hw"
"Wingfield (Michael) Collection","ark:/21198/z1v42fsg","ark:/21198/zz002gxbb0","","","Page","wingfield/image/pdf_images/21198-zz002gxbb0-1-master_003.tif","3","","","","","","","","","","","","Page 3","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v42fsg"
"Wingfield (Michael) Collection","ark:/21198/z1qc1q3m","ark:/21198/zz002gxbb0","","","Page","wingfield/image/pdf_images/21198-zz002gxbb0-1-master_004.tif","4","","","","","","","","","","","","Page 4","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qc1q3m"
"Wingfield (Michael) Collection","ark:/21198/z1km0zg7","ark:/21198/zz002gxbch","","","Page","wingfield/image/pdf_images/21198-zz002gxbch-1-master_001.tif","1","","","","","","","","","","","","Page 1","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1km0zg7"
"Wingfield (Michael) Collection","ark:/21198/z1fx8x3s","ark:/21198/zz002gxbch","","","Page","wingfield/image/pdf_images/21198-zz002gxbch-1-master_002.tif","2","","","","","","","","","","","","Page 2","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fx8x3s"
"Wingfield (Michael) Collection","ark:/21198/z1b585d6","ark:/21198/zz002gxbch","","","Page","wingfield/image/pdf_images/21198-zz002gxbch-1-master_003.tif","3","","","","","","","","","","","","Page 3","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b585d6"
"Wingfield (Michael) Collection","ark:/21198/z16d7dn1","ark:/21198/zz002gxbd1","","","Page","wingfield/image/pdf_images/21198-zz002gxbd1-1-master_001.tif","1","","","","","","","","","","","","Page 1","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16d7dn1"
"Wingfield (Michael) Collection","ark:/21198/z12n6nvd","ark:/21198/zz002gxbd1","","","Page","wingfield/image/pdf_images/21198-zz002gxbd1-1-master_002.tif","2","","","","","","","","","","","","Page 2","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12n6nvd"
"Wingfield (Michael) Collection","ark:/21198/z1xw65ch","ark:/21198/zz002gxbfj","","","Page","wingfield/image/pdf_images/21198-zz002gxbfj-1-master_001.tif","1","","","","","","","","","","","","Page 1","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xw65ch"
"Wingfield (Michael) Collection","ark:/21198/z1t45dpj","ark:/21198/zz002gxbfj","","","Page","wingfield/image/pdf_images/21198-zz002gxbfj-1-master_002.tif","2","","","","","","","","","","","","Page 2","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t45dpj"
"Wingfield (Michael) Collection","ark:/21198/z1pc4p14","ark:/21198/zz002gxbfj","","","Page","wingfield/image/pdf_images/21198-zz002gxbfj-1-master_003.tif","3","","","","","","","","","","","","Page 3","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pc4p14"
"Wingfield (Michael) Collection","ark:/21198/z1jq2mmc","ark:/21198/zz002gxbfj","","","Page","wingfield/image/pdf_images/21198-zz002gxbfj-1-master_004.tif","4","","","","","","","","","","","","Page 4","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jq2mmc"
"Wingfield (Michael) Collection","ark:/21198/z1dz1w0d","ark:/21198/zz002gxbfj","","","Page","wingfield/image/pdf_images/21198-zz002gxbfj-1-master_005.tif","5","","","","","","","","","","","","Page 5","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dz1w0d"
"Wingfield (Michael) Collection","ark:/21198/z1961451","ark:/21198/zz002gxbg2","","","Page","wingfield/image/pdf_images/21198-zz002gxbg2-1-master_001.tif","1","","","","","","","","","","","","Page 1","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1961451"
"Wingfield (Michael) Collection","ark:/21198/z15f0cdv","ark:/21198/zz002gxbg2","","","Page","wingfield/image/pdf_images/21198-zz002gxbg2-1-master_002.tif","2","","","","","","","","","","","","Page 2","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15f0cdv"
"Wingfield (Michael) Collection","ark:/21198/z11n9mpk","ark:/21198/zz002gxbg2","","","Page","wingfield/image/pdf_images/21198-zz002gxbg2-1-master_003.tif","3","","","","","","","","","","","","Page 3","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11n9mpk"
"Wingfield (Michael) Collection","ark:/21198/z1ww948k","ark:/21198/zz002gxbg2","","","Page","wingfield/image/pdf_images/21198-zz002gxbg2-1-master_004.tif","4","","","","","","","","","","","","Page 4","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ww948k"
"Wingfield (Michael) Collection","ark:/21198/z1s48cm2","ark:/21198/zz002gxbg2","","","Page","wingfield/image/pdf_images/21198-zz002gxbg2-1-master_005.tif","5","","","","","","","","","","","","Page 5","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s48cm2"
"Wingfield (Michael) Collection","ark:/21198/z1ng6b8m","ark:/21198/zz002gxbhk","","","Page","wingfield/image/pdf_images/21198-zz002gxbhk-1-master_001.tif","1","","","","","","","","","","","","Page 1","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ng6b8m"
"Wingfield (Michael) Collection","ark:/21198/z1hq5kms","ark:/21198/zz002gxbhk","","","Page","wingfield/image/pdf_images/21198-zz002gxbhk-1-master_002.tif","2","","","","","","","","","","","","Page 2","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hq5kms"
"Wingfield (Michael) Collection","ark:/21198/z1cz4tt5","ark:/21198/zz002gxbhk","","","Page","wingfield/image/pdf_images/21198-zz002gxbhk-1-master_003.tif","3","","","","","","","","","","","","Page 3","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cz4tt5"
"Wingfield (Michael) Collection","ark:/21198/z186431n","ark:/21198/zz002gxbhk","","","Page","wingfield/image/pdf_images/21198-zz002gxbhk-1-master_004.tif","4","","","","","","","","","","","","Page 4","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz186431n"
"Wingfield (Michael) Collection","ark:/21198/z14f3b9x","ark:/21198/zz002gxbj3","","","Page","wingfield/image/pdf_images/21198-zz002gxbj3-1-master_001.tif","1","","","","","","","","","","","","Page 1","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14f3b9x"
"Wingfield (Michael) Collection","ark:/21198/z10p2kmn","ark:/21198/zz002gxbkm","","","Page","wingfield/image/pdf_images/21198-zz002gxbkm-1-master_001.tif","1","","","","","","","","","","","","Page 1","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10p2kmn"
"Wingfield (Michael) Collection","ark:/21198/z1vx236n","ark:/21198/zz002gxbkm","","","Page","wingfield/image/pdf_images/21198-zz002gxbkm-1-master_002.tif","2","","","","","","","","","","","","Page 2","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vx236n"
"Wingfield (Michael) Collection","ark:/21198/z1r801v3","ark:/21198/zz002gxbkm","","","Page","wingfield/image/pdf_images/21198-zz002gxbkm-1-master_003.tif","3","","","","","","","","","","","","Page 3","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r801v3"
"Wingfield (Michael) Collection","ark:/21198/z1mg995p","ark:/21198/zz002gxbkm","","","Page","wingfield/image/pdf_images/21198-zz002gxbkm-1-master_004.tif","4","","","","","","","","","","","","Page 4","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mg995p"
"Wingfield (Michael) Collection","ark:/21198/z1gq8jc2","ark:/21198/zz002gxbkm","","","Page","wingfield/image/pdf_images/21198-zz002gxbkm-1-master_005.tif","5","","","","","","","","","","","","Page 5","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gq8jc2"
"Wingfield (Michael) Collection","ark:/21198/z1bz7smw","ark:/21198/zz002gxbm4","","","Page","wingfield/image/pdf_images/21198-zz002gxbm4-1-master_001.tif","1","","","","","","","","","","","","Page 1","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bz7smw"
"Wingfield (Michael) Collection","ark:/21198/z17671wv","ark:/21198/zz002gxbm4","","","Page","wingfield/image/pdf_images/21198-zz002gxbm4-1-master_002.tif","2","","","","","","","","","","","","Page 2","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17671wv"
"Wingfield (Michael) Collection","ark:/21198/z13f698w","ark:/21198/zz002gxbm4","","","Page","wingfield/image/pdf_images/21198-zz002gxbm4-1-master_003.tif","3","","","","","","","","","","","","Page 3","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13f698w"
"Wingfield (Michael) Collection","ark:/21198/z1zp5ss6","ark:/21198/zz002gxbm4","","","Page","wingfield/image/pdf_images/21198-zz002gxbm4-1-master_004.tif","4","","","","","","","","","","","","Page 4","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zp5ss6"
"Wingfield (Michael) Collection","ark:/21198/z1v13rdm","ark:/21198/zz002gxbm4","","","Page","wingfield/image/pdf_images/21198-zz002gxbm4-1-master_005.tif","5","","","","","","","","","","","","Page 5","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v13rdm"
"Wingfield (Michael) Collection","ark:/21198/z1q830r5","ark:/21198/zz002gxbm4","","","Page","wingfield/image/pdf_images/21198-zz002gxbm4-1-master_006.tif","6","","","","","","","","","","","","Page 6","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q830r5"
"Wingfield (Michael) Collection","ark:/21198/z1kh27x3","ark:/21198/zz002gxbm4","","","Page","wingfield/image/pdf_images/21198-zz002gxbm4-1-master_007.tif","7","","","","","","","","","","","","Page 7","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kh27x3"
"Wingfield (Michael) Collection","ark:/21198/z1fr1h5b","ark:/21198/zz002gxbm4","","","Page","wingfield/image/pdf_images/21198-zz002gxbm4-1-master_008.tif","8","","","","","","","","","","","","Page 8","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fr1h5b"
"Wingfield (Michael) Collection","ark:/21198/z1b00rfx","ark:/21198/zz002gxbm4","","","Page","wingfield/image/pdf_images/21198-zz002gxbm4-1-master_009.tif","9","","","","","","","","","","","","Page 9","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b00rfx"
"Wingfield (Michael) Collection","ark:/21198/z16700tx","ark:/21198/zz002gxbm4","","","Page","wingfield/image/pdf_images/21198-zz002gxbm4-1-master_010.tif","10","","","","","","","","","","","","Page 10","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16700tx"
"Wingfield (Michael) Collection","ark:/21198/z12f984h","ark:/21198/zz002gxbm4","","","Page","wingfield/image/pdf_images/21198-zz002gxbm4-1-master_011.tif","11","","","","","","","","","","","","Page 11","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12f984h"
"Wingfield (Michael) Collection","ark:/21198/z1xs7g13","ark:/21198/zz002gxbm4","","","Page","wingfield/image/pdf_images/21198-zz002gxbm4-1-master_012.tif","12","","","","","","","","","","","","Page 12","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xs7g13"
"Wingfield (Michael) Collection","ark:/21198/z1t16qb4","ark:/21198/zz002gxbnn","","","Page","wingfield/image/pdf_images/21198-zz002gxbnn-1-master_001.tif","1","","","","","","","","","","","","Page 1","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t16qb4"
"Wingfield (Michael) Collection","ark:/21198/z1p85zjh","ark:/21198/zz002gxbp5","","","Page","wingfield/image/pdf_images/21198-zz002gxbp5-1-master_001.tif","1","","","","","","","","","","","","Page 1","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p85zjh"
"Wingfield (Michael) Collection","ark:/21198/z1jh56sq","ark:/21198/zz002gxbp5","","","Page","wingfield/image/pdf_images/21198-zz002gxbp5-1-master_002.tif","2","","","","","","","","","","","","Page 2","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jh56sq"
"Wingfield (Michael) Collection","ark:/21198/z1dr4g3v","ark:/21198/zz002gxbp5","","","Page","wingfield/image/pdf_images/21198-zz002gxbp5-1-master_003.tif","3","","","","","","","","","","","","Page 3","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4g3v"
"Wingfield (Michael) Collection","ark:/21198/z1903qfb","ark:/21198/zz002gxbp5","","","Page","wingfield/image/pdf_images/21198-zz002gxbp5-1-master_004.tif","4","","","","","","","","","","","","Page 4","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903qfb"
"Wingfield (Michael) Collection","ark:/21198/z15b1p2f","ark:/21198/zz002gxbp5","","","Page","wingfield/image/pdf_images/21198-zz002gxbp5-1-master_005.tif","5","","","","","","","","","","","","Page 5","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15b1p2f"
"Wingfield (Michael) Collection","ark:/21198/z11k0xf2","ark:/21198/zz002gxbqp","","","Page","wingfield/image/pdf_images/21198-zz002gxbqp-1-master_001.tif","1","","","","","","","","","","","","Page 1","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11k0xf2"
"Wingfield (Michael) Collection","ark:/21198/z1fx8x47","ark:/21198/zz002gxbr6","","","Page","wingfield/image/pdf_images/21198-zz002gxbr6-1-master_001.tif","1","","","","","","","","","","","","Page 1","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fx8x47"
