"File Name","Item Sequence","Title","IIIF Range","viewingHint","Parent ARK","Item ARK","Object Type","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_050.tif","50","50","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/t8850w1h","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Ft8850w1h",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_051.tif","51","51","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/bf04cv88","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fbf04cv88",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_052.tif","52","52","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/px593d13","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fpx593d13",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_053.tif","53","53","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/kg43jz48","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fkg43jz48",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_054.tif","54","54","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/vs11sh9q","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fvs11sh9q",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_055.tif","55","55","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/8366cz20","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2F8366cz20",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_056.tif","56","56","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/k180cx3t","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fk180cx3t",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_057.tif","57","57","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/1p96s798","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2F1p96s798",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_058.tif","58","58","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/4827xc6b","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2F4827xc6b",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_059.tif","59","59","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/bb78jf46","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fbb78jf46",""
