Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Type.typeOfResource,viewingHint,Text direction,Visibility,IIIF Range,Rights.copyrightStatus,Rights.servicesContact,Name.subject,Relation.isPartOf,Subject,Name.collector,Name.repository,Description.contents,Relation.box,Relation.subseries,Relation.file,Relation.series,Alt ID.local,Title,Date.creation,Description.note,Description.condition,Format.extent,Language,AltTitle.other,Description.abstract,Date.normalized,Opac url,Finding Aid URL,IIIF Manifest URL
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcm0x,ark:/21198/zz0008c2pw,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcm3g,,paged,,,,,,,,,,,6|~|Box Office Statements 1904-1905,1,1. Business Papers 1905-1907,,1. Isadora Duncan,uclamss_1729_b01_f06|~|002-029-02,"Kassen-Rapport, 1904 April 13",4/13/1904,"Cash accounting report, dated Wednesday, 13 April 1904, for guest performance by Isadora Duncan.","Folded horizontally, with 4 holes punched along upper and lower edges.","Print, 1 leaf (1 page), with manuscript annotations.",eng,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hcm0x/manifest
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcm1f,ark:/21198/zz0008c2pw,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcm5h,,paged,,,,,,,,,,,"Box Office Statements, 1904-1905|~|6",1,,,1. Isadora Duncan,uclamss_1729_b01_f06|~|002-010,"Kassen-Rapport, 1904 October 3",10/3/1904,"Cash accounting for performance by Isadora Duncan, dated Monday, October 3, 1904, for Chopin-Abend.  Estimate of general income on verso.","Folded, with 3 holes punched along left center edge.  2 vertial tears along upper left and center edge.","Print, 1 leaf (2 pages), with manuscript annotations.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hcm1f/manifest
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcm2z,ark:/21198/zz0008c2pw,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcm7j,,paged,,,,,,,,,,,"Box Office Statements, 1905|~|7",1,1. Business Papers 1905-1907,,1. Isadora Duncan,uclamss_1729_b01_f07|~|002-016,"Kassen-Rapport, 1905 January 27",1/27/1905,"Cash accounting for 2 performances [by Isadora Duncan], dated Friday, 27 January 1905 and signed by Paul Bauer.","Folded, with 4 holes punched along horizontal center fold.","Print, 1 leaf (1 page),with manuscript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hcm2z/manifest
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcnc3,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcndm,text,paged,,,,copyrighted,,,,,,,"1|~|Performance Contracts, 1904",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-004,"Contract, April 1904",1904-04,"Contract for dance performances by Isadora Duncan for the evenings of November 5, 8, 10 and 12.  Signed by Raymond Duncan (in blue ink) and representative [illegible] for Kaimsaals zu München, April 1904.  With note in pencil, upper right, ""I. Duncan, Paris, Hôtel Continental.""|~|Small tears along right margin.",,"Manuscript, 1 page, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hcnc3/manifest
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcns9,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcrxt,text,paged,,,,copyrighted,,,,,,,"2|~|Performance Contracts, 1905",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-001,"Kontrakt, 1905 June 14",1905 Jun 14,"Contract for two dance performances by Isadora Duncan on September 7 and 11, 1905. Signed [illegible], 14 June 1905.",Folded.,"Print, 1 leaf (2 pages), with manuscript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hcns9/manifest
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcntt,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcs0b,text,paged,,,,copyrighted,,,,,,,"3|~|Performance Contracts, 1906",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-002,"[Agreement], 1906 November 17",1906 November 17,"Contract for dance performances by Isadora Duncan under the management of Direktion Vereinigter Künste on the evenings of December 17, 19, 21 and 22, signed by Direktor Racjman, Warschau, 17 November 1906.","Folded, with 2 holes punched along left","Print, 1 leaf (4 pages), signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hcntt/manifest
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcnvb,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcs4d,text,paged,,,,copyrighted,,,,,,,"3|~|Performance Contracts, 1906",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-003,[Agreement] Contract with Isadora Duncan and Direktion Vereinigter Künste],1906 February 21,"Agreement for dance performance by Isadora Duncan under the management of Direktion Vereinigter Künste for the evening of March 6, Albert Halle, Leipzig. Signed by Edward Gordon Craig for Direktion Vereinigter Künste, [illegible signature] and Sally Liebling for Concertdirection Jules Sachs, 21 February 1906.","Creased with 2 holes punched along left edge. Small tears (1"") at center folds.","Print, 4 pages, folded, with typescript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hcnvb/manifest
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcnwv,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcsbh,text,paged,,,,copyrighted,,,,,,,"1|~|Performance Contracts, 1904",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-005,"Letter to Isadora Duncan, 1904 October 28",1904 October 28,"Proposing a December performance by Isadora Duncan for annual fundraising on behalf of the Society for the Protection of Abused Children, suggesting this as the best environment for her first performance in Russia.","Folded, with 2 holes punched along left edge. Small tears along right edge fold.","1 leaf (4 pages), folded, autograph letter (signed).",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hcnwv/manifest
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcnxc,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcsgk,text,paged,,,,copyrighted,,,,,,,"1|~|Performance Contracts, 1904",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-006,"Letter / contract, 1904 April 25",1904 April 25,"Proposal for dance performances in Germany, December 1 and 15, 1904 and January 2, 13 and 19, 1905. Signed [illegible], 25 April 1904, Die Direction der Philarhmonie.","Folded, with 2 holes punched along left edge. Small vertical tear on upper right edge and small tear at center right fold.","Manuscript, 1 leaf (1 page), signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hcnxc/manifest
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcnzw,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcsh3,text,paged,,,,copyrighted,,,,,,,"1|~|Performance Contracts, 1904",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-007,"Kontrakt, 1904 March 30",1904 March 30,"Contract for performance by Isadora Duncan on April 13. Signed by Julius Rudolph, Hannover, 30 March 1904.","Paper loss along most of top edge, with tears and folds. Lower edge also has paper loss, with folds and tears.","Manuscript, 1 leaf (2 pages), signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hcnzw/manifest
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcp0w,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcsk4,text,paged,,,,copyrighted,,,,,,,"1|~|Performance Contracts, 1904",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-008,"Kontrakt, 1904 November 14",1904 November 14,"Contract for performances by Isadora Duncan, December 28 and 29, 1904. Signed by Elizabeth Duncan for Isadora Duncan, Berlin, 14 November 1904, and representative [illegible] for Central-Théaters, Dresden, 17 November 1904.|~|Printed list of seat prices has been pasted on the verso.","Folded, with 4 holes punched along left edge. Small tears all along right edge.","Print, 1 leaf, with typescript and manuscript annotations on verso, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hcp0w/manifest
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcp1d,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcsn5,text,paged,,,,copyrighted,,,,,,,"1|~|Performance Contracts, 1904",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-009,"Kontrakt, 1904 August 31",1904 August 31,"Contract for performance by Isadora Duncan on December 9. Signed by Elizabeth Duncan for Isadora Duncan, Berlin, 31 August 1904, and a representative [illegible] for Stadt-Théaters, 2 September 1904.","Folded, 2 holes punched along center left edge, with upper hole torn to edge. Stains along left edge. Small paper loss along top right edge. Tear along fold, right edge, with another tear just below. Tears along lower edge.","Print, 1 leaf (2 pages, with typescript and holograph annotations on recto and holograph annotations on verso.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hcp1d/manifest
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcp2x,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcsq6,text,paged,,,,copyrighted,,,,,,,"1|~|Performance Contracts, 1904",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-010,"Kontrakt, 1904 February 3",1904 February 3,"Contract for dance performance by Isadora Duncan for March 16. Signed by representative [illegible] for ""Stadttheaters"", Bremen, 3 February 1904.","Folded, with holes punched along left center edges.  Fold along top edge. Tears along bottom edges.","Manuscript, 1 leaf (3 pages, folded), signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hcp2x/manifest
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcp3f,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcstr,text,paged,,,,copyrighted,,,,,,,"1|~|Performance Contracts, 1904",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-011,"[Agreement], 1904 December 15",1904 December 15,"Agreement for dance performances by Isadora Duncan on December 26 and 29, St. Petersburg. Signed by Elizabeth Duncan (for Isadora Duncan), Berlin, 15 December 1905.|~|With manuscript notes in two hands.",2 holes punched along left edge.,"Print, 1 leaf (4 pages), folded, with manuscript notes.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hcp3f/manifest
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcp4z,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcszt,text,paged,,,,copyrighted,,,,,,,"1|~|Performance Contracts, 1904",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-012,"Kontrakt, 1904 August 26",1904 August 26,"Contract for performances by Isadora Duncan on November 19 and 24. Signed by Elizabeth Duncan for Isadora Duncan, Berlin, August 26, 1904, and Julius Rudolph, Hannover, 29 August 1904.","Folded, 2 holes punched near center left edge. With small tear at fold on right edge. Small tear on upper right edge.","Print, 1 leaf (1 page), with typescript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hcp4z/manifest
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcp5g,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hct0t,text,paged,,,,copyrighted,,,,,,,"1|~|Performance Contracts, 1904",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-013,"Kontrakt, 1904 October 10",1904 October 10,"Contract for dance performance by Isadora Duncan on November 17. Signed by Elizabeth Duncan for Isadora Duncan, Berlin, 6 October 1904, and representative [illegible] for Stadt-Théaters, 10 October 1904.","Folded, with 2 holes punched near left center edge. Small tear at fold on right edge. Small vertical tear at center fold.","Print, 1 leaf (1 page) with typescript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hcp5g/manifest
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcp60,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hct1b,text,paged,,,,copyrighted,,,,,,,"1|~|Performance Contracts, 1904",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-014,"Kontrakt, 1904 September 2",1904 September 2,"Contract for dance performance by Isadora Duncan on November 17. Signed by Elizabeth Duncan for Isadora Duncan, Berlin, 2 September 1904, and [Adolf] Steinert, Mainz, 6 September 1904.","Folded, with 2 holes punched along center left edge. 2 punctures near upper right corner.","Print, 1 leaf (1 page), with typescript and manuscript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hcp60/manifest
