Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Title,viewingHint,Text direction,Visibility,IIIF Range,Opac url,Alt ID.local
Roditi (Edouard) Papers. Collection 644,ark:/21198/zz001nxjk6,ark:/21198/zz001nx6rz,1,In progress,Work,rodit/image/21198-zz001nxjk6_1453931_master.tif,12,,,,C644_b1_f(Arslan Yueksel)_# 4.tif,,,private,,,
Roditi (Edouard) Papers. Collection 644,ark:/21198/zz001nxjmq,ark:/21198/zz001nx6rz,1,In progress,Work,rodit/image/21198-zz001nxjmq_1453934_master.tif,13,,,,C644_b1_f(Arslan Yueksel)_# 5.tif,,,private,,,
Roditi (Edouard) Papers. Collection 644,ark:/21198/zz001nxjn7,ark:/21198/zz001nx6rz,1,In progress,Work,rodit/image/21198-zz001nxjn7_1453937_master.tif,14,,,,C644_b1_f(Arslan Yueksel)_# 6.tif,,,private,,,
Roditi (Edouard) Papers. Collection 644,ark:/21198/zz001nxjpr,ark:/21198/zz001nx6rz,1,In progress,Work,rodit/image/21198-zz001nxjpr_1453940_master.tif,15,,,,C644_b1_f(Arslan Yueksel)_# 7.tif,,,private,,,
Roditi (Edouard) Papers. Collection 644,ark:/21198/zz001nxjq8,ark:/21198/zz001nx6rz,1,In progress,Work,rodit/image/21198-zz001nxjq8_1453943_master.tif,16,,,,C644_b1_f(Arslan Yueksel)_# 8.tif,,,private,,,
Roditi (Edouard) Papers. Collection 644,ark:/21198/zz001nxjrs,ark:/21198/zz001nx6rz,1,In progress,Work,rodit/image/21198-zz001nxjrs_1453948_master.tif,17,,,,C644_b1_f(Arslan Yueksel)_# 9.tif,,,private,,,
Roditi (Edouard) Papers. Collection 644,ark:/21198/zz001nxjs9,ark:/21198/zz001nx6rz,1,In progress,Work,rodit/image/21198-zz001nxjs9_1453955_master.tif,18,,,,C644_b1_f(Arslan Yueksel)_# 10.tif,,,private,,,
Roditi (Edouard) Papers. Collection 644,ark:/21198/zz001nxjtt,ark:/21198/zz001nx6rz,1,In progress,Work,rodit/image/21198-zz001nxjtt_1453958_master.tif,19,,,,C644_b1_f(Yueksel Arslan)_# 11-1_piece 2.tif,,,private,,,
Roditi (Edouard) Papers. Collection 644,ark:/21198/zz001nxjvb,ark:/21198/zz001nx6rz,1,In progress,Work,rodit/image/21198-zz001nxjvb_1454377_master.tif,20,,,,C644_b1_f(Yueksel Arslan)_# 11-2_piece 2.tif,,,private,,,
Roditi (Edouard) Papers. Collection 644,ark:/21198/zz001nxjwv,ark:/21198/zz001nx6rz,1,In progress,Work,rodit/image/21198-zz001nxjwv_1454380_master.tif,21,,,,C644_b1_f(Yueksel Arslan)_# 12-1.tif,,,private,,,
Roditi (Edouard) Papers. Collection 644,ark:/21198/zz001nxjxc,ark:/21198/zz001nx6rz,1,In progress,Work,rodit/image/21198-zz001nxjxc_1454383_master.tif,22,,,,C644_b1_f(Yueksel Arslan)_# 12-2.tif,,,private,,,
Roditi (Edouard) Papers. Collection 644,ark:/21198/zz001nxjzw,ark:/21198/zz001nx6rz,1,In progress,Work,rodit/image/21198-zz001nxjzw_1454386_master.tif,23,,,,C644_b1_f(Yueksel Arslan)_# 13-1.tif,,,private,,,
Roditi (Edouard) Papers. Collection 644,ark:/21198/zz001nxk0w,ark:/21198/zz001nx6rz,1,In progress,Work,rodit/image/21198-zz001nxk0w_1454389_master.tif,24,,,,C644_b1_f(Yueksel Arslan)_# 13-2.tif,,,private,,,
Roditi (Edouard) Papers. Collection 644,ark:/21198/zz001p5dcq,ark:/21198/zz001nx6rz,1,In progress,Work,rodit/image/21198-zz001p5dcq_1454392_master.tif,27,,,,C644_b167_f(Arslan Yueksel)_# 1-1.tif,,,private,,,
Roditi (Edouard) Papers. Collection 644,ark:/21198/zz001p5dd7,ark:/21198/zz001nx6rz,1,In progress,Work,rodit/image/21198-zz001p5dd7_1454395_master.tif,28,,,,C644_b167_f(Arslan Yueksel)_# 1-2.tif,,,private,,,
Roditi (Edouard) Papers. Collection 644,ark:/21198/zz001p5dfr,ark:/21198/zz001nx6rz,1,In progress,Work,rodit/image/21198-zz001p5dfr_1454398_master.tif,25,,,,C644_b9_f(Else Lasker-Schueler)_item # 003_page 1.tif,,,private,,,
Roditi (Edouard) Papers. Collection 644,ark:/21198/zz001p5dg8,ark:/21198/zz001nx6rz,1,In progress,Work,rodit/image/21198-zz001p5dg8_1454401_master.tif,26,,,,C644_b9_f(Else Lasker-Schueler)_item # 003_page 2.tif,,,private,,,
Roditi (Edouard) Papers. Collection 644,ark:/21198/zz002kkk20,ark:/21198/zz001nx6rz,1,In progress,Work,rodit/image/21198-zz002kkk20_2414601_master.tif,29,,,,"C644_b2_f(Bronowski, Jacob).tif",,,private,,,
Roditi (Edouard) Papers. Collection 644,ark:/21198/zz002kkk3h,ark:/21198/zz001nx6rz,1,In progress,Work,,30,,,,"C644_b131 Marc Chagall : [das graphische Werk / Einleitung und Auswahl, Franz Meyer ; Dokumentation, Hans Bolliger].",,,private,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6461413,NE 678 34 A4 1957
Roditi (Edouard) Papers. Collection 644,ark:/21198/zz002kkk41,ark:/21198/zz001nx6rz,1,In progress,Work,,31,,,,"C644_b131 Max Ernst. by Waldberg, Patrick.",,,private,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6461404,ND 588 E69 W3 1958
Roditi (Edouard) Papers. Collection 644,ark:/21198/zz002kkk5j,ark:/21198/zz002kkk3h,1,In progress,ChildWork,rodit/image/21198-zz002kkk5j_2414604_master.tif,2,,,,Chagall book cover,,,private,,,
Roditi (Edouard) Papers. Collection 644,ark:/21198/zz002kkk62,ark:/21198/zz002kkk3h,1,In progress,ChildWork,rodit/image/21198-zz002kkk62_2414607_master.tif,3,,,,Chagall inscription on endsheets,,,private,,,
Roditi (Edouard) Papers. Collection 644,ark:/21198/zz002kkk7k,ark:/21198/zz002kkk3h,1,In progress,ChildWork,rodit/image/21198-zz002kkk7k_2414610_master.tif,1,,,,Chagall dustjacket,,,private,,,
Roditi (Edouard) Papers. Collection 644,ark:/21198/zz002kkk9m,ark:/21198/zz002kkk41,1,In progress,ChildWork,,1,,,,Max Ernst book cover,,,private,,,
Roditi (Edouard) Papers. Collection 644,ark:/21198/zz002kkkb4,ark:/21198/zz002kkk41,1,In progress,ChildWork,rodit/image/21198-zz002kkkb4_2414613_master.tif,2,,,,Max Ernst inscription on title page,,,private,,,
Roditi (Edouard) Papers. Collection 644,ark:/21198/zz002kkkcn,ark:/21198/zz002kkk41,1,In progress,ChildWork,rodit/image/21198-zz002kkkcn_2414616_master.tif,3,,,,Max Ernst Une nuit d'amour,,,private,,,
