File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,local ID,Creator,Date.created,Date.created (single),Language | code,TypeOfResource,Genre,Extent,Dimensions,Abstract,Note.content,Institution/Repository,Subject.place,Rights.copyrightStatus,Rights.publicationStatus,Rights.servicesContact,Subject.topic
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss04_mar1941_006.tif,Page,Page 6,6,ark:/21198/z1rf7q5s,ark:/21198/z1h72b0v,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss04_mar1941_007.tif,Page,Page 7,7,ark:/21198/z1rf7q5s,ark:/21198/z1cg1kb1,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss04_mar1941_008.tif,Page,Page 8,8,ark:/21198/z1rf7q5s,ark:/21198/z17q0tqn,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss04_mar1941_009.tif,Page,Page 9,9,ark:/21198/z1rf7q5s,ark:/21198/z1418s92,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss04_mar1941_010.tif,Page,Page 10,10,ark:/21198/z1rf7q5s,ark:/21198/z10881kq,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss04_mar1941_011.tif,Page,Page 11,11,ark:/21198/z1rf7q5s,ark:/21198/z1vh7j3f,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss04_mar1941_012.tif,Page,Page 12,12,ark:/21198/z1rf7q5s,ark:/21198/z1qr6s9t,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss04_mar1941_013.tif,Page,Page 13,13,ark:/21198/z1rf7q5s,ark:/21198/z1m061m7,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss04_mar1941_014.tif,Page,Page 14,14,ark:/21198/z1rf7q5s,ark:/21198/z1g758zd,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss04_mar1941_015.tif,Page,Page 15,15,ark:/21198/z1rf7q5s,ark:/21198/z1bg4j90,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss04_mar1941_016.tif,Page,Page 16,16,ark:/21198/z1rf7q5s,ark:/21198/z16t2gxp,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss05_mar1941_001.tif,Page,Page 1,1,ark:/21198/z1mp6zc5,ark:/21198/z1321r6p,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss05_mar1941_002.tif,Page,Page 2,2,ark:/21198/z1mp6zc5,ark:/21198/z1z917px,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss05_mar1941_003.tif,Page,Page 3,3,ark:/21198/z1mp6zc5,ark:/21198/z1tj0gxr,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss05_mar1941_004.tif,Page,Page 4,4,ark:/21198/z1mp6zc5,ark:/21198/z1pr9r6w,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss05_mar1941_005.tif,Page,Page 5,5,ark:/21198/z1mp6zc5,ark:/21198/z1k090k6,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss05_mar1941_006.tif,Page,Page 6,6,ark:/21198/z1mp6zc5,ark:/21198/z1fb6z5g,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss05_mar1941_007.tif,Page,Page 7,7,ark:/21198/z1mp6zc5,ark:/21198/z19k66h1,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss05_mar1941_008.tif,Page,Page 8,8,ark:/21198/z1mp6zc5,ark:/21198/z15t5ftr,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss05_mar1941_009.tif,Page,Page 9,9,ark:/21198/z1mp6zc5,ark:/21198/z1224q1v,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss05_mar1941_010.tif,Page,Page 10,10,ark:/21198/z1mp6zc5,ark:/21198/z1x946h3,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss05_mar1941_011.tif,Page,Page 11,11,ark:/21198/z1mp6zc5,ark:/21198/z1sj3ftt,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss05_mar1941_012.tif,Page,Page 12,12,ark:/21198/z1mp6zc5,ark:/21198/z1ns2q6v,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss05_mar1941_013.tif,Page,Page 13,13,ark:/21198/z1mp6zc5,ark:/21198/z1j40nrz,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss05_mar1941_014.tif,Page,Page 14,14,ark:/21198/z1mp6zc5,ark:/21198/z1db9x4f,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss05_mar1941_015.tif,Page,Page 15,15,ark:/21198/z1mp6zc5,ark:/21198/z18k95cn,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss05_mar1941_016.tif,Page,Page 16,16,ark:/21198/z1mp6zc5,ark:/21198/z14t8dnx,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss06_apr1941_001.tif,Page,Page 1,1,ark:/21198/z1h14x4c,ark:/21198/z1127nvm,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss06_apr1941_002.tif,Page,Page 2,2,ark:/21198/z1h14x4c,ark:/21198/z1w975d5,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss06_apr1941_003.tif,Page,Page 3,3,ark:/21198/z1h14x4c,ark:/21198/z1rj6drb,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss06_apr1941_004.tif,Page,Page 4,4,ark:/21198/z1h14x4c,ark:/21198/z1mw4cdw,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss06_apr1941_005.tif,Page,Page 5,5,ark:/21198/z1h14x4c,ark:/21198/z1h43mst,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss06_apr1941_006.tif,Page,Page 6,6,ark:/21198/z1h14x4c,ark:/21198/z1cc2w12,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss06_apr1941_007.tif,Page,Page 7,7,ark:/21198/z1h14x4c,ark:/21198/z17m246c,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss06_apr1941_008.tif,Page,Page 8,8,ark:/21198/z1h14x4c,ark:/21198/z13v1cf6,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss06_apr1941_009.tif,Page,Page 9,9,ark:/21198/z1h14x4c,ark:/21198/z1030mr7,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss06_apr1941_010.tif,Page,Page 10,10,ark:/21198/z1h14x4c,ark:/21198/z1vb04cp,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss06_apr1941_011.tif,Page,Page 11,11,ark:/21198/z1h14x4c,ark:/21198/z1qn831p,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss06_apr1941_012.tif,Page,Page 12,12,ark:/21198/z1h14x4c,ark:/21198/z1kw7bbd,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss06_apr1941_013.tif,Page,Page 13,13,ark:/21198/z1h14x4c,ark:/21198/z1g46km0,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss06_apr1941_014.tif,Page,Page 14,14,ark:/21198/z1h14x4c,ark:/21198/z1bc5tsx,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss06_apr1941_015.tif,Page,Page 15,15,ark:/21198/z1h14x4c,ark:/21198/z16m531j,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss06_apr1941_016.tif,Page,Page 16,16,ark:/21198/z1h14x4c,ark:/21198/z12v4bb8,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss07_apr1941_001.tif,Page,Page 1,1,ark:/21198/z1c845d1,ark:/21198/z1z33tz7,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss07_apr1941_002.tif,Page,Page 2,2,ark:/21198/z1c845d1,ark:/21198/z1tf1skb,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss07_apr1941_003.tif,Page,Page 3,3,ark:/21198/z1c845d1,ark:/21198/z1pp11zb,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss07_apr1941_004.tif,Page,Page 4,4,ark:/21198/z1c845d1,ark:/21198/z1jx0954,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss07_apr1941_005.tif,Page,Page 5,5,ark:/21198/z1c845d1,ark:/21198/z1f49jc8,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss07_apr1941_006.tif,Page,Page 6,6,ark:/21198/z1c845d1,ark:/21198/z19c8sm3,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss07_apr1941_007.tif,Page,Page 7,7,ark:/21198/z1c845d1,ark:/21198/z15m81x6,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss07_apr1941_008.tif,Page,Page 8,8,ark:/21198/z1c845d1,ark:/21198/z11v797b,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss07_apr1941_009.tif,Page,Page 9,9,ark:/21198/z1c845d1,ark:/21198/z1x65h64,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss07_apr1941_010.tif,Page,Page 10,10,ark:/21198/z1c845d1,ark:/21198/z1sf4rhv,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss07_apr1941_011.tif,Page,Page 11,11,ark:/21198/z1c845d1,ark:/21198/z1np40qm,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss07_apr1941_012.tif,Page,Page 12,12,ark:/21198/z1c845d1,ark:/21198/z1hx37x0,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss07_apr1941_013.tif,Page,Page 13,13,ark:/21198/z1c845d1,ark:/21198/z1d52h5j,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss07_apr1941_014.tif,Page,Page 14,14,ark:/21198/z1c845d1,ark:/21198/z18d1rg8,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss07_apr1941_015.tif,Page,Page 15,15,ark:/21198/z1c845d1,ark:/21198/z14n10v8,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss07_apr1941_016.tif,Page,Page 16,16,ark:/21198/z1c845d1,ark:/21198/z10z8zjb,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss08_may1941_001.tif,Page,Page 1,1,ark:/21198/z17h3dp9,ark:/21198/z1w68g2r,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss08_may1941_002.tif,Page,Page 2,2,ark:/21198/z17h3dp9,ark:/21198/z1rf7q9k,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss08_may1941_003.tif,Page,Page 3,3,ark:/21198/z17h3dp9,ark:/21198/z1mp6zgh,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss08_may1941_004.tif,Page,Page 4,4,ark:/21198/z17h3dp9,ark:/21198/z1gx66r5,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss08_may1941_005.tif,Page,Page 5,5,ark:/21198/z17h3dp9,ark:/21198/z1c55g32,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss08_may1941_006.tif,Page,Page 6,6,ark:/21198/z17h3dp9,ark:/21198/z17d4qgp,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss08_may1941_007.tif,Page,Page 7,7,ark:/21198/z17h3dp9,ark:/21198/z13r2p3s,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss08_may1941_008.tif,Page,Page 8,8,ark:/21198/z17h3dp9,ark:/21198/z1001xdt,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss08_may1941_009.tif,Page,Page 9,9,ark:/21198/z17h3dp9,ark:/21198/z1v71dvm,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss08_may1941_010.tif,Page,Page 10,10,ark:/21198/z17h3dp9,ark:/21198/z1qg0p3v,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss08_may1941_011.tif,Page,Page 11,11,ark:/21198/z17h3dp9,ark:/21198/z1kp9xb4,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss08_may1941_012.tif,Page,Page 12,12,ark:/21198/z17h3dp9,ark:/21198/z1fx95q4,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss08_may1941_013.tif,Page,Page 13,13,ark:/21198/z17h3dp9,ark:/21198/z1b58f1k,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss08_may1941_014.tif,Page,Page 14,14,ark:/21198/z17h3dp9,ark:/21198/z16h6cpq,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss08_may1941_015.tif,Page,Page 15,15,ark:/21198/z17h3dp9,ark:/21198/z12r5n0v,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss08_may1941_016.tif,Page,Page 16,16,ark:/21198/z17h3dp9,ark:/21198/z1z054dh,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss09_may1941_001.tif,Page,Page 1,1,ark:/21198/z13r2p0f,ark:/21198/z1t74cnb,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss09_may1941_002.tif,Page,Page 2,2,ark:/21198/z13r2p0f,ark:/21198/z1pg3mxm,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss09_may1941_003.tif,Page,Page 3,3,ark:/21198/z13r2p0f,ark:/21198/z1jq2w86,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss09_may1941_004.tif,Page,Page 4,4,ark:/21198/z13r2p0f,ark:/21198/z1f20txn,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss09_may1941_005.tif,Page,Page 5,5,ark:/21198/z13r2p0f,ark:/21198/z1990392,,,,,,,,,,,,,,,,,
