Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Language,Type.genre,Subject,Name.author,Name.subject,Name.annotator,Name.repository,Name.scribe,Title,Relation.rectoVerso,Relation.pageNumber,Relation.textDirection,Relation.isVersionOf,Alt ID.local,Description.contents,Date.creation,Format.dimensions,Format.extent,Description.note,Description.abstract,Bucketeer State,IIIF Access URL,IIIF Manifest URL
St Gall Manuscripts,ark:/21198/zz0028rr0w,ark:/21198/zz0028rntv,2,Completed,Page,StGall/masters/zurich_28/srgb/ZBZ-Ms-Rh-hist-28_f_027r.tif,61,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 27r,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028rr0w,
St Gall Manuscripts,ark:/21198/zz0028rr1d,ark:/21198/zz0028rntv,2,Completed,Page,StGall/masters/zurich_28/srgb/ZBZ-Ms-Rh-hist-28_f_027v.tif,62,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 27v,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028rr1d,
St Gall Manuscripts,ark:/21198/zz0028rr2x,ark:/21198/zz0028rntv,2,Completed,Page,StGall/masters/zurich_28/srgb/ZBZ-Ms-Rh-hist-28_f_028r.tif,63,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 28r,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028rr2x,
St Gall Manuscripts,ark:/21198/zz0028rr3f,ark:/21198/zz0028rntv,2,Completed,Page,StGall/masters/zurich_28/srgb/ZBZ-Ms-Rh-hist-28_f_028v.tif,64,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 28v,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028rr3f,
St Gall Manuscripts,ark:/21198/zz0028rr4z,ark:/21198/zz0028rntv,2,Completed,Page,StGall/masters/zurich_28/srgb/ZBZ-Ms-Rh-hist-28_f_029r.tif,65,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 29r,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028rr4z,
St Gall Manuscripts,ark:/21198/zz0028rr5g,ark:/21198/zz0028rntv,2,Completed,Page,StGall/masters/zurich_28/srgb/ZBZ-Ms-Rh-hist-28_f_029v.tif,66,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 29v,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028rr5g,
St Gall Manuscripts,ark:/21198/zz0028rr60,ark:/21198/zz0028rntv,2,Completed,Page,StGall/masters/zurich_28/srgb/ZBZ-Ms-Rh-hist-28_f_030r.tif,67,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 30r,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028rr60,
St Gall Manuscripts,ark:/21198/zz0028rr7h,ark:/21198/zz0028rntv,2,Completed,Page,StGall/masters/zurich_28/srgb/ZBZ-Ms-Rh-hist-28_f_030v.tif,68,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 30v,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028rr7h,
St Gall Manuscripts,ark:/21198/zz0028rr81,ark:/21198/zz0028rntv,2,Completed,Page,StGall/masters/zurich_28/srgb/ZBZ-Ms-Rh-hist-28_f_031r.tif,69,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 31r,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028rr81,
St Gall Manuscripts,ark:/21198/zz0028rr9j,ark:/21198/zz0028rntv,2,Completed,Page,StGall/masters/zurich_28/srgb/ZBZ-Ms-Rh-hist-28_f_031v.tif,70,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 31v,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028rr9j,
