Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Visibility,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Type.genre,Name.subject,Name.donor,Rights.rightsHolderContact,Name.repository,Subject,Rights.copyrightStatus,Publisher.publisherName,Name.designer,Name.creator,Name.contributor,Format.extent,AltTitle.uniform,AltIdentifier.local,Relation.isPartOf,Date.creation,Title,Format.medium,Format.dimensions,Date.normalized,Description.note,Opac url,Finding Aid URL,Bucketeer State,IIIF Access URL
Roybal (Edward R.) Photograph Collection,ark:/21198/zz001bnkmw,ark:/21198/zz000s3hxd,1,In progress,Work,csrc/masters/21198-zz001bnkmw_749346_master.tif,private,,,,still image,color photographs,"Roybal, Edward Ross, 1916-2005",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 photograph,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1976_41.tif,"Edward Ross Roybal Papers, 1953-589",1976,CSRC_ROYBAL-HAYNES_1976_41.tif,,,,,,,failed,
Roybal (Edward R.) Photograph Collection,ark:/21198/zz001bnknd,ark:/21198/zz000s3hxd,1,In progress,Work,csrc/masters/21198-zz001bnknd_750036_master.tif,private,,,,still image,color photographs,"Roybal, Edward Ross, 1916-2005",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 photograph,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1977_17.tif,"Edward Ross Roybal Papers, 1953-588",1977,CSRC_ROYBAL-HAYNES_1977_17.tif,,,,,,,failed,
Roybal (Edward R.) Photograph Collection,ark:/21198/zz001bnkpx,ark:/21198/zz000s3hxd,1,In progress,Work,csrc/masters/21198-zz001bnkpx_750056_master.tif,private,,,,still image,Black-and-white photographs,,Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 photograph,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1965_17.tif,"Edward Ross Roybal Papers, 1953-587",1965,CSRC_ROYBAL-HAYNES_1965_17.tif,,,,,,,failed,
Roybal (Edward R.) Photograph Collection,ark:/21198/zz001bnkqf,ark:/21198/zz000s3hxd,1,In progress,Work,csrc/masters/21198-zz001bnkqf_748737_master.tif,private,,,,still image,Black-and-white photographs,"Roybal, Edward Ross, 1916-2005",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 Photograph,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1964_31.tif,"Edward Ross Roybal Papers, 1953-586",1964,CSRC_ROYBAL-HAYNES_1964_31.tif,,,,,,,failed,
Roybal (Edward R.) Photograph Collection,ark:/21198/zz001bnkrz,ark:/21198/zz000s3hxd,1,In progress,Work,csrc/masters/21198-zz001bnkrz_748584_master.tif,private,,,,still image,Black-and-white photographs,"Roybal, Edward Ross, 1916-2005",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 photograph,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1963_07.tif,"Edward Ross Roybal Papers, 1953-585",1963,CSRC_ROYBAL-HAYNES_1963_07.tif,,,,,,,failed,
Roybal (Edward R.) Photograph Collection,ark:/21198/zz001bnksg,ark:/21198/zz000s3hxd,1,In progress,Work,csrc/masters/21198-zz001bnksg_749448_master.tif,private,,,,still image,color photographs,"Roybal, Lucille Beserra, 1917 -",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 photograph,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1977_11.tif,"Edward Ross Roybal Papers, 1953-584",1977,CSRC_ROYBAL-HAYNES_1977_11.tif,,,,,,,failed,
Roybal (Edward R.) Photograph Collection,ark:/21198/zz001bnkt0,ark:/21198/zz000s3hxd,1,In progress,Work,csrc/masters/21198-zz001bnkt0_750125_master.tif,private,,,,still image,Black-and-white photographs,"Roybal, Edward Ross, 1916-2005",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 photograph,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1977_25.tif,"Edward Ross Roybal Papers, 1953-583",1977,CSRC_ROYBAL-HAYNES_1977_25.tif,,,,,,,failed,
Roybal (Edward R.) Photograph Collection,ark:/21198/zz001bnkvh,ark:/21198/zz000s3hxd,1,In progress,Work,csrc/masters/21198-zz001bnkvh_749424_master.tif,private,,,,still image,Black-and-white photographs,"Roybal, Edward Ross, 1916-2005",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 photograph,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1977_07.tif,"Edward Ross Roybal Papers, 1953-582",1977,CSRC_ROYBAL-HAYNES_1977_07.tif,,,,,,,failed,
Roybal (Edward R.) Photograph Collection,ark:/21198/zz001bqsk5,ark:/21198/zz000s3hxd,1,In progress,Work,csrc/masters/21198-zz001bqsk5_750072_master.tif,private,,,,still image,Black-and-white photographs,,Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 photograph,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1965_18.tif,"Edward Ross Roybal Papers, 1953-581",1965,CSRC_ROYBAL-HAYNES_1965_18.tif,,,,,,,failed,
Roybal (Edward R.) Photograph Collection,ark:/21198/zz001bqsmp,ark:/21198/zz000s3hxd,1,In progress,Work,csrc/masters/21198-zz001bqsmp_750088_master.tif,private,,,,still image,color photographs,"Roybal, Edward Ross, 1916-2005",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 photograph,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1977_22.tif,"Edward Ross Roybal Papers, 1953-580",1977,CSRC_ROYBAL-HAYNES_1977_22.tif,,,,,,,failed,
Roybal (Edward R.) Photograph Collection,ark:/21198/zz001bqsn6,ark:/21198/zz000s3hxd,1,In progress,Work,csrc/masters/21198-zz001bqsn6_751037_master.tif,private,,,,still image,,"Roybal, Lucille Beserra, 1917 -",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 photograph,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1979_02.tif,"Edward Ross Roybal Papers, 1953-579",1979,CSRC_ROYBAL-HAYNES_1979_02.tif,,,,,,,failed,
Roybal (Edward R.) Photograph Collection,ark:/21198/zz001bqspq,ark:/21198/zz000s3hxd,1,In progress,Work,csrc/masters/21198-zz001bqspq_750576_master.tif,private,,,,still image,Black-and-white photographs,"Johnson, Lyndon B. (Lyndon Baines), 1908-1973|~|Roybal, Edward Ross, 1916-2005",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 photograph,Edward R. Roybal papers,CSRC_ROYBAL-HAYNES_1966_54.tif,"Edward Ross Roybal Papers, 1953-578",1966,CSRC_ROYBAL-HAYNES_1966_54.tif,,,,,,,failed,
Roybal (Edward R.) Photograph Collection,ark:/21198/zz001bqsq7,ark:/21198/zz000s3hxd,1,In progress,Work,csrc/masters/21198-zz001bqsq7_750065_master.tif,private,,,,still image,color photographs,"Roybal, Edward Ross, 1916-2005",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 photograph,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1977_19.tif,"Edward Ross Roybal Papers, 1953-577",1977,CSRC_ROYBAL-HAYNES_1977_19.tif,,,,,,,failed,
Roybal (Edward R.) Photograph Collection,ark:/21198/zz001bqsrr,ark:/21198/zz000s3hxd,1,In progress,Work,csrc/masters/21198-zz001bqsrr_750092_master.tif,private,,,,still image,Black-and-white photographs,,Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 photograph,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1965_19.tif,"Edward Ross Roybal Papers, 1953-576",1965,CSRC_ROYBAL-HAYNES_1965_19.tif,,,,,,,failed,
Roybal (Edward R.) Photograph Collection,ark:/21198/zz001bqss8,ark:/21198/zz000s3hxd,1,In progress,Work,csrc/masters/21198-zz001bqss8_750984_master.tif,private,,,,still image,Black-and-white photographs,"Roybal, Edward Ross, 1916-2005",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 photograph,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1977_45.tif,"Edward Ross Roybal Papers, 1953-575",1977,CSRC_ROYBAL-HAYNES_1977_45.tif,,,,,,,failed,
Roybal (Edward R.) Photograph Collection,ark:/21198/zz001bqsts,ark:/21198/zz000s3hxd,1,In progress,Work,csrc/masters/21198-zz001bqsts_751018_master.tif,private,,,,still image,Black-and-white photographs,,Roybal Family,,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 photograph,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1978_08.tif,"Edward Ross Roybal Papers, 1953-574",1978,CSRC_ROYBAL-HAYNES_1978_08.tif,,,,,,,failed,
Roybal (Edward R.) Photograph Collection,ark:/21198/zz001bqsv9,ark:/21198/zz000s3hxd,1,In progress,Work,csrc/masters/21198-zz001bqsv9_750154_master.tif,private,,,,still image,,"Roybal, Edward Ross, 1916-2005",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 photograph,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1977_31.tif,"Edward Ross Roybal Papers, 1953-573",1977,CSRC_ROYBAL-HAYNES_1977_31.tif,,,,,,,failed,
Roybal (Edward R.) Photograph Collection,ark:/21198/zz001bqswt,ark:/21198/zz000s3hxd,1,In progress,Work,csrc/masters/21198-zz001bqswt_750109_master.tif,private,,,,still image,,,Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1977_24.tif,"Edward Ross Roybal Papers, 1953-572",1977,CSRC_ROYBAL-HAYNES_1977_24.tif,,,,,,,failed,
Roybal (Edward R.) Photograph Collection,ark:/21198/zz001bqsxb,ark:/21198/zz000s3hxd,1,In progress,Work,csrc/masters/21198-zz001bqsxb_750174_master.tif,private,,,,still image,color photographs,,Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 photograph,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1965_20.tif,"Edward Ross Roybal Papers, 1953-571",1965,CSRC_ROYBAL-HAYNES_1965_20.tif,,,,,,,failed,
Roybal (Edward R.) Photograph Collection,ark:/21198/zz001bqszv,ark:/21198/zz000s3hxd,1,In progress,Work,csrc/masters/21198-zz001bqszv_750969_master.tif,private,,,,still image,color photographs,"Roybal, Edward Ross, 1916-2005",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 photograph,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1977_40.tif,"Edward Ross Roybal Papers, 1953-570",1977,CSRC_ROYBAL-HAYNES_1977_40.tif,,,,,,,failed,
Roybal (Edward R.) Photograph Collection,ark:/21198/zz001bqt0v,ark:/21198/zz000s3hxd,1,In progress,Work,csrc/masters/21198-zz001bqt0v_750011_master.tif,private,,,,still image,,"Roybal, Edward Ross, 1916-2005",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 photograph,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1977_14.tif,"Edward Ross Roybal Papers, 1953-569",1977,CSRC_ROYBAL-HAYNES_1977_14.tif,,,,,,,failed,
Roybal (Edward R.) Photograph Collection,ark:/21198/zz001bqt1c,ark:/21198/zz000s3hxd,1,In progress,Work,csrc/masters/21198-zz001bqt1c_750017_master.tif,private,,,,still image,Black-and-white photographs,"Roybal, Edward Ross, 1916-2005",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 photograph,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1977_15.tif,"Edward Ross Roybal Papers, 1953-568",1977,CSRC_ROYBAL-HAYNES_1977_15.tif,,,,,,,failed,
Roybal (Edward R.) Photograph Collection,ark:/21198/z1rz0wnn,ark:/21198/zz0017pz9r,1,In progress,Page,csrc/masters/21198-zz0017pz9r_720020_master.tif,private,2,,,still image,,,,,,,,,,,,,,,,,1,,,,,,,failed,
Roybal (Edward R.) Photograph Collection,ark:/21198/z1m633zg,ark:/21198/zz001bn629,1,In progress,Page,csrc/masters/21198-zz001bn629_747849_master.tif,private,1,,,still image,,,,,,,,,,,,,,,,,2,,,,,,,failed,
