"Title","Project Name","Item ARK","Parent ARK","Object Type","viewingHint","File Name","Item Sequence","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.servicesContact","Name.repository","Name.illuminator","Language","Author","AltTitle.other","Description.note","Date.creation","Summary","Date.normalized","Description.adminnote","Description.contents","Condition note","Illustrations note","Description.colophon","Description.history","Binding note","Format.extent","Alt ID.local","Format.dimensions","Relation.isPartOf","AltTitle.uniform","Place of origin","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Manuscript No.64: 0011","Armenian Manuscripts","ark:/21198/zz0028zkrj","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0011.tif","11","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zkrj",""
"Manuscript No.64: 0012","Armenian Manuscripts","ark:/21198/zz0028zks2","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0012.tif","12","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zks2",""
"Manuscript No.64: 0013","Armenian Manuscripts","ark:/21198/zz0028zktk","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0013.tif","13","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zktk",""
"Manuscript No.64: 0014","Armenian Manuscripts","ark:/21198/zz0028zkv3","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0014.tif","14","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zkv3",""
"Manuscript No.64: 0015","Armenian Manuscripts","ark:/21198/zz0028zkwm","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0015.tif","15","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zkwm",""
"Manuscript No.64: 0016","Armenian Manuscripts","ark:/21198/zz0028zkx4","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0016.tif","16","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zkx4",""
"Manuscript No.64: 0017","Armenian Manuscripts","ark:/21198/zz0028zkzn","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0017.tif","17","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zkzn",""
"Manuscript No.64: 0018","Armenian Manuscripts","ark:/21198/zz0028zm0n","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0018.tif","18","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zm0n",""
"Manuscript No.64: 0019","Armenian Manuscripts","ark:/21198/zz0028zm15","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0019.tif","19","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zm15",""
"Manuscript No.64: 0020","Armenian Manuscripts","ark:/21198/zz0028zm2p","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0020.tif","20","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zm2p",""
"Manuscript No.64: 0021","Armenian Manuscripts","ark:/21198/zz0028zm36","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0021.tif","21","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zm36",""
"Manuscript No.64: 0022","Armenian Manuscripts","ark:/21198/zz0028zm4q","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0022.tif","22","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zm4q",""
"Manuscript No.64: 0023","Armenian Manuscripts","ark:/21198/zz0028zm57","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0023.tif","23","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zm57",""
"Manuscript No.64: 0024","Armenian Manuscripts","ark:/21198/zz0028zm6r","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0024.tif","24","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zm6r",""
"Manuscript No.64: 0025","Armenian Manuscripts","ark:/21198/zz0028zm78","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0025.tif","25","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zm78",""
"Manuscript No.64: 0026","Armenian Manuscripts","ark:/21198/zz0028zm8s","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0026.tif","26","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zm8s",""
"Manuscript No.64: 0027","Armenian Manuscripts","ark:/21198/zz0028zm99","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0027.tif","27","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zm99",""
"Manuscript No.64: 0028","Armenian Manuscripts","ark:/21198/zz0028zmbt","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0028.tif","28","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zmbt",""
"Manuscript No.64: 0029","Armenian Manuscripts","ark:/21198/zz0028zmcb","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0029.tif","29","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zmcb",""
"Manuscript No.64: 0030","Armenian Manuscripts","ark:/21198/zz0028zmdv","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0030.tif","30","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zmdv",""
"Manuscript No.64: 0031","Armenian Manuscripts","ark:/21198/zz0028zmfc","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0031.tif","31","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zmfc",""
"Manuscript No.64: 0032","Armenian Manuscripts","ark:/21198/zz0028zmgw","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0032.tif","32","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zmgw",""
"Manuscript No.64: 0033","Armenian Manuscripts","ark:/21198/zz0028zmhd","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0033.tif","33","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zmhd",""
"Manuscript No.64: 0034","Armenian Manuscripts","ark:/21198/zz0028zmjx","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0034.tif","34","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zmjx",""
"Manuscript No.64: 0035","Armenian Manuscripts","ark:/21198/zz0028zmkf","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0035.tif","35","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zmkf",""
"Manuscript No.64: 0036","Armenian Manuscripts","ark:/21198/zz0028zmmz","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0036.tif","36","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zmmz",""
"Manuscript No.64: 0037","Armenian Manuscripts","ark:/21198/zz0028zmng","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0037.tif","37","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zmng",""
"Manuscript No.64: 0038","Armenian Manuscripts","ark:/21198/zz0028zmp0","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0038.tif","38","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zmp0",""
"Manuscript No.64: 0039","Armenian Manuscripts","ark:/21198/zz0028zmqh","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0039.tif","39","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zmqh",""
"Manuscript No.64: 0040","Armenian Manuscripts","ark:/21198/zz0028zmr1","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0040.tif","40","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zmr1",""
"Manuscript No.64: 0041","Armenian Manuscripts","ark:/21198/zz0028zmsj","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0041.tif","41","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zmsj",""
"Manuscript No.64: 0042","Armenian Manuscripts","ark:/21198/zz0028zmt2","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0042.tif","42","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zmt2",""
"Manuscript No.64: 0043","Armenian Manuscripts","ark:/21198/zz0028zmvk","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0043.tif","43","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zmvk",""
"Manuscript No.64: 0044","Armenian Manuscripts","ark:/21198/zz0028zmw3","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0044.tif","44","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zmw3",""
"Manuscript No.64: 0045","Armenian Manuscripts","ark:/21198/zz0028zmxm","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0045.tif","45","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zmxm",""
"Manuscript No.64: 0046","Armenian Manuscripts","ark:/21198/zz0028zmz4","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0046.tif","46","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zmz4",""
"Manuscript No.64: 0047","Armenian Manuscripts","ark:/21198/zz0028zn04","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0047.tif","47","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zn04",""
"Manuscript No.64: 0048","Armenian Manuscripts","ark:/21198/zz0028zn1n","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0048.tif","48","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zn1n",""
"Manuscript No.64: 0049","Armenian Manuscripts","ark:/21198/zz0028zn25","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0049.tif","49","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zn25",""
"Manuscript No.64: 0050","Armenian Manuscripts","ark:/21198/zz0028zn3p","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0050.tif","50","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zn3p",""
"Manuscript No.64: 0051","Armenian Manuscripts","ark:/21198/zz0028zn46","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0051.tif","51","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zn46",""
"Manuscript No.64: 0052","Armenian Manuscripts","ark:/21198/zz0028zn5q","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0052.tif","52","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zn5q",""
"Manuscript No.64: 0053","Armenian Manuscripts","ark:/21198/zz0028zn67","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0053.tif","53","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zn67",""
"Manuscript No.64: 0054","Armenian Manuscripts","ark:/21198/zz0028zn7r","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0054.tif","54","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zn7r",""
"Manuscript No.64: 0055","Armenian Manuscripts","ark:/21198/zz0028zn88","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0055.tif","55","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zn88",""
"Manuscript No.64: 0056","Armenian Manuscripts","ark:/21198/zz0028zn9s","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0056.tif","56","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zn9s",""
"Manuscript No.64: 0057","Armenian Manuscripts","ark:/21198/zz0028znb9","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0057.tif","57","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028znb9",""
"Manuscript No.64: 0058","Armenian Manuscripts","ark:/21198/zz0028znct","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0058.tif","58","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028znct",""
"Manuscript No.64: 0059","Armenian Manuscripts","ark:/21198/zz0028zndb","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0059.tif","59","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zndb",""
"Manuscript No.64: 0060","Armenian Manuscripts","ark:/21198/zz0028znfv","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0060.tif","60","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028znfv",""
"Manuscript No.64: 0061","Armenian Manuscripts","ark:/21198/zz0028zngc","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0061.tif","61","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zngc",""
"Manuscript No.64: 0062","Armenian Manuscripts","ark:/21198/zz0028znhw","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0062.tif","62","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028znhw",""
"Manuscript No.64: 0063","Armenian Manuscripts","ark:/21198/zz0028znjd","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0063.tif","63","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028znjd",""
"Manuscript No.64: 0064","Armenian Manuscripts","ark:/21198/zz0028znkx","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0064.tif","64","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028znkx",""
"Manuscript No.64: 0065","Armenian Manuscripts","ark:/21198/zz0028znmf","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0065.tif","65","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028znmf",""
"Manuscript No.64: 0066","Armenian Manuscripts","ark:/21198/zz0028znnz","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0066.tif","66","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028znnz",""
"Manuscript No.64: 0067","Armenian Manuscripts","ark:/21198/zz0028znpg","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0067.tif","67","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028znpg",""
"Manuscript No.64: 0068","Armenian Manuscripts","ark:/21198/zz0028znq0","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0068.tif","68","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028znq0",""
"Manuscript No.64: 0069","Armenian Manuscripts","ark:/21198/zz0028znrh","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0069.tif","69","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028znrh",""
"Manuscript No.64: 0070","Armenian Manuscripts","ark:/21198/zz0028zns1","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0070.tif","70","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zns1",""
"Manuscript No.64: 0071","Armenian Manuscripts","ark:/21198/zz0028zntj","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0071.tif","71","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zntj",""
"Manuscript No.64: 0072","Armenian Manuscripts","ark:/21198/zz0028znv2","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0072.tif","72","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028znv2",""
"Manuscript No.64: 0073","Armenian Manuscripts","ark:/21198/zz0028znwk","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0073.tif","73","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028znwk",""
"Manuscript No.64: 0074","Armenian Manuscripts","ark:/21198/zz0028znx3","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0074.tif","74","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028znx3",""
"Manuscript No.64: 0075","Armenian Manuscripts","ark:/21198/zz0028znzm","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0075.tif","75","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028znzm",""
"Manuscript No.64: 0076","Armenian Manuscripts","ark:/21198/zz0028zp0m","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0076.tif","76","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zp0m",""
"Manuscript No.64: 0077","Armenian Manuscripts","ark:/21198/zz0028zp14","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0077.tif","77","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zp14",""
"Manuscript No.64: 0078","Armenian Manuscripts","ark:/21198/zz0028zp2n","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0078.tif","78","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zp2n",""
"Manuscript No.64: 0079","Armenian Manuscripts","ark:/21198/zz0028zp35","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0079.tif","79","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zp35",""
"Manuscript No.64: 0080","Armenian Manuscripts","ark:/21198/zz0028zp4p","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0080.tif","80","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zp4p",""
