Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Type.typeOfResource,Rights.publicationStatus,Rights.copyrightStatus,Rights.servicesContact,Language,Name.repository,Subject,Type.genre,Title,Alt ID.local,AltTitle.descriptive,Date.publication,Date.normalized,Format.extent,Description.note,Description.abstract,Publisher.publisherName,Publisher.placeOfOrigin,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Deutsches Nachrichtenbüro,ark:/21198/zz002c2sbt,ark:/21198/zz00294nw7,10,Completed with minimal metadata,Work,nachrichtenburo/image/August_1939/1939-08-21_1185.tif,6311,text,published,unknown,,ger,"University of California, Los Angeles. $b Library Special Collections",,newspapers,"Deutsches Nachrichtenbüro. 6 Jahrg., Nr. 1185, 1939 August 21, Zweite Nachmittags-Ausgabe",1939-08-21_1185,Deutsches Nachrichtenbüro|~|Zweite Nachmittags-Ausgabe,"August 21, 1939",1939-08-21,1 p.,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2sbt,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c2sbt/manifest
Deutsches Nachrichtenbüro,ark:/21198/zz002c2scb,ark:/21198/zz00294nw7,10,Completed with minimal metadata,Work,nachrichtenburo/image/August_1939/1939-08-21_1186.tif,6312,text,published,unknown,,ger,"University of California, Los Angeles. $b Library Special Collections",,newspapers,"Deutsches Nachrichtenbüro. 6 Jahrg., Nr. 1186, 1939 August 21, Abend-Ausgabe",1939-08-21_1186,Abend-Ausgabe|~|Deutsches Nachrichtenbüro,"August 21, 1939",1939-08-21,1 p.,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2scb,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c2scb/manifest
Deutsches Nachrichtenbüro,ark:/21198/zz002c2sdv,ark:/21198/zz00294nw7,10,Completed with minimal metadata,Work,nachrichtenburo/image/August_1939/1939-08-21_1187.tif,6313,text,published,unknown,,ger,"University of California, Los Angeles. $b Library Special Collections",,newspapers,"Deutsches Nachrichtenbüro. 6 Jahrg., Nr. 1187, 1939 August 21, Nacht-Ausgabe",1939-08-21_1187,Deutsches Nachrichtenbüro|~|Nacht-Ausgabe,"August 21, 1939",1939-08-21,1 p.,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2sdv,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c2sdv/manifest
Deutsches Nachrichtenbüro,ark:/21198/zz002c2sfc,ark:/21198/zz00294nw7,10,Completed with minimal metadata,Work,nachrichtenburo/image/August_1939/1939-08-22_1188.tif,6314,text,published,unknown,,ger,"University of California, Los Angeles. $b Library Special Collections",,newspapers,"Deutsches Nachrichtenbüro. 6 Jahrg., Nr. 1188, 1939 August 22, Morgen-Ausgabe",1939-08-22_1188,Deutsches Nachrichtenbüro|~|Morgen-Ausgabe,"August 22, 1939",1939-08-22,1 p.,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2sfc,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c2sfc/manifest
Deutsches Nachrichtenbüro,ark:/21198/zz002c2sgw,ark:/21198/zz00294nw7,10,Completed with minimal metadata,Work,nachrichtenburo/image/August_1939/1939-08-22_1189.tif,6315,text,published,unknown,,ger,"University of California, Los Angeles. $b Library Special Collections",,newspapers,"Deutsches Nachrichtenbüro. 6 Jahrg., Nr. 1189, 1939 August 22, Vormittags-Ausgabe",1939-08-22_1189,Deutsches Nachrichtenbüro|~|Vormittags-Ausgabe,"August 22, 1939",1939-08-22,1 p.,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2sgw,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c2sgw/manifest
Deutsches Nachrichtenbüro,ark:/21198/zz002c2shd,ark:/21198/zz00294nw7,10,Completed with minimal metadata,Work,nachrichtenburo/image/August_1939/1939-08-22_1190.tif,6316,text,published,unknown,,ger,"University of California, Los Angeles. $b Library Special Collections",,newspapers,"Deutsches Nachrichtenbüro. 6 Jahrg., Nr. 1190, 1939 August 22, Mittags-Ausgabe",1939-08-22_1190,Mittags-Ausgabe|~|Deutsches Nachrichtenbüro,"August 22, 1939",1939-08-22,1 p.,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2shd,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c2shd/manifest
Deutsches Nachrichtenbüro,ark:/21198/zz002c2sjx,ark:/21198/zz00294nw7,10,Completed with minimal metadata,Work,nachrichtenburo/image/August_1939/1939-08-22_1191.tif,6317,text,published,unknown,,ger,"University of California, Los Angeles. $b Library Special Collections",,newspapers,"Deutsches Nachrichtenbüro. 6 Jahrg., Nr. 1191, 1939 August 22, Nachmittags-Ausgabe",1939-08-22_1191,Nachmittags-Ausgabe|~|Deutsches Nachrichtenbüro,"August 22, 1939",1939-08-22,1 p.,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2sjx,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c2sjx/manifest
Deutsches Nachrichtenbüro,ark:/21198/zz002c2skf,ark:/21198/zz00294nw7,10,Completed with minimal metadata,Work,nachrichtenburo/image/August_1939/1939-08-22_1192.tif,6318,text,published,unknown,,ger,"University of California, Los Angeles. $b Library Special Collections",,newspapers,"Deutsches Nachrichtenbüro. 6 Jahrg., Nr. 1192, 1939 August 22, Abend-Ausgabe",1939-08-22_1192,Abend-Ausgabe|~|Deutsches Nachrichtenbüro,"August 22, 1939",1939-08-22,1 p.,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2skf,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c2skf/manifest
Deutsches Nachrichtenbüro,ark:/21198/zz002c2smz,ark:/21198/zz00294nw7,10,Completed with minimal metadata,Work,nachrichtenburo/image/August_1939/1939-08-22_1193.tif,6319,text,published,unknown,,ger,"University of California, Los Angeles. $b Library Special Collections",,newspapers,"Deutsches Nachrichtenbüro. 6 Jahrg., Nr. 1193, 1939 August 22, Nacht-Ausgabe",1939-08-22_1193,Deutsches Nachrichtenbüro|~|Nacht-Ausgabe,"August 22, 1939",1939-08-22,1 p.,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2smz,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c2smz/manifest
Deutsches Nachrichtenbüro,ark:/21198/zz002c2sng,ark:/21198/zz00294nw7,10,Completed with minimal metadata,Work,nachrichtenburo/image/August_1939/1939-08-23_1194.tif,6320,text,published,unknown,,ger,"University of California, Los Angeles. $b Library Special Collections",,newspapers,"Deutsches Nachrichtenbüro. 6 Jahrg., Nr. 1194, 1939 August 23, Morgen-Ausgabe",1939-08-23_1194,Deutsches Nachrichtenbüro|~|Morgen-Ausgabe,"August 23, 1939",1939-08-23,1 p.,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2sng,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c2sng/manifest
Deutsches Nachrichtenbüro,ark:/21198/zz002c2sp0,ark:/21198/zz00294nw7,10,Completed with minimal metadata,Work,nachrichtenburo/image/August_1939/1939-08-23_1195.tif,6321,text,published,unknown,,ger,"University of California, Los Angeles. $b Library Special Collections",,newspapers,"Deutsches Nachrichtenbüro. 6 Jahrg., Nr. 1195, 1939 August 23, Vormittags-Ausgabe",1939-08-23_1195,Deutsches Nachrichtenbüro|~|Vormittags-Ausgabe,"August 23, 1939",1939-08-23,1 p.,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2sp0,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c2sp0/manifest
Deutsches Nachrichtenbüro,ark:/21198/zz002c2sqh,ark:/21198/zz00294nw7,10,Completed with minimal metadata,Work,nachrichtenburo/image/August_1939/1939-08-23_1196.tif,6322,text,published,unknown,,ger,"University of California, Los Angeles. $b Library Special Collections",,newspapers,"Deutsches Nachrichtenbüro. 6 Jahrg., Nr. 1196, 1939 August 23, Erste Mittags-Ausgabe",1939-08-23_1196,Erste Mittags-Ausgabe|~|Deutsches Nachrichtenbüro,"August 23, 1939",1939-08-23,1 p.,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2sqh,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c2sqh/manifest
Deutsches Nachrichtenbüro,ark:/21198/zz002c2sr1,ark:/21198/zz00294nw7,10,Completed with minimal metadata,Work,nachrichtenburo/image/August_1939/1939-08-23_1197.tif,6323,text,published,unknown,,ger,"University of California, Los Angeles. $b Library Special Collections",,newspapers,"Deutsches Nachrichtenbüro. 6 Jahrg., Nr. 1197, 1939 August 23, Zweite Mittags-Ausgabe",1939-08-23_1197,Deutsches Nachrichtenbüro|~|Zweite Mittags-Ausgabe,"August 23, 1939",1939-08-23,1 p.,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2sr1,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c2sr1/manifest
Deutsches Nachrichtenbüro,ark:/21198/zz002c2ssj,ark:/21198/zz00294nw7,10,Completed with minimal metadata,Work,nachrichtenburo/image/August_1939/1939-08-23_1198.tif,6324,text,published|~|published,unknown,,ger,"University of California, Los Angeles. $b Library Special Collections",,newspapers,"Deutsches Nachrichtenbüro. 6 Jahrg., Nr. 1198, 1939 August 23, Nachmittags-Ausgabe",1939-08-23_1198,Nachmittags-Ausgabe|~|Deutsches Nachrichtenbüro,"August 23, 1939",1939-08-23,1 p.,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2ssj,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c2ssj/manifest
Deutsches Nachrichtenbüro,ark:/21198/zz002c2st2,ark:/21198/zz00294nw7,10,Completed with minimal metadata,Work,nachrichtenburo/image/August_1939/1939-08-23_1199.tif,6325,text,published,unknown,,ger,"University of California, Los Angeles. $b Library Special Collections",,newspapers,"Deutsches Nachrichtenbüro. 6 Jahrg., Nr. 1199, 1939 August 23, Abend-Ausgabe",1939-08-23_1199,Abend-Ausgabe|~|Deutsches Nachrichtenbüro,"August 23, 1939",1939-08-23,1 p.,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2st2,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c2st2/manifest
Deutsches Nachrichtenbüro,ark:/21198/zz002c2svk,ark:/21198/zz00294nw7,10,Completed with minimal metadata,Work,nachrichtenburo/image/August_1939/1939-08-24_1200.tif,6326,text,published,unknown,,ger,"University of California, Los Angeles. $b Library Special Collections",,newspapers,"Deutsches Nachrichtenbüro. 6 Jahrg., Nr. 1200, 1939 August 24, Morgen-Ausgabe",1939-08-24_1200,Morgen-Ausgabe|~|Deutsches Nachrichtenbüro,"August 24, 1939",1939-08-24,1 p.,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2svk,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c2svk/manifest
Deutsches Nachrichtenbüro,ark:/21198/zz002c2sw3,ark:/21198/zz00294nw7,10,Completed with minimal metadata,Work,nachrichtenburo/image/August_1939/1939-08-24_1201.tif,6327,text,published,unknown,,ger,"University of California, Los Angeles. $b Library Special Collections",,newspapers,"Deutsches Nachrichtenbüro. 6 Jahrg., Nr. 1201, 1939 August 24, Vormittags-Ausgabe",1939-08-24_1201,Deutsches Nachrichtenbüro|~|Vormittags-Ausgabe,"August 24, 1939",1939-08-24,1 p.,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2sw3,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c2sw3/manifest
Deutsches Nachrichtenbüro,ark:/21198/zz002c2sxm,ark:/21198/zz00294nw7,10,Completed with minimal metadata,Work,nachrichtenburo/image/August_1939/1939-08-24_1202.tif,6328,text,published,unknown,,ger,"University of California, Los Angeles. $b Library Special Collections",,newspapers,"Deutsches Nachrichtenbüro. 6 Jahrg., Nr. 1202, 1939 August 24, Erste Mittags-Ausgabe",1939-08-24_1202,Erste Mittags-Ausgabe|~|Deutsches Nachrichtenbüro,"August 24, 1939",1939-08-24,1 p.,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2sxm,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c2sxm/manifest
Deutsches Nachrichtenbüro,ark:/21198/zz002c2sz4,ark:/21198/zz00294nw7,10,Completed with minimal metadata,Work,nachrichtenburo/image/August_1939/1939-08-24_1203.tif,6329,text,published,unknown,,ger,"University of California, Los Angeles. $b Library Special Collections",,newspapers,"Deutsches Nachrichtenbüro. 6 Jahrg., Nr. 1203, 1939 August 24, Zweite Mittags-Ausgabe",1939-08-24_1203,Zweite Mittags-Ausgabe|~|Deutsches Nachrichtenbüro,"August 24, 1939",1939-08-24,1 p.,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2sz4,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c2sz4/manifest
Deutsches Nachrichtenbüro,ark:/21198/zz002c2t04,ark:/21198/zz00294nw7,10,Completed with minimal metadata,Work,nachrichtenburo/image/August_1939/1939-08-24_1204.tif,6330,text,published,unknown,,ger,"University of California, Los Angeles. $b Library Special Collections",,newspapers,"Deutsches Nachrichtenbüro. 6 Jahrg., Nr. 1204, 1939 August 24, Nachmittags-Ausgabe",1939-08-24_1204,Nachmittags-Ausgabe|~|Deutsches Nachrichtenbüro,"August 24, 1939",1939-08-24,1 p.,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2t04,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c2t04/manifest
Deutsches Nachrichtenbüro,ark:/21198/zz002c2t1n,ark:/21198/zz00294nw7,10,Completed with minimal metadata,Work,nachrichtenburo/image/August_1939/1939-08-24_1205.tif,6331,text,published,unknown,,ger,"University of California, Los Angeles. $b Library Special Collections",,newspapers,"Deutsches Nachrichtenbüro. 6 Jahrg., Nr. 1205, 1939 August 24, Abend-Ausgabe",1939-08-24_1205,Deutsches Nachrichtenbüro|~|Abend-Ausgabe,"August 24, 1939",1939-08-24,1 p.,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2t1n,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c2t1n/manifest
Deutsches Nachrichtenbüro,ark:/21198/zz002c2t25,ark:/21198/zz00294nw7,10,Completed with minimal metadata,Work,nachrichtenburo/image/August_1939/1939-08-24_1206.tif,6332,text,published,unknown,,ger,"University of California, Los Angeles. $b Library Special Collections",,newspapers,"Deutsches Nachrichtenbüro. 6 Jahrg., Nr. 1206, 1939 August 24, Nacht-Ausgabe",1939-08-24_1206,Nacht-Ausgabe|~|Deutsches Nachrichtenbüro,"August 24, 1939",1939-08-24,1 p.,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2t25,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c2t25/manifest
Deutsches Nachrichtenbüro,ark:/21198/zz002c2t3p,ark:/21198/zz00294nw7,10,Completed with minimal metadata,Work,nachrichtenburo/image/August_1939/1939-08-25_1207.tif,6333,text,published,unknown,,ger,"University of California, Los Angeles. $b Library Special Collections",,newspapers,"Deutsches Nachrichtenbüro. 6 Jahrg., Nr. 1207, 1939 August 25, Morgen-Ausgabe",1939-08-25_1207,Morgen-Ausgabe|~|Deutsches Nachrichtenbüro,"August 25, 1939",1939-08-25,1 p.,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2t3p,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c2t3p/manifest
Deutsches Nachrichtenbüro,ark:/21198/zz002c2t46,ark:/21198/zz00294nw7,10,Completed with minimal metadata,Work,nachrichtenburo/image/August_1939/1939-08-25_1208.tif,6334,text,published,unknown,,ger,"University of California, Los Angeles. $b Library Special Collections",,newspapers,"Deutsches Nachrichtenbüro. 6 Jahrg., Nr. 1208, 1939 August 25, Vormittags-Ausgabe",1939-08-25_1208,Vormittags-Ausgabe|~|Deutsches Nachrichtenbüro,"August 25, 1939",1939-08-25,1 p.,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2t46,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c2t46/manifest
Deutsches Nachrichtenbüro,ark:/21198/zz002c2t5q,ark:/21198/zz00294nw7,10,Completed with minimal metadata,Work,nachrichtenburo/image/August_1939/1939-08-25_1209.tif,6335,text,published,unknown,,ger,"University of California, Los Angeles. $b Library Special Collections",,newspapers,"Deutsches Nachrichtenbüro. 6 Jahrg., Nr. 1209, 1939 August 25, Erste Mittags-Ausgabe",1939-08-25_1209,Deutsches Nachrichtenbüro|~|Erste Mittags-Ausgabe,"August 25, 1939",1939-08-25,1 p.,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2t5q,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c2t5q/manifest
Deutsches Nachrichtenbüro,ark:/21198/zz002c2t67,ark:/21198/zz00294nw7,10,Completed with minimal metadata,Work,nachrichtenburo/image/August_1939/1939-08-25_1210.tif,6336,text,published,unknown,,ger,"University of California, Los Angeles. $b Library Special Collections",,newspapers,"Deutsches Nachrichtenbüro. 6 Jahrg., Nr. 1210, 1939 August 25, Zweite Mittags-Ausgabe",1939-08-25_1210,Zweite Mittags-Ausgabe|~|Deutsches Nachrichtenbüro,"August 25, 1939",1939-08-25,1 p.,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2t67,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c2t67/manifest
Deutsches Nachrichtenbüro,ark:/21198/zz002c2t7r,ark:/21198/zz00294nw7,10,Completed with minimal metadata,Work,nachrichtenburo/image/August_1939/1939-08-25_1211.tif,6337,text,published,unknown,,ger,"University of California, Los Angeles. $b Library Special Collections",,newspapers,"Deutsches Nachrichtenbüro. 6 Jahrg., Nr. 1211, 1939 August 25, Nachmittags-Ausgabe",1939-08-25_1211,Nachmittags-Ausgabe|~|Deutsches Nachrichtenbüro,"August 25, 1939",1939-08-25,1 p.,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2t7r,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c2t7r/manifest
Deutsches Nachrichtenbüro,ark:/21198/zz002c2t88,ark:/21198/zz00294nw7,10,Completed with minimal metadata,Work,nachrichtenburo/image/August_1939/1939-08-25_1212.tif,6338,text,published,unknown,,ger,"University of California, Los Angeles. $b Library Special Collections",,newspapers,"Deutsches Nachrichtenbüro. 6 Jahrg., Nr. 1212, 1939 August 25, Abend-Ausgabe",1939-08-25_1212,Abend-Ausgabe|~|Deutsches Nachrichtenbüro,"August 25, 1939",1939-08-25,1 p.,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2t88,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c2t88/manifest
Deutsches Nachrichtenbüro,ark:/21198/zz002c2t9s,ark:/21198/zz00294nw7,10,Completed with minimal metadata,Work,nachrichtenburo/image/August_1939/1939-08-25_1213.tif,6339,text,published,unknown,,ger,"University of California, Los Angeles. $b Library Special Collections",,newspapers,"Deutsches Nachrichtenbüro. 6 Jahrg., Nr. 1213, 1939 August 25, Nacht-Ausgabe",1939-08-25_1213,Deutsches Nachrichtenbüro|~|Nacht-Ausgabe,"August 25, 1939",1939-08-25,1 p.,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2t9s,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c2t9s/manifest
