"File Name","Object Type","Title","Item Sequence","Parent ARK","Item ARK","Rights.copyrightStatus","Type.typeOfResource","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_065.tif","Page","Page 62","65","ark:/21198/n1xw4k","ark:/21198/n1xw4k/s0310b9t","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Fs0310b9t",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_066.tif","Page","Page 63","66","ark:/21198/n1xw4k","ark:/21198/n1xw4k/5d88vt8p","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2F5d88vt8p",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_067.tif","Page","Page 64","67","ark:/21198/n1xw4k","ark:/21198/n1xw4k/9301120h","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2F9301120h",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_068.tif","Page","Page 65","68","ark:/21198/n1xw4k","ark:/21198/n1xw4k/d1710d85","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Fd1710d85",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_069.tif","Page","Page 66","69","ark:/21198/n1xw4k","ark:/21198/n1xw4k/nn97gm63","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Fnn97gm63",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_070.tif","Page","Page 67","70","ark:/21198/n1xw4k","ark:/21198/n1xw4k/p212v07d","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Fp212v07d",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_071.tif","Page","Page 68","71","ark:/21198/n1xw4k","ark:/21198/n1xw4k/xb91jp2k","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Fxb91jp2k",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_072.tif","Page","Page 69","72","ark:/21198/n1xw4k","ark:/21198/n1xw4k/bq71wq9f","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Fbq71wq9f",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_073.tif","Page","Page 70","73","ark:/21198/n1xw4k","ark:/21198/n1xw4k/9g730s6q","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2F9g730s6q",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_074.tif","Page","Page 71","74","ark:/21198/n1xw4k","ark:/21198/n1xw4k/d763tq77","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Fd763tq77",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_075.tif","Page","Page 72","75","ark:/21198/n1xw4k","ark:/21198/n1xw4k/s056gk7q","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Fs056gk7q",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_076.tif","Page","Page 73","76","ark:/21198/n1xw4k","ark:/21198/n1xw4k/t030mq8t","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Ft030mq8t",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_077.tif","Page","Page 74","77","ark:/21198/n1xw4k","ark:/21198/n1xw4k/2w85153w","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2F2w85153w",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_078.tif","Page","Page 75","78","ark:/21198/n1xw4k","ark:/21198/n1xw4k/hc14pc37","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Fhc14pc37",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_079.tif","Page","Page 76","79","ark:/21198/n1xw4k","ark:/21198/n1xw4k/7g63dd5t","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2F7g63dd5t",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_080.tif","Page","Page 77","80","ark:/21198/n1xw4k","ark:/21198/n1xw4k/m401g90b","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Fm401g90b",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_081.tif","Page","Page 78","81","ark:/21198/n1xw4k","ark:/21198/n1xw4k/ct61cs7d","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Fct61cs7d",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_082.tif","Page","Page 79","82","ark:/21198/n1xw4k","ark:/21198/n1xw4k/w794f62w","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Fw794f62w",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_083.tif","Page","Page 80","83","ark:/21198/n1xw4k","ark:/21198/n1xw4k/tk63hn12","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Ftk63hn12",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_084.tif","Page","Page 81","84","ark:/21198/n1xw4k","ark:/21198/n1xw4k/kn09098q","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Fkn09098q",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_085.tif","Page","Page 82","85","ark:/21198/n1xw4k","ark:/21198/n1xw4k/00704s5c","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2F00704s5c",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_086.tif","Page","Page 83","86","ark:/21198/n1xw4k","ark:/21198/n1xw4k/w804sf39","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Fw804sf39",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_087.tif","Page","Page 84","87","ark:/21198/n1xw4k","ark:/21198/n1xw4k/2883fh43","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2F2883fh43",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_088.tif","Page","Page 85","88","ark:/21198/n1xw4k","ark:/21198/n1xw4k/br55tn2s","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Fbr55tn2s",""
