"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Subject","Description.note","Summary","Title","Alt ID.local","Opac URL","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv008","ark:/21198/zz002dtx0v","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f08_058.tif","58","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 8, 58","uclamss_107_b05_f08_058","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv008",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv01s","ark:/21198/zz002dtx0v","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f08_059.tif","59","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 8, 59","uclamss_107_b05_f08_059","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv01s",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv029","ark:/21198/zz002dtx0v","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f08_060.tif","60","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 8, 60","uclamss_107_b05_f08_060","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv029",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv03t","ark:/21198/zz002dtx0v","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f08_061.tif","61","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 8, 61","uclamss_107_b05_f08_061","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv03t",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv04b","ark:/21198/zz002dtx0v","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f08_062.tif","62","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 8, 62","uclamss_107_b05_f08_062","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv04b",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv05v","ark:/21198/zz002dtx0v","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f08_063.tif","63","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 8, 63","uclamss_107_b05_f08_063","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv05v",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv06c","ark:/21198/zz002dtx0v","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f08_064.tif","64","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 8, 64","uclamss_107_b05_f08_064","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv06c",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv07w","ark:/21198/zz002dtx0v","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f08_065.tif","65","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 8, 65","uclamss_107_b05_f08_065","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv07w",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv08d","ark:/21198/zz002dtx0v","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f08_066.tif","66","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 8, 66","uclamss_107_b05_f08_066","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv08d",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv09x","ark:/21198/zz002dtx0v","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f08_067.tif","67","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 8, 67","uclamss_107_b05_f08_067","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv09x",""
