"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Subject","Description.note","Summary","Title","Alt ID.local","Opac URL","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv998","ark:/21198/zz002dv6v3","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b12_f02_071.tif","71","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 12, Folder 2, 71","uclamss_107_b12_f02_071","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv998",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv9bs","ark:/21198/zz002dv6v3","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b12_f02_072.tif","72","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 12, Folder 2, 72","uclamss_107_b12_f02_072","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv9bs",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv9c9","ark:/21198/zz002dv6v3","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b12_f02_073.tif","73","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 12, Folder 2, 73","uclamss_107_b12_f02_073","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv9c9",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv9dt","ark:/21198/zz002dv6v3","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b12_f02_074.tif","74","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 12, Folder 2, 74","uclamss_107_b12_f02_074","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv9dt",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv9fb","ark:/21198/zz002dv6v3","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b12_f02_075.tif","75","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 12, Folder 2, 75","uclamss_107_b12_f02_075","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv9fb",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv9gv","ark:/21198/zz002dv6v3","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b12_f02_076.tif","76","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 12, Folder 2, 76","uclamss_107_b12_f02_076","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv9gv",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv9hc","ark:/21198/zz002dv6v3","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b12_f02_077.tif","77","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 12, Folder 2, 77","uclamss_107_b12_f02_077","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv9hc",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv9jw","ark:/21198/zz002dv6v3","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b12_f02_078.tif","78","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 12, Folder 2, 78","uclamss_107_b12_f02_078","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv9jw",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv9kd","ark:/21198/zz002dv6v3","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b12_f02_079.tif","79","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 12, Folder 2, 79","uclamss_107_b12_f02_079","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv9kd",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv9mx","ark:/21198/zz002dv6v3","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b12_f02_080.tif","80","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 12, Folder 2, 80","uclamss_107_b12_f02_080","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv9mx",""
