"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Alternate Identifier.local","Title","Relation.rectoVerso","thumbnailImageName","masterImageName","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014r03s","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0237.tif","237","","","","","","","pd","1147_1391_0237","page 235","r","1147_1391_0237.jpg","1391_0237.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014r03s",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014r049","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0238.tif","238","","","","","","","pd","1147_1391_0238","page 236","v","1147_1391_0238.jpg","1391_0238.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014r049",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014r05t","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0239.tif","239","","","","","","","pd","1147_1391_0239","page 237","r","1147_1391_0239.jpg","1391_0239.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014r05t",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014r06b","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0240.tif","240","","","","","","","pd","1147_1391_0240","page 238","v","1147_1391_0240.jpg","1391_0240.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014r06b",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014r07v","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0241.tif","241","","","","","","","pd","1147_1391_0241","page 239","r","1147_1391_0241.jpg","1391_0241.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014r07v",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014r08c","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0242.tif","242","","","","","","","pd","1147_1391_0242","page 240","v","1147_1391_0242.jpg","1391_0242.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014r08c",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014r09w","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0243.tif","243","","","","","","","pd","1147_1391_0243","page 241","r","1147_1391_0243.jpg","1391_0243.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014r09w",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014r0bd","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0244.tif","244","","","","","","","pd","1147_1391_0244","page 242","v","1147_1391_0244.jpg","1391_0244.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014r0bd",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014r0cx","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0245.tif","245","","","","","","","pd","1147_1391_0245","page 243","r","1147_1391_0245.jpg","1391_0245.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014r0cx",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014r0df","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0246.tif","246","","","","","","","pd","1147_1391_0246","page 244","v","1147_1391_0246.jpg","1391_0246.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014r0df",""
