"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Visibility","Type.typeOfResource","Title","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Szanik (George) Papers. Collection 1799","ark:/21198/zz000sjsrh","ark:/21198/zz000s9bp2","2","Completed","Work","szanik/masters/21198-zz000sjsrh-1-master.tif","10","","","","private","still image","orange living room","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjsrh","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sjsrh/manifest"
"Szanik (George) Papers. Collection 1799","ark:/21198/zz000sjss1","ark:/21198/zz000s9bp2","2","Completed","Work","szanik/masters/21198-zz000sjss1-1-master.tif","11","","","","private","still image","kitchen","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjss1","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sjss1/manifest"
"Szanik (George) Papers. Collection 1799","ark:/21198/zz000sjstj","ark:/21198/zz000s9bp2","2","Completed","Work","szanik/masters/21198-zz000sjstj-1-master.tif","12","","","","private","still image","lobby, red rug, yellow and red curtains","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjstj","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sjstj/manifest"
"Szanik (George) Papers. Collection 1799","ark:/21198/zz000sjsv2","ark:/21198/zz000s9bp2","2","Completed","Work","szanik/masters/21198-zz000sjsv2-1-master.tif","13","","","","private","still image","living room with sculpted rug","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjsv2","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sjsv2/manifest"
"Szanik (George) Papers. Collection 1799","ark:/21198/zz000sjswk","ark:/21198/zz000s9bp2","2","Completed","Work","szanik/masters/21198-zz000sjswk-1-master.tif","14","","","","private","still image","patio with pool","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjswk","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sjswk/manifest"
"Szanik (George) Papers. Collection 1799","ark:/21198/zz000sjsx3","ark:/21198/zz000s9bp2","2","Completed","Work","szanik/masters/21198-zz000sjsx3-1-master.tif","15","","","","private","still image","living room, blue wallpaper, white shag rug","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjsx3","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sjsx3/manifest"
"Szanik (George) Papers. Collection 1799","ark:/21198/zz000sjszm","ark:/21198/zz000s9bp2","2","Completed","Work","szanik/masters/21198-zz000sjszm-1-master.tif","16","","","","private","still image","kitchen with striped ceiling","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjszm","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sjszm/manifest"
"Szanik (George) Papers. Collection 1799","ark:/21198/zz000sjt0m","ark:/21198/zz000s9bp2","2","Completed","Work","szanik/masters/21198-zz000sjt0m-1-master.tif","17","","","","private","still image","patio with pergola with striped awnings","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjt0m","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sjt0m/manifest"
"Szanik (George) Papers. Collection 1799","ark:/21198/zz000sjt14","ark:/21198/zz000s9bp2","2","Completed","Work","szanik/masters/21198-zz000sjt14-1-master.tif","18","","","","private","still image","kitchen with white cabinets and striped ceiling","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjt14","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sjt14/manifest"
"Szanik (George) Papers. Collection 1799","ark:/21198/zz000sjt2n","ark:/21198/zz000s9bp2","2","Completed","Work","szanik/masters/21198-zz000sjt2n-1-master.tif","19","","","","private","still image","living room with yellow couches","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjt2n","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sjt2n/manifest"
"Szanik (George) Papers. Collection 1799","ark:/21198/zz000sjt35","ark:/21198/zz000s9bp2","2","Completed","Work","szanik/masters/21198-zz000sjt35-1-master.tif","20","","","","private","still image","living room with zebra rug","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjt35","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sjt35/manifest"
"Szanik (George) Papers. Collection 1799","ark:/21198/zz000sjt4p","ark:/21198/zz000s9bp2","2","Completed","Work","szanik/masters/21198-zz000sjt4p-1-master.tif","21","","","","private","still image","living room with blue striped ceiling and floral wall decorations","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjt4p","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sjt4p/manifest"
"Szanik (George) Papers. Collection 1799","ark:/21198/zz000sjt56","ark:/21198/zz000s9bp2","2","Completed","Work","szanik/masters/21198-zz000sjt56-1-master.tif","22","","","","private","still image","pool","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjt56","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sjt56/manifest"
"Szanik (George) Papers. Collection 1799","ark:/21198/zz000sjt6q","ark:/21198/zz000s9bp2","2","Completed","Work","szanik/masters/21198-zz000sjt6q-1-master.tif","23","","","","private","still image","green and orange bar","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjt6q","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sjt6q/manifest"
"Szanik (George) Papers. Collection 1799","ark:/21198/zz000sjt77","ark:/21198/zz000s9bp2","2","Completed","Work","szanik/masters/21198-zz000sjt77-1-master.tif","24","","","","private","still image","yellow bedroom","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjt77","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sjt77/manifest"
"Szanik (George) Papers. Collection 1799","ark:/21198/zz000sjt8r","ark:/21198/zz000s9bp2","2","Completed","Work","szanik/masters/21198-zz000sjt8r-1-master.tif","25","","","","private","still image","brown living room with fireplace","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjt8r","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sjt8r/manifest"
"Szanik (George) Papers. Collection 1799","ark:/21198/zz000sjtbs","ark:/21198/zz000s9bp2","2","Completed","Work","szanik/masters/21198-zz000sjtbs-1-master.tif","26","","","","private","","living room with yellow couches and rug","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjtbs","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sjtbs/manifest"
"Szanik (George) Papers. Collection 1799","ark:/21198/zz000sjtc9","ark:/21198/zz000s9bp2","2","Completed","Work","szanik/masters/21198-zz000sjtc9-1-master.tif","27","","","","private","still image","patio with blue and white flooring","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjtc9","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sjtc9/manifest"
"Szanik (George) Papers. Collection 1799","ark:/21198/zz000sjtsh","ark:/21198/zz000s9bp2","2","Completed","Work","szanik/masters/21198-zz000sjtsh-1-master.tif","28","","","","private","still image","kitchen and dining room with red chairs","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjtsh","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sjtsh/manifest"
"Szanik (George) Papers. Collection 1799","ark:/21198/zz000sjtt1","ark:/21198/zz000s9bp2","2","Completed","Work","szanik/masters/21198-zz000sjtt1-1-master.tif","29","","","","private","still image","green dining room with bamboo tree wall decorations","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjtt1","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sjtt1/manifest"
"Szanik (George) Papers. Collection 1799","ark:/21198/zz000sjtvj","ark:/21198/zz000s9bp2","2","Completed","Work","szanik/masters/21198-zz000sjtvj-1-master.tif","30","","","","private","still image","kitchen with purple cabinets","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjtvj","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sjtvj/manifest"
"Szanik (George) Papers. Collection 1799","ark:/21198/zz000sjtw2","ark:/21198/zz000s9bp2","2","Completed","Work","szanik/masters/21198-zz000sjtw2-1-master.tif","31","","","","private","still image","living room with red flowered sectional sofa","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjtw2","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sjtw2/manifest"
"Szanik (George) Papers. Collection 1799","ark:/21198/zz000sjtxk","ark:/21198/zz000s9bp2","2","Completed","Work","szanik/masters/21198-zz000sjtxk-1-master.tif","32","","","","private","still image","blue playroom","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjtxk","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sjtxk/manifest"
"Szanik (George) Papers. Collection 1799","ark:/21198/zz000sjtz3","ark:/21198/zz000s9bp2","2","Completed","Work","szanik/masters/21198-zz000sjtz3-1-master.tif","33","","","","private","still image","bedroom with twin beds","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjtz3","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sjtz3/manifest"
"Szanik (George) Papers. Collection 1799","ark:/21198/zz000sjv03","ark:/21198/zz000s9bp2","2","Completed","Work","szanik/masters/21198-zz000sjv03-1-master.tif","34","","","","private","still image","living room with yellow couches and elephant end tables","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjv03","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sjv03/manifest"
"Szanik (George) Papers. Collection 1799","ark:/21198/zz000sjv1m","ark:/21198/zz000s9bp2","2","Completed","Work","szanik/masters/21198-zz000sjv1m-1-master.tif","35","","","","private","still image","alcove with yellow chairs","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjv1m","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sjv1m/manifest"
"Szanik (George) Papers. Collection 1799","ark:/21198/zz000sjv24","ark:/21198/zz000s9bp2","2","Completed","Work","szanik/masters/21198-zz000sjv24-1-master.tif","36","","","","private","still image","bedroom with pink and white four poster bed","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjv24","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sjv24/manifest"
"Szanik (George) Papers. Collection 1799","ark:/21198/zz000sjv3n","ark:/21198/zz000s9bp2","2","Completed","Work","szanik/masters/21198-zz000sjv3n-1-master.tif","37","","","","private","still image","bedroom with pink and white desk","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjv3n","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sjv3n/manifest"
"Szanik (George) Papers. Collection 1799","ark:/21198/zz000sjv45","ark:/21198/zz000s9bp2","2","Completed","Work","szanik/masters/21198-zz000sjv45-1-master.tif","38","","","","private","still image","gold living room","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjv45","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sjv45/manifest"
"Szanik (George) Papers. Collection 1799","ark:/21198/zz000sjv5p","ark:/21198/zz000s9bp2","2","Completed","Work","szanik/masters/21198-zz000sjv5p-1-master.tif","39","","","","private","still image","dining room with yellow server and large mirror","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjv5p","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sjv5p/manifest"
