"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Title","Description.note","Format.medium","Alt ID.local","Format.dimensions","Relation.isPartOf","Date.creation","Coverage.geographic","Bucketeer State","IIIF Access URL"
"Packman (Ana B. de) Papers.  Collection 1491","ark:/21198/zz002kdwjb","ark:/21198/zz0009gsvc","2","Completed","Work","packman/masters/21198-zz002kdwjb_2402331_master.tif","9","","","","","","Rancho Santa Rosa n.d.","Pechanga Indian church, Pachanga Country.","","uclamss_1491_b11_f11","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kdwjb"
"Packman (Ana B. de) Papers.  Collection 1491","ark:/21198/zz002kdwkv","ark:/21198/zz0009gsvc","2","Completed","Work","packman/masters/21198-zz002kdwkv_2402334_master.tif","12","","","still image","","","Louis Sainsevain","Photographs of Jean Luis Vignes, George Mensager, Jean-Louis Sainsevain, Theodor Maximilian Ferdinand Franz Lecouvreur, Jose Mascrell, Jean Bernard (husband to Susana Machado), Charles Ducommon, and Joseph Mesmer.","","uclamss_1421_b10_f3","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kdwkv"
"Packman (Ana B. de) Papers.  Collection 1491","ark:/21198/zz002kdwmc","ark:/21198/zz0009gsvc","2","Completed","Work","packman/masters/21198-zz002kdwmc_2404684_master.tif","13","","","","","","Valle de San Fernando ca. 1880-1930","Toll Road, Old Road August 1, 1948.","","uclamss_1491_b11_f11_001","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kdwmc"
"Packman (Ana B. de) Papers.  Collection 1491","ark:/21198/zz002kdwnw","ark:/21198/zz0009gsvc","2","Completed","Work","packman/masters/21198-zz002kdwnw_2404687_master.tif","14","","","","still image","","Valle de San Fernando (2)","Toll Road, Old Road August 4, 1948.","","uclamss_1491_b11_f11_002","","","ca. 1926","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kdwnw"
"Packman (Ana B. de) Papers.  Collection 1491","ark:/21198/zz002kdwqx","ark:/21198/zz0009gsvc","2","Completed","Work","packman/masters/21198-zz002kdwqx_2404690_master.tif","15","","","still image","","copyrighted","Valle de San Fernando (3)","Toll Road, Old Road August 4, 1948.","","uclamss_1491_b11_f11 (3)","","","ca. 1880-1930","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kdwqx"
"Packman (Ana B. de) Papers.  Collection 1491","ark:/21198/zz002kdwrf","ark:/21198/zz0009gsvc","2","Completed","Work","packman/masters/21198-zz002kdwrf_2404693_master.tif","16","","","still image","","","Valle de San Fernanda (4)","Beals Cut- San Fernando Pass","","uclamss_1491_b11_f11 (4)","","","ca. 1880-1930","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kdwrf"
"Packman (Ana B. de) Papers.  Collection 1491","ark:/21198/zz002kdwsz","ark:/21198/zz0009gsvc","2","Completed","Work","packman/masters/21198-zz002kdwsz_2404696_master.tif","17","","","still image","","","Valle de San Fernando (5)","Rancho de los Encinos; old toll road.Description on Back: Enlarged by Earl V. Lewis Co. 226 W. 4th & 421 W. 7th Str. Los Angeles.","","uclamss_1491_b11_f11 (5)","","","1880-1930","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kdwsz"
"Packman (Ana B. de) Papers.  Collection 1491","ark:/21198/zz002kdwtg","ark:/21198/zz0009gsvc","2","Completed","Work","packman/masters/21198-zz002kdwtg_2404699_master.tif","18","","","still image","","","Valle de San Fernando (6)","Top of New Hall Grade- 1889. Description on Back: Travelers Mr. & Mrs. Fletcher and Mrs. Louis P.","","uclamss_1491_b11_f11 (6)","","","ca. 1880-1930","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kdwtg"
"Packman (Ana B. de) Papers.  Collection 1491","ark:/21198/zz002kdwwh","ark:/21198/zz0009gsvc","2","Completed","Work","packman/masters/21198-zz002kdwwh_2404702_master.tif","19","","","still image","","","Valle de San Fernando (7)","T.P. Grani in San Francisco entering New Hall Tunnel ca. 1898.","","ucla mss_1491_b11_f11 (7)","","","ca. 1890","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kdwwh"
"Packman (Ana B. de) Papers.  Collection 1491","ark:/21198/zz002kdwx1","ark:/21198/zz0009gsvc","2","Completed","Work","packman/masters/21198-zz002kdwx1_2402358_master.tif","20","","","still image","","","Valle de San Fernanda (8)","Canyon (Freemont Pass) East Side 1926. Description on Image Back: Picture near Old Cemetery between the divide and Newhall. The place where Capt. Pedro Montemegro met Gen. Fremont. A letter was delivered by order of Gen. Andres Pico. The hill was where an American soldier was on the lookout. At the foot of the grade was where Fremont pitched his tent Sept. p. 1847.","","uclamss _1491_b11_f11 (8)","","","ca. 1880-1930","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kdwx1"
"Packman (Ana B. de) Papers.  Collection 1491","ark:/21198/zz002kdwzj","ark:/21198/zz0009gsvc","2","Completed","Work","packman/masters/21198-zz002kdwzj_2402361_master.tif","21","","","still image","","copyrighted","Valle de San Fernando (9)","Valle de los Encinos near Mission San Fernando (ca. 1886).","","uclamss_1491_b11_f11_ (9)","","","ca. 1886","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kdwzj"
"Packman (Ana B. de) Papers.  Collection 1491","ark:/21198/zz002kfkn0","ark:/21198/zz0009gsvc","2","Completed","Work","packman/masters/21198-zz002kfkn0_2404681_master.tif","6","","","","","","Rancho Jurupa ca. 1800-1950","Laguna de Juan Machado; Elsinore; Pichanga Reservation; [Paula] & Temecula, 1935","","uclamss_1491_b8_f4_001","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfkn0"
