"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Name.repository","Title","Alt ID.local","Description.note","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0jvc","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0010.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0010","uclalsc_2995564_0010","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0jvc","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0jvc/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0jww","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0011.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0011","uclalsc_2995564_0011","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0jww","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0jww/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0jxd","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0012.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0012","uclalsc_2995564_0012","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0jxd","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0jxd/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0jzx","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0013.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0013","uclalsc_2995564_0013","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0jzx","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0jzx/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0k0x","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0014.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0014","uclalsc_2995564_0014","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0k0x","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0k0x/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0k1f","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0015.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0015","uclalsc_2995564_0015","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0k1f","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0k1f/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0k2z","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0016.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0016","uclalsc_2995564_0016","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0k2z","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0k2z/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0k3g","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0017.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0017","uclalsc_2995564_0017","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0k3g","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0k3g/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0k40","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0018.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0018","uclalsc_2995564_0018","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0k40","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0k40/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0k5h","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0019.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0019","uclalsc_2995564_0019","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0k5h","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0k5h/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0k61","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0020.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0020","uclalsc_2995564_0020","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0k61","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0k61/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0k7j","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0021.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0021","uclalsc_2995564_0021","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0k7j","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0k7j/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0k82","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0022.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0022","uclalsc_2995564_0022","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0k82","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0k82/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0k9k","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0023.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0023","uclalsc_2995564_0023","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0k9k","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0k9k/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0kb3","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0024.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0024","uclalsc_2995564_0024","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0kb3","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0kb3/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0kcm","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0025.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0025","uclalsc_2995564_0025","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0kcm","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0kcm/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0kd4","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0026.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0026","uclalsc_2995564_0026","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0kd4","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0kd4/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0kfn","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0027.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0027","uclalsc_2995564_0027","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0kfn","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0kfn/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0kg5","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0028.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0028","uclalsc_2995564_0028","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0kg5","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0kg5/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0khp","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0029.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0029","uclalsc_2995564_0029","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0khp","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0khp/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0kj6","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0030.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0030","uclalsc_2995564_0030","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0kj6","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0kj6/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0kkq","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0031.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0031","uclalsc_2995564_0031","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0kkq","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0kkq/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0km7","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0032.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0032","uclalsc_2995564_0032","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0km7","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0km7/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0knr","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0033.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0033","uclalsc_2995564_0033","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0knr","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0knr/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0kp8","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0034.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0034","uclalsc_2995564_0034","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0kp8","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0kp8/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0kqs","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0035.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0035","uclalsc_2995564_0035","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0kqs","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0kqs/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0kr9","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0036.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0036","uclalsc_2995564_0036","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0kr9","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0kr9/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0kst","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0037.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0037","uclalsc_2995564_0037","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0kst","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0kst/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0ktb","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0038.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0038","uclalsc_2995564_0038","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0ktb","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0ktb/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0kvv","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0039.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0039","uclalsc_2995564_0039","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0kvv","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0kvv/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0kwc","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0040.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0040","uclalsc_2995564_0040","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0kwc","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0kwc/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0kxw","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0041.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0041","uclalsc_2995564_0041","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0kxw","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0kxw/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0kzd","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0042.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0042","uclalsc_2995564_0042","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0kzd","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0kzd/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0m0d","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0043.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0043","uclalsc_2995564_0043","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0m0d","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0m0d/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0m1x","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0044.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0044","uclalsc_2995564_0044","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0m1x","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0m1x/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0m2f","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0045.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0045","uclalsc_2995564_0045","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0m2f","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0m2f/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0m3z","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0046.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0046","uclalsc_2995564_0046","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0m3z","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0m3z/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0m4g","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0047.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0047","uclalsc_2995564_0047","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0m4g","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0m4g/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0m50","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0048.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0048","uclalsc_2995564_0048","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0m50","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0m50/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0m6h","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0049.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0049","uclalsc_2995564_0049","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0m6h","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0m6h/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0m71","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0050.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0050","uclalsc_2995564_0050","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0m71","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0m71/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0m8j","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0051.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0051","uclalsc_2995564_0051","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0m8j","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0m8j/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0m92","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0052.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0052","uclalsc_2995564_0052","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0m92","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0m92/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0mbk","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0053.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0053","uclalsc_2995564_0053","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0mbk","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0mbk/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0mc3","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0054.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0054","uclalsc_2995564_0054","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0mc3","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0mc3/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0mdm","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0055.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0055","uclalsc_2995564_0055","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0mdm","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0mdm/manifest"
