"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Visibility","Type.typeOfResource","Type.genre","Name.subject","Subject","Name.architect","Name.repository","Relation.isPartOf","Name.creator","Alt ID.local","AltTitle.uniform","Format.dimensions","Date.creation","Rights.statementLocal","Description.note","Format.extent","Title","AltTitle.descriptive","Date.normalized","Description.abstract","AltTitle.other","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Wright (Lloyd) Papers.  Collection 1561","ark:/21198/zz00094zc2","ark:/21198/zz00094c68","2","Completed","Work","wright/masters/21198-zz00094zc2-1-master.tif","","","","","private","still image","Interior design drawings","","Furniture","Wright, Lloyd, 1890-1978","University of California, Los Angeles. $b Library Special Collections","Lloyd Wright Papers (Collection 1561). Department of Special Collections, Charles E. Young Research Library, UCLA","","Project No. 34|~|clus_1561_b125_sheet_ironworkdetails","John Sowden House (Los Angeles, Calif.)","74 x 56 cm. (29 x 22 in.)","n.d.","","John Sowden House 5121 Franklin Ave.","1 drawing","John Sowden House, Ironwork details couch and dining table  [Black line reproduction of blueprint]","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00094zc2","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00094zc2/manifest"
"Wright (Lloyd) Papers.  Collection 1561","ark:/21198/zz00094zdk","ark:/21198/zz00094c68","2","Completed","Work","wright/masters/21198-zz00094zdk-1-master.tif","","","","","private","still image","Interior design drawings","","Furniture","Wright, Lloyd, 1890-1978","University of California, Los Angeles. $b Library Special Collections","Lloyd Wright Papers (Collection 1561). Department of Special Collections, Charles E. Young Research Library, UCLA","","Project No. 34|~|clus_1561_b125_sheet_tablelivingrm","John Sowden House (Los Angeles, Calif.)","46 x 43 cm. (18 x 17 in.)","n.d.","","John Sowden House 5121 Franklin Ave.","1 drawing","John Sowden House, Table Living room  [Black line reproduction of blueprint]","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00094zdk","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00094zdk/manifest"
"Wright (Lloyd) Papers.  Collection 1561","ark:/21198/zz00094zmp","ark:/21198/zz00094c68","2","Completed","Work","","","","","","private","still image","Black-and-white photographs|~|Architectural photographs","","Furniture","Wright, Lloyd, 1890-1978","University of California, Los Angeles. $b Library Special Collections","Lloyd Wright Papers (Collection 1561). Department of Special Collections, Charles E. Young Research Library, UCLA","","Project No. 34|~|clus_1561_b677_sowden_001","John Sowden House (Los Angeles, Calif.)","20 x 18 cm. (8 x 7 in.)","circa 1926","","John Sowden House 5121 Franklin Ave.|~|Photograph on 33 x 43 cm. (13 x 17 in.) mount and signed by photographer.","1 photographic print","John Sowden House, interior, bedroom furniture","","","","","","","missing","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00094zmp/manifest"
"Wright (Lloyd) Papers.  Collection 1561","ark:/21198/zz00094zn6","ark:/21198/zz00094c68","2","Completed","Work","wright/masters/21198-zz00094zn6-1-master.tif","","","","","private","still image","Interior design drawings|~|Architectural drawings","","","Wright, Lloyd, 1890-1978","University of California, Los Angeles. $b Library Special Collections","Lloyd Wright Papers (Collection 1561). Department of Special Collections, Charles E. Young Research Library, UCLA","","clus_1561_b125_sheetno13|~|Project No. 34","John Sowden House (Los Angeles, Calif.)","76 x 56 cm. (30 x 22 in.)","n.d.","","John Sowden House 5121 Franklin Ave.","1 drawing","John Sowden House, Sash & door details, sheet no.13, sliding door, bathroom, court door [b&w scan of blue line drawing]","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00094zn6","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00094zn6/manifest"
"Wright (Lloyd) Papers.  Collection 1561","ark:/21198/zz00094zpq","ark:/21198/zz00094c68","2","Completed","Work","wright/masters/21198-zz00094zpq-1-master.tif","","","","","private","still image","Interior design drawings|~|Architectural drawings","","","Wright, Lloyd, 1890-1978","University of California, Los Angeles. $b Library Special Collections","Lloyd Wright Papers (Collection 1561). Department of Special Collections, Charles E. Young Research Library, UCLA","","clus_1561_b125_sheetno11|~|Project No. 34","John Sowden House (Los Angeles, Calif.)","76 x 56 cm. (30 x 22 in.)","n.d.","","John Sowden House 5121 Franklin Ave.","1 drawing","John Sowden House, Sash & door details, sheet no.11, library [b&w scan of blue line drawing]","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00094zpq","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00094zpq/manifest"
"Wright (Lloyd) Papers.  Collection 1561","ark:/21198/zz00094zq7","ark:/21198/zz00094c68","2","Completed","Work","wright/masters/21198-zz00094zq7-1-master.tif","","","","","private","still image","Architectural drawings","","dwellings","Wright, Lloyd, 1890-1978","University of California, Los Angeles. $b Library Special Collections","Lloyd Wright Papers (Collection 1561). Department of Special Collections, Charles E. Young Research Library, UCLA","","clus_1561_b125_sheetno2_blueprint|~|Project No. 34","John Sowden House (Los Angeles, Calif.)","76 x 56 cm. (30 x 22 in.)","n.d.","","John Sowden House 5121 Franklin Ave.","1 drawing","John Sowden House, Floor plan sheet no. 2 [b&w scan of blueprint]","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00094zq7","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00094zq7/manifest"
"Wright (Lloyd) Papers.  Collection 1561","ark:/21198/zz00094zrr","ark:/21198/zz00094c68","2","Completed","Work","wright/masters/21198-zz00094zrr-1-master.tif","","","","","private","still image","Interior design drawings|~|Architectural drawings","","","Wright, Lloyd, 1890-1978","University of California, Los Angeles. $b Library Special Collections","Lloyd Wright Papers (Collection 1561). Department of Special Collections, Charles E. Young Research Library, UCLA","","clus_1561_b125_sheetno12|~|Project No. 34","John Sowden House (Los Angeles, Calif.)","76 x 56 cm. (30 x 22 in.)","n.d.","","John Sowden House 5121 Franklin Ave.","1 drawing","John Sowden House, Sash & door details, sheet no.12, skylights [b&w scan of blue line drawing]","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00094zrr","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00094zrr/manifest"
"Wright (Lloyd) Papers.  Collection 1561","ark:/21198/zz00094zv9","ark:/21198/zz00094c68","2","Completed","Work","wright/masters/21198-zz00094zv9-1-master.tif","","","","","private","still image","Interior design drawings|~|Architectural drawings","","","Wright, Lloyd, 1890-1978","University of California, Los Angeles. $b Library Special Collections","Lloyd Wright Papers (Collection 1561). Department of Special Collections, Charles E. Young Research Library, UCLA","","clus_1561_b125_sheetno10|~|Project No. 34","John Sowden House (Los Angeles, Calif.)","76 x 56 cm. (30 x 22 in.)","n.d.","","John Sowden House 5121 Franklin Ave.","1 drawing","John Sowden House, Sash & door details, sheet no.10, livingroom, studio, bedroom and colonade [b&w scan of blue line drawing]","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00094zv9","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00094zv9/manifest"
"Wright (Lloyd) Papers.  Collection 1561","ark:/21198/zz000s3xx6","ark:/21198/zz00094c68","2","Completed","Work","wright/masters/21198-zz000s3xx6-1-master.tif","","","","","private","","Black-and-white photographs","","dwellings|~|Architecture--California, Southern--20th century","Wright, Lloyd, 1890-1978","","Lloyd Wright Papers (Collection 1561). Department of Special Collections, Charles E. Young Research Library, UCLA","","","","","","","2223 La Mesa, Santa Monica, CA","","Josef Nabel residence, forecourt","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3xx6","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000s3xx6/manifest"
"Wright (Lloyd) Papers.  Collection 1561","ark:/21198/zz000s3xzq","ark:/21198/zz00094c68","2","Completed","Work","wright/masters/21198-zz000s3xzq-1-master.tif","","","","","private","","Black-and-white photographs","","dwellings|~|Architecture--California, Southern--20th century","","","Lloyd Wright Papers (Collection 1561). Department of Special Collections, Charles E. Young Research Library, UCLA","","","","","","","","","Josef Nabel residence, front lawn and building facade","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3xzq","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000s3xzq/manifest"
